education_years,age,gender,minority_status,local_unemployment_rate,job_training_hours,annual_income
11,29,1,0,4,43,176.86468587452435
9,30,0,0,5,44,177.456625381218
12,30,0,1,9,47,193.88591371150795
8,28,1,0,4,43,178.20706763657606
11,32,0,0,7,45,179.5014652598738
8,30,0,0,7,42,167.79713328939397
7,32,1,0,6,45,180.05699836127772
6,33,1,1,8,45,180.3260070121584
8,27,0,0,7,43,177.4236012396814
12,27,1,1,11,48,193.27848397932144
11,30,0,1,7,46,185.848058014577
7,27,0,0,7,43,177.8482468569579
9,29,0,0,6,43,174.03162440632605
12,28,0,1,6,45,183.6279999301549
8,33,0,0,5,43,175.5530463355719
11,27,1,0,7,43,178.2457236858518
9,27,1,0,5,41,169.7394071624077
3,29,0,0,9,42,171.77956838793378
10,30,0,0,9,45,179.1053971569204
9,31,1,0,7,45,178.48933459151033
13,28,0,0,9,43,175.42202335145737
10,28,0,1,8,45,184.89104455783965
10,31,0,1,5,43,173.9965808715852
12,33,0,0,7,44,175.77143161459307
13,29,1,1,10,48,196.6539756489845
8,29,1,0,7,43,173.45504472869155
10,31,1,1,5,46,188.24141876356487
11,29,1,0,5,43,178.13802953733418
12,29,1,0,6,45,184.93530676460296
10,27,1,0,12,45,182.15607846122796
9,25,1,0,10,47,193.73016313136992
4,26,0,0,5,40,168.4169011354497
15,30,1,1,8,47,191.9780826548712
8,29,0,1,4,41,169.3783389285161
5,28,1,1,11,45,182.5860556420981
16,29,0,0,6,46,185.414870350233
16,28,1,0,6,46,189.8065932876132
8,30,0,1,10,46,184.7604546293603
16,32,1,0,7,47,187.7361116184144
9,28,1,1,5,41,167.77246041250112
4,27,0,1,5,43,177.4531382109726
10,31,0,0,9,47,188.124568855698
11,31,1,0,9,45,178.94306120954977
11,28,0,0,11,45,182.30393897898955
8,29,1,0,9,46,185.8158650793125
10,29,0,0,8,45,182.40421968535483
9,28,1,0,10,46,192.59162876547447
11,30,1,0,7,45,182.23808552582105
10,27,1,0,6,41,170.70601649356868
7,31,0,0,9,44,178.0843179271448
11,31,0,1,5,43,174.18505175220062
13,31,0,0,9,46,182.88588256740525
15,32,1,0,4,44,177.49588638278425
9,32,0,1,10,48,191.4661674798429
4,27,0,0,12,41,167.2121446277033
10,32,0,0,9,46,184.0849193356847
12,33,0,0,5,47,188.67211179644548
15,31,1,0,8,47,187.52211672300456
10,30,1,1,3,45,187.6257995712044
13,31,0,1,8,45,182.27153961602045
9,25,0,0,9,43,177.88315674778937
7,28,1,0,8,45,186.26707920499183
9,31,0,0,6,43,174.42967735793584
11,27,1,0,7,44,180.6243992555381
10,31,0,1,7,46,183.86332520379065
10,33,0,1,6,45,176.70684476822092
13,30,0,0,8,48,195.58713675753225
13,30,0,0,10,47,189.1091831793715
11,29,1,1,7,44,178.8017167828224
14,29,0,0,9,45,181.5284645150506
11,29,0,0,6,43,177.33035903352734
9,29,0,0,7,45,185.1816774253352
9,27,0,0,7,42,170.58769086992095
10,31,0,1,7,45,182.88512647999863
13,27,0,1,9,45,185.40609374254308
9,26,1,0,5,41,170.11306089679712
16,29,1,0,8,47,191.9984220514267
9,29,1,1,6,44,176.97408187263338
4,32,1,0,7,44,176.48372347351577
4,31,0,0,10,44,178.54443231563167
12,27,1,1,3,44,183.62235497323616
8,26,1,1,10,45,185.89080003204663
9,30,1,0,8,43,173.86246356422544
9,26,1,0,7,41,170.14282461545668
9,27,1,0,8,43,177.54470342826764
9,31,1,0,8,42,169.82811561459516
11,32,0,0,8,43,172.42852363596882
10,31,0,1,11,48,191.10107142673328
10,29,1,1,7,45,184.2401492679204
9,29,0,1,9,46,185.5012252309413
7,31,0,1,7,44,179.7070659433894
13,30,0,1,7,46,189.39743548701452
9,30,1,1,7,44,176.78992394437466
11,31,0,1,7,51,208.1116120726976
11,31,1,0,5,42,172.66008843783086
7,27,0,0,7,43,181.15372078613808
10,32,1,1,8,49,195.1298501030825
7,26,1,0,6,41,171.78958555195342
9,32,1,0,4,43,174.06660908321348
7,29,1,1,6,44,178.73925288861057
9,30,1,0,6,42,171.22651779253422
11,27,0,1,12,48,197.1253746628659
14,30,1,1,11,49,195.49794912987508
10,27,1,1,3,42,174.6793507067234
10,26,0,0,6,44,182.1559393306334
12,30,0,1,7,46,185.9695272456497
8,28,1,1,9,46,187.04807869578192
8,25,1,1,6,41,173.09974994248486
8,32,1,0,9,45,179.98402250696134
9,28,1,1,8,45,183.65417069380405
13,29,1,0,7,46,187.31003304231288
9,30,1,1,8,45,182.0287942400656
10,28,1,1,11,45,183.2860735943132
8,30,1,1,9,46,186.4965643269372
9,26,0,1,8,44,180.8528582709013
11,32,0,0,8,48,191.2472675842454
9,33,1,1,10,47,184.9699635121763
8,29,0,0,7,45,180.23553177599615
10,29,0,0,7,43,175.8409193330358
11,28,0,0,11,45,181.61644971806024
11,28,0,0,7,43,176.7576728269687
13,33,1,1,6,48,191.7669625614509
13,28,1,0,6,46,189.42766398538004
9,29,1,1,6,41,167.46343060139276
12,24,1,0,9,46,191.5501129252308
7,31,1,0,9,47,190.6200695290096
7,25,1,0,4,38,158.93988661375965
14,28,0,1,7,46,188.0820992363845
7,28,1,0,6,40,163.02537378771092
12,28,1,0,9,45,184.39199676271255
8,28,1,1,10,46,184.3924985401696
12,31,0,1,7,44,175.8532313370045
4,30,0,1,9,44,179.83456027789666
10,26,1,0,9,44,182.24996154705025
7,30,0,1,4,42,171.3952338561108
12,31,0,1,6,44,177.70730047299978
12,27,0,0,7,44,183.49953078832115
11,29,1,0,8,43,177.5340908626132
14,30,0,1,10,49,194.2287088061768
13,29,0,1,9,48,191.93186585911477
11,31,0,0,5,42,170.18180529486676
8,29,0,0,7,45,184.2060136810694
16,33,1,0,6,48,194.51563331761588
9,29,0,0,6,41,169.5392435254315
5,32,1,0,8,45,183.78632511726968
14,31,1,1,5,45,183.01426301522696
11,28,1,1,8,45,186.20382744669664
10,31,0,0,8,45,181.54276082684336
7,27,1,0,8,45,186.7215478411993
13,29,1,1,10,47,193.38664320171603
6,25,0,0,7,41,172.23484453727926
13,26,0,0,7,42,173.43736363377266
9,26,0,0,10,43,176.95601617189894
7,30,0,0,10,44,175.38903715661726
8,28,1,1,7,46,191.8308500989308
9,29,0,0,6,45,180.99783900311
13,32,1,0,8,46,185.15317384832636
5,28,0,1,8,45,182.87366187683855
5,29,0,0,10,43,173.5213958218658
9,34,0,0,9,48,188.6161442016854
12,27,1,0,5,43,176.25860094889188
9,29,0,0,9,44,178.61323974511913
11,31,1,1,4,42,169.34682823393246
7,28,1,0,7,41,169.24947243438854
4,32,0,0,5,42,170.12477677135777
12,28,1,1,9,46,186.20319681128544
7,36,0,0,10,44,170.76376391597455
10,29,0,0,12,45,183.4266921969219
6,29,1,1,7,46,184.6475810522511
11,30,1,0,5,43,176.99003015510868
8,30,1,0,5,44,181.5348076829348
9,30,0,0,7,42,173.2849371674827
9,28,0,0,4,40,164.773443920116
9,28,1,0,8,45,185.74514017101876
14,32,0,1,7,47,187.7974053961715
6,28,1,0,5,38,157.74978419761385
7,26,0,0,9,44,180.9580106283371
5,31,0,1,7,44,178.62287787946966
8,25,1,0,8,43,178.976183715533
12,28,0,0,7,46,190.55687547099967
11,28,0,1,6,44,180.60678008934357
10,28,0,1,11,43,172.94934541354957
6,25,1,0,5,40,170.39226451328943
13,31,0,0,8,49,196.2099919942715
7,34,0,0,8,43,167.69462840655413
16,30,0,0,10,47,188.1531099930361
9,26,1,1,9,41,167.96716253873765
13,25,1,1,8,44,185.0169840173677
10,27,0,0,10,44,179.9934799763851
12,29,0,1,9,49,197.54792948459664
7,31,0,0,8,44,177.55869408967402
4,30,0,0,6,41,168.23685080992453
10,30,0,1,6,44,180.9010257812164
4,29,1,0,7,41,168.2783775181926
5,29,0,1,10,43,174.77327315810916
12,30,0,1,6,44,177.90081452771324
15,34,0,1,4,47,188.59782462334297
9,32,0,0,8,45,180.50766668687297
9,29,1,1,7,46,186.04748001553648
11,29,0,0,6,44,181.06370128868065
8,25,0,0,8,42,175.88462846780712
10,27,1,0,6,43,177.4553641629903
8,27,0,0,7,41,170.02355099920803
10,31,1,1,10,48,192.62168222733607
9,28,0,0,8,46,188.1918790255617
10,31,0,0,2,41,167.37621850593604
12,28,1,0,5,42,174.6342579483042
9,29,0,0,8,42,172.1428743081443
7,29,0,0,7,44,182.23043751392103
9,33,0,0,3,42,165.56502673254133
10,30,1,1,7,47,188.7537598558048
9,30,1,0,10,47,188.4427524149414
10,27,0,0,7,43,177.52505317071592
11,27,0,1,6,45,185.01335925074704
