student_age,parent_education_level,school_quality_index,socioeconomic_status,gender,minority_status,single_parent,tutor_availability,tutoring_sessions_count,student_performance_score
11,34,8,11,0,0,1,10,22,224.52682272843768
4,29,3,19,1,0,1,13,17,177.13048944006462
10,29,1,14,0,0,0,10,20,202.81633909430923
8,30,10,11,1,0,0,13,25,254.59928844056788
13,29,6,16,1,0,0,11,19,195.725387153638
11,28,7,17,0,1,1,13,24,245.5774508528799
13,29,12,14,0,1,1,9,25,256.78373172072355
8,29,6,15,0,0,0,10,20,206.2839477300418
12,27,13,12,1,0,0,12,27,279.87417726935826
10,27,13,13,0,0,0,11,27,277.22249218885344
10,30,9,10,0,0,1,7,26,268.396143200569
4,33,4,12,0,1,0,16,26,260.3585390311196
8,28,2,11,1,1,1,14,25,256.13160172394964
7,29,7,11,0,1,1,9,24,248.8001577311125
10,31,10,19,0,1,1,15,25,250.24926152157545
6,26,6,15,1,1,1,12,22,227.2042394195709
6,28,8,16,0,0,1,15,25,255.22581902450295
2,33,4,16,0,1,0,10,19,190.53638827119147
11,31,12,13,0,1,1,12,25,254.327061130225
16,33,7,14,0,0,1,12,22,224.52857889676451
8,29,10,14,0,1,0,13,27,273.7604798739269
14,32,7,8,0,1,0,13,27,273.5710321512816
8,29,6,15,1,0,1,15,23,240.0800758282328
16,29,13,13,0,1,1,13,25,255.51018740517168
11,30,9,9,1,0,0,10,24,247.51965137075263
7,27,7,12,1,1,1,10,23,238.4319685654417
11,30,12,17,1,1,1,10,22,229.75982322327076
12,29,8,16,1,0,0,18,24,243.89489429598007
11,33,6,14,1,0,1,14,23,230.6232661164873
6,31,10,11,1,0,0,9,24,246.48075443693537
7,34,8,12,0,0,0,11,19,191.7601698328061
7,29,10,11,0,1,0,11,26,264.09294272112584
11,32,4,19,1,1,1,12,18,186.4680319004988
10,31,9,10,1,1,1,10,24,244.46233196910907
13,26,7,13,1,0,0,8,23,239.5302779484616
12,30,11,9,0,1,1,11,27,280.0387003217668
8,25,6,10,0,1,1,14,27,277.07812610411946
5,27,6,19,0,1,0,11,19,194.7575039010284
6,29,4,13,1,0,1,11,20,206.78518782938804
6,30,4,13,0,0,1,10,22,226.77341539578305
8,24,11,14,0,1,0,11,25,257.2469731826045
10,32,9,14,0,0,1,11,23,236.84479597683213
6,31,10,14,0,1,0,12,24,244.46816974096976
11,31,5,18,0,0,1,9,16,165.92170267397847
12,31,8,18,1,1,1,13,23,234.9496224681631
13,27,10,15,0,1,0,11,24,244.21756190882647
7,25,4,14,0,1,0,11,24,245.40338168886493
10,28,5,18,1,0,1,10,21,217.06607122683107
10,30,6,14,1,0,0,9,20,206.72554346064868
11,26,7,15,0,0,1,12,22,228.39553842773725
9,28,12,14,1,0,1,12,25,259.3981244913317
12,31,10,13,1,0,1,10,22,226.34126461225185
6,29,7,13,1,1,1,15,27,275.67790793110265
11,31,11,14,0,0,0,12,26,264.3273653542458
12,27,4,11,1,1,1,15,26,264.9648073375182
10,27,2,15,0,1,0,12,22,224.5692336320708
14,30,5,12,1,0,1,10,23,238.4552751990299
11,32,10,13,1,0,1,11,24,246.14546507636493
8,28,12,9,0,0,0,11,27,278.8175778792823
14,30,7,14,1,1,0,14,27,272.9120395345615
9,27,5,16,0,1,0,12,22,226.790786191363
9,30,10,16,0,0,0,10,20,206.42007033600692
8,34,10,17,1,0,0,12,22,222.27662930661444
9,32,4,13,1,0,1,12,19,194.6288733550592
14,29,8,21,1,0,0,10,17,177.225017040209
6,29,8,16,1,0,1,10,20,210.6453838719408
8,29,9,11,1,0,0,15,24,245.4302278836922
12,31,4,14,0,1,1,10,20,204.7275525732944
5,27,7,14,0,1,1,12,26,267.1098594655002
15,32,13,13,0,0,1,8,21,217.27140704576095
12,28,8,16,0,0,0,11,21,219.4416964689809
14,31,13,15,0,0,1,11,22,225.0028600588919
13,29,8,20,1,1,0,13,20,204.9915794512756
12,29,4,14,0,1,0,9,24,242.8611253835905
14,28,7,14,0,0,0,10,22,224.8174946132461
6,32,8,13,1,0,1,14,23,236.71532754067644
12,32,9,12,1,0,1,16,24,245.58918678566457
6,26,3,18,1,1,0,9,20,209.3017808534265
9,31,7,10,1,1,1,11,23,236.31365399696483
