age,income,education_level,employment_status,gender,race,marital_status,region,universal_basic_income,financial_stability_score
8,30,7,16,0,0,0,11,26,91.86418447558428
11,25,8,12,0,0,0,9,26,87.95830408059642
9,27,5,16,0,0,1,9,22,81.72625494336236
11,25,4,16,1,0,1,9,25,90.7450088499296
12,31,7,16,0,0,1,9,25,93.6138282444788
10,31,7,14,0,1,1,9,24,90.18393078882278
8,29,6,18,1,0,0,9,26,89.07487593292089
15,28,8,11,0,1,0,8,26,93.5344117206082
8,30,12,9,0,0,0,10,30,96.097811721131
9,27,14,15,0,1,0,11,27,85.70067980314525
13,31,5,13,0,0,0,9,29,98.38524280133116
9,28,10,13,0,0,1,9,25,86.62522340264137
10,28,0,9,0,1,0,9,30,101.0085783997407
5,28,11,9,0,0,1,8,28,87.27378812504303
15,31,9,13,0,1,1,12,28,97.24095212629786
8,31,5,13,0,1,1,9,28,96.6127979801825
15,32,7,11,1,0,1,11,30,101.51649342456972
8,27,7,17,1,0,0,7,20,78.71805049429013
6,26,5,15,0,1,1,7,24,87.59867436004741
8,27,13,13,1,0,1,10,29,89.96032717583114
8,30,13,16,0,0,0,10,28,88.716809803084
7,33,2,13,1,0,1,8,26,93.26075864737592
12,32,6,18,0,1,0,9,24,90.14122026088752
8,31,5,17,0,1,0,9,25,91.05935104528535
8,34,8,13,1,0,0,9,28,91.73254524671547
12,30,7,20,0,0,0,11,20,78.27602331266996
11,27,6,13,0,1,1,9,27,93.0170446687962
6,30,5,15,0,0,1,6,25,87.96007886723326
7,29,14,12,1,0,1,12,32,91.03883870910968
11,32,1,12,1,1,1,8,29,102.5041880219783
6,27,6,14,0,0,0,7,27,91.2633769849338
12,31,3,10,1,0,1,9,31,104.45583886066348
14,25,11,12,0,0,0,8,26,89.26130684057419
11,30,8,17,0,1,0,7,27,96.81242021455024
9,30,10,14,0,0,1,6,24,88.15644407148079
5,34,16,11,0,0,1,7,28,88.22052981125601
13,28,4,13,0,0,0,6,27,97.95266312357256
1,31,6,13,0,1,1,8,29,93.8998555580534
14,31,8,13,1,1,0,11,28,95.41728901993017
11,30,8,9,1,1,1,10,30,98.84367787390164
14,27,4,13,1,0,0,11,29,102.98686178255277
7,29,9,13,0,0,0,7,24,82.25473930818231
6,31,11,15,1,0,1,12,26,81.42339882432897
15,27,7,13,0,0,0,7,21,84.20803954854459
12,28,8,14,0,0,0,8,26,94.66531691393352
9,30,7,12,0,1,0,6,28,96.09310503347216
9,25,1,17,0,1,0,12,24,89.53126097952696
10,29,2,11,0,1,0,11,27,96.0990360999458
5,30,8,11,0,0,1,8,29,93.23649888794884
11,33,9,8,0,1,1,8,30,102.05517673294456
8,31,9,16,1,0,1,10,29,93.62763723898826
10,33,12,11,1,1,0,9,30,93.7994084334965
7,27,12,16,0,0,1,10,24,83.1252149881027
13,26,5,13,0,0,1,8,23,85.69925371045395
13,32,6,8,1,0,0,10,33,107.9360126263508
11,30,11,11,1,0,0,9,28,91.6768754531404
8,31,9,9,0,0,1,8,30,94.94178665008164
5,31,10,15,1,0,0,7,25,84.96383503444841
1,31,10,5,0,1,1,5,33,98.20594365792988
8,27,1,14,1,0,0,6,23,87.69371531562467
6,29,9,16,0,0,0,7,25,84.57614208129952
4,33,8,11,1,1,0,9,31,97.69305463249329
12,30,8,16,1,1,1,13,27,92.77592434038188
8,33,14,12,1,0,0,8,30,94.1962259050308
11,27,9,11,0,1,1,9,27,93.6722781592084
6,29,7,11,0,0,0,8,30,95.91673907496929
11,26,4,13,1,1,0,6,25,91.44170615373298
9,28,9,12,0,0,0,14,30,95.64592826558736
6,30,6,15,0,0,0,7,27,90.54024589495896
9,30,14,13,1,0,1,11,28,86.86928776726346
11,26,10,18,1,1,1,11,24,83.34882864699878
7,29,9,14,1,1,1,4,22,79.10682276527442
4,31,3,10,0,1,0,9,32,101.04379326699824
7,32,7,13,0,0,0,9,28,93.92297013855097
13,28,10,13,1,0,1,9,27,88.80049814133724
6,27,4,11,1,1,0,9,32,99.37759521856212
6,27,8,14,1,1,1,9,28,90.28156983529196
10,31,4,11,1,0,1,11,31,102.67786617680262
10,32,7,12,0,0,0,10,28,96.4816715737317
7,28,6,12,0,1,0,5,26,89.08397279653768
11,32,9,12,0,0,1,14,29,96.75940081633124
12,33,3,12,0,0,1,10,26,94.62995722597796
12,28,0,17,1,1,0,8,22,90.47884273870496
10,33,5,9,1,1,0,11,33,105.08070643506794
11,30,10,16,0,0,1,4,21,77.99350209396837
14,27,0,14,1,0,1,9,20,84.52956115990091
11,31,5,11,0,0,0,11,28,95.53419079399062
11,29,8,16,0,1,0,9,26,90.85165273243724
11,32,10,16,0,0,0,8,26,92.04374774052673
7,32,2,9,1,1,0,7,30,99.08924665713768
7,27,5,13,1,1,1,7,26,87.82763469287448
11,28,12,14,0,1,0,6,28,94.22206152083996
11,29,10,12,0,1,1,7,26,88.55675273069251
12,30,8,16,0,1,0,9,23,86.64759656894277
12,25,18,11,1,1,0,10,31,88.5226295699724
8,31,7,16,1,0,0,6,25,87.80429932674869
11,29,10,11,0,0,0,7,28,91.59202126361257
9,28,9,17,0,0,0,10,24,87.68229566563976
13,28,5,11,0,0,0,8,25,90.51209561910566
6,30,8,9,1,0,0,7,31,94.56737095474637
7,30,9,14,0,0,0,11,28,90.82319634391644
8,28,15,16,0,0,0,9,23,77.91654915783332
11,32,2,8,1,1,0,6,31,104.40167525071494
13,26,8,14,0,0,0,9,26,91.14837751455364
8,29,8,12,0,0,1,9,26,87.6818664161708
12,32,13,11,1,0,0,10,31,97.62886383479407
6,29,8,10,1,1,0,10,32,97.61010145256886
7,30,7,14,0,0,1,11,29,91.99584051228466
10,33,11,14,1,0,0,10,26,84.91144995324373
10,28,7,15,0,0,0,8,28,92.85454682139532
13,30,7,17,0,1,1,9,24,89.96788175082399
12,30,3,17,0,0,0,8,22,87.11432126316984
12,28,9,13,0,0,0,10,27,91.6479721516341
13,28,8,11,1,0,0,6,27,94.94057344002611
12,28,5,9,0,1,0,8,30,98.84747121991155
13,29,7,12,1,0,0,7,26,90.61396062579044
12,29,9,16,0,1,0,9,25,91.76106271734513
7,29,6,13,0,0,1,8,26,89.34430782670108
15,31,13,14,0,0,1,8,25,91.56528119007474
17,30,12,10,0,0,0,11,28,94.24634707524692
9,32,6,14,0,0,0,7,25,89.25660295838344
8,30,5,15,0,1,1,9,26,90.30571167762
14,26,8,12,1,0,1,11,28,92.44914931526512
7,29,9,14,0,0,0,9,27,90.1036719291531
8,29,8,10,0,1,1,4,29,96.6327602597546
9,29,14,19,0,0,1,14,27,90.73953768781898
7,29,8,10,0,0,1,6,27,91.42817233404952
12,31,6,14,1,0,0,5,27,96.5983221226065
11,28,13,11,1,1,0,9,28,91.31663033085228
10,28,7,15,1,0,1,8,25,88.70542993160791
12,31,4,10,0,1,0,9,29,101.02484129846864
12,31,8,13,0,1,1,8,27,91.7457535050752
11,28,6,14,1,0,0,9,26,89.88058461553959
10,29,12,16,0,1,0,7,25,86.97822803558029
10,31,5,13,1,0,0,10,28,95.44356451225742
9,30,4,12,0,0,0,10,27,95.88383430787466
8,26,1,17,0,1,1,8,24,88.09038304907745
8,29,12,13,1,0,1,9,27,87.37870857753695
9,29,5,16,0,0,0,6,22,82.66822652910135
5,28,6,13,1,0,1,8,29,96.59336228778464
11,32,8,15,1,0,0,9,29,96.06168646589715
12,33,4,9,0,0,0,8,28,99.75988946132163
6,30,8,19,0,0,0,8,23,81.58430890029416
11,29,8,10,0,0,1,10,29,97.16390197332473
14,32,16,16,0,1,0,10,26,88.6525972702046
14,28,7,10,0,0,1,7,27,95.0901813304573
14,29,11,13,0,0,1,12,27,93.55120263316338
8,34,7,19,0,0,1,9,21,82.64299989687805
7,28,4,10,1,1,0,7,29,94.62636911711364
8,29,11,8,0,0,0,10,36,105.91176229007483
8,32,4,9,0,0,1,5,31,103.70548215448208
9,29,7,11,1,1,0,6,26,90.74390176473996
8,29,16,14,0,1,0,12,30,90.68569369957548
7,28,6,13,0,1,1,8,27,92.87972367818436
8,32,17,14,0,0,1,11,30,88.9203129777887
16,31,8,10,0,1,1,8,26,96.23565895574568
13,31,11,10,0,1,1,8,28,94.2612189432917
12,30,11,16,1,0,0,9,27,89.4057616287812
12,31,9,11,0,0,1,8,29,96.33021789268142
11,30,9,12,1,0,0,10,29,94.61104573281268
8,30,7,14,1,0,1,8,26,90.09653483546776
4,31,6,10,0,0,0,9,32,97.0866121985681
15,31,7,14,0,1,0,9,26,93.58546952512518
11,25,11,14,1,1,0,6,24,81.76231413169236
8,32,11,18,0,0,1,7,21,79.92587619096858
12,31,9,13,0,1,0,9,29,98.1314574850878
13,28,2,14,0,1,0,7,27,100.13864140144632
10,30,13,7,1,0,1,6,30,93.67424392828843
10,28,4,12,1,1,1,7,26,91.55804962911073
9,28,8,18,1,0,1,4,19,75.32805167340392
9,30,6,13,1,0,1,11,30,99.14584031459896
8,31,10,12,0,0,1,9,29,93.77067540853922
13,28,9,11,1,1,0,10,28,91.30231418940475
5,29,6,14,0,1,0,8,29,92.87153715110831
5,28,4,15,0,0,0,7,23,84.832753868122
12,33,9,11,0,0,1,10,27,93.79057982604874
9,27,9,10,0,0,0,8,29,93.79290823314928
9,32,11,14,0,0,1,8,27,91.23853203093914
9,25,7,12,0,1,0,9,29,94.81321653644048
9,29,10,16,0,0,0,10,26,87.9069073166475
11,25,11,12,0,0,1,9,24,85.36091224234838
8,29,6,13,1,1,0,6,29,95.05750433802326
7,29,11,13,0,0,0,9,28,88.51071250507738
11,29,6,14,1,1,0,11,28,95.61655858813953
12,28,5,15,1,1,0,13,29,96.33106402029586
5,29,4,17,0,0,1,12,24,85.61254927072008
8,30,10,14,0,0,0,8,25,87.87575094046719
9,29,7,18,0,0,1,9,23,86.68171225105064
11,29,2,15,0,0,0,6,23,92.59737800483629
10,28,5,12,1,1,0,9,26,90.07071373169875
10,29,8,12,0,1,0,7,28,94.7912171506096
7,25,8,11,0,0,0,6,28,92.233961159263
11,29,7,14,0,0,0,8,24,89.06433169378022
6,32,1,10,0,0,0,10,32,103.0319709501268
11,28,10,12,0,1,0,5,23,82.40180364939397
9,29,6,13,0,0,1,12,27,95.13899853268192
11,31,5,14,0,1,0,9,27,96.8377541016027
10,28,8,14,0,1,0,14,29,93.03440149317116
8,28,9,15,1,0,0,10,27,89.67620573701018
8,31,8,11,1,0,1,7,31,96.29130865491622
13,32,12,14,1,0,0,9,27,90.20265153434694
10,25,11,15,1,1,0,11,24,80.47074522360838
8,29,7,9,0,1,0,7,30,97.59947775626785
14,33,8,14,0,0,0,10,25,90.9273083468478
10,29,11,15,1,1,0,7,26,89.9898144003982
8,31,5,14,1,0,1,11,28,94.50412212874528
9,31,5,13,1,0,1,9,27,93.47676800590284
13,29,7,14,0,1,0,9,27,94.29956279301356
10,32,11,17,0,1,1,7,24,85.49664305869663
8,27,8,12,1,0,1,9,28,92.20606392050924
11,27,7,12,0,1,1,10,29,97.45728297073788
12,30,4,15,1,1,0,7,26,92.35505114690817
11,31,9,10,0,0,0,5,28,95.86803091289458
7,31,8,13,1,1,1,7,29,96.89098796818128
13,33,3,12,0,0,0,11,29,102.22864367899707
11,29,10,13,0,1,0,8,27,94.07217771365173
8,29,10,7,0,0,0,10,34,101.97680306536844
11,27,7,16,1,0,0,6,25,90.26398670326084
9,27,8,16,0,0,0,9,25,85.79047708253853
12,30,1,17,1,1,1,9,23,90.67934050793689
9,30,8,8,0,1,1,9,32,100.16936822884358
10,31,7,10,0,1,0,8,30,98.76072360437615
8,29,4,12,1,0,0,6,27,96.35727392189897
13,27,4,15,0,1,1,11,25,90.21960367990827
10,30,8,12,0,1,1,6,28,96.607262402111
9,26,7,17,0,1,0,6,24,88.05346263140997
12,28,7,10,1,1,0,7,28,93.45086381386358
6,28,9,13,0,0,0,9,27,90.22534299039737
11,28,3,15,1,0,0,8,25,89.74652147837162
9,28,4,17,0,0,1,9,23,89.95536614467909
13,31,9,12,1,1,0,10,30,97.32393681738516
10,28,4,14,0,1,0,6,25,90.71833549690452
12,29,2,13,0,0,1,6,24,95.69940527132668
7,26,8,13,1,1,1,13,31,93.39043895908767
11,31,11,9,0,0,0,7,29,93.87829033114863
5,31,8,12,0,1,0,5,25,87.74758331901576
14,29,10,15,0,0,1,15,28,96.17530196658343
7,29,10,17,1,0,1,8,24,81.15361205497916
10,30,5,13,1,1,0,7,28,94.85593063515464
11,32,0,13,1,0,1,10,29,102.21238067697674
11,32,4,8,1,0,0,9,31,100.88046425925168
11,32,10,19,0,0,1,8,23,86.63063188613839
11,29,11,9,0,0,1,5,26,88.24037357732648
8,31,10,19,1,1,0,9,25,85.00752464335615
8,27,2,14,1,0,0,11,27,92.72350544688568
12,28,3,14,1,0,0,7,24,89.49787993282372
2,30,8,10,1,0,0,9,33,98.66889089761337
7,33,6,15,0,0,0,10,28,94.60706144658415
10,29,10,9,0,0,1,8,28,89.28064092983811
0,31,5,14,0,1,0,9,27,89.47706393084746
10,33,5,15,0,0,1,6,24,90.73369458264612
7,29,13,17,0,0,0,7,25,84.98845247879163
10,35,3,14,0,0,1,11,28,101.15315608500828
7,29,7,13,0,0,0,10,28,92.1055221618403
16,31,10,13,0,0,0,11,28,98.86214828436287
7,30,7,11,1,0,0,6,30,95.48667533949
9,27,4,9,0,1,0,10,31,100.42958783710252
8,31,3,14,0,0,1,9,22,85.14478412707716
15,28,2,20,0,1,0,8,20,88.25026870107696
12,30,11,21,1,1,0,7,19,78.61257856910008
14,32,5,14,0,1,1,9,24,90.67711083235037
5,32,6,13,0,0,0,10,31,99.03207297507468
13,30,8,10,0,0,0,10,29,97.06250096626704
11,23,7,15,1,0,1,9,24,87.61598712162764
9,28,9,14,1,0,0,8,27,90.4212974599418
7,30,17,8,0,0,1,9,30,87.54680716833917
10,29,11,11,0,1,0,10,30,94.97930847662408
6,31,13,14,0,1,1,7,25,81.64802678517512
6,29,4,15,0,0,0,7,23,86.70118779945712
9,30,4,12,0,0,1,9,27,97.47215174846376
15,27,9,12,0,1,0,9,26,92.87517485497472
8,29,9,13,0,0,0,12,29,91.23104540888556
6,30,13,16,0,0,0,9,27,85.39034173524223
11,30,10,15,0,0,0,8,23,82.7545121959613
