defendant_age,public_defender_experience_years,severity_of_charges,previous_convictions,gender,minority_status,prior_representation,judge_experience_years,public_defender_assigned,sentencing_length
8,26,9,9,0,0,0,12,12,87.76120171279192
8,28,5,19,1,0,1,17,22,107.68501461607563
10,31,4,12,1,0,1,10,8,77.03156720001192
8,28,4,14,1,1,0,12,14,88.78718205882905
11,29,5,14,0,0,0,14,14,87.59760155464777
6,31,7,14,0,1,0,14,14,89.18342088923983
14,30,11,17,1,1,0,10,11,79.22188262695421
13,32,4,14,0,0,0,10,10,80.77267672678849
9,28,9,19,0,0,1,9,18,97.61175615036062
10,32,3,9,1,0,1,9,3,65.64599917098442
5,26,8,11,1,1,0,16,19,103.98612673067215
7,27,6,12,1,1,0,12,15,91.88404613870946
7,31,10,14,1,1,0,10,11,82.22071565703861
10,29,13,11,1,1,0,10,9,79.5579153007833
9,29,8,15,1,1,0,11,13,85.24713635090689
6,31,3,16,0,1,1,15,15,93.27892711295732
10,28,4,21,1,0,1,12,20,105.95698867007891
8,32,14,16,0,1,1,12,12,82.79861222117674
7,29,9,8,0,0,1,9,7,74.36996915813083
7,28,4,10,0,0,0,11,12,90.01185201202108
8,32,4,11,0,0,0,13,11,84.45159904243701
12,30,10,6,0,0,0,15,4,64.0164365391589
9,25,5,17,1,0,0,8,19,97.69182572077422
9,29,12,16,0,0,1,15,14,85.99465711012148
7,30,4,16,0,0,0,14,17,97.60483031848808
7,33,13,15,1,0,0,10,9,75.26141726925285
8,29,6,13,1,0,1,11,14,93.03649083635796
7,30,10,13,0,1,1,10,11,84.35273922890416
13,31,10,14,1,1,0,13,11,83.0693762475523
11,28,9,13,1,0,0,10,13,88.1049748933761
8,30,9,15,1,0,0,13,15,91.3544735358373
15,29,5,12,0,1,1,15,10,83.07962144115412
7,25,6,15,0,0,0,7,16,93.2325478909506
9,31,5,16,0,1,0,13,13,85.28513615187286
9,27,6,13,0,1,0,11,12,83.478807021335
6,28,5,17,0,0,0,13,17,93.00284493439752
3,31,6,18,1,0,1,11,18,98.85634441989508
7,31,3,14,1,0,1,13,15,95.50735501366051
12,27,2,17,1,1,0,11,20,105.02931815914984
10,32,3,14,1,0,0,10,10,79.86195026398582
6,27,1,14,0,0,0,14,20,105.30271837707728
11,27,12,10,0,0,0,10,15,96.87387281588472
9,30,9,12,0,0,0,10,10,80.99876322590029
8,32,7,15,0,1,0,9,10,78.18016741339753
11,25,3,12,0,0,0,12,16,94.39467681013228
7,33,14,11,0,0,0,9,8,75.9608077663528
10,30,6,15,1,0,0,13,14,89.77748726211004
14,30,2,13,0,0,1,11,13,89.86902270839836
8,28,8,8,1,0,0,12,10,82.1832215166099
10,30,6,13,0,1,0,13,12,84.68935823979346
13,30,7,15,1,0,0,12,14,88.364391365724
5,28,8,14,0,0,1,10,15,91.42094056989568
11,31,9,10,1,1,0,13,9,79.87591729180663
12,27,10,15,1,0,0,12,16,93.71080740867257
9,30,1,10,1,0,0,12,13,93.04502707253944
12,30,8,17,0,0,0,14,14,88.04346056218384
10,32,11,14,0,0,0,12,10,78.53742580830217
5,30,4,12,0,0,1,10,11,82.38433167631395
9,30,9,14,0,0,0,12,13,89.01829872506653
10,30,6,14,0,0,1,8,10,80.08942409140681
7,24,10,15,0,0,1,8,19,104.52577645908092
10,29,8,13,0,0,0,15,15,94.73981056616095
12,28,4,14,0,1,0,12,12,81.94048221163857
9,29,6,12,0,0,1,12,13,91.74419045292638
11,30,5,9,1,1,1,15,8,77.85058562662778
13,32,12,14,1,1,0,13,9,79.41822538953866
10,34,9,14,0,1,1,10,5,67.36110882548445
5,32,7,14,1,1,1,10,11,83.9297262871706
12,31,10,13,1,1,1,9,6,69.95322337735
12,34,3,14,0,0,1,12,8,75.70256953057958
8,30,7,10,1,0,0,12,10,80.34102507130005
10,28,7,13,0,0,1,13,12,81.68742987340224
9,30,6,7,0,1,1,14,7,77.89439468332333
6,30,11,8,1,1,1,15,10,80.23493660144504
15,34,8,15,0,0,1,9,6,71.53679768159827
11,31,6,14,0,0,1,10,12,87.033167427336
12,27,8,7,1,0,0,11,11,88.73291917595984
8,31,9,15,0,1,1,10,9,75.55958998958683
7,31,6,12,0,1,0,11,12,85.55083259806783
8,31,2,12,0,0,1,12,11,83.09832585123881
7,28,7,13,0,0,0,10,13,87.2290281750895
9,27,8,10,0,0,0,10,10,79.42877910731833
8,29,9,14,0,1,0,15,14,89.83482510576631
11,28,5,12,1,0,0,11,12,85.31648517265592
15,33,12,11,0,0,1,8,1,58.03289924979309
10,34,11,10,0,1,0,10,3,64.7400176939986
7,27,8,15,1,1,0,8,18,100.91516149128438
5,29,4,14,0,1,0,9,15,90.31615356665206
10,27,6,15,0,1,0,12,16,94.3778953229497
8,31,7,18,0,0,1,13,18,102.02378196225123
8,31,5,13,1,0,1,15,13,92.43977214006512
9,29,13,10,1,0,0,8,9,79.17785396250882
8,32,4,15,0,0,1,9,12,88.08599464471324
10,28,13,16,0,0,0,12,15,91.93215935098354
7,31,11,20,0,1,1,11,17,95.91685509981784
9,31,10,14,1,1,0,16,13,87.05328030022457
12,28,10,7,0,1,0,13,6,68.66820359195833
8,30,9,15,0,1,0,6,11,82.5042277431934
4,31,7,9,0,0,0,10,8,76.91474127803221
4,30,7,9,1,0,1,13,12,88.46823221740367
10,32,7,12,0,1,0,14,9,78.71987718218887
12,27,7,18,0,1,0,6,13,85.9164593060135
11,30,4,16,0,0,1,12,15,93.45521619911804
6,32,7,14,0,0,0,12,10,79.15861431804916
10,25,8,18,1,0,0,8,19,101.68938840848456
7,34,5,15,0,1,1,12,9,73.95857888927661
9,28,12,14,1,1,1,11,12,83.09292892829322
10,31,10,15,1,0,1,14,10,77.75696351591493
11,31,10,16,0,0,0,12,13,86.16997184979725
12,27,7,11,0,1,0,10,10,79.18674489290375
5,30,11,11,1,1,0,8,9,77.15388532708508
9,28,4,15,0,0,1,10,14,89.2880950927174
11,30,8,16,0,0,0,15,16,95.606811660077
10,29,12,12,1,0,0,11,11,86.33676114666207
12,26,1,10,0,0,0,11,14,90.98814838731228
11,30,9,11,0,0,0,12,10,80.92877436267013
8,33,9,16,0,0,0,9,8,71.79645000657952
10,27,12,20,1,1,0,10,19,99.6018122018346
6,32,5,11,1,0,0,10,9,81.83311069394958
7,30,2,14,1,0,0,11,12,81.98891542579825
7,31,2,16,1,0,1,11,13,88.62413909372452
11,25,9,12,0,0,0,12,16,94.8760997259297
5,29,8,13,1,1,0,14,15,92.26525468393912
11,29,6,13,1,0,1,16,12,83.68003754894299
7,30,11,12,1,0,0,14,10,80.22904954239661
5,29,1,11,0,1,1,11,11,83.24257121752193
6,29,9,11,1,1,0,7,7,71.42963274231629
10,32,5,18,0,0,1,10,12,83.44514142771438
11,28,10,10,0,0,0,12,12,86.22041437314536
9,30,10,9,0,0,0,13,9,78.9857340875912
6,30,11,11,0,0,1,11,10,81.08898100036318
