age,education_years,income_level,gender,minority_status,district_wealth,campaign_spending,vote_share
11,31,7,0,0,9,62,606.4941598926932
12,26,8,1,1,7,54,530.9066339552228
8,30,4,1,0,8,58,567.7085201198104
14,29,3,1,0,8,59,572.5165192148802
11,31,4,0,0,8,63,612.4501828122268
7,32,6,0,1,10,64,625.3896243135706
7,31,5,1,0,8,58,565.5902524944086
9,27,6,1,1,12,60,591.2505607167212
6,34,3,0,0,9,65,634.435255969519
6,32,10,0,1,7,60,586.0058055550703
5,29,4,1,1,8,55,535.8315901985465
13,28,7,1,0,10,58,566.220530781613
10,31,9,0,0,11,61,594.5986737136785
9,32,5,0,1,10,61,591.9488447518911
14,33,3,0,1,8,66,639.3777669270107
7,31,0,0,0,10,60,583.8326789524285
12,30,0,1,0,7,59,573.3593968363402
16,27,7,0,0,10,60,587.2409969030355
9,32,8,0,0,9,61,597.5520668433784
12,32,4,0,0,5,58,563.231049795321
5,26,6,1,0,8,55,543.1468797970961
8,27,4,0,1,11,59,579.7331891191395
8,31,9,0,0,14,62,604.7987834270623
7,28,7,1,0,8,57,561.6945137536845
5,31,10,0,1,10,56,548.4284665300578
9,26,7,0,0,8,56,553.7106039467167
12,29,5,1,0,7,61,599.007995389581
8,27,7,0,0,7,57,561.5777045878418
15,30,3,0,1,7,60,580.8233126540351
8,31,7,1,0,11,63,616.8299238051236
8,29,8,0,0,11,59,578.1975212704598
4,30,9,0,0,11,59,577.215586603688
9,25,12,0,0,6,55,548.8284132924373
12,30,5,0,0,11,62,605.4083089886993
5,33,6,0,0,6,58,564.3172745007377
14,32,8,1,1,7,61,594.0492250632678
11,27,4,0,0,10,59,577.0875175770062
13,25,11,0,0,10,57,563.6044104991264
10,31,11,0,0,6,60,589.90571095641
11,27,3,0,0,11,61,597.0231724410584
7,28,4,1,0,6,55,540.018128610162
13,28,6,0,1,6,58,570.9851127608081
4,31,7,0,0,7,58,567.8692579724909
12,30,4,1,0,7,61,597.1580146738631
12,25,8,0,0,10,57,564.38959327701
9,29,8,1,1,11,59,578.8039675660585
13,32,9,0,0,9,63,614.0081257803507
7,29,6,0,1,8,57,559.8272157341554
8,29,6,0,0,6,54,528.879856650131
11,28,6,1,1,11,58,569.340690875985
13,31,8,0,0,5,59,576.1581709146529
9,27,8,0,0,9,59,581.9471308788999
6,27,3,0,0,9,58,567.9694172314572
12,30,7,0,0,7,61,598.554760200827
8,31,3,1,1,10,59,574.1358058463537
12,28,3,1,1,8,58,565.4431343704301
12,29,6,0,0,12,61,598.0308736511084
12,29,6,0,0,8,61,598.167858198151
11,29,10,1,1,10,59,579.3397240500374
12,28,3,0,0,12,61,595.632688604337
11,28,3,1,0,11,60,586.7647937603065
6,30,9,0,0,7,57,559.4384355192723
9,33,3,0,1,10,64,617.3878904962418
13,32,6,0,1,12,62,597.4782034477919
8,29,3,0,1,10,58,565.1784469946722
10,28,3,0,1,10,60,587.3705292069296
3,29,9,1,0,10,58,568.8887878503605
3,31,6,0,0,8,59,577.9165695401
8,30,9,0,1,8,58,567.8425274710422
8,32,7,0,0,8,61,594.1000331254671
13,25,2,0,0,9,59,582.644190764211
11,31,7,1,0,9,61,596.7829921065011
3,28,7,0,0,9,57,559.8222460414719
10,30,6,0,1,10,61,595.8521154193054
11,29,3,1,0,3,58,567.077552594341
