years_of_schooling,age,gender,minority_status,local_unemployment_rate,job_training_intensity,annual_income
12,31,0,0,10,30,294.8866136726248
7,31,1,0,13,32,308.5851286012031
6,33,0,0,9,33,317.0352663746993
12,30,0,0,10,30,295.8178253214731
10,28,0,0,13,32,310.4382008797235
11,29,1,0,13,33,320.65877897913816
9,30,1,1,11,32,306.1628419829662
10,27,0,0,12,29,284.1689699165918
12,32,0,1,8,28,274.31477566169355
11,31,0,0,13,29,282.53399204155727
11,26,0,1,9,28,274.8628652155911
11,27,1,0,15,32,307.72492053414334
11,32,1,0,10,28,273.7893265301739
6,30,0,1,11,33,313.06172067088795
12,32,0,1,11,29,284.5956825356073
8,31,0,0,14,35,334.8298944450455
6,28,1,0,8,31,298.89146491307685
12,30,0,0,13,31,304.6255278247272
12,31,1,1,10,30,291.1224344282146
11,32,0,0,12,31,300.7043300974061
6,30,0,0,11,32,307.5474852912473
9,33,0,0,14,33,321.11012539873104
11,29,0,0,13,33,319.59677948663267
12,31,0,1,11,27,270.4775142989969
7,31,0,0,14,34,324.57266475239766
9,27,0,0,9,30,291.0342931779366
7,31,0,0,15,33,313.9319470291695
8,26,0,0,7,31,298.2463083454358
9,32,0,1,9,33,317.77840342190325
9,31,0,0,11,30,292.87964153249817
7,27,0,0,13,32,305.8569414345445
10,27,0,1,13,33,318.20635886427374
9,28,0,1,11,34,323.820175564572
7,27,0,0,12,35,331.7745300361058
8,31,0,0,10,30,290.8327097022112
12,31,0,0,11,31,303.9924091034244
6,27,0,0,9,32,308.00661844706525
15,32,0,0,11,29,287.99287091362885
8,32,1,0,12,33,316.6321476952557
9,31,0,0,13,34,326.60232790068835
10,28,0,0,12,31,298.8835967645154
9,29,1,0,13,36,343.04838563294084
5,28,1,0,14,37,346.2663336849705
12,29,1,0,12,28,278.0008864606268
10,29,1,0,13,30,292.26765857769897
11,31,0,1,9,31,301.0381088846046
8,33,1,0,16,34,324.38757825690016
9,29,0,1,12,32,308.2887976252001
9,28,0,0,13,31,297.4235559530089
10,26,0,1,12,29,278.7333727792579
11,31,0,0,9,28,276.2753357601307
11,28,0,0,15,31,302.3797206892386
7,30,0,0,14,36,341.76422448351417
8,29,0,0,11,35,333.4439196969989
9,32,0,0,10,31,302.9707154491009
6,30,0,0,12,34,323.6003615839989
11,30,0,0,10,30,291.92179569188744
11,31,0,0,11,30,289.4885941931236
5,32,0,0,12,35,330.94687288533794
7,27,0,0,11,32,307.978509620432
11,28,1,0,9,29,283.18210771280985
8,31,1,1,13,35,332.4259788792865
8,31,0,0,13,33,315.47145331228256
10,27,1,0,13,32,309.2387314588479
9,30,0,1,10,32,306.91169136024206
8,26,0,0,11,32,307.52918024005794
9,32,0,0,11,32,311.23752997177974
9,30,0,1,9,30,294.27519121390213
5,32,0,0,10,35,332.6185107298294
9,30,0,0,8,29,285.47577546920314
12,27,0,0,14,32,311.57930648150136
5,34,0,1,13,33,313.03399401647647
10,30,0,0,11,30,290.43124447201745
12,31,0,0,12,33,321.0224841147839
9,31,1,0,13,33,314.8023303275592
8,33,0,1,15,36,341.5319611641574
10,25,0,1,11,35,332.6481036885453
11,30,0,1,9,31,299.49858705003305
14,28,0,1,8,29,285.22537545667075
11,29,0,0,13,28,276.84388092867187
15,32,0,1,10,25,252.89882466916103
9,28,0,0,15,33,315.9350696750497
11,30,1,1,14,33,318.3383304972822
