age,education_years,previous_income,working_hours_per_week,gender,union_membership,minority_status,local_unemployment_rate,job_training_intensity,annual_income
13,32,9,10,1,1,1,11,37,361.66045806695945
10,30,5,12,1,1,1,7,34,337.16445928576906
10,31,0,14,1,1,1,10,35,349.5374930394679
7,25,8,18,0,1,1,8,29,291.18138060450786
12,32,3,13,0,0,1,8,36,358.18765891848403
11,31,12,14,1,1,1,9,31,307.31109883711605
8,29,8,15,1,0,1,9,35,345.58478727070246
10,27,4,12,1,0,0,11,35,345.46587121502347
13,27,10,16,1,1,1,10,33,325.47749316238867
15,33,11,16,1,0,1,7,31,308.5641460580268
12,29,1,9,1,0,0,6,34,337.2273698875087
10,30,8,13,0,0,0,8,36,352.94949429736295
7,30,10,9,1,0,1,8,37,362.99115062463073
8,28,13,14,0,0,1,12,32,312.10707059100224
14,30,9,11,1,1,1,11,34,338.93616242139547
11,29,9,13,1,0,1,13,38,372.64823487192166
11,30,14,15,1,1,0,9,32,316.2131174655179
13,30,7,5,0,0,0,10,39,381.9885205745593
8,32,12,16,1,1,1,12,33,324.63414178043286
5,29,3,14,1,1,0,10,36,355.4055993728635
9,30,4,16,1,0,1,10,33,330.88820964128473
7,37,2,15,0,1,1,9,40,395.20403154427055
10,28,10,15,1,0,1,7,31,309.75710612925525
5,29,6,8,1,1,1,10,39,383.12018134969486
7,28,11,10,0,1,1,11,38,369.0120834238245
7,30,5,13,0,1,1,7,36,357.36440872071586
9,30,5,13,1,1,1,5,32,320.4285403602996
13,26,4,15,0,0,0,8,33,331.5679859920284
11,31,10,15,1,1,1,9,33,326.5688571465835
7,31,10,18,1,0,0,8,32,318.3020761363253
3,27,8,15,0,1,1,8,31,307.8641816852373
6,28,5,20,0,1,0,9,29,292.40069565550016
10,28,6,13,0,1,1,8,31,308.2127666667699
9,31,9,14,1,0,0,11,36,353.8339742531163
14,29,10,17,0,1,0,9,31,309.5046711402263
12,29,1,12,1,0,0,7,33,331.2834154931674
13,28,8,10,0,1,0,9,33,327.85171291450143
10,27,5,16,0,0,0,9,31,309.1298570509533
7,31,8,12,0,1,1,9,37,361.57461551973824
5,31,8,13,0,1,1,11,37,361.8149223200072
6,26,10,13,1,0,0,6,32,316.2149620472504
14,30,9,11,1,1,1,9,35,347.2409990495021
17,32,10,12,1,0,1,7,35,348.0317833813828
10,28,4,11,1,1,0,11,38,375.17326047106576
10,31,9,12,0,0,1,6,37,363.5675999003713
10,30,1,16,0,1,0,4,31,313.8541508296559
10,25,0,14,1,0,0,13,40,394.5750049529798
10,29,11,15,1,1,0,9,31,309.01787172420507
7,26,10,7,0,1,1,8,39,382.0763710756028
9,26,9,15,1,0,1,7,33,327.6544237642853
7,29,6,19,0,1,0,9,29,291.3782029907737
7,29,7,11,0,0,0,11,39,380.3263058871832
9,26,2,14,0,1,1,9,33,328.2358521327891
11,30,1,11,1,1,1,6,33,333.1225907175524
8,31,6,12,1,1,1,12,37,362.48073179145297
10,32,5,15,1,0,1,10,33,328.5564584207044
9,31,10,11,1,1,0,6,34,337.1907149214025
11,30,11,17,1,1,1,8,30,300.7353469053434
9,29,7,11,0,0,1,12,39,380.31832948235314
10,32,12,14,1,1,0,6,32,317.2583494293506
13,29,0,10,0,0,0,8,37,367.799875378931
6,33,14,14,1,1,0,12,38,371.381999132978
7,31,3,19,1,1,0,9,32,320.69544792827406
13,28,5,12,1,1,0,9,33,328.4741944975207
2,31,13,19,1,0,1,8,33,326.63749731871053
10,32,16,15,0,0,0,8,34,335.1720272981272
14,28,6,19,1,1,1,12,30,302.71247827748823
7,29,1,17,0,1,1,9,34,340.03052613727226
10,29,2,17,0,1,0,8,31,311.0107039391912
9,25,7,11,1,0,0,10,38,372.1475728709504
8,32,4,16,0,1,1,5,33,330.0698564543557
16,27,11,18,1,0,1,9,28,281.0830514314384
11,24,8,13,1,0,1,10,36,354.8889053948444
13,27,6,16,0,1,0,14,34,335.6428590960181
11,33,0,8,1,0,0,7,39,387.6817005952153
11,28,7,12,1,1,0,10,34,336.87071305371944
12,33,9,16,1,0,0,10,33,327.7295755753054
10,28,5,12,1,1,0,10,34,337.8342295305446
8,30,13,9,0,0,1,10,38,371.4546689890151
9,26,8,16,1,0,0,6,28,283.0410463197248
7,29,7,13,1,0,0,11,35,343.44768730909664
6,31,12,15,1,1,0,10,35,343.51573993014443
4,32,1,13,1,0,0,8,37,367.7152668109882
11,28,8,16,1,0,1,11,31,307.03298625832826
13,30,11,16,1,0,1,9,31,309.38426427546574
10,28,7,12,0,1,1,8,33,328.65145750680887
9,28,10,17,1,0,1,8,31,308.8190904489289
8,29,4,16,1,0,0,9,33,328.8368364423104
12,27,6,13,0,0,0,12,34,334.75684698022246
8,32,5,11,1,0,0,10,40,392.2850404791771
13,31,11,14,1,0,0,15,34,338.5044401091059
10,27,7,8,1,1,1,8,37,364.3753819317014
8,31,11,14,1,0,1,8,35,345.2424699682572
8,32,11,12,0,1,0,10,36,354.5183035804607
14,25,8,15,1,1,1,11,34,336.2888632239049
10,25,6,10,1,0,1,8,35,347.4109020055357
13,31,8,13,0,0,1,9,35,347.58832941826364
10,27,4,11,0,1,1,8,36,354.61999766993205
7,31,4,16,1,1,1,13,38,375.73121223157415
7,31,8,13,0,0,1,10,39,380.4687394479005
17,30,11,13,1,1,1,11,32,319.19556749787324
11,29,12,14,0,1,1,8,32,317.1664509607492
8,28,10,13,1,1,0,9,35,345.8754192194356
11,30,7,14,1,1,1,10,36,354.6193476885346
10,32,5,8,0,1,0,13,40,390.3030239436106
8,27,6,11,0,1,0,8,32,317.6028634146373
15,26,17,12,1,0,0,5,30,298.0082674426496
12,32,8,10,1,1,1,9,36,354.98851670238884
11,32,5,11,1,1,1,10,37,364.99226552781215
8,31,6,13,1,0,1,9,35,348.6101062874342
11,31,4,15,1,0,0,11,32,319.52520410339383
9,31,18,18,1,1,1,8,32,316.19858668049443
13,26,7,17,0,1,1,7,31,309.2177707964239
6,26,10,13,1,0,0,9,35,343.5857662782668
5,31,7,19,1,1,1,10,33,327.3504708045092
5,28,8,14,0,1,1,16,38,372.0572249812683
10,31,12,12,1,1,1,11,36,351.083925556719
7,31,7,16,1,0,1,10,35,345.0866440494779
8,31,6,11,1,1,1,6,34,336.5442632266401
13,29,6,12,0,1,0,8,32,319.6707993548562
4,27,7,17,0,1,1,9,32,318.7907709380861
9,29,7,14,1,0,1,8,33,328.51640706723373
8,30,9,8,1,1,1,11,39,379.702109388409
5,29,10,12,1,1,0,10,34,333.280680216567
11,30,10,14,0,0,0,8,35,345.3092945906678
9,36,10,14,1,1,1,8,35,345.3988664808104
4,31,10,12,1,1,0,10,36,353.68508331957213
4,28,7,14,0,0,1,10,34,335.933172572546
8,31,6,14,1,1,0,6,35,347.0845335905896
7,28,6,19,1,1,0,8,31,310.57053677878207
9,35,7,9,1,0,1,11,41,398.88008713763867
15,28,4,11,0,1,1,10,34,336.86179478863784
7,29,10,12,1,1,1,13,37,360.3751670444862
8,28,6,13,1,1,0,10,36,356.3698686035641
5,31,12,14,1,1,1,9,37,364.2896124888333
10,29,7,15,1,1,1,10,33,328.69815747755666
8,29,5,17,1,0,1,12,34,335.3874323679878
13,27,14,13,1,0,0,12,33,322.48609097977135
12,30,7,13,1,1,1,6,32,318.3432233129772
11,29,6,12,0,0,0,7,34,337.7348126351897
11,33,8,14,0,1,1,10,33,327.6973622968412
13,30,5,10,1,1,0,12,35,345.4638756367352
8,33,12,12,0,0,0,9,35,344.099786222448
17,30,1,13,1,1,0,10,33,329.7028115896552
10,26,4,13,1,1,0,9,37,365.7243707819858
13,30,8,16,1,1,1,12,32,320.19213944364867
13,31,3,13,1,1,1,9,37,365.2732561312943
6,29,4,9,1,0,1,9,39,383.27549305512593
12,29,8,13,0,1,1,6,31,308.6301843129274
7,31,8,14,1,1,1,7,33,329.6847610631532
1,32,11,10,1,1,1,10,37,358.24488402864137
7,33,8,16,0,1,0,10,36,353.8086598651643
12,29,12,12,0,1,1,7,34,335.8015312302735
9,32,7,15,1,1,0,9,32,318.47790871739693
7,27,6,14,1,0,0,10,38,374.0668499097516
8,29,3,14,1,0,1,12,34,337.71494441382123
10,31,7,17,0,0,1,10,36,356.4833888791717
10,29,14,13,1,1,1,12,33,323.4828646015141
8,34,6,10,1,1,1,9,37,364.8919583325834
9,31,5,12,1,1,1,7,35,347.400017348824
9,34,10,13,1,0,1,9,34,338.4591521980999
15,31,9,15,1,0,1,9,32,319.9415250331021
12,29,5,11,1,0,1,11,34,338.6744883938493
12,30,9,9,1,0,0,9,38,372.1708094531388
16,32,6,14,1,1,1,13,35,344.9763946691557
6,28,13,15,1,1,0,5,31,307.5476625866175
8,32,11,16,1,1,1,12,38,372.8005033409629
14,29,6,10,1,0,1,11,37,361.6032336467447
7,30,3,12,0,1,1,9,37,366.3188715338777
13,27,11,8,0,1,1,7,33,325.4546706490419
13,28,10,9,0,1,1,8,36,351.9220046034484
8,31,8,17,0,0,1,10,34,335.86398851595686
13,30,7,14,0,0,0,10,32,318.3386324647465
8,28,10,12,1,1,0,8,32,314.4335452576306
11,28,8,13,0,1,1,8,32,318.58057977694875
15,33,14,13,1,0,1,10,32,317.00769658681065
7,28,9,10,1,0,0,8,36,355.8879152177133
7,30,8,10,1,0,0,10,37,363.3618861291917
8,28,12,17,0,1,0,6,30,297.9986688900422
10,27,7,13,1,0,1,9,35,345.5103138397965
13,30,3,14,1,1,1,10,34,339.4195079850523
7,30,13,15,1,1,0,8,33,324.88884128538507
9,31,5,11,0,1,1,6,35,348.22938714816894
5,26,5,16,1,0,1,13,35,348.5708350196972
6,32,8,10,1,1,1,9,35,343.3503403361641
7,29,8,14,1,1,1,9,34,337.5701506814456
10,29,2,19,1,1,1,7,29,292.85957103732073
10,28,2,17,0,1,0,9,29,292.6948759871168
8,30,6,13,1,1,1,10,36,357.2356197297962
14,32,6,9,0,0,1,7,37,364.9766109193434
9,30,5,12,1,0,0,8,34,337.2312627081157
13,30,8,12,1,0,1,7,29,291.44929930804057
4,29,8,16,1,1,1,9,32,321.907956038988
12,27,9,15,1,1,1,8,30,298.8439977906789
5,27,4,14,1,1,1,6,32,321.04997737884577
7,30,2,18,1,0,0,8,33,331.53344782853924
8,29,7,13,1,1,0,9,34,337.17599977950647
9,28,8,13,1,0,0,10,34,335.8690217591838
7,30,6,10,0,0,1,11,37,364.64849273246335
13,28,8,14,0,1,1,6,29,293.98147890373383
