age,education_years,gender,minority_status,rural_area,local_unemployment_rate,job_training_hours,annual_income
10,29,0,0,0,11,45,164.1945028535723
14,26,0,1,0,12,50,177.49839082696369
8,30,0,0,0,8,44,162.87811359659457
8,28,0,0,1,10,44,165.32766520295942
8,31,0,0,0,7,42,156.9290371939916
10,28,1,1,0,8,43,158.57802960958972
10,31,0,1,0,11,47,173.10759889078983
9,27,0,0,0,9,40,147.81229879696124
8,29,1,1,0,9,43,160.3755819076206
14,33,1,0,0,6,45,160.8319502530691
11,27,0,1,0,12,49,174.03692423837663
7,34,0,1,0,9,43,162.31843384640422
10,28,1,0,1,11,44,158.647472461739
7,29,0,0,1,11,46,170.51565074687042
12,31,0,1,0,7,41,151.99800315235103
8,34,0,0,1,11,45,165.93213891295545
7,26,0,1,0,14,44,163.56057438265836
10,30,0,0,0,10,44,159.9112883789726
8,31,0,1,0,9,43,163.2352939667903
12,26,1,0,0,9,43,157.26046445459468
9,26,0,1,1,9,42,157.35012281608772
8,26,0,0,0,9,45,165.97428525484042
11,26,0,0,0,9,45,163.8934769819994
13,26,0,0,1,7,46,167.28671475719432
10,34,0,0,1,12,47,168.3747775243989
9,31,0,1,0,8,45,168.42223313375607
2,30,0,0,0,8,39,153.57052615483238
18,30,1,0,0,10,50,171.2749600004847
9,32,1,0,0,6,43,159.95847774406258
6,27,1,1,0,13,41,155.07206729570456
12,28,0,1,0,8,41,151.50010775861728
17,32,1,0,1,6,48,168.87826040946484
6,31,0,0,0,12,43,160.4501831065797
11,31,0,1,0,10,49,176.89169050880255
11,27,1,1,0,12,48,175.1459528232824
8,30,0,1,1,9,44,164.03796309527186
9,32,0,0,1,12,47,174.43438716591098
13,30,0,0,1,4,43,156.21051671932753
11,27,1,0,0,10,46,170.62622815418652
8,30,1,1,1,12,44,163.1292966703497
9,30,1,1,0,11,43,162.25688436899344
11,26,0,1,1,11,46,166.99309706843448
8,31,1,1,0,8,42,156.1551949548944
10,29,0,1,1,10,45,166.1666814421667
10,29,0,0,0,9,42,153.5380408489514
5,27,0,0,0,8,41,157.64402708081053
12,30,0,0,0,9,48,172.52411355032402
10,32,1,0,1,7,46,170.3701513351311
11,28,0,0,0,8,44,161.56272974439665
11,33,0,0,0,12,49,175.53683758811323
10,29,0,0,0,9,46,169.012244258235
9,28,0,0,0,10,44,161.4744477959687
13,30,0,0,0,10,48,168.7311488519908
14,27,0,0,0,9,47,167.88912193212124
5,32,0,1,1,7,42,161.05059199845934
10,31,0,0,0,9,44,161.91930305043002
9,30,0,0,0,11,45,166.5588395248786
6,29,0,0,0,10,44,167.27244783942305
10,30,0,0,0,6,45,165.29008182551954
12,29,0,0,0,8,45,163.84351783346236
