defendant_age,judge_experience_years,sentence_length,prior_convictions,public_defender_assigned,public_defender_experience,legal_representation_hours,appeal_won
9,28,10,0,0,9,38,222.94223641562544
9,29,7,1,0,7,38,220.793988997448
10,32,10,0,0,11,37,215.5446567268768
10,28,11,1,0,9,38,223.65359854804868
4,30,11,1,1,11,34,207.60597676300387
11,30,8,1,0,10,42,237.13693154229716
8,31,11,0,1,7,35,212.54517413861487
11,32,5,1,1,13,47,260.13556436730204
7,30,6,0,1,12,42,241.1390737839332
4,31,3,1,1,8,40,230.9808301014328
10,30,4,1,1,8,43,241.75421722086995
13,30,10,1,0,11,40,229.27508739771253
7,32,11,0,1,8,34,205.58033655107587
12,29,9,1,1,11,40,233.3374618206797
13,28,10,0,0,10,38,220.09695423880504
7,30,7,1,1,7,40,232.16247264183477
9,29,8,1,1,8,40,233.53592454655265
6,27,0,0,1,12,48,269.79921908380265
8,28,2,1,0,10,47,263.03307352205144
7,30,10,0,1,12,39,230.82330645140337
6,28,7,1,1,8,36,213.83094068307403
14,29,7,1,0,7,45,253.61234581397497
7,29,2,1,0,11,49,273.14574311322167
16,33,5,1,1,10,51,277.194763311653
11,32,12,0,0,7,36,211.86914105560788
11,28,5,1,0,9,42,238.16863822912455
12,30,9,1,1,12,41,234.8307317779773
12,27,6,1,1,10,43,241.80105095675128
11,27,7,1,1,11,41,237.4704513974023
15,27,11,0,1,9,36,210.97201502267367
6,28,4,1,0,8,40,229.82242032045528
9,28,9,1,1,12,39,230.8314616450681
8,27,8,0,0,10,39,229.5163419466949
7,26,10,1,1,10,36,218.6488234402704
11,30,3,1,1,12,48,263.5286051034865
5,31,4,1,1,9,41,236.828517692723
8,29,11,0,0,8,32,194.6790898255228
11,25,15,1,1,11,33,200.93463951989756
8,32,5,1,0,10,43,243.6900378664264
11,30,7,1,0,7,42,238.62554060984584
7,30,2,1,1,11,46,259.3987208843374
13,32,7,1,1,9,44,246.7154614372973
13,30,16,1,1,7,35,212.41805239280984
10,33,6,0,0,10,45,255.30685295879147
13,28,6,1,1,7,42,239.4664098685852
12,31,10,1,0,8,42,244.7309342597565
10,33,4,0,1,10,47,262.4660815459576
13,30,8,1,1,9,42,239.65080493880916
7,31,8,1,0,11,41,238.5238307589227
6,28,5,1,0,9,40,230.41395652763333
11,27,6,1,1,4,38,221.45246240792872
7,29,8,0,1,8,37,220.91180628328885
8,30,10,1,1,9,37,215.94205609418256
9,30,7,0,1,12,40,232.01674235769357
9,29,4,1,0,13,46,256.76920961186494
11,32,12,1,1,11,36,209.9395841733563
9,30,1,1,1,11,50,277.2288156534466
10,28,8,0,0,9,40,231.2690587899581
6,25,7,1,0,12,37,217.13470061331896
7,31,8,0,1,10,39,229.7002990482897
9,28,6,1,1,14,45,255.94577799017816
11,27,10,1,0,12,39,226.6283013305252
12,27,5,1,1,8,44,251.21334900772763
13,31,9,0,0,11,43,241.3799408406058
7,34,6,1,1,11,43,244.1525952399975
14,28,9,1,0,10,41,234.3656151468005
