age_of_candidate,campaign_spending,political_experience,incumbent_status,gender,economic_condition,media_coverage,election_outcome
6,30,7,1,1,12,11,94.79192680819868
9,31,11,1,1,11,13,104.11681021648776
9,26,6,1,1,11,15,103.2320743598872
14,30,14,1,1,12,15,109.28088307788418
7,33,9,1,1,8,9,92.85874111847264
16,29,1,1,1,9,15,106.75281068119236
13,28,8,1,0,8,14,102.7454641447124
7,31,8,0,1,15,14,106.72132634946556
4,29,11,1,1,8,12,99.80988889585468
6,30,9,1,1,12,13,101.3718173723942
6,31,11,1,0,14,14,105.92014678900006
8,28,7,0,1,10,14,99.55919029341838
7,33,7,1,0,12,12,102.82216695819866
12,26,4,1,1,13,19,114.04887805454447
9,27,6,0,1,11,16,106.23045716910572
12,32,4,0,0,13,12,99.6114717145642
13,32,15,1,0,9,12,104.2755419149457
14,28,14,1,1,9,15,106.45044027490955
9,29,5,1,1,11,12,94.56823253196036
7,32,15,1,1,10,11,101.51279169880576
17,28,3,1,0,8,14,102.96460784800574
5,32,4,1,1,9,11,98.5254286077038
6,30,19,0,1,10,12,101.10852285012976
6,30,7,1,1,7,11,96.1761695216976
8,29,3,1,0,14,17,110.26076682267627
8,31,8,1,1,7,11,98.17503203084738
10,28,4,0,1,12,17,109.56612362321822
11,33,7,0,1,12,15,110.32564704547872
17,29,11,0,1,12,13,101.03495129059364
11,28,9,1,1,9,14,106.44394022787309
7,29,11,1,1,14,16,109.8223228283766
6,28,8,0,0,11,12,97.68453726144696
10,29,10,1,0,9,13,103.01189398613852
11,30,7,0,1,12,16,112.48147320310088
11,27,5,1,1,9,15,101.85341411478922
8,30,16,0,1,12,14,105.06755550402352
14,28,12,0,0,9,15,105.97419147475178
10,29,14,1,1,8,13,103.3511045220176
9,29,7,1,0,12,15,106.13340099653956
7,31,8,1,0,11,13,103.1072930029666
8,27,9,1,0,8,13,97.0788989662427
12,29,8,0,1,10,14,103.5876235198621
10,26,7,1,1,10,15,103.06477764678426
5,27,9,0,0,8,14,101.81093149961848
12,33,6,1,1,13,13,104.0583893712697
8,25,4,1,0,13,16,104.20767071033212
8,30,5,1,1,11,15,108.06494772759878
9,31,12,1,1,10,14,104.52598044827418
13,31,8,1,1,11,12,104.1149626117942
8,25,10,1,1,10,16,104.73696742561528
4,30,10,1,0,10,11,96.5244458071851
13,32,11,0,1,12,13,104.21564178040023
3,30,2,0,1,12,16,106.4681026907614
11,28,8,1,1,14,19,116.09625338999156
8,28,10,1,1,12,15,106.4718001054568
13,30,11,0,1,7,14,105.2514694098724
7,30,12,0,0,12,12,99.61128452951196
1,28,12,0,1,9,12,99.14067379208088
3,31,6,1,1,14,13,99.86665985266876
7,30,9,0,1,14,12,94.64016653760277
3,31,4,1,0,10,12,99.58689063988751
11,35,7,1,1,12,10,98.63958542562808
7,29,5,1,0,11,15,105.78503079331284
8,31,9,1,1,10,11,99.5133031485952
10,30,6,0,1,9,11,92.85538277068414
12,31,4,1,1,11,11,96.0836408551933
11,31,6,1,1,10,14,109.81857428601162
13,32,5,1,0,11,12,100.85967261701371
7,29,13,1,1,10,15,107.93793394268454
12,25,7,0,1,11,17,107.70765956726812
10,25,10,1,0,7,15,100.3083049896142
1,30,4,0,1,11,11,93.97529079948012
9,33,2,1,1,11,13,100.64667701417854
10,29,4,1,1,8,11,91.81891630857784
9,26,4,1,1,9,18,111.09467697916112
12,23,5,1,0,9,18,109.35115777279375
10,28,9,1,0,14,16,108.88779543224663
4,29,11,1,0,8,12,100.28165736725474
9,32,4,1,0,13,14,104.33367411192042
12,27,5,1,0,11,16,107.32469703238912
9,29,8,1,1,13,15,105.89091251664836
9,29,4,0,1,11,13,100.08410104767133
8,31,3,1,0,10,11,97.69333851646329
12,31,5,0,0,12,13,101.33211089995882
7,31,5,1,1,10,13,103.1401407804954
12,26,9,1,0,11,18,114.28405401163091
9,31,6,1,1,11,12,99.37000129204004
15,34,8,0,0,7,10,98.36429949013784
13,30,8,1,1,9,12,96.73489339383296
4,29,11,1,1,11,14,106.42135603145556
5,29,9,1,1,12,14,103.8719855847536
9,30,7,0,1,12,14,102.94108239801916
11,33,1,0,1,11,14,106.51292190095104
11,28,9,1,0,11,14,103.48855411421948
9,32,11,0,1,11,14,105.70449878585198
9,29,6,0,1,5,10,95.12226881653343
7,30,9,1,1,12,14,105.61249590576908
5,27,6,0,1,9,15,105.59860320668172
9,29,4,0,1,9,13,99.85912687765956
10,29,11,1,1,11,14,103.89132951188896
7,31,10,1,0,11,12,99.6222747878515
13,30,14,1,1,12,14,105.08285078898386
11,33,11,0,1,8,11,99.05595045040135
8,27,5,1,0,9,17,112.10031182856189
12,30,8,1,0,11,13,99.35322812619388
9,27,8,1,1,13,17,111.32092113396804
9,31,11,0,1,7,10,96.2321736741753
11,27,6,1,0,12,17,110.28589509512248
13,31,9,1,1,10,10,93.27758019510571
9,28,5,1,0,11,16,106.12085946993749
14,28,9,1,1,7,15,108.1870669035778
10,32,5,0,1,12,12,98.1124818282528
7,30,7,1,1,12,13,98.94001709150142
6,28,4,1,1,11,14,103.22598316169857
11,33,3,1,0,10,10,96.28452552666955
13,33,10,0,0,9,10,96.64294402325643
5,28,2,1,1,12,18,112.84596769304724
13,33,6,0,0,13,11,98.9824771544088
5,30,9,1,0,11,13,100.74579763725562
9,28,8,1,1,13,17,111.22495512202492
8,29,7,1,1,8,12,100.30683715881452
6,24,8,0,0,13,16,104.22489301458955
16,31,10,1,1,15,17,114.42362398000664
14,29,3,1,0,12,15,105.4958760590644
9,26,3,0,1,7,13,98.4102452902545
13,28,12,0,1,10,16,111.4216683238761
12,33,7,1,0,9,10,95.9408533737177
13,32,5,1,0,13,14,106.25214433882776
5,29,8,1,0,9,9,89.9372981435394
7,31,8,0,1,14,15,107.47388101486456
10,27,9,1,1,13,17,108.01102942272696
10,28,3,1,1,16,16,106.73470499981504
10,26,3,1,1,14,19,114.32679345678386
