individual_income,consumption_expenditure,inflation_rate,gender,rural_residence,trade_agreement,tariff_reduction,import_volume
6,29,9,1,1,10,75,286.6931189948833
11,32,1,0,1,13,86,315.4071895251329
6,29,5,1,0,8,75,285.6827253119383
10,30,9,1,0,7,79,302.361760374237
11,27,7,1,0,9,77,294.9500783396177
9,31,9,1,0,10,84,317.498511759534
12,30,11,0,1,13,88,330.0232284671664
10,34,9,0,1,9,87,325.41424725935053
6,31,4,0,1,9,78,294.8225668485383
9,31,2,0,1,8,81,303.0733489530192
9,30,2,1,1,9,77,289.8071372024743
11,30,7,1,0,7,78,296.5691453705872
8,32,3,0,0,7,80,300.61224379557416
7,29,8,0,1,12,79,299.34653349543515
10,30,11,1,1,10,83,315.51121129314095
10,26,5,0,1,7,79,302.3879804822283
10,30,7,1,1,7,80,301.8700074599516
14,30,8,1,1,7,83,313.1996116703752
11,30,2,0,1,11,81,299.8510907609572
6,28,5,0,1,10,74,281.3587909962833
15,24,4,0,0,9,75,281.5482133065619
16,29,5,1,0,8,82,304.73969803506554
13,28,6,0,1,11,79,295.901463626138
20,30,8,1,0,13,90,331.1549860836821
4,31,8,0,0,11,77,292.1200091304082
11,25,7,1,1,9,78,296.4196632618814
17,29,10,1,0,9,82,308.30602434749943
6,31,8,1,1,11,82,312.12456130848017
7,29,12,1,0,9,80,309.0772222570848
13,31,7,1,1,8,86,319.24438560786086
8,32,8,0,0,11,83,312.39395808275805
17,29,6,1,1,8,83,306.18751381402467
10,30,9,1,0,10,80,303.874354778485
5,29,8,0,0,6,76,295.385264986208
8,31,0,1,1,8,78,293.3195487518845
9,32,8,1,0,7,84,320.0008029557022
10,29,10,0,0,8,80,305.60302515947484
7,28,10,1,1,9,79,302.42667987719875
11,33,5,1,1,7,84,314.6176423639865
5,29,8,1,1,12,80,307.16677280765964
8,29,9,1,1,7,78,300.00169377184704
13,33,8,1,0,11,87,325.2866083307201
5,28,4,1,1,8,74,283.67779867987883
8,29,12,0,1,11,82,313.83227409332034
11,27,7,1,1,9,79,297.01901121366467
13,26,6,0,1,12,81,303.78975296417
9,27,8,0,1,12,80,302.92206655136255
9,30,7,0,1,8,80,301.44741341658084
9,30,13,0,1,11,83,318.15750140717785
10,28,6,1,1,10,79,297.52336514594566
13,28,14,0,0,3,79,305.1493796220074
10,26,10,0,0,10,78,299.0503398746752
4,29,6,0,0,9,74,282.7654453956028
7,29,4,1,1,11,78,294.6159545930984
9,28,7,1,1,10,81,308.13108743152486
9,28,8,0,0,9,78,294.34345680043134
12,30,10,0,1,7,83,314.2604910782562
9,34,4,0,1,5,82,307.42672773245283
13,29,10,1,1,12,83,312.37024788259515
10,29,4,0,0,5,75,282.3045772912587
4,27,6,1,0,9,72,279.6508965291639
8,32,6,1,1,9,83,313.59241702621773
8,33,0,0,1,7,80,296.82319181500657
12,32,12,0,1,11,90,338.5893336185349
7,28,2,1,0,9,73,276.598149750799
9,29,0,1,1,11,75,281.34418856105094
8,30,12,1,0,7,80,305.37906834612687
11,32,6,0,0,9,83,311.9621396991068
7,30,9,0,1,11,83,314.38323777448403
8,25,9,0,1,8,72,276.8283281392909
