individual_income,age,gender,minority_status,community_resource_availability,social_program_participation,social_mobility_score
6,25,1,0,8,19,127.65827999339923
3,29,1,0,8,14,100.55702088073969
10,31,0,1,7,9,81.83755103517177
10,32,1,1,8,7,70.75442281842892
11,27,1,1,7,8,75.42853220976006
8,30,0,1,9,11,89.29501377527524
10,28,1,1,7,10,88.55717400179203
12,30,1,0,7,8,76.24878561485524
8,29,1,1,6,11,91.22774516386885
11,28,0,0,12,12,93.45590694159532
9,31,1,0,9,10,84.75626090463739
9,31,1,1,10,8,73.66574682827064
12,33,0,1,9,3,53.81082679375827
5,27,1,0,5,14,104.62253898485268
11,28,1,0,4,8,75.39190553443609
10,31,1,0,7,9,78.86933926503893
6,30,0,1,10,11,88.98538147246818
16,30,1,1,7,7,74.4359672897282
10,28,1,0,10,12,94.0034844590364
9,28,1,0,9,13,100.74298125173092
5,29,0,0,10,12,93.37440701862738
9,28,1,0,6,11,89.99390808613154
12,30,1,0,5,8,78.04326762939506
6,31,0,1,11,14,104.22719026829353
8,29,1,1,9,10,82.80494339341446
10,28,0,0,9,11,91.6806956281528
18,29,1,1,7,2,49.60947395535559
11,27,1,1,10,10,84.63342926925765
12,32,1,1,9,8,79.65665356577456
11,32,0,0,8,7,73.08668146583334
4,29,0,0,7,12,92.22468415263882
8,33,1,0,7,10,85.2169077535905
7,32,0,0,7,8,76.08850757309807
7,27,0,0,8,12,94.3707318687292
8,27,0,0,11,13,96.4572119119874
10,31,0,0,8,6,66.05976398681914
6,29,0,0,9,10,85.29193898908589
10,32,0,1,9,8,73.92748870410921
7,27,1,1,8,13,101.20543524230888
10,31,1,0,7,9,81.32336649824155
13,30,1,1,11,10,89.55815187732016
8,28,1,0,7,10,84.78926462110422
5,30,1,1,7,9,80.27599210222651
9,29,0,1,12,13,100.57894096988154
7,30,0,1,13,9,79.80829147889054
12,28,1,0,9,9,82.03885194596027
11,27,1,0,8,13,99.48122970646838
9,30,1,1,6,10,86.2173773417564
16,34,0,1,13,6,71.63817132814226
14,30,0,0,5,8,79.8741447189344
11,31,0,1,6,7,74.45523093031976
12,28,0,0,8,11,92.51866237710937
12,35,1,0,10,8,81.59555434402571
11,29,1,1,4,7,71.53165147986749
