resident_age,income_level,employment_status,childcare_expense,single_parent,rural_residence,educational_attainment,policy_rollout,child_care_subsidy,child_care_access
8,28,4,12,1,0,0,9,23,151.14718190284705
13,34,14,16,1,0,0,11,28,155.20634169509472
15,30,9,13,1,0,1,9,26,149.72866348462713
13,31,3,15,0,0,0,10,26,163.5451248011306
6,30,10,15,0,1,0,4,26,158.69004585049686
10,31,5,12,0,0,1,8,25,156.08955527645983
11,23,8,15,0,1,1,8,29,166.6117185719678
16,28,2,15,0,1,0,9,29,171.1621599880214
3,26,8,13,1,0,1,9,26,159.1440850912269
8,31,6,18,1,0,1,9,26,160.10113063725507
7,30,1,13,0,0,0,7,22,150.01214666505183
5,27,11,12,1,1,0,5,22,135.4507340089159
6,28,10,14,1,0,1,13,28,165.08805966270924
10,31,8,12,1,0,0,7,25,153.27668010947806
5,32,4,18,0,0,1,12,23,154.83314154701142
9,29,4,14,0,0,0,8,26,162.9255791608698
10,32,8,11,1,0,1,9,25,149.54037357319314
6,32,4,12,0,1,1,10,24,156.6443668494928
10,28,9,15,0,0,1,10,29,168.00370783614582
13,35,3,13,0,0,0,9,21,144.4723002292283
9,32,4,15,1,0,0,12,25,159.62287567505365
6,28,7,14,0,0,0,10,25,154.67094480644727
9,32,4,13,1,0,1,12,24,156.52595927545028
9,28,8,15,1,0,0,6,24,145.2712653129975
9,25,3,13,1,1,0,10,27,164.97678652349214
9,30,7,15,0,0,0,8,26,160.04049102141724
8,31,12,14,0,0,1,9,29,168.23455809621177
12,24,5,13,0,0,1,9,27,157.97693463438011
7,30,9,12,0,0,1,10,27,159.9897956602068
8,24,4,10,0,0,1,11,27,161.4198564223703
10,30,11,15,0,1,0,10,28,163.01345614532167
2,30,10,13,0,1,1,6,24,151.44835752144309
11,31,2,18,1,1,0,9,25,164.26743331153602
5,30,7,8,1,0,0,10,24,152.92399791107303
8,31,10,14,1,1,1,12,26,154.54885320144766
12,32,1,17,1,1,0,10,23,155.68883744219625
7,29,0,19,1,0,1,13,25,167.26254426566217
11,31,10,9,0,0,0,9,24,144.16974712584678
9,32,11,18,0,1,1,10,29,167.5895592016087
8,31,8,15,0,0,0,9,24,150.0413265494723
8,30,12,9,1,1,0,9,25,147.9136328205246
9,32,7,9,0,1,0,11,23,146.37250434630047
11,30,8,15,1,0,0,6,26,156.21040864821063
12,32,8,13,0,0,0,4,25,152.85292650358423
9,30,11,19,1,0,1,9,29,171.56347411193207
16,29,5,13,1,0,1,9,28,163.92704060272868
7,26,6,12,0,0,0,12,29,173.0198010854822
12,28,8,15,1,0,0,12,29,166.31171248435203
10,26,11,16,1,0,0,9,30,168.60507346464468
9,27,12,14,0,0,0,9,26,148.68606889225578
5,32,10,16,0,0,0,13,27,165.5366781867452
10,35,8,13,1,0,1,10,25,152.12930195555458
3,31,9,13,0,0,1,10,22,144.38182008027906
9,27,8,17,0,1,1,9,25,149.5298189704156
9,27,10,13,0,1,0,7,28,163.35811961930895
9,30,5,14,0,1,1,11,28,173.24444145120782
6,30,6,11,1,1,0,8,20,134.80895466315766
7,31,9,18,0,1,0,7,26,161.31301674990243
