defendant_age,judge_experience,defendant_prior_convictions,severity_of_charges,gender,defendant_minority_status,public_defender_assigned,public_defender_experience,legal_representation_hours,sentence_length
14,31,9,12,0,0,0,12,48,441.9912527628583
8,26,8,14,0,1,0,12,49,439.1852863172498
6,33,7,12,0,0,0,7,40,372.0279205882812
10,35,10,17,1,0,0,10,48,439.35892902518464
11,32,7,15,1,0,1,10,47,430.5572504923524
8,27,7,10,1,1,0,10,42,387.5809663181046
5,32,6,10,1,0,0,12,39,362.0301361801796
10,25,8,8,1,0,1,11,45,410.6481792575852
8,27,5,10,1,0,0,12,45,406.9939369900996
8,32,11,20,0,1,0,14,55,490.8030774617992
13,26,6,14,0,0,0,11,48,435.469065393247
9,28,12,13,0,1,0,10,49,446.0392402148208
7,26,5,16,1,1,0,12,50,446.8733908195616
5,29,13,11,0,1,0,13,48,434.2156045619237
10,30,7,12,1,1,0,15,46,417.0218928017413
11,26,4,15,1,1,1,13,47,424.1532337566293
7,30,6,13,1,0,0,15,47,421.51412971634034
10,27,5,11,1,1,0,11,42,386.4908970900957
7,32,9,8,0,1,1,11,39,364.6480728218058
9,32,10,10,1,1,1,14,44,407.4447746276403
9,32,6,14,0,0,1,11,46,420.0066948793713
2,29,7,16,1,1,0,10,44,393.370902596924
11,32,10,12,0,1,0,11,45,417.057138212018
9,32,10,12,1,0,0,11,46,421.7049544934573
9,28,9,8,0,1,0,14,42,386.7108096604562
10,24,4,10,0,0,0,12,44,400.4765879626771
9,29,9,17,0,1,0,12,50,450.54573872983
13,30,3,16,0,0,1,12,48,436.5291431255847
14,31,8,14,1,1,1,13,52,470.4832058510598
10,26,6,13,1,1,1,12,48,430.30376445158015
4,31,6,14,1,1,0,11,45,406.3935832460906
12,30,7,15,1,0,0,16,52,464.6151783643433
5,26,10,11,1,1,1,12,48,431.99468442392975
6,32,11,10,0,0,1,15,46,418.150627016423
11,30,4,13,0,0,1,10,42,385.25808918331006
2,28,6,12,0,0,0,10,40,365.6674848668567
15,31,6,14,0,0,0,12,46,422.67542603457713
3,32,10,11,0,0,0,11,43,392.58230002170063
9,34,8,14,0,0,0,13,47,428.2150550374327
8,32,6,16,0,1,1,13,49,440.1124928172273
11,31,7,15,0,0,0,10,47,428.03570998448
6,32,6,14,1,0,1,11,44,400.66284289338
8,29,7,14,0,1,1,9,46,421.1029060813337
8,32,4,10,0,0,0,13,40,371.1533456070339
8,29,10,16,1,1,0,15,51,459.259782852052
11,33,7,9,1,1,1,13,44,406.372107323852
9,28,11,15,1,0,0,12,49,443.2444133826213
9,29,8,11,0,1,0,13,46,419.27091302999406
10,27,13,17,1,0,1,13,55,490.7626886394833
10,30,14,14,0,0,1,10,50,455.0864747188721
7,33,3,10,1,1,1,10,37,343.7637334021507
6,27,12,15,0,0,1,10,52,462.640348049784
11,32,8,15,0,0,1,10,47,428.218685143231
15,29,7,15,1,0,0,13,50,454.011420830679
10,32,8,8,1,0,0,13,42,389.84837292535866
6,33,7,12,0,0,1,14,44,402.00851560430806
6,27,11,14,0,1,1,9,47,426.9692320833012
11,30,10,16,0,0,1,13,50,452.3926862827523
11,26,0,14,0,0,0,13,44,396.30971579363296
10,28,11,13,0,0,0,14,49,444.2661058306144
13,32,13,12,0,1,1,10,49,453.2174052963126
4,30,1,10,0,0,1,13,39,354.8388323518881
14,33,12,12,0,1,1,14,47,434.5601465950295
11,31,13,10,1,0,0,8,45,418.4411976028082
9,31,9,13,1,0,1,11,46,419.3130203317583
11,30,3,12,0,0,0,11,43,394.18018013293033
15,25,5,18,0,0,1,12,52,468.821189646076
8,32,10,13,0,0,0,14,48,436.4783024674247
11,31,7,13,1,1,0,9,42,390.2790305502974
6,27,10,16,1,0,1,13,51,456.1680204772738
6,31,6,10,1,0,1,11,41,373.347111108404
14,26,8,14,1,0,0,16,51,462.39855466442896
10,33,4,13,1,0,0,15,45,413.4549235040368
9,31,11,14,1,1,1,14,49,445.8800773891327
7,29,12,9,0,0,0,12,45,411.2552528004835
2,30,6,8,1,0,0,12,37,343.0173734218375
6,26,6,13,0,0,0,11,46,415.14648570160347
11,30,6,12,1,1,1,17,48,434.2508446428312
12,32,14,14,0,0,1,13,48,440.0030247220404
14,31,6,18,0,1,0,9,50,452.3089849433323
6,29,4,14,0,0,0,8,43,390.5951292774428
11,25,6,14,0,0,1,9,47,422.4730515798698
10,28,9,12,1,1,0,11,47,428.9721077315656
12,31,4,7,0,1,0,12,35,334.5366101002896
10,27,10,11,0,0,0,11,41,381.9730785360815
12,27,7,13,1,0,1,9,46,419.9747608659724
9,32,9,15,0,1,0,9,45,412.5339867246868
10,29,6,18,1,1,0,12,52,466.18185179814566
15,29,1,8,0,1,0,13,40,373.2473012817352
13,30,6,11,1,0,0,10,45,415.12871097374097
13,28,10,16,1,0,0,11,50,455.678020352776
7,28,7,17,0,0,1,11,49,437.4635446971179
9,33,3,16,0,0,1,9,44,399.6641945979683
8,30,7,13,0,1,1,12,46,419.9713049860141
9,28,3,14,0,1,1,13,45,406.0783411871868
11,31,8,15,0,0,1,10,48,437.24424788057615
7,27,5,9,0,1,0,12,40,366.4760073204773
6,34,6,15,1,0,0,10,45,410.9919610526765
8,31,3,16,0,0,0,11,46,414.6949926432952
7,29,9,12,1,0,1,12,47,426.2537422813068
11,32,11,10,0,1,0,11,45,417.5438987804141
6,29,9,14,0,0,0,12,49,439.8094880282177
9,28,11,11,0,0,0,13,46,422.98507073475713
6,30,14,14,1,1,0,14,48,434.8447870907635
9,27,6,12,0,0,0,13,47,422.7502086796565
11,28,6,14,0,0,0,10,48,437.1946934964452
14,31,5,14,0,0,0,15,48,437.3912621675752
10,30,5,11,0,1,1,9,40,371.2635693810787
16,31,11,18,1,0,0,13,53,482.3627967454786
10,32,9,14,1,1,0,13,47,430.1784453727493
13,30,11,20,1,1,0,14,57,513.1814838537852
8,28,15,11,1,0,0,11,48,437.6086532273483
12,26,8,12,1,1,1,10,46,419.89956372418703
11,30,7,15,1,0,1,9,44,402.5161835696945
10,26,5,11,0,0,1,10,44,398.5604741987914
12,31,13,14,0,0,1,11,51,463.6609973752806
13,31,13,13,0,1,1,8,47,434.9780812539988
10,31,2,14,1,0,1,11,43,392.4432050140612
12,24,9,12,1,1,0,15,49,444.6081030776573
8,31,3,9,0,1,1,15,41,377.5753658113378
7,30,4,12,0,1,1,11,43,389.212986235194
7,30,8,15,1,0,0,10,46,417.5707661146082
