candidate_age,political_experience_years,campaign_spending,incumbent_status,candidate_gender,candidate_minority_status,candidate_party_affiliation,media_outlet_ownership,media_coverage_hours,election_result
10,29,7,12,0,1,1,10,55,435.1748881745644
5,28,4,6,1,0,1,6,47,376.1006862819038
8,33,3,14,0,1,0,9,56,439.5273468068158
9,28,7,15,1,0,1,10,56,442.3198134441437
7,28,8,13,0,0,0,11,57,446.9317299207488
7,30,5,13,0,0,0,4,53,420.6343181907648
15,33,6,16,1,0,0,6,58,463.6398320605227
8,31,11,18,0,1,1,10,60,472.67091512316
9,28,8,14,1,1,0,6,56,445.51604227816085
11,28,11,13,1,0,1,12,56,446.42492153194974
10,31,8,15,1,0,0,13,58,461.1355506698215
9,29,7,15,0,1,0,10,60,468.730578642917
13,29,10,14,0,1,0,6,55,439.3326306394336
7,27,11,16,1,1,0,9,58,459.8563038878284
9,29,8,5,1,1,1,10,49,393.25918769796687
8,28,0,9,1,0,0,8,51,402.95984546651545
9,32,2,8,1,0,1,7,51,407.7180117191804
6,25,10,15,1,0,0,8,57,449.39858529816087
11,25,6,16,1,1,1,8,54,427.9616457248357
7,27,11,15,1,1,0,5,57,453.0518492221193
10,27,0,11,0,1,0,11,51,402.6089667582794
11,26,6,15,1,1,0,10,58,457.512190645979
8,29,9,14,0,1,1,10,57,451.2832372513707
9,28,4,10,1,1,0,10,53,417.7638059303779
14,26,8,14,1,1,0,8,54,430.957561158389
7,30,10,10,1,0,1,6,53,424.51992700532793
13,31,6,12,1,1,1,8,52,416.0428643817015
12,33,6,18,1,1,1,9,59,469.8058760423123
10,26,6,17,0,1,0,11,57,449.0157196804755
10,27,5,13,0,0,0,10,55,433.11696000226647
8,27,7,8,0,1,1,15,54,425.9352449034988
10,30,8,18,1,1,0,12,60,473.2374834891307
11,30,6,13,0,1,1,9,57,451.8413967797508
8,26,9,14,1,0,1,12,53,423.469944284373
5,28,7,11,1,1,0,10,55,435.0496270918799
14,32,1,18,1,1,1,10,60,473.43517898012885
14,28,1,10,1,0,1,6,50,397.9600964456346
7,34,5,10,1,0,0,10,54,426.3268843735184
10,33,9,13,0,1,1,8,55,440.14764207725807
14,29,6,15,1,1,1,9,57,453.6749579813989
11,28,4,14,1,0,1,9,52,413.96494443766863
9,30,7,14,1,1,1,11,56,441.397257093086
6,28,4,11,0,1,0,10,54,423.0335025364373
6,31,4,13,1,1,0,9,53,417.0525355594048
8,30,7,15,1,1,0,9,60,471.63414758785336
11,30,13,11,1,1,1,11,54,433.4961747076081
10,30,3,14,1,0,1,10,53,422.627148844765
8,36,4,13,0,0,0,10,56,440.3113784474256
11,27,11,21,0,1,0,8,60,474.4114740128219
11,30,5,15,1,1,0,8,55,439.4058915557839
10,25,12,15,1,1,1,11,57,453.9297192890535
8,30,13,14,0,1,0,13,63,493.6298497967273
10,31,6,12,0,1,1,11,56,445.1442059732473
10,28,5,13,1,1,1,9,50,398.4231820744352
10,29,5,11,1,1,1,10,54,428.2707829114476
11,26,11,10,0,1,0,9,53,421.9710962235725
11,29,10,17,0,1,1,8,60,476.8549917937455
9,30,5,12,1,0,1,11,55,434.5111329478755
15,29,4,15,1,1,0,9,57,454.7723130130327
10,30,8,10,1,0,1,10,54,429.9046943357073
14,29,8,14,0,0,0,7,54,431.80565754993415
8,32,7,18,1,0,1,10,61,483.0675950382436
9,35,12,11,1,1,1,9,56,447.91965538652863
5,33,10,18,1,1,0,8,60,476.13567389824266
16,28,10,11,0,0,0,9,54,432.2219469451292
8,29,9,12,1,1,1,10,55,437.4267305874343
11,30,7,11,1,0,1,9,53,425.8568402267667
9,27,6,15,0,1,1,9,55,439.02592690018736
5,30,5,16,1,0,1,10,56,441.3159836600729
15,31,6,16,1,1,1,7,58,464.1447610888537
8,32,8,11,0,1,1,7,54,431.2269451385374
7,31,7,15,1,1,1,12,58,457.3825383574392
6,31,10,19,1,1,0,7,59,467.3064812937362
8,31,5,13,1,0,0,14,58,452.59428939338113
6,29,11,10,0,1,1,10,51,407.1961879670848
12,27,5,11,0,1,0,10,53,419.5712605361954
10,30,9,8,0,1,0,9,54,431.32453326677376
10,30,10,11,1,1,1,12,57,452.45361889075474
7,28,7,12,0,0,1,7,50,398.2129039052744
6,32,5,11,0,1,0,12,56,438.7034801719107
10,32,13,14,1,0,1,11,56,447.973936648464
14,33,13,16,1,1,1,6,57,460.76146274823407
8,28,8,13,0,0,0,6,55,435.470463944938
3,28,5,16,1,1,1,11,53,418.8444208780849
14,24,13,12,1,1,0,11,56,448.39461388590775
12,25,9,12,0,0,1,8,51,408.8249003546217
8,30,10,15,1,0,1,12,58,458.4855063470242
10,30,11,12,0,0,1,11,57,451.653659672467
9,31,3,9,0,1,1,11,53,419.498329299948
9,29,4,10,1,1,1,6,49,391.9409392674758
14,33,9,12,1,1,0,6,53,428.5644490008089
11,29,11,13,1,0,0,11,55,437.9598766593697
6,30,5,15,1,1,1,8,56,443.016461014728
11,26,11,12,0,0,0,12,56,444.7540405046097
6,29,6,11,1,1,1,8,55,436.59296218246766
9,31,5,18,0,1,1,11,61,476.967308120406
13,30,6,13,0,0,0,11,58,456.3646978288117
12,30,9,15,1,1,0,8,58,463.5666347961063
4,31,10,16,0,1,1,9,58,454.2457017086811
11,30,9,12,0,1,0,7,53,424.1306941326019
2,30,6,13,0,0,1,7,54,426.0238110371396
9,32,6,15,0,1,0,7,56,443.0094326237398
11,30,5,11,0,0,1,9,53,421.2921275096495
7,27,5,14,1,0,1,9,52,410.1707671843547
9,26,4,12,1,0,0,7,51,409.9644890998717
12,29,5,11,0,1,1,10,54,430.0547810507702
5,27,5,9,1,1,1,12,53,416.9917032517947
13,31,8,12,1,1,1,8,52,415.9059657401265
10,27,5,13,0,0,0,9,55,434.5137424512469
12,25,9,16,0,1,0,9,58,458.6899972398067
15,30,12,18,1,0,0,10,62,492.7660419580431
6,27,5,10,1,0,1,9,50,399.6065400608701
6,27,10,14,1,1,0,8,56,443.79993247588897
8,30,9,10,1,0,0,12,51,408.8744766056703
13,31,9,16,1,1,0,8,57,455.8083930827579
8,29,8,14,0,1,1,11,55,436.22997990372767
10,28,5,16,0,1,1,12,57,445.3395327761485
8,27,1,15,1,1,0,10,57,447.1836874660223
16,29,4,10,1,1,0,10,54,431.03040677556913
10,30,12,16,1,0,1,11,60,475.6954166337201
4,30,12,13,1,1,1,9,57,452.2926807691495
12,29,7,10,1,1,1,3,52,418.22835293495706
10,29,6,11,1,1,0,10,53,421.3791870603868
8,29,10,16,1,0,1,12,59,463.555152939905
12,31,9,16,0,1,0,10,61,482.8651469572149
8,29,12,14,1,1,1,7,55,438.2393062386532
7,28,2,15,1,1,1,10,58,454.4320132293717
9,28,9,14,0,1,0,10,59,466.5755698888846
6,29,11,16,0,0,0,10,60,472.726461236081
7,29,14,10,1,1,1,11,55,438.5439611212233
11,31,4,15,0,1,1,7,55,436.4349174412444
6,31,11,14,1,1,1,10,57,452.5944112990202
10,32,7,16,1,1,1,14,62,487.818605360344
8,30,7,13,1,1,1,8,55,436.8556910975667
8,27,11,6,1,1,1,9,51,407.4922204869028
7,31,6,14,1,1,1,8,57,448.9176757939507
9,27,7,16,0,1,1,9,54,430.25271626954736
