age,education_years,gender,rural_residence,single_parent,childcare_availability,childcare_subsidy,employment_status
11,29,0,0,0,10,36,186.37943657558665
11,28,0,1,0,6,35,183.84365831078517
10,33,0,0,0,8,38,193.8592675705341
9,27,1,0,0,9,38,196.3615139443199
12,27,0,0,0,7,33,174.38587347175215
7,29,0,0,0,6,36,184.25508135578565
8,31,0,0,1,7,37,187.45648594235223
7,28,0,0,1,5,35,182.5331908051563
11,30,0,0,0,6,31,162.4657467977088
9,30,0,1,0,8,39,201.0302621389853
16,34,0,0,0,8,33,171.57756214521044
8,30,0,0,1,7,37,188.4040437925886
9,31,1,1,0,8,37,189.1502955406134
9,26,1,0,0,4,34,182.4239534130506
3,29,1,0,1,12,44,217.57659259107533
8,31,1,1,0,9,41,206.1826307666928
12,31,0,1,1,12,38,196.7270230015202
12,27,0,1,0,8,36,193.79793070766837
9,32,0,1,0,8,38,192.09306749419005
8,29,0,1,0,9,38,192.31685255741556
11,28,0,0,0,7,33,175.57622782667826
7,30,1,1,1,6,37,187.7080210081449
10,28,1,0,1,7,36,188.8245136615733
6,29,1,0,0,8,38,192.24650778955916
9,27,1,0,1,5,35,183.9939317862316
12,30,0,0,0,5,34,178.89593025799
6,30,1,1,0,11,41,203.9862158716977
12,30,1,0,1,7,35,185.0795219511083
11,34,0,0,1,10,39,195.7401251252433
12,30,0,0,0,7,36,188.21756783445227
12,30,0,0,0,5,34,178.5626910595847
10,30,0,0,0,8,37,189.9873272015305
10,31,0,0,1,9,40,205.9236554219678
6,27,0,0,0,10,37,189.10473713953735
10,33,0,1,1,6,39,200.35372966781816
9,26,0,1,0,9,35,182.25714914468975
13,27,1,0,0,7,32,173.16300393253013
14,30,0,0,1,9,31,163.71543748629128
12,31,0,1,0,8,36,188.1006583473693
9,30,0,0,0,6,36,186.84120990481912
15,31,0,1,0,10,33,172.215372854948
10,31,1,0,0,6,37,191.37837471579687
5,30,1,1,0,11,41,206.72320863179775
11,33,0,1,0,11,38,194.76006711076775
10,33,1,0,1,8,39,200.6777671290422
-1,32,0,0,1,8,46,222.5572558176523
8,30,0,0,1,13,40,200.71990929609407
10,30,1,0,0,10,38,195.92989261104083
8,26,0,0,0,7,35,180.71006951941328
9,29,0,0,1,9,38,195.8513056203094
7,32,1,0,0,6,37,186.76651558650008
7,33,0,0,1,9,41,203.9199540207602
9,27,0,1,0,10,37,192.1352587064144
14,30,0,0,0,7,32,169.89705575995953
11,29,0,0,0,7,35,181.55848464360025
11,29,1,1,0,7,36,187.1444149255259
3,26,1,0,0,6,36,182.93485184470995
9,27,0,0,0,11,36,186.3173309337334
11,28,1,0,0,10,36,189.57212291878648
14,30,1,0,1,9,31,164.89048814399413
14,27,1,0,0,6,33,179.88838290218456
5,29,1,0,0,6,41,207.6927648256056
9,31,0,0,1,7,36,185.27818836063727
7,28,0,0,0,7,39,197.2720754564476
10,28,0,0,0,4,33,174.47279331385212
12,32,0,0,0,8,34,179.03762533949845
10,29,0,0,0,9,34,176.66107974321653
