student_age,parent_education_years,gender,free_lunch_qualified,school_quality,local_tutoring_budget,tutoring_intensity,student_performance
9,27,0,0,1,10,19,63.30650000081258
16,32,0,1,0,7,13,43.97557138089106
9,29,1,0,0,6,15,51.44055895602443
9,28,1,1,0,10,22,69.78277510702675
12,26,1,1,1,7,16,55.10294284922198
12,30,1,0,1,7,16,52.77499434025886
10,27,0,1,0,7,21,71.08389999806798
8,31,1,0,0,8,19,61.76697565184121
8,28,0,1,0,8,20,68.38619475834173
13,35,1,1,1,7,14,46.88077195905556
7,29,1,1,0,9,19,63.76949568037027
10,32,0,0,0,10,17,56.788410399333294
10,30,1,0,0,7,18,59.54832694337748
10,32,0,0,0,7,21,67.32616319458275
15,32,1,0,0,8,16,50.62812752803055
12,27,0,0,0,8,20,64.051199886769
7,32,1,0,0,11,22,65.69615887945604
5,30,0,1,1,10,21,68.19101417328957
8,27,1,0,1,7,20,68.30051703122369
9,27,0,1,0,5,18,61.66944177265918
8,27,0,1,0,7,21,68.5199216541648
10,31,1,0,0,9,19,61.45805686176518
9,29,1,0,0,8,19,62.78918253134167
13,31,0,0,1,9,17,54.89588722892839
10,32,0,0,1,6,16,57.49630419250524
11,30,1,0,1,11,20,62.674926341015706
10,29,0,0,1,10,18,59.90551114404546
12,29,1,1,0,12,20,63.54593123609174
10,31,0,1,0,7,16,56.14569093580607
10,24,1,1,1,8,18,62.43111737354469
10,30,0,1,1,10,18,60.00043738079362
11,28,0,0,0,9,17,57.57222581622215
5,28,1,1,1,10,22,72.20824591384769
14,29,0,1,0,7,13,46.4790256342102
12,31,0,0,1,8,17,59.03154899930262
9,27,1,0,1,8,19,66.18798340855669
19,30,1,0,0,11,15,46.985970191106105
4,26,1,0,1,8,25,82.68229465096091
7,26,1,0,1,7,20,66.41728552566853
12,29,1,0,0,6,17,55.47517440284091
7,31,1,0,1,9,21,68.43895762786647
5,30,1,0,1,9,20,67.78483004037084
10,28,0,0,1,12,21,67.30877943900896
7,32,0,0,0,10,20,64.70898803816117
11,30,0,0,0,9,18,57.45725514797528
13,28,1,0,1,8,18,58.63651327989791
