defendant_age,judge_experience_years,prior_convictions,public_defender_assigned,charge_severity,public_defender_experience,legal_representation_hours,sentence_length
9,33,1,0,0,10,40,359.7789855353751
5,34,0,0,1,17,42,375.0536901312648
13,28,1,0,1,12,41,370.4994555459245
8,27,1,1,1,10,38,341.5875255835176
6,29,0,1,1,9,35,315.9766638322159
3,29,1,1,1,11,36,325.4262398745287
7,31,0,0,1,11,36,325.59402076862705
10,32,1,1,0,16,42,374.8745791279056
11,27,1,0,1,8,36,330.82432233630726
6,27,0,0,1,10,36,328.4525865170151
9,27,1,1,1,10,38,342.868233208863
10,29,1,0,0,13,40,362.7593894494672
13,27,1,0,1,14,41,370.9171354590754
7,29,1,0,0,11,37,333.1189282993498
9,33,0,1,0,11,42,377.2561625317183
10,30,0,1,0,9,39,351.9898375149798
10,28,0,1,0,13,39,352.0977495999376
6,29,1,1,1,12,37,334.08682704340333
11,27,1,1,0,13,38,346.2151616348725
11,28,1,0,0,8,40,363.3298327141887
7,31,0,0,0,8,39,348.75171080071306
9,30,0,0,0,9,35,316.1783847959818
6,30,1,1,0,12,40,361.2164591782924
11,33,0,0,0,12,41,366.10767139877095
14,26,1,1,0,11,38,349.17587298323264
8,30,0,1,1,7,36,326.7901305081909
7,31,0,1,1,8,34,309.2678826196385
5,27,0,1,1,6,34,309.7658682485386
9,31,0,1,0,13,38,342.41021969913555
9,26,0,1,0,10,39,357.6093761825665
6,31,0,0,0,10,38,342.4994317338291
9,28,1,1,0,10,40,364.4592180345873
10,29,0,0,0,13,39,352.4243721805412
8,27,1,1,0,11,40,364.6420971105955
11,28,1,1,1,9,37,334.38639336746394
4,32,0,1,1,9,37,333.8490092800846
13,28,0,1,0,10,37,337.6534884758096
9,34,0,0,1,10,39,350.0583991782749
4,28,1,0,0,10,37,334.9434417593116
9,31,0,1,0,11,38,343.57496935237725
13,31,1,0,1,12,39,353.2020116822014
10,27,1,1,1,11,40,365.45655813699926
11,30,0,1,0,8,37,337.9111869051684
