candidate_age,candidate_experience,campaign_spending,incumbent_status,gender,party_affiliation,media_outlet_ownership,media_coverage_intensity,election_result
10,26,7,0,0,0,8,24,93.19258858165556
8,29,5,1,0,0,9,24,91.42280622502707
9,29,7,0,0,0,7,27,103.98977720039466
12,31,5,1,0,1,8,25,95.4625924235186
10,30,3,0,1,0,8,26,95.89093264330096
9,29,2,1,0,0,4,24,93.86630297338516
4,25,9,0,1,1,7,24,97.46628392773448
3,29,9,1,1,0,9,22,94.72879429892362
11,30,9,1,0,0,5,23,94.23656655419632
5,32,5,0,1,1,8,21,88.43959766398618
7,31,6,0,0,0,7,23,97.90829189453002
14,27,3,0,0,1,6,28,100.2065533328428
10,31,3,1,1,0,9,28,102.84333589195504
9,35,13,0,0,1,10,23,95.97561316643956
10,29,12,0,0,0,7,23,95.3975558151255
9,32,16,0,1,0,8,22,93.36414135347331
16,31,8,0,1,1,6,23,93.50477831215017
10,30,8,0,0,1,6,22,94.21941842498684
9,28,10,0,0,1,7,24,98.59631596576143
8,25,7,0,1,1,9,25,94.61650817492377
11,29,10,0,1,0,4,20,87.44264257986615
10,26,6,0,1,1,6,26,99.1667295373163
6,27,8,0,1,0,6,24,93.81661749692054
12,28,7,1,1,1,9,26,95.18156893516444
13,30,6,0,1,0,8,25,97.25484657348838
13,32,7,1,0,1,7,22,91.94946258594425
11,30,9,0,0,1,8,22,90.06723763879113
10,33,9,0,1,1,12,28,103.39775316483193
12,27,6,1,1,1,9,28,100.191662988956
5,32,6,0,1,0,7,24,98.3285491755609
11,29,11,1,0,1,8,24,94.76112361284996
11,31,15,1,1,0,6,24,95.63709006537988
10,32,2,1,1,1,9,28,101.62591245814065
13,28,12,1,0,1,6,24,94.33671637966256
7,33,4,1,1,0,7,26,100.95057784375553
4,32,6,1,0,0,4,23,98.0211761738233
13,29,10,0,0,0,9,24,94.82976253682934
10,32,5,0,0,1,8,21,90.46970043152808
13,30,6,1,1,1,9,26,95.45046432641736
10,31,8,0,1,1,7,22,91.35689738046848
12,33,9,1,0,1,9,24,94.70697800424227
12,28,8,0,0,1,11,25,95.9802276323516
13,31,8,1,1,1,8,24,94.5598118688645
8,30,8,1,1,1,4,20,83.712489205926
7,28,1,1,0,1,9,25,93.57963908187092
9,31,4,0,1,0,9,26,99.13225696758832
10,32,5,0,0,1,8,24,96.79599617670809
7,29,8,0,0,1,11,25,97.51838084017896
13,28,5,0,0,0,7,25,95.49534171128558
12,30,3,1,0,1,10,28,101.35813498963212
6,32,12,0,0,1,4,18,86.33368339805055
11,31,3,0,1,0,8,24,94.1429791325654
