age,education_years,previous_year_income,gender,rural_residence,minority_status,trade_agreement_intensity,trade_agreement_participation,annual_income
9,29,15,1,1,0,9,64,374.690155696545
12,26,6,0,1,0,13,68,405.39726802245343
10,34,10,0,1,1,13,75,435.6555820310501
7,31,10,0,0,1,9,65,376.2855523351978
7,31,6,1,0,1,5,66,390.5743402490932
8,25,1,1,0,1,12,61,366.0104114749735
9,32,8,1,1,1,11,69,404.94580544469466
9,27,9,0,1,1,11,66,389.55052922368617
9,30,7,1,1,1,13,69,406.3824367186002
6,30,7,1,1,0,7,67,398.8488398983298
6,27,7,1,1,1,11,64,379.5444278057633
11,27,6,0,1,1,11,64,379.40418272989774
5,28,8,1,1,0,12,63,369.1687342478778
10,27,8,0,0,1,12,65,385.7828972540683
7,26,6,1,0,1,10,62,370.324876944382
13,30,9,1,0,1,12,69,402.754102702313
6,31,10,1,1,0,11,67,392.2200029739273
8,30,4,0,1,0,11,69,406.0983523267868
10,32,9,1,0,0,15,72,416.8227658096308
7,32,8,0,0,0,9,67,389.19840311237056
8,30,6,1,0,1,16,69,405.61496307019263
10,28,5,0,1,0,15,69,407.7073052159333
6,23,8,1,1,0,8,59,354.8563813595107
5,31,8,0,1,0,10,69,405.4338144362191
8,29,11,1,0,0,8,64,375.1227839456644
11,27,1,0,1,1,11,70,417.2778276416838
7,23,9,0,1,1,9,59,350.1569339592469
9,30,12,0,1,1,10,67,390.9226381887009
5,28,8,1,0,0,11,64,381.20945709885103
12,32,12,1,0,1,11,67,388.5762200324818
10,27,12,1,1,0,11,63,368.92210280514826
11,31,10,1,1,1,7,68,401.0502702513919
16,29,11,0,0,0,12,67,392.4738494969636
7,31,6,1,1,0,11,68,399.171654620096
10,32,3,1,0,1,10,69,405.3515947293253
10,28,6,0,1,1,12,67,393.5105793933696
9,32,10,0,0,1,10,71,412.0315413675902
11,29,10,1,0,1,11,65,380.7246549663148
11,29,6,1,1,1,8,67,396.1351311748799
7,28,8,0,0,0,11,63,366.8665658847957
12,30,6,1,1,1,9,67,393.55476284660745
7,31,8,0,1,0,12,70,410.5420890936304
11,30,6,0,0,0,10,69,404.1284814276107
9,32,13,0,1,1,9,67,388.4229340571736
9,32,3,0,1,1,8,69,406.262927344352
5,29,8,0,1,1,12,68,399.2744872451669
9,26,7,1,1,0,15,67,398.016605821038
7,30,9,1,1,0,13,69,404.14233653974327
12,31,6,1,0,1,6,68,400.3483429773288
6,25,7,0,0,1,4,55,328.09451513335125
7,30,6,0,1,1,13,68,399.4218441451845
14,29,10,1,1,0,12,66,388.5033716440303
7,27,6,0,1,1,9,64,377.61199745460334
8,32,10,0,1,0,9,69,400.88160080875207
12,30,14,0,1,0,10,66,384.8949590627655
8,28,3,0,0,0,8,66,391.39043115593086
15,29,9,0,0,1,8,63,371.481621135736
11,25,4,0,1,1,9,61,365.4905784413273
9,31,9,1,0,1,9,68,399.5915286652681
5,31,12,0,0,0,8,66,385.1861903636679
15,28,7,1,0,1,11,66,389.8409907606896
8,30,8,1,1,0,12,67,392.710465017038
11,27,5,1,1,1,9,66,392.0273128444191
12,28,5,1,0,1,9,64,381.58901944744935
12,26,6,1,1,0,12,66,390.3634276697616
9,33,9,1,1,0,10,71,413.245989066984
12,26,5,1,0,1,10,61,362.7039584378503
11,26,6,1,0,1,13,65,381.66682910695886
9,28,4,1,1,1,9,63,375.0430970970262
9,31,6,0,1,0,9,67,390.9334905388559
9,33,8,1,0,1,10,70,406.5051239965897
13,29,7,0,0,0,10,67,393.3326781726682
10,29,9,0,0,1,13,69,400.3007111348324
8,32,8,1,0,0,9,69,402.8776305702044
10,30,8,0,0,1,13,69,403.87368633235343
6,28,4,1,0,0,12,65,383.8931687928662
11,30,9,1,0,1,10,66,385.6111013183472
13,29,9,0,1,1,10,66,386.3205949397413
6,31,8,1,1,0,9,68,398.8949554808473
11,31,6,1,1,0,13,69,404.5971525363352
7,30,8,0,0,1,11,67,391.8859051359911
5,33,8,1,0,1,8,67,392.4246192367655
9,30,8,1,1,0,9,66,389.45763069013657
9,31,6,0,1,0,10,69,403.7910113580228
11,27,5,1,1,1,9,64,379.7830388778776
9,31,4,1,1,0,10,69,408.9019759429997
11,29,4,1,0,0,8,66,389.54091816806863
4,28,8,0,0,0,10,65,382.5757693432461
8,27,7,1,0,1,9,61,361.7034435106482
13,31,6,1,1,1,6,66,388.54063337649546
9,28,7,1,1,1,9,65,385.8938320206274
12,29,11,1,0,1,12,65,381.42724999533954
1,31,9,1,1,0,9,66,386.6295610316415
4,32,13,0,1,0,12,69,399.6331965920455
5,27,10,1,1,1,8,62,365.09468300890063
11,31,10,0,0,0,9,67,390.8564655546424
7,27,9,0,1,1,11,65,384.09825017949447
14,30,11,0,1,0,12,65,376.49435931952286
7,31,10,0,0,0,13,70,407.9599103951064
4,28,9,1,1,1,9,64,377.937600067326
13,29,11,0,1,0,17,70,407.50141790221807
11,26,8,1,1,1,9,62,368.989552539657
14,24,18,1,0,0,9,60,350.58602307214545
5,31,13,0,1,0,11,66,381.9194725579918
5,33,8,1,1,1,11,69,403.0463382728849
12,31,3,0,1,1,11,68,399.9930985029276
12,29,5,0,0,1,10,65,384.3549567711104
12,32,6,1,1,1,12,70,410.9240809108562
9,31,9,1,1,0,13,70,411.2827354031687
7,28,7,1,1,0,13,65,382.22389153813697
8,28,8,1,1,0,12,66,387.9446308753552
12,30,8,0,1,1,9,66,388.30521818515984
11,29,7,1,1,0,12,67,395.02502178504267
8,32,9,0,1,1,10,69,404.219032749852
6,32,11,1,1,0,11,69,401.6873289781335
6,30,7,0,1,0,11,67,394.7767450585701
15,30,7,0,1,1,10,66,387.9651262127935
11,35,8,0,1,1,10,72,417.7539970949247
7,33,10,0,1,1,5,68,394.6093292689256
12,30,8,1,0,1,13,69,403.5992240863335
13,31,13,0,0,1,10,66,380.6485710801205
9,28,11,1,1,1,7,64,376.5613857056741
8,27,7,0,0,1,9,64,379.2502555163095
6,27,14,1,0,1,8,61,358.1298612538753
12,31,8,0,1,1,12,69,404.0452222558597
11,29,7,1,0,1,12,66,386.49169897205786
8,29,4,1,1,1,9,67,400.2008332199535
12,31,8,0,1,1,8,68,397.830423235582
6,28,6,1,0,0,13,65,384.5143742140168
11,30,6,0,1,0,8,69,406.20421209280994
11,29,6,1,1,0,9,68,401.07881647204334
6,30,4,0,1,1,11,68,401.3542793202786
9,31,7,0,0,0,9,68,398.1726793058528
12,32,5,0,1,1,10,70,410.1559930689738
11,29,11,1,1,0,10,66,386.286175343363
9,27,13,0,1,0,11,64,375.5815648221966
14,29,3,1,1,1,7,65,387.59820245532575
5,29,4,0,1,1,10,66,389.8890364051832
10,29,7,0,1,1,12,67,392.5338680696375
9,28,6,0,1,0,12,65,383.948505005286
13,27,14,1,1,0,10,63,364.7825334558425
10,29,8,1,1,1,10,66,389.0022073374743
4,29,2,0,1,0,10,67,398.5871269288874
7,25,9,1,1,0,9,60,357.51589072215444
10,29,7,0,0,1,12,66,385.4118880322519
12,24,6,1,1,0,11,62,367.3197483237968
12,25,10,1,1,0,8,60,354.9017961243831
12,29,5,0,0,1,8,66,390.6059338745116
10,32,5,1,1,0,9,70,410.6485151107135
11,33,14,1,1,1,9,69,398.7149168315582
6,31,6,0,0,0,12,70,409.7943135836783
