age,education_years,single_parent,rural_residence,gender,local_childcare_availability,childcare_subsidy_received,employment_status
8,28,1,1,1,8,46,191.20243777834668
10,32,1,1,1,15,56,223.07265349724443
7,29,1,0,0,10,49,197.4914496111305
11,30,0,1,1,12,53,211.93871255926635
8,29,0,1,0,11,50,203.72559754337837
7,29,0,1,0,12,50,201.53189387845563
7,28,1,1,0,10,48,195.70474898655965
12,28,0,0,0,14,51,205.94467253844692
11,31,1,0,1,13,51,205.8358665616651
7,33,0,1,0,14,56,222.2842039439708
7,29,1,0,0,10,47,190.95582939008756
9,32,1,0,1,10,52,211.3617160578534
11,31,1,1,1,9,51,206.4082540667946
6,28,1,1,1,11,52,206.99068417001956
8,29,1,1,0,10,52,210.09610092212327
13,30,1,1,1,7,52,212.81411387742008
9,30,1,0,1,12,54,215.8124116309385
8,30,1,1,1,10,50,202.36083099497029
12,26,0,1,0,10,52,207.1061217557972
15,32,0,1,0,16,59,232.01501981381847
11,29,0,0,1,9,51,208.3835832955203
14,30,0,1,1,11,53,214.86973981597853
10,29,0,0,1,16,52,207.8147197722649
10,30,1,1,1,11,50,199.36191654646757
11,30,0,0,1,14,53,210.60336652240304
7,29,1,1,1,10,51,205.2724337357205
8,30,0,0,0,11,50,204.65315285106504
3,31,1,1,1,13,51,205.4763471504103
9,30,1,1,1,10,52,208.99581771812936
7,30,1,1,0,13,53,210.6019996165082
9,25,1,1,1,13,50,197.60695696228169
11,30,0,1,0,9,51,206.5069085366367
8,28,1,0,1,8,46,186.94950718105463
4,29,0,1,1,13,48,193.43114081869868
6,31,1,1,0,10,51,204.62131182900933
11,30,1,0,1,12,53,212.96872157547924
10,30,1,0,0,13,49,195.7951758473123
12,26,1,0,1,11,49,201.20888085568856
8,28,1,1,0,9,51,205.21836870672576
11,30,1,1,1,13,53,212.81794663316504
11,28,1,1,1,8,50,200.8153924631129
10,29,1,1,0,12,53,210.74611597324784
8,29,0,0,0,12,51,202.8237301643821
12,26,0,1,0,11,49,198.01766963477613
7,27,1,1,1,13,52,208.7979265109221
12,29,1,0,1,12,53,211.78983199950343
12,30,0,0,1,15,51,206.17045458655824
9,30,0,1,1,15,53,213.98734356124592
8,28,0,1,1,9,50,204.775571902131
11,33,1,1,1,10,52,210.74253953545272
8,31,1,0,0,13,51,202.96069482372096
7,30,1,0,1,10,49,200.4453526502552
3,32,1,0,0,13,50,198.8172392220695
12,32,1,1,0,10,52,208.6955678038608
8,31,1,1,1,9,51,208.0797287380433
11,31,1,0,1,11,53,216.36323887669067
9,26,0,0,0,12,50,199.31602813416148
9,31,1,1,1,10,49,198.4791387672675
8,31,1,1,0,13,52,207.3713378643302
12,28,1,1,0,12,53,210.12431471860305
10,31,1,1,1,8,50,204.0700455237941
7,28,0,1,1,11,49,198.15385192765632
7,30,0,0,0,14,53,207.97438699835504
4,27,1,0,1,10,49,198.9194245602776
10,29,1,0,1,14,53,208.2564205232802
9,28,1,1,1,11,50,200.88339581335316
5,30,0,1,0,13,51,203.86653303106337
10,29,1,0,0,13,53,210.828452625198
7,33,0,1,1,10,50,201.938935972297
7,26,1,1,0,11,49,196.5912885806952
8,31,1,1,1,9,52,209.9355729700096
9,28,1,0,1,12,53,209.77912835084007
2,31,1,1,1,13,52,205.25643621115856
10,27,1,0,1,12,50,201.3822130635323
8,31,1,1,1,11,52,208.7708538936232
9,25,1,1,1,11,47,191.4838270500077
11,32,1,0,1,10,53,215.32600861317383
16,33,1,0,1,14,57,227.52924361966265
7,31,1,0,0,12,53,209.3473909063977
7,30,1,1,1,12,51,203.8538321486708
11,26,1,0,1,11,51,206.05791170004025
4,28,1,1,1,10,51,207.958033593459
10,26,0,0,0,12,51,204.57366024604767
6,31,0,1,1,14,52,207.0411855716983
11,27,1,1,1,11,48,194.17975535560507
8,27,1,0,0,9,50,199.06840662026696
9,31,1,0,0,12,51,203.29194043361957
10,32,1,1,0,10,52,208.59722895290844
10,34,1,1,1,10,54,218.90439547288148
13,34,0,1,0,10,56,223.4260680705464
13,28,1,1,1,9,50,201.4011837272903
9,25,1,1,0,14,51,202.6331006261342
7,28,1,1,0,16,55,217.77501365453816
8,30,0,1,1,11,50,201.67112952128792
10,30,0,1,1,17,54,213.58798892719207
6,28,1,1,1,12,51,203.87182837077117
15,29,0,1,1,10,52,209.692725882804
14,26,1,1,1,14,51,206.41735350393236
4,29,0,0,1,10,48,196.06141768240465
8,27,0,1,1,12,49,199.27177799091976
13,30,1,1,0,11,51,208.0435479679
7,29,1,1,0,10,52,210.0942145123589
9,28,0,1,0,12,48,194.0306251132856
