student_age,parent_education,school_quality,household_income,gender,minority_status,local_tutoring_budget,tutoring_intensity,student_performance
9,31,7,13,0,1,11,42,449.9555732363329
7,28,5,17,0,0,14,42,453.5357727367478
12,31,6,9,1,1,9,42,453.887209812876
10,29,11,11,1,0,9,43,463.26283177165726
14,33,4,15,1,0,11,42,454.4965614077647
9,27,4,14,0,1,10,41,442.4422470322795
15,28,8,12,1,1,11,42,450.4046910333117
11,29,7,13,0,1,12,42,452.3909106482781
11,31,3,14,0,1,11,41,442.00962340826334
8,29,5,10,1,0,10,43,463.5374288139443
8,33,5,16,1,0,12,44,473.426343372744
10,32,10,14,0,1,13,46,493.0940031251699
11,31,6,12,0,0,17,42,448.6530943763668
9,28,3,9,1,1,9,42,458.5562786745836
7,37,5,19,1,1,7,41,444.10375129674776
10,28,11,9,1,0,14,44,475.1444151113396
5,27,12,12,0,0,16,47,503.03412148988224
12,28,7,11,0,0,7,39,422.761323659948
8,29,3,10,1,0,11,40,434.7758679697125
5,31,8,13,0,0,14,43,462.8946948703504
6,30,4,12,1,0,13,42,452.875708367059
13,32,4,11,0,1,11,42,453.14073367723
12,31,9,8,0,1,14,46,492.565796288797
7,27,7,10,0,1,12,41,443.92861924381225
11,28,5,16,1,0,15,42,451.3489046886288
8,31,8,13,1,1,13,45,485.2906741905069
5,33,7,16,1,1,12,45,483.5500995968373
10,33,2,12,1,1,12,41,440.69818009418793
9,29,6,8,0,0,10,41,442.4103962536946
12,26,10,14,0,1,12,43,459.1226077321732
3,33,5,19,1,1,9,42,451.9354450862188
11,27,2,10,1,0,12,41,445.5577885969408
13,29,10,11,1,1,12,45,481.2071561248071
13,30,12,12,1,1,13,45,483.06136380579886
8,29,8,11,1,1,11,43,463.9401442788406
8,30,7,11,0,1,10,42,453.8024963802179
10,23,3,15,0,1,10,37,403.9343498051172
8,30,5,14,1,1,13,44,472.5711352206509
8,27,5,16,1,1,12,44,473.273099045805
10,29,13,18,1,0,10,42,449.1765276308613
12,30,12,12,0,1,10,43,461.688898177596
9,30,9,16,1,1,11,43,461.8016079656835
6,29,3,12,1,1,10,40,434.9102466845539
12,33,8,13,0,1,14,48,513.8125006812236
13,34,5,17,0,1,8,42,450.1438319491015
7,33,10,13,1,0,13,47,503.1204147920248
8,28,10,13,1,1,10,42,454.4297545410455
6,27,9,17,1,0,11,41,442.8917013992268
8,28,4,13,0,0,10,41,443.8666327728552
11,31,8,17,0,0,10,41,443.1186552633366
12,27,3,12,1,0,18,42,452.43397934067855
13,30,5,11,1,1,13,44,474.0028027664666
14,32,5,15,0,0,11,42,452.4479515610687
11,25,5,10,0,0,11,40,431.5665613923399
5,32,9,10,1,1,13,44,475.76155924586055
10,30,6,13,1,0,12,41,443.52371537836297
11,32,7,12,1,1,14,42,450.3175157454794
13,32,7,13,0,1,12,43,460.0295523254939
6,33,14,14,0,1,11,43,459.7272005027405
2,30,9,10,1,1,14,44,473.8009532866544
8,28,10,13,0,1,13,42,451.5163045839365
11,32,7,14,0,1,13,43,458.2130635292052
9,28,5,11,0,1,9,40,430.6990981478001
8,29,12,14,0,0,11,42,451.1146282360594
13,34,2,15,0,0,8,37,399.8189440210535
6,30,4,14,1,1,13,41,444.2496122182869
3,31,8,14,0,0,10,44,474.8746674075319
10,28,11,17,0,1,10,42,448.1690043640649
11,30,10,16,0,1,11,42,448.45914046394
12,30,6,15,1,0,15,42,452.9522896681916
7,31,12,15,0,1,11,44,471.90230165929
10,30,5,12,0,0,14,42,452.4019893401514
6,28,5,11,1,0,10,40,435.86041017204894
10,32,12,17,1,0,13,47,503.0940693068851
11,34,9,17,0,1,11,44,471.7413625500313
6,32,9,11,0,1,14,44,470.9966846787541
9,29,5,16,1,1,11,41,443.67282940360906
12,26,8,13,1,1,10,41,440.61395642217417
8,26,8,11,1,0,11,40,434.33157716453496
10,32,5,12,0,0,9,40,433.0432129816843
6,30,4,14,1,1,12,42,451.6782624224086
8,28,1,13,1,0,14,40,433.7545432076738
8,26,11,11,0,1,13,44,472.0238149683527
14,32,7,13,1,0,9,41,441.8476189686947
7,34,9,15,1,0,12,42,453.2277285414601
9,28,6,14,1,0,10,37,403.0846012778861
4,31,4,15,0,0,9,40,434.3174339813185
11,33,11,18,0,1,11,44,470.867008547756
14,34,6,12,0,1,15,45,478.0558362200799
8,31,8,15,0,0,13,45,481.30468329968846
5,27,10,13,0,1,12,41,443.3062649878685
13,27,11,16,0,0,11,44,472.7027572550811
2,29,10,15,0,1,13,45,485.0321898024332
10,28,16,11,1,1,10,46,494.082042000269
13,32,12,12,1,0,14,45,483.45903923863847
11,27,8,14,0,0,13,44,472.2711150213648
9,25,1,16,0,0,11,38,412.59805377356776
15,30,6,15,1,1,13,45,482.43340038559376
10,29,8,13,1,1,11,42,451.79471455322266
6,27,6,11,1,1,12,41,444.8168396529839
8,27,5,12,1,1,11,42,456.4334429043755
6,31,8,14,0,0,14,44,470.8902786826834
9,32,4,11,1,0,13,43,464.1404740040608
9,29,8,11,1,0,14,45,485.6894005975042
10,31,7,10,1,0,10,43,464.5055649977343
9,26,8,4,1,1,13,43,464.9418829590228
5,27,9,10,1,0,13,46,495.2578015145681
11,30,9,14,0,1,11,44,473.2627382755203
9,30,8,14,1,1,11,41,442.6457673892896
10,28,10,13,1,1,14,42,451.68087228487417
10,27,7,12,1,1,11,43,462.279460623036
9,27,6,13,1,1,10,39,421.2109668340821
10,31,6,17,0,1,6,39,422.2814175620656
5,30,8,12,1,0,13,42,453.341949587948
10,33,5,13,0,1,11,41,440.70743954517474
9,26,7,13,0,0,12,43,462.5971139954476
6,32,1,9,1,1,13,41,446.1805629326725
10,30,11,17,0,1,11,45,477.63538279585583
9,34,12,18,1,0,9,44,475.0117506499946
12,27,11,16,1,1,12,46,494.3039341980036
10,32,5,12,1,1,12,43,462.0738997810831
6,27,11,11,1,1,10,41,441.9063644722358
10,33,9,14,1,0,13,44,472.9086111164808
14,31,6,17,1,1,12,41,441.8411100346037
7,30,5,14,1,0,9,41,446.90945669507295
8,27,7,15,1,1,12,41,440.3225971751937
11,31,10,13,1,1,15,44,472.73750830942106
6,27,8,16,1,0,11,40,431.3519229309047
8,32,4,11,1,1,12,41,442.6027188432207
9,31,7,11,1,1,10,41,444.219463759423
10,33,7,13,1,0,14,44,473.0284454157699
11,31,12,15,1,1,12,45,480.5354937538541
7,29,12,11,1,0,12,44,471.47833893245087
13,31,13,10,1,1,8,43,462.4779790361768
7,31,6,17,0,0,7,41,443.2815225372245
10,32,5,16,0,1,12,44,472.1213018934522
6,28,6,11,1,1,11,41,445.7428353045413
8,30,10,14,1,1,6,40,432.8830426167463
12,27,5,15,0,1,13,43,462.6034896574252
9,28,3,12,0,0,13,42,454.5649285403225
5,32,9,14,1,1,13,48,514.2180177242125
9,30,9,11,1,1,10,43,462.7258070202609
6,32,8,13,0,0,12,42,451.690845552563
7,31,15,13,0,0,9,40,428.9151559944515
6,31,6,19,1,1,8,38,411.6941850818319
13,28,9,9,1,0,8,41,444.0629398380457
9,28,3,10,1,1,11,43,467.1372867756442
9,32,7,19,0,1,13,43,462.126028431196
10,28,4,10,1,1,9,39,425.8315487982413
11,32,8,9,0,0,7,41,441.7213424598543
10,33,11,17,1,1,10,45,480.7311087772625
10,24,9,10,1,1,12,42,453.82450186029735
9,30,12,12,0,0,11,44,469.2308964166676
8,31,7,17,1,0,13,45,482.6824120464213
6,28,6,14,0,1,11,42,453.66556257688
10,23,12,13,1,1,12,41,441.56062012083896
9,31,14,16,0,0,14,47,498.8606554677508
11,28,5,16,0,1,14,45,482.2478617190889
7,29,9,13,1,1,12,46,493.0506389214384
11,29,14,11,0,1,9,44,470.3128047590432
7,32,6,13,1,1,13,43,463.9654736134323
9,28,6,18,1,1,13,43,462.1401880569173
10,28,16,14,1,1,13,44,469.36882222955234
10,31,6,13,0,1,13,43,460.4686305601544
13,26,6,12,1,1,12,40,432.4331765205934
6,29,10,16,1,0,14,47,504.8183631656742
