individual_age,education_years,gender,rural_residence,minority_status,local_childcare_availability,childcare_subsidy_received,employment_status
11,29,0,0,0,10,40,187.4278256784776
10,31,1,1,1,6,39,187.5069664406444
5,32,1,0,0,8,43,203.28821676292327
13,31,1,1,1,7,39,185.32324430659276
14,31,0,0,0,6,35,173.11339679083164
12,28,1,0,0,4,37,179.31953305574348
13,28,0,1,1,5,38,182.8213396681456
9,28,1,0,0,6,36,175.32958613042834
12,24,0,0,0,5,37,177.2700361593249
9,28,0,0,1,7,37,180.88831771735548
14,29,0,0,1,6,35,173.4836723760799
9,31,0,1,1,6,39,186.3065607685786
12,30,1,0,1,4,38,185.7002658395209
9,27,1,0,1,10,42,198.3965046068737
12,34,1,0,1,9,41,194.5724552430798
5,29,0,0,0,7,40,193.16572637335847
11,29,0,1,1,7,39,187.2678119231372
14,31,1,0,1,7,39,186.83101129826852
5,31,0,0,0,10,43,200.59515152266755
12,30,0,0,0,7,39,186.04658647366116
12,32,1,0,0,8,41,193.8205736235484
9,30,1,0,1,7,40,194.61059531111763
11,26,0,0,0,11,39,183.49118856573185
12,28,1,0,1,9,38,182.0659202271193
6,31,1,1,1,9,42,198.21842083918008
10,30,1,1,1,10,40,189.73779088259255
11,30,0,1,0,4,36,177.6845920629911
9,32,1,0,1,7,41,195.83162724557985
9,28,0,0,1,11,42,197.66740572618903
10,25,1,1,1,7,37,178.17507216559974
11,29,1,1,0,4,39,186.59579134753957
17,23,1,1,1,6,36,173.74260547963365
6,28,0,0,0,5,38,182.58154859087915
10,27,0,1,0,11,41,193.5382926890538
7,31,0,0,1,7,39,189.4454317053219
12,32,1,0,0,7,39,184.32886140376948
11,29,1,0,1,6,37,181.29414462933
4,31,1,1,1,8,40,189.93161217736628
10,29,1,0,1,4,37,179.57750323548123
10,29,1,0,0,5,37,178.72179570219166
4,31,1,0,1,6,40,191.20527750681785
2,27,0,1,0,9,39,184.71199947465203
15,30,1,0,1,9,39,186.3996303064136
10,26,1,1,1,10,41,195.169898074115
8,28,0,1,0,7,39,186.00410079526583
14,27,0,1,0,6,36,176.1212997546462
15,29,1,1,1,2,37,181.0789390880273
8,25,1,0,1,7,37,178.17663502978428
5,31,0,1,0,6,41,195.05360170347572
9,30,1,1,0,8,38,182.49562844962745
8,33,0,1,1,6,40,189.73306325051183
11,29,1,1,1,6,37,181.34334372706653
9,29,0,0,1,8,40,192.260136979402
6,27,0,1,1,4,36,177.07603031145902
9,26,1,0,1,7,39,187.98827552763905
5,29,0,1,1,7,39,190.3015355742022
9,25,1,0,0,3,36,176.5314959703095
5,29,1,0,1,6,43,202.2884164703177
11,31,0,0,1,8,42,196.23153637306555
13,32,0,1,1,8,41,196.40442675013463
5,35,1,0,0,9,43,202.780073804538
13,33,1,1,1,8,41,195.6190395595695
7,28,0,0,0,9,40,193.00986390033532
10,28,1,1,1,6,39,186.2303987743093
11,28,0,0,0,10,38,178.9663301426458
8,30,0,0,0,9,38,179.30495692065892
14,30,1,0,0,11,39,186.6892677662973
9,33,0,0,1,9,41,199.05476957000656
7,30,0,0,0,8,39,188.05919945991823
6,28,0,0,1,9,40,190.4473498023296
8,28,1,1,0,7,37,179.94696591731616
6,26,0,0,0,9,39,185.9857588887871
5,32,0,1,1,8,42,198.32979277924431
14,27,1,1,0,10,40,186.36124292362936
10,31,1,1,0,10,42,197.1262414260132
6,31,1,1,1,6,38,182.55648034981417
9,28,1,1,0,5,38,180.88152091834937
11,31,1,1,1,7,38,186.67659227726784
11,28,1,1,1,8,41,193.5177767000304
15,30,1,1,0,8,36,174.6725562521336
11,31,1,1,0,5,37,178.00158683381335
12,31,0,1,0,5,39,188.491077900284
12,32,1,1,1,7,39,189.51669576201
11,30,0,0,1,10,40,191.32458258733448
9,30,1,1,1,7,39,185.02836595624677
10,28,1,0,0,8,41,195.2358002553924
8,32,1,0,0,6,40,194.16035449758795
8,28,1,0,1,8,39,186.14698201702456
7,32,1,1,0,10,42,197.3353849319964
10,27,1,0,0,6,36,173.10674183572843
8,27,0,0,1,8,37,179.12353642917924
14,28,1,1,1,3,36,176.48625563102684
7,24,0,0,1,6,39,187.4104928220217
7,30,0,0,0,9,39,185.8363490843379
9,32,1,1,0,6,39,188.50438195288413
14,28,0,1,1,4,39,190.07889221543044
7,29,1,0,1,6,39,189.16108253827565
12,30,1,0,0,10,40,188.3204207638697
8,27,1,0,0,10,38,180.34622304761317
16,29,1,0,1,10,40,190.11220680631655
4,28,1,0,0,7,40,186.90979203744735
11,25,1,1,0,5,37,177.39457767367276
8,32,0,1,0,7,42,196.63297859455972
15,33,1,1,0,8,40,190.6225465644869
9,28,1,0,0,10,42,195.96847435093477
6,32,0,0,1,8,41,196.830953660317
9,27,0,1,1,8,39,186.4374105559592
8,30,1,1,1,11,44,204.1644346228136
10,32,0,0,0,8,38,185.6667608393298
10,31,0,0,0,6,39,186.85744573639076
12,31,1,0,1,9,40,190.47588453176243
10,28,1,0,0,8,39,185.4662985661081
14,27,1,0,0,6,35,167.64893545188662
14,25,0,0,0,10,39,182.5454884917611
10,27,1,1,1,4,38,184.7103873592475
5,29,1,0,1,8,41,195.8977313372138
12,31,1,0,0,6,39,188.07133436636764
8,29,0,1,1,7,40,191.9602648366273
11,31,0,1,0,9,39,187.21154737270933
10,30,1,1,1,7,39,186.8396996656505
13,30,1,1,1,8,37,181.21846737321027
9,27,0,0,1,8,41,193.0105083650728
11,28,0,0,0,9,40,192.0389398993987
9,32,1,0,0,6,41,195.3697567573886
12,30,1,1,0,8,37,178.78675470752057
9,30,0,1,1,9,40,193.0851643996433
11,32,0,0,0,7,39,187.89492482934375
6,30,0,0,0,8,42,198.95178812860257
10,33,1,0,1,8,41,193.4564972379937
7,31,1,1,1,6,38,183.7970416550567
8,29,1,0,0,6,39,188.5271581109216
8,29,1,0,1,10,44,204.55810017250988
10,29,1,1,1,6,40,192.37321757679533
11,29,1,1,1,4,37,182.53463874366832
8,28,1,1,1,4,39,186.75417745436104
10,29,1,0,0,9,40,190.00393527034143
6,30,0,0,1,7,41,197.1374497022647
7,30,0,1,0,8,41,195.03193730087963
10,27,1,1,0,7,39,183.82847391786248
7,29,1,0,1,7,40,193.9977975409022
4,28,0,0,1,7,41,198.8316414941672
9,28,0,1,1,9,42,199.10734505703448
7,30,1,0,0,10,43,199.75905096425328
5,26,1,0,1,9,40,189.22923455244745
9,27,1,0,1,8,40,190.0596026088121
6,27,1,0,0,6,39,184.91122900420584
12,26,0,1,0,11,41,190.0030330956092
12,31,1,1,0,6,38,183.06417745279015
7,29,0,1,1,8,41,194.24426810215405
8,31,1,0,0,6,40,192.3804859924001
10,28,1,0,1,14,42,195.9183605704189
11,32,0,0,0,10,41,196.95331447335863
10,29,0,1,1,5,36,177.81766584038243
6,31,0,0,1,6,43,203.6382543495868
7,33,0,0,0,5,40,192.98103042924373
5,29,1,0,0,5,40,189.4481486912839
12,31,0,0,1,11,41,194.46001597866
5,28,1,1,1,9,41,193.40399300317
8,33,0,0,0,8,40,193.04675817847783
8,31,0,1,1,6,39,189.7607677537935
7,29,1,1,0,3,39,188.1166290221055
6,33,0,0,0,10,42,197.45112226556307
6,32,1,1,0,8,38,181.54652474057897
9,29,1,0,1,8,42,200.9795051901238
8,32,1,0,1,5,39,191.59289946564888
10,28,0,1,1,9,39,183.2507778964052
13,27,1,0,1,11,40,188.1294509566028
7,31,0,0,1,6,39,188.72974952211075
6,27,1,1,1,9,43,200.7930089580761
8,28,1,1,0,10,41,193.61497569024803
10,30,0,1,0,10,42,198.4626198520772
13,32,0,1,1,8,39,187.84662630829612
7,27,0,0,1,10,40,191.71755350915143
14,30,0,1,0,6,37,179.87576603168162
10,28,0,0,0,7,38,183.10014921161795
5,29,1,0,1,6,41,195.26718695072967
7,25,1,0,0,10,39,184.7011678221278
12,28,1,0,1,8,38,183.0358604330279
9,29,0,1,0,10,41,193.25169110109883
6,29,0,0,0,8,37,178.4609810873912
9,26,0,0,0,8,38,182.03972645732964
10,33,1,1,0,10,41,194.49728139207764
7,33,1,1,1,10,44,206.5651834876564
7,28,0,1,0,8,39,188.87034258806207
8,30,1,1,1,6,38,182.8674503128452
11,29,0,0,0,8,41,193.5564444506849
4,30,1,1,0,9,44,205.87046286203596
6,28,0,1,0,7,40,186.7077817046601
9,29,0,0,0,11,41,192.11965855996223
11,28,1,0,1,5,35,171.45977187758828
10,28,1,0,1,11,43,199.2296807194659
