plaintiff_age,defendant_age,judge_experience_years,plaintiff_gender,defendant_gender,public_defender_assigned,legal_representation_hours,trial_length_days
9,31,8,0,0,9,21,95.3251205782158
8,32,11,1,0,11,21,94.4910124408718
6,28,9,1,1,9,23,101.83287149508683
11,31,12,0,1,7,18,89.64157345539164
14,27,6,1,0,14,28,108.7785041500171
7,32,8,1,1,8,19,96.0824587360408
5,32,9,0,0,10,19,92.97030820548363
6,26,11,1,0,10,19,89.30613043682868
4,30,10,0,0,8,20,94.307978567132
11,28,5,0,1,10,25,103.72799808048228
11,29,5,1,0,12,26,108.17109668239016
11,30,8,1,1,10,22,98.88757291612876
7,30,16,0,0,10,21,94.48277443433923
5,32,7,1,1,8,18,95.70334333943144
6,29,7,1,1,11,24,105.16861174250587
3,27,12,1,0,9,18,84.01380575206792
9,28,11,1,0,10,23,98.3525986213596
7,29,9,0,0,12,24,102.58930908327024
9,25,8,1,1,9,25,100.76625890633196
14,27,0,0,0,12,33,122.23576885159538
12,28,13,1,0,9,20,87.73689462747961
10,32,6,0,0,13,28,114.16558169076636
6,29,11,1,0,9,21,90.99109328229235
11,32,5,1,1,12,24,106.84791845280364
6,29,18,1,0,12,20,88.66857263519734
8,30,7,0,0,10,24,103.28147661267217
13,30,11,0,0,11,21,92.33777928144217
12,30,2,1,0,8,27,111.46476993196671
10,30,11,0,0,9,21,92.2564898758107
9,29,7,0,1,6,21,98.00218977833792
10,31,8,1,1,13,22,98.51597070025892
12,30,8,1,0,8,24,102.96847943999244
10,29,14,0,0,10,17,80.29764114996452
7,30,3,1,1,9,22,103.39419106099096
10,29,10,1,1,7,21,94.19136539121122
9,31,4,1,1,8,21,101.82054346677684
6,28,4,0,0,6,23,103.87392845005252
9,27,10,1,1,11,20,89.51746985581654
10,27,7,1,1,7,21,97.84632108810202
13,29,10,0,0,14,25,98.5637843128744
7,29,7,0,0,8,23,102.25237748738904
13,26,8,0,1,6,22,92.92611747669348
7,27,8,1,1,8,20,96.10945558318176
10,31,12,0,1,10,19,89.56138172452269
11,26,10,1,1,13,23,97.33334005059126
11,30,5,1,0,12,24,103.27299393769772
12,34,7,0,0,8,23,104.5086369588022
8,28,7,1,1,10,23,101.03321879663632
12,31,2,0,0,8,25,107.91346684890212
8,34,11,1,0,13,20,92.22684212774048
12,28,11,1,0,10,24,101.50410243930456
14,31,7,1,0,11,24,102.36063128971632
11,30,9,0,1,9,19,90.75278874311232
11,31,2,1,0,11,25,107.01580645291403
8,33,3,1,1,12,24,109.3657233877936
7,29,8,0,0,10,22,97.57601779823356
12,29,5,1,0,6,22,100.34793135959978
6,28,6,1,0,12,27,109.64205708727964
6,27,16,1,1,6,16,81.83941996627655
9,29,6,1,1,8,20,98.45622853239102
12,32,10,1,0,8,21,97.16843293984464
6,28,8,0,0,10,24,101.06614966072958
12,31,6,1,1,11,23,105.78795836386688
9,31,2,1,1,13,24,107.12096081976912
10,29,3,0,0,7,24,106.71602048885002
11,30,14,1,0,12,23,92.32244426186952
6,31,11,1,0,12,20,94.43736779452476
5,25,9,0,1,6,19,88.80767399270896
11,27,14,1,1,13,21,90.5936919966402
10,24,8,0,0,10,28,106.94909543510178
7,26,4,0,1,14,28,110.00277017805612
10,27,12,0,0,8,19,84.14246901983027
10,30,8,0,1,8,20,93.14035299829912
14,30,16,0,0,11,22,88.68133172879091
9,31,7,0,0,9,22,99.88693217857724
