age,political_experience,campaign_spending,incumbent_status,gender,minority_status,media_ownership,media_coverage,election_results
3,31,9,1,0,1,13,22,178.21127145922122
7,32,2,1,1,1,14,17,152.315178498131
10,29,14,1,0,1,10,11,134.53186988941528
10,35,8,1,1,1,12,13,142.25625964587965
5,28,4,0,0,1,12,23,179.60562557172534
8,29,4,1,1,0,13,19,161.16648906597646
14,30,9,1,1,1,8,6,106.77077709067392
8,32,4,1,0,1,11,15,144.6369467095802
10,28,10,1,0,1,14,15,143.36473577438954
9,32,4,1,1,1,14,16,150.35692490500608
11,30,5,1,1,0,8,10,122.47878591918004
8,27,12,1,0,1,9,15,147.9597123940515
13,28,9,1,1,1,11,9,119.31557748353536
10,27,0,0,1,1,12,12,125.83863227567078
11,27,11,1,0,0,16,15,146.29839728517246
9,34,8,0,0,0,13,14,147.0628913459177
9,26,4,1,0,1,12,17,146.3853251630864
12,31,2,1,1,0,10,9,117.29120009764026
19,32,8,1,0,0,10,0,80.02750336508525
4,30,10,1,1,1,12,22,176.40504410964778
13,31,11,0,0,0,10,8,120.46757768911954
12,29,3,1,1,0,11,9,113.6332394215792
11,31,7,1,1,1,13,14,138.05942841801243
6,28,8,1,0,1,14,25,193.40814811978476
13,30,6,1,1,0,12,12,136.99509486952667
9,30,8,0,1,0,10,15,148.80144473852215
13,30,5,1,0,1,10,7,108.67073982537852
8,27,12,1,1,1,13,15,144.5106689179847
9,29,8,1,1,1,12,13,137.75005961338329
11,27,9,1,1,1,7,9,118.58571087559288
15,33,6,0,1,0,13,6,109.43118490882338
13,31,7,0,1,1,12,10,125.62291455225191
8,29,7,1,1,1,12,18,160.3470844806016
14,29,9,1,0,0,14,12,135.2744064876204
6,28,2,1,0,1,11,19,158.77138975857952
5,28,10,1,1,0,9,17,151.94443921855577
5,29,8,0,1,1,8,15,143.99981043634375
7,28,5,0,1,1,10,17,153.31843353319547
11,26,6,1,1,0,11,14,139.6408681932229
11,28,8,0,1,0,14,12,130.27349027875565
10,28,9,1,0,0,12,13,136.2780817019772
10,33,11,0,1,1,13,11,133.6077489547761
8,31,7,1,1,0,11,16,151.4989358546609
9,29,5,1,0,0,11,17,154.50766199677037
10,32,7,0,1,1,9,9,121.78373251742144
11,28,9,0,1,0,11,11,127.81790860418046
13,25,8,0,1,1,10,6,102.88297849355372
11,29,12,1,1,1,12,8,112.65017192260862
6,27,11,0,0,1,13,18,161.0536532498597
12,31,5,1,0,0,9,9,120.63089423573342
7,35,9,1,1,1,14,17,162.94313553458304
11,30,7,1,1,1,11,11,127.36146496022536
12,29,12,1,1,1,13,9,119.3342726866362
11,31,12,1,0,0,12,12,136.2283540786406
5,25,11,1,0,1,10,18,155.36277850047082
5,26,7,1,1,1,10,22,178.17333499036332
6,30,10,1,0,1,14,19,164.57842273512088
2,29,7,1,1,1,12,22,174.7909689714344
9,29,9,0,1,1,12,11,126.57265258224754
8,28,8,0,0,1,9,16,150.26971578762144
9,29,2,0,1,1,14,15,143.17138381351816
7,30,8,1,1,0,12,18,159.05110443541267
10,28,7,1,0,0,10,12,130.6483304545857
11,31,4,0,1,1,14,10,122.58709768533372
8,27,12,0,1,1,13,14,142.72060897717728
5,32,10,0,0,1,11,19,167.75228569332504
10,31,5,1,1,1,11,15,149.0596691059345
7,31,7,1,0,0,11,16,149.9434201914422
13,31,4,0,1,0,10,8,116.20680283971264
7,26,9,1,0,0,12,20,166.8223493080787
11,31,7,0,1,0,14,8,113.15880705894824
11,27,6,0,1,1,13,13,133.21278555122404
10,30,8,1,1,1,12,13,136.23723138920013
8,34,8,1,1,1,15,15,147.77777882103618
12,27,5,1,1,1,15,13,132.4491993151164
5,29,5,1,1,0,13,23,180.6707068918242
10,26,7,1,0,0,12,15,142.8321618539389
12,34,10,0,1,0,5,4,101.69695534143436
7,31,6,0,0,0,13,17,152.80326967224948
10,29,10,0,1,1,12,11,129.06080463564354
7,30,14,1,1,1,13,17,159.53358021262682
9,27,10,1,1,1,12,17,153.78002755117632
6,33,11,1,0,1,12,18,165.71846713799317
7,29,1,1,1,0,12,18,154.9058073463561
8,32,9,0,1,1,12,14,144.42900896915486
11,28,8,0,1,0,14,13,139.63472358691035
14,31,10,1,1,1,9,3,90.67404762099169
14,29,7,1,1,1,12,8,115.03333624204214
11,32,7,1,0,1,14,13,139.07734855243498
12,31,3,1,1,1,12,10,122.32437147921708
11,30,8,0,1,1,11,9,118.72438581980845
5,29,9,0,0,1,11,19,165.42874457297046
7,26,7,1,1,1,13,21,168.5774781585868
11,26,7,0,1,0,11,12,130.8577330532293
7,32,9,1,0,0,12,18,160.26253177208756
7,30,11,1,0,0,10,18,162.7980409934578
11,33,4,1,1,1,15,12,132.64242148519136
9,26,8,1,0,1,15,17,152.7847308187715
9,31,6,0,0,1,11,16,153.7458444883258
9,31,8,1,1,1,11,13,138.69266339282726
8,29,9,1,1,0,12,16,149.84307725090957
9,29,13,1,1,1,12,14,141.5272224118815
12,31,5,0,1,0,11,8,114.4735239714366
12,33,6,0,1,1,11,8,115.39097807851408
9,27,8,1,1,1,11,16,150.6814943112173
6,32,8,0,0,0,7,17,157.93661517146555
8,29,6,1,0,1,17,20,168.52367065284415
10,32,7,1,1,1,11,14,145.8694691707188
9,28,8,0,1,0,10,13,135.09297028181336
9,31,5,0,0,0,12,14,140.45829949493353
8,30,9,1,1,0,14,17,154.87579004441844
7,28,10,1,1,1,12,17,153.95873161434668
6,29,4,0,1,1,11,17,150.79888459354729
9,26,11,1,1,0,9,14,140.2872219800148
10,28,2,1,1,1,12,12,127.19322883099557
15,25,5,1,0,1,16,11,122.03479806723766
10,32,8,1,1,0,10,13,139.46958597972355
8,34,3,1,0,1,11,13,134.84234539875777
9,28,6,0,0,1,12,13,132.23821304337534
16,28,5,0,1,1,13,6,105.37049135245564
8,27,7,1,1,1,12,17,153.38835841924418
10,32,10,1,1,1,10,10,124.59405790947298
7,31,7,0,0,1,10,14,142.07007301664157
11,29,5,0,1,1,8,9,119.45895902356142
9,29,10,0,1,1,8,12,134.93080670461163
14,29,6,1,0,1,13,7,106.65745618486372
8,30,10,1,1,1,13,17,156.87855536712297
6,27,12,1,1,1,16,22,176.69566626418583
7,25,7,0,0,0,11,18,154.776324862887
7,32,11,1,1,1,11,14,143.28133367755473
11,29,2,1,1,1,13,15,142.42215657884176
6,28,11,1,1,1,15,22,179.21721942704974
11,29,9,1,1,1,7,8,113.1987677077023
7,34,7,1,0,1,15,17,158.8796403277936
11,31,5,1,1,1,12,9,117.36140149697158
10,26,6,1,0,0,13,17,150.7770242656601
10,26,13,0,1,1,13,14,143.417866626284
6,29,10,1,1,1,10,19,165.95367388513287
15,26,7,1,0,0,13,10,122.59446223490892
10,30,8,1,0,0,12,13,136.14816806541478
13,27,14,1,0,1,10,8,117.39039874308996
9,31,6,0,1,1,10,12,136.07670329781476
6,32,3,1,1,0,6,20,167.98078943737315
10,30,8,1,0,1,12,15,145.47303199633726
9,30,4,1,1,1,11,15,142.49415784512823
12,29,8,1,0,1,10,11,126.77537946170588
8,33,6,0,0,1,11,12,133.51116872673916
8,27,9,0,1,1,11,14,140.14266001120828
15,31,8,0,0,0,11,7,113.60896135560718
5,27,14,1,1,0,7,19,166.53323726076954
6,30,12,1,1,1,13,21,176.36667560065624
13,27,5,0,1,0,12,9,114.94432354653176
16,35,8,1,1,1,10,3,98.14162531127064
11,30,9,1,1,1,12,11,127.23982357742938
3,28,7,1,1,1,13,22,172.96941246011016
15,34,5,0,0,1,10,3,95.0241100986364
8,29,2,1,0,0,12,19,162.7627982285258
8,32,11,1,0,0,10,13,139.35118591192872
8,34,5,1,1,1,10,12,132.82729976142676
3,30,9,1,1,0,11,23,181.0411700334334
7,27,-1,1,1,0,10,20,161.43985584850697
7,30,14,1,1,0,10,14,143.60787353525262
15,28,8,0,1,1,13,8,116.41241029641296
14,33,7,0,1,0,12,8,120.23266984878686
9,26,3,1,1,1,11,14,133.76484008527788
10,30,3,1,0,1,12,15,141.82756493276204
11,31,6,1,0,1,9,12,136.1552057145258
10,30,8,1,1,0,12,14,140.64188678710312
12,27,7,1,1,1,9,11,124.0629294492324
10,31,9,0,1,1,10,10,127.6457288977399
13,31,5,1,1,0,14,11,129.9847172860375
9,28,10,1,1,1,14,19,166.75583392803034
9,30,3,1,1,1,13,15,143.95404053632663
14,30,7,1,0,0,10,8,113.6050877362884
6,29,12,1,1,1,11,16,150.1480464678123
12,26,9,0,0,1,8,6,102.33594263335767
9,28,13,1,1,1,11,15,148.68985769201515
18,28,11,1,1,1,16,4,96.8175408770807
8,33,8,1,0,0,11,15,147.61688523435654
9,30,6,0,0,1,12,13,134.82668736502222
11,30,5,1,1,1,11,12,133.3834762239059
11,27,6,1,1,0,13,13,133.64710061292325
8,28,11,1,1,1,14,15,145.6500851269282
8,31,8,1,1,1,13,18,160.87781050462652
9,23,3,1,1,0,9,16,142.71119228516082
6,32,11,0,0,1,11,17,159.4098164654334
8,30,7,1,1,0,13,19,163.7734513732578
2,34,7,1,1,1,12,22,179.82167779927508
9,27,10,1,0,1,16,19,160.97397410570642
11,31,2,1,1,1,9,10,120.48481588623726
10,32,3,1,0,0,6,10,124.9079948954746
8,32,10,0,1,1,14,17,157.9924755613122
7,33,10,0,1,0,12,15,147.6616358277226
12,29,13,1,0,1,10,9,120.25211028457946
8,28,9,0,0,0,12,16,151.6808355312312
8,29,11,1,0,0,12,16,150.16914558670396
3,31,0,1,0,1,11,23,178.80560529636972
