age_years,education_level,gender,minority_status,local_unemployment_rate,workforce_training_hours,annual_income_dollars
10,27,1,1,9,60,219.95819308061263
8,29,1,1,5,57,215.35982205724076
11,28,0,1,9,58,216.69786323249653
13,31,0,1,8,63,234.51061298919475
10,28,0,1,8,58,218.7781735018935
8,28,1,0,9,56,210.20371889404396
7,29,1,0,8,58,216.0228661113976
8,29,1,0,8,60,224.0494833894866
16,29,1,1,11,62,232.96939655059404
13,34,1,1,9,61,226.4096748236012
14,30,0,0,11,60,224.37867996726007
10,27,1,0,8,55,209.9422494312964
9,28,0,0,10,59,220.1283600819866
8,33,0,0,9,60,224.6055802522192
11,30,0,0,7,57,215.277027120026
6,23,0,0,7,53,202.4496086672503
8,30,1,0,9,58,213.8231640193004
16,28,0,0,4,59,223.9461568749333
7,28,1,1,7,59,221.60213110725235
10,27,0,1,8,59,219.81431774169465
8,31,1,1,10,57,212.3886387433469
15,32,1,0,9,63,234.8020539531948
9,31,0,0,4,57,216.9315203256358
12,31,1,0,6,60,222.92101823922664
7,32,0,0,7,56,208.48891961310247
13,31,1,0,6,58,220.56133936019685
5,31,0,0,8,59,220.07306014251617
8,30,0,0,6,56,211.8180808101818
10,33,1,0,6,55,209.42313237537363
5,30,0,0,11,57,209.12410105743933
8,29,0,0,6,55,208.4720170798547
9,28,0,0,6,59,221.7159718240049
9,26,0,0,6,55,207.77353282829523
4,30,0,0,11,56,205.26766860473583
12,31,0,0,8,61,225.24361169509243
7,30,1,0,9,59,218.61346978803863
7,29,1,1,8,58,213.98196990455568
8,33,0,0,7,59,220.4744045345112
8,32,1,0,9,59,215.799028780344
13,31,0,0,7,60,223.89716800991584
7,30,1,1,10,59,221.09231763202
11,28,0,0,6,57,214.59027891780443
14,31,0,0,8,61,227.73569347754
6,31,1,0,10,59,217.44975744455425
9,32,0,0,6,57,214.454809343056
10,35,0,0,7,61,231.6761663574736
16,30,0,1,8,59,220.51714516119625
8,29,1,1,5,55,207.43885416050225
