student_age,parent_education,school_quality,household_income,gender,minority_status,rural_residence,tutoring_budget,tutoring_hours,student_performance
7,31,8,13,0,0,0,8,50,127.71708222785868
13,28,7,13,1,0,0,8,49,120.61385738799504
8,27,6,10,0,0,1,8,47,125.30529300498628
10,30,7,14,0,0,0,11,52,130.10535527439453
13,31,7,15,0,1,1,9,50,117.67268798359468
7,30,7,15,0,0,0,7,47,120.09789005992802
9,28,15,18,0,1,0,6,47,109.65635033638154
11,30,5,13,0,0,1,8,51,129.43952898688954
11,26,9,9,1,1,0,10,49,125.319553984303
14,29,12,9,1,1,0,10,51,125.47381107434347
10,29,7,16,0,0,0,10,51,124.14349902491549
11,30,14,12,1,0,0,9,49,118.41559197892045
9,27,3,15,1,0,1,11,46,119.07036570041204
5,28,8,15,0,1,0,7,46,121.2370020357749
15,31,6,18,0,1,1,9,51,119.27808491743842
8,32,4,17,0,0,0,8,50,123.80609649886618
12,30,7,14,0,0,1,10,51,122.13495976285706
4,30,10,11,0,0,0,8,49,131.25479867461996
11,28,11,11,1,0,0,10,49,122.99314961395515
10,34,9,13,0,1,1,13,52,126.64463578016948
14,29,3,13,0,1,1,10,52,130.55962981680466
7,27,10,13,0,0,0,10,46,118.98162592324796
7,28,12,8,1,0,0,11,51,132.49737516864298
10,34,10,13,0,0,1,10,54,128.27404560725594
8,25,7,15,1,1,1,9,44,110.85143018501584
9,31,9,12,1,1,0,10,52,134.664328447639
6,33,6,11,0,1,0,9,54,143.30052835103902
9,30,8,12,1,1,1,7,49,123.15314056742754
15,27,8,16,0,0,0,4,46,105.84305615613982
9,33,10,17,1,1,1,9,52,125.71711691202998
10,30,11,17,0,0,0,5,47,113.04805408430062
10,30,5,14,0,0,1,8,49,120.8900962851723
8,31,6,12,0,1,1,8,49,125.60584159071406
9,33,9,17,0,0,0,12,54,131.98483202853603
11,26,9,13,0,0,0,10,49,122.70664354765624
6,32,8,16,0,1,1,4,43,109.79799633615514
9,29,10,15,1,1,0,9,51,128.46974075430478
7,29,5,13,0,1,1,10,50,130.61537881162548
10,30,0,7,1,1,1,10,53,141.42646357692837
11,32,8,14,1,0,0,13,53,128.80614623659517
12,31,7,15,1,0,0,4,47,114.06204572577823
11,32,6,11,1,0,1,9,53,131.7677788206951
12,29,5,13,0,0,0,7,51,130.9520764818552
8,29,3,9,0,1,1,8,48,128.40345233405253
14,31,10,15,0,1,1,8,53,122.65985285043776
14,29,4,14,1,1,0,6,48,118.14003418780752
7,31,7,12,1,0,1,6,49,127.54211231737187
7,28,11,11,0,0,0,7,45,116.18778621488116
5,25,8,12,1,0,1,6,43,112.07561352774134
14,30,8,14,0,1,0,7,49,116.91334508329466
11,28,12,15,0,0,0,11,49,115.41852535144538
3,29,4,11,1,0,0,10,47,129.36825657615603
11,29,5,16,0,0,0,11,49,122.561704980538
5,29,9,14,0,0,0,7,48,123.72825445420888
9,28,12,11,1,0,1,10,52,129.59993784325408
8,27,7,12,1,1,0,2,44,116.0557598306238
7,29,10,14,0,0,0,8,48,119.40549706991705
4,27,19,13,0,0,1,9,46,115.35141711109156
12,32,7,8,0,1,0,10,52,128.77994827732888
10,32,11,10,1,1,1,6,50,124.19023383383627
8,30,4,16,0,1,0,6,47,122.6660573146582
12,27,2,6,1,1,0,9,50,132.4774825191467
5,30,13,15,0,0,1,7,48,118.28418194645928
8,30,7,11,1,0,0,6,49,126.9337395042205
11,31,9,12,1,0,1,7,49,121.90661305305
6,29,6,14,0,0,0,8,50,130.030485809286
10,31,12,16,0,0,0,9,48,112.47925606062437
8,31,8,16,1,1,1,9,49,119.93910619921434
13,33,8,15,1,0,0,10,54,131.22016930592596
9,28,3,12,0,0,0,9,49,129.42423809708507
10,32,5,18,0,1,0,8,47,116.2641397703772
10,27,7,15,1,0,0,8,47,117.01519146980615
13,29,10,17,1,0,1,6,46,106.79172087916432
8,29,9,12,1,0,0,8,49,121.99700050263732
8,30,5,18,1,1,0,9,47,117.86543475278538
12,32,9,12,1,0,0,8,51,123.84985259105812
11,28,9,15,0,0,0,7,47,114.99001291544216
7,29,11,15,1,1,1,7,46,114.58890033960716
7,30,8,15,0,0,1,10,51,125.8305891088498
13,32,0,14,1,1,0,2,48,122.6240632185802
7,30,6,11,0,0,0,10,52,136.22618752739123
13,29,11,17,0,1,0,7,50,117.313879231791
15,32,7,13,0,0,0,12,54,127.57015993690264
11,31,0,16,0,1,0,8,49,126.63175483956158
10,30,8,12,0,0,1,9,52,127.485143060328
8,32,2,11,1,0,0,8,51,133.31810793503794
8,31,13,11,0,0,0,15,53,127.95257263101666
