age,education_years,hours_worked_weekly,pre_program_annual_income,gender,union_membership,minority_status,local_unemployment_rate,job_training_intensity,post_program_annual_income
8,30,10,16,0,1,1,6,5,60.87957264373916
9,29,7,14,0,1,0,11,11,82.27017791673757
14,33,8,16,1,1,1,6,2,53.96476976945074
9,28,13,11,0,1,1,10,14,92.95181755116502
9,30,4,19,1,1,1,10,3,52.71595010101031
6,31,8,13,0,1,0,10,12,86.16540212712655
9,30,8,10,1,1,1,9,15,100.25178907693476
11,33,6,14,1,1,1,9,5,62.53426488840825
14,30,6,16,0,0,1,9,4,59.26731672823964
10,32,1,12,0,1,0,8,11,84.05221622865739
9,34,12,7,1,0,1,8,17,104.81460242553948
10,29,7,16,0,1,1,8,7,70.93770167584339
10,26,7,18,0,1,0,8,4,58.01022351411264
5,27,13,10,0,0,1,8,13,88.53770590777165
9,28,4,7,1,0,1,10,17,105.59175539987082
8,26,10,15,0,0,0,8,5,60.51898129093144
15,27,7,12,1,1,1,9,12,91.63586733700616
7,30,13,17,1,1,1,7,6,67.61326748492938
8,29,4,13,0,1,0,11,9,77.63516410642043
17,30,4,14,0,1,1,10,6,68.17254420045093
12,31,9,15,1,1,1,7,4,56.85645059298007
11,29,12,19,1,1,1,9,3,55.14528147545081
11,31,8,12,1,1,1,9,8,74.12828999808274
7,29,10,11,0,0,0,5,12,88.32856600717732
8,34,6,19,0,1,0,9,3,54.88603789065353
8,28,7,12,1,1,1,7,9,77.50811785182577
8,28,11,15,1,1,1,9,9,74.11720505613658
12,29,9,12,0,0,1,4,11,87.62364374590517
13,26,0,10,0,0,1,11,16,106.64525465838628
9,27,3,15,1,0,0,9,7,70.12154255610456
11,34,6,14,0,1,0,3,6,66.88254127301417
5,29,9,9,0,0,1,7,17,103.33884118707576
9,28,14,20,0,0,0,8,2,51.64397307437293
8,36,5,13,1,0,0,6,8,76.85857034293397
10,30,2,10,1,1,1,8,11,84.24939357816434
10,33,8,12,0,1,1,13,14,93.98356410582952
7,28,7,14,0,0,1,7,8,71.9349498886927
8,30,6,13,0,0,0,13,14,96.0195582343643
15,31,9,9,1,0,0,11,15,99.55662120744542
10,33,6,11,1,0,1,9,8,74.6670180982474
