age_years,household_income,unemployment_rate,gender,minority_status,local_employment_growth,job_training_hours,individual_income
6,29,7,1,1,11,35,167.02911309804912
10,31,7,0,1,12,31,154.48654119804587
5,31,7,1,1,11,33,162.91758084148626
7,29,6,1,0,9,32,157.49111977908353
13,33,6,0,1,11,30,158.92929981324593
10,28,6,1,0,12,32,160.59996776178096
3,27,12,1,1,10,31,148.18121146295502
6,29,10,1,1,10,33,155.35908795163292
10,29,10,1,0,9,30,149.85103851138328
7,29,13,0,1,3,29,144.44210432699666
13,25,1,0,1,14,30,153.50532722266803
7,29,9,1,0,11,34,162.0742133994899
11,30,3,0,1,9,29,155.3201057547951
14,29,5,1,0,8,25,137.75512578450582
2,31,10,1,0,12,38,174.77270649423872
11,30,5,1,0,11,31,157.52658635842917
11,31,6,0,1,9,29,150.66040828949687
6,32,12,0,0,8,36,167.23035719950158
8,29,10,1,0,11,34,163.1510583892824
9,27,10,1,1,9,27,136.01538034898414
10,29,7,0,0,10,34,164.19197692894815
6,30,9,1,0,7,32,155.58271979578453
8,31,12,1,1,9,28,140.1578541030232
13,33,9,1,1,6,26,141.0159650603318
8,30,8,1,1,10,32,157.17804864988173
13,27,4,0,0,10,27,141.18366482361836
11,29,0,1,1,10,29,152.56461181879044
11,25,8,0,0,12,29,144.0693002448924
10,25,7,0,0,9,30,148.51821623866613
12,31,10,1,1,14,33,162.57534955831855
13,33,10,1,1,8,27,144.49066628561138
11,32,8,1,1,10,31,156.00644589117417
9,28,8,1,0,10,31,153.45921754142444
8,30,2,0,1,9,31,157.8218980203738
12,26,12,1,0,9,31,151.66163951650682
11,26,5,1,0,10,30,151.52280058123728
10,30,6,0,1,12,33,163.08953059677523
7,27,8,1,1,9,32,157.25600116485387
11,28,9,1,1,8,27,140.3767780608956
10,33,9,0,0,11,34,163.94886632199376
9,31,12,1,0,8,31,154.4676039044679
12,29,10,1,0,9,29,150.22156908400555
7,28,6,1,0,11,36,169.4917383813293
10,27,14,0,0,12,32,152.11634897364846
10,28,10,0,1,9,29,146.87532410426104
8,30,8,0,0,8,33,161.81430818276448
17,30,3,0,0,10,26,145.6798488005953
8,29,7,1,0,7,27,140.6576730661222
11,31,6,1,0,12,31,156.03195859513653
7,31,4,0,0,11,33,162.89488393090383
9,28,2,0,0,12,32,158.86189655923027
11,30,6,0,1,9,32,160.60062809778398
11,29,8,1,0,9,26,136.69484224555794
6,31,1,0,1,9,34,169.4190480128362
13,33,2,0,1,10,29,156.31484539643702
8,34,7,0,1,10,35,173.69716890206908
14,30,8,0,0,7,28,144.9005551710701
5,24,6,0,1,11,32,153.5558274536269
9,28,6,0,0,12,33,159.30217679685558
6,31,8,1,0,10,33,158.8972743667622
8,28,12,1,0,9,30,144.40039588330592
15,29,5,1,0,10,25,138.02381962316508
8,32,4,0,1,9,31,157.99394849084393
9,31,9,1,0,9,29,148.56977853611656
12,31,7,0,1,11,29,150.07184536552143
9,29,2,1,0,12,33,161.89503641881794
13,28,9,0,1,13,31,154.33209919526846
8,28,2,1,0,11,32,158.32287413519768
9,29,7,0,1,11,32,158.4647141286554
8,30,13,0,1,10,31,151.5789717465277
5,29,3,0,0,13,34,164.50559424413473
11,27,4,1,0,11,30,151.50837248123457
14,28,13,1,1,9,26,136.57355754761676
6,28,10,1,1,10,33,159.89183424239394
9,28,5,1,1,14,34,165.21564170193653
13,27,5,0,0,10,28,148.64008892117013
10,27,9,0,0,13,29,144.6938984513285
9,32,10,1,1,11,32,160.11662080251602
13,33,14,1,1,10,30,152.75217963458897
9,32,5,1,0,10,32,161.88846515060553
9,30,6,0,1,10,33,162.795643909742
8,30,8,1,1,9,31,154.99043098121152
10,31,5,1,0,12,33,164.1980997290358
10,28,5,1,1,12,32,159.33921677264294
12,32,5,1,1,13,30,154.9633824364176
14,32,8,1,1,11,29,151.59636450139058
10,29,12,1,1,9,29,145.89344960046776
6,31,12,1,1,8,34,164.26920989387798
10,31,7,1,0,10,32,159.68552537322108
8,30,0,0,1,12,32,162.39202320828008
5,31,10,1,1,13,37,171.7701582663505
8,29,9,1,1,9,29,148.66030153489362
8,27,3,1,0,11,33,162.14765886523898
8,29,10,1,0,10,32,154.25975760015433
9,32,10,0,1,10,34,166.4812042497403
6,32,8,1,0,6,30,150.8395583815854
10,30,11,0,0,9,27,138.35073249459342
14,33,8,1,1,10,27,141.87668442469675
12,31,4,0,1,11,28,148.25696116875883
15,29,6,0,0,14,32,159.59815032849494
14,31,10,0,1,10,28,146.9310546725208
7,28,10,0,1,13,35,166.4740391433937
11,31,4,1,1,10,29,154.8571006962462
11,33,5,0,0,10,30,155.0885766114616
7,28,9,1,0,12,32,155.29109841928215
12,29,7,0,1,9,31,154.88853380880428
12,31,6,0,0,14,33,166.03323019297886
11,27,6,0,1,8,27,139.97670186956185
8,27,8,1,1,11,33,160.11309644860924
10,28,7,1,1,10,33,160.9196935802625
8,27,4,1,1,11,29,148.4132096747681
12,31,12,0,0,9,28,143.07622626714323
7,27,6,1,1,11,32,156.99145780427497
7,31,6,1,0,10,34,164.56200986577753
5,28,8,0,0,11,33,156.4031756149651
11,31,7,0,1,10,33,164.84926666524473
11,29,1,1,1,11,29,153.63350430215775
2,30,7,0,0,7,35,168.39618734552874
13,29,9,1,1,12,28,145.485414939826
11,27,4,0,0,10,31,156.29183549295175
14,30,8,1,1,8,28,146.50761826181844
11,28,9,0,1,12,30,150.51706820918918
17,30,11,1,0,6,26,139.31940981100217
9,29,11,1,0,12,31,150.77949129316633
11,28,6,0,1,11,31,155.06037594100292
