defendant_age,judge_experience_years,gender,public_defender_assigned,prior_convictions,public_defender_experience_years,legal_representation_hours,trial_length_days
7,29,1,1,1,9,25,199.4245660777788
9,30,1,1,0,12,25,201.35524604939343
13,31,1,1,1,12,23,190.4508405162217
11,28,1,0,0,7,24,196.50004464668885
14,28,1,1,1,6,19,169.63512371458094
8,30,1,1,1,12,27,212.33463922468977
6,27,1,0,1,13,27,209.47820034047
5,32,1,0,0,11,25,200.1505143281092
8,27,1,0,0,11,26,205.4460988853573
14,32,0,0,1,10,20,175.55218097309083
14,33,1,1,1,10,18,165.0856719798019
13,30,0,0,1,10,20,174.9628751964969
11,29,1,0,1,15,25,201.72539754503575
9,32,1,0,0,8,27,216.80239654625265
10,30,1,0,1,10,22,184.846125746767
9,35,0,0,0,10,24,198.73549242654795
10,27,1,1,0,11,26,206.58941623407924
14,30,0,0,1,10,20,178.410597025186
13,29,1,0,0,10,21,180.2093075537648
9,32,0,1,1,9,24,200.07033635678343
12,29,1,1,1,9,24,198.2067250471489
13,32,1,1,1,10,22,187.67384208741825
6,31,0,1,0,5,23,191.25357680296267
10,25,0,0,1,11,26,206.7308876833404
13,28,0,0,0,11,24,200.17603132925052
10,30,1,0,0,14,26,207.8170259572345
9,30,0,0,0,11,26,210.56673553351095
13,28,0,0,1,11,19,168.56650946507793
7,32,0,1,0,11,27,213.40991484202087
9,31,0,1,0,10,25,204.6749446307847
11,26,1,1,0,12,26,207.50886613112397
10,31,1,1,1,11,23,191.05148070046667
9,30,0,0,1,9,25,204.9495947386672
13,30,1,0,0,10,23,191.9964206155965
9,28,1,0,1,12,25,201.82733557733152
11,27,0,1,1,8,24,199.01458351995936
8,31,0,1,1,13,27,218.1148112314792
11,29,0,0,1,13,25,204.9850053478691
6,30,1,0,1,12,27,211.4245368567494
9,33,0,1,0,11,24,197.2699754802716
12,29,0,1,0,9,22,185.4166060440212
9,29,0,1,0,10,26,207.9117886072166
10,30,0,0,1,11,24,198.16248677093117
6,30,0,0,1,10,25,201.97567734439716
11,28,0,1,0,14,26,208.82310988338543
8,26,1,0,0,12,27,211.91234959892248
11,27,1,1,1,10,25,199.9665478038829
9,30,1,0,0,10,25,203.68143835323568
9,32,0,1,0,12,25,203.8304174368188
9,27,1,1,1,10,25,200.4760561230471
8,26,1,0,1,11,25,198.83042638535412
12,32,0,1,1,11,25,204.28323809360185
7,30,0,1,0,12,27,212.72619301589611
4,32,1,1,0,10,29,222.59016169868244
11,34,1,1,1,8,21,181.6985897598135
4,33,1,1,0,10,31,238.4904884478816
9,25,1,1,1,12,27,211.06043235127825
14,27,1,1,1,10,23,188.1951788884844
12,30,0,0,1,9,22,186.342693584378
7,27,0,1,1,12,27,212.96861439066305
1,30,0,1,1,10,29,225.57403331993092
15,31,1,1,1,9,22,191.57921465634868
12,26,1,0,1,11,24,195.1279276211695
9,27,1,0,0,10,26,207.35119066148488
12,29,0,0,0,12,25,204.46057537079213
11,31,0,1,1,12,23,192.54600051785545
12,28,0,0,1,12,23,192.00582719455463
8,30,1,1,1,11,27,211.72051383174067
10,32,0,1,1,8,22,186.4753263374648
11,33,1,1,1,8,22,189.4499454723848
6,28,1,1,0,11,28,218.8635998476369
9,27,1,1,1,7,25,202.57726160353897
13,27,1,1,1,11,25,201.14895640676997
9,31,1,0,0,11,27,213.5766521690948
11,29,1,1,0,10,22,183.9309046796457
12,30,1,1,0,7,21,180.35541171297908
8,26,0,1,0,10,23,187.8261500331532
9,29,1,1,0,9,25,200.3376827794506
9,31,0,1,0,12,26,209.4241818413132
10,31,1,1,1,8,21,180.02704934254746
12,31,0,1,1,12,24,197.01523947128123
12,30,0,0,0,12,22,186.4583373515064
11,33,0,0,0,11,23,194.76782317917312
14,29,1,1,1,11,23,192.27808704241528
2,34,0,0,1,13,28,219.6305691055807
8,33,0,0,0,13,25,201.9520175459757
13,32,0,1,1,8,22,190.03228879695843
9,28,0,0,0,10,25,201.44130574682916
9,33,0,1,1,14,24,196.8507850690988
16,22,1,0,1,7,20,170.84657700651854
9,28,1,1,0,7,19,165.66183962115042
14,35,0,0,0,9,18,169.33384201529182
7,31,1,0,1,13,25,201.91915452276825
12,30,0,0,0,10,23,192.98597350353216
14,31,0,1,1,11,23,195.2224798041005
8,28,0,0,1,11,25,202.201909616471
5,31,0,0,1,9,24,195.89564891399303
8,31,0,1,0,15,27,211.63107812779887
9,27,0,0,0,11,24,195.75793422019404
9,29,0,1,0,10,25,203.126830163542
7,32,0,0,1,9,21,179.87072478306652
12,33,0,0,0,12,22,187.7074817460989
11,29,0,1,1,12,23,195.10575881503487
8,33,0,0,1,14,25,200.9991256984901
3,29,1,1,0,10,27,211.095077063242
8,36,0,1,1,10,23,193.3859757181952
15,28,0,1,0,10,22,185.4817324275616
12,29,1,1,0,15,27,211.5464828488321
10,32,0,1,0,11,24,197.37516892469665
11,28,0,1,1,11,24,196.29029955111469
12,28,1,0,0,12,24,194.52723844112288
11,30,1,1,1,10,23,191.41697406824605
10,30,0,1,1,11,25,204.62087428363083
9,26,0,1,0,9,25,201.77722051884936
11,28,1,1,0,10,26,208.171947679465
7,29,0,0,0,10,25,202.99648460572377
9,29,1,0,1,9,23,191.8551817237044
6,29,1,0,1,13,27,208.3619884529104
11,29,0,0,1,13,23,192.1146193038264
9,27,1,1,0,9,24,192.67684681299195
10,33,0,0,1,11,24,201.329919817944
12,26,0,1,1,6,20,172.19188209962127
10,29,1,1,1,8,23,187.9829948311691
13,31,0,0,0,12,22,188.2193070699696
9,29,1,0,1,11,27,213.3615585525706
10,29,1,0,0,9,22,187.37793000242772
7,29,1,0,0,13,27,212.7057725053189
7,32,0,0,1,7,23,197.08267626399044
14,30,1,0,0,14,23,190.73021085343376
10,29,0,0,1,10,24,197.3960990365823
6,34,0,1,1,12,25,203.26072087927287
10,28,1,0,1,9,23,190.5429325985361
9,30,0,1,1,7,24,199.41027989976848
10,30,1,0,0,11,25,203.00380196347143
7,28,0,1,0,13,25,198.8791632712324
13,31,0,1,0,12,22,186.60556549781435
9,30,0,0,0,7,22,186.82259455683135
7,30,1,1,1,10,27,211.82422953560845
10,30,1,1,1,10,26,207.6660525207248
7,30,0,1,0,12,26,204.31075503692807
10,30,1,1,1,13,25,200.80264637940292
8,29,0,0,1,8,24,196.42326187007745
12,28,0,0,0,10,22,185.8813536545246
11,25,1,1,0,10,26,206.2332755308672
8,28,0,0,0,11,27,212.29854303404025
9,34,1,0,1,12,25,209.7016324386061
9,33,1,0,1,12,26,211.6748446946119
11,27,0,0,1,10,22,182.62773139504765
11,23,1,0,1,11,25,200.80990966382765
7,30,0,1,0,9,26,208.79192332122952
8,30,0,1,0,10,26,208.6014290152361
7,28,1,0,1,12,27,211.3254957758124
10,29,0,1,0,11,26,209.9638196698628
11,26,1,1,0,10,23,189.0908499693536
10,32,0,1,0,10,22,185.03983996982848
7,29,0,0,0,13,26,206.9265734947108
10,28,0,0,1,12,25,204.27657733305088
12,26,1,0,0,11,26,206.14927719319263
6,31,1,1,0,13,30,230.43902757394548
8,28,0,0,0,13,25,200.0280917154857
15,28,1,1,1,10,22,186.1123881799528
11,27,1,0,0,9,25,202.8397147133769
7,30,0,0,1,9,25,204.1900128500095
7,32,0,0,0,9,24,198.7287598033304
9,28,1,0,0,9,26,209.31588370423825
11,30,0,0,0,10,22,186.18462663160065
11,33,1,0,0,13,25,204.07933196229493
11,32,1,0,0,8,19,169.85814094084753
13,28,0,0,0,11,25,205.352937558245
11,30,1,1,1,12,24,195.6459166100863
12,31,0,1,0,11,18,161.43519619634856
10,28,1,1,0,13,26,206.58673420983408
5,24,1,1,0,8,27,208.7563021543765
8,32,0,0,1,9,24,197.83868466348704
10,32,1,0,1,8,21,179.69533527958924
11,29,0,1,0,13,26,208.77145673784025
8,29,0,1,1,9,22,183.9624018600807
6,27,0,1,0,11,28,219.6006910180629
6,33,1,1,1,10,26,207.76370943121404
9,31,1,0,0,14,26,207.42235397580197
11,30,1,1,1,12,24,196.91942080173663
11,31,1,1,1,9,24,196.276546753301
11,29,0,0,1,10,23,191.36431139089584
2,26,1,0,1,7,27,208.5666463685207
4,38,1,1,0,10,26,210.46021707993387
9,27,1,0,0,14,27,211.0635050191289
10,35,0,1,0,15,29,233.2536895434201
9,30,0,1,1,12,27,213.0191858285416
8,28,1,0,1,10,25,198.917540451374
11,26,1,1,0,8,25,202.55339817368704
13,31,0,1,0,9,22,189.10144362356053
6,28,1,1,0,10,26,204.4847627928654
12,32,0,1,0,15,24,199.1938321801325
8,27,1,1,1,10,26,203.34712160923408
12,31,0,0,1,13,24,198.87248703734016
15,29,1,0,0,10,20,176.7194001584193
13,32,0,0,0,13,24,199.89132344551945
13,31,1,1,1,9,21,178.1699386404105
11,31,0,1,0,9,23,190.87749166490104
10,30,1,0,1,10,26,209.8792507904399
10,30,0,0,1,8,23,195.60588339838256
6,27,0,1,1,13,29,224.7654996538664
8,29,1,0,0,8,25,202.77347826975856
9,29,1,1,1,12,26,207.32869406906315
7,32,1,1,1,12,28,218.49928465003927
11,26,1,0,1,8,25,203.67976993057664
8,27,0,1,0,11,26,205.2893133259577
15,28,1,0,0,8,20,174.24275266767526
11,31,0,0,1,10,24,198.16224175383329
12,27,1,0,0,11,23,188.17097874000143
8,27,1,1,1,12,27,209.9473706152673
8,29,0,0,0,9,26,209.77865180142004
9,28,1,0,1,12,23,191.18749654809565
8,28,0,0,1,11,24,192.7798475861413
10,31,1,1,0,10,24,198.37413130868345
6,29,0,1,1,14,28,216.54565969395964
10,28,1,1,1,9,27,214.91682638933884
11,29,1,0,0,10,26,211.4649885725167
12,33,0,1,1,11,22,186.50163322638105
8,27,0,1,0,10,22,182.2015273820711
10,28,1,0,0,12,28,220.93958796775905
8,28,0,1,0,7,25,201.85853775371376
12,31,0,0,0,12,23,193.0150927258432
8,32,0,0,1,12,26,212.1975800969687
11,30,0,1,0,9,25,203.31440360669512
9,30,0,1,0,11,25,202.87100201893944
13,28,0,1,0,10,23,189.7892131600035
14,34,1,0,1,15,24,199.58423222777031
12,34,1,1,1,10,21,180.9189805300623
13,32,0,1,0,11,21,181.72968099727768
7,27,0,1,0,11,26,206.64877791553323
10,27,0,1,1,9,22,184.61117244064005
7,30,1,0,1,13,26,205.422395081988
14,29,0,1,0,8,21,181.51850582545703
4,30,1,1,1,9,29,223.78899869447537
4,31,0,1,1,13,26,205.88881940828443
13,30,1,1,0,9,23,193.30881047010163
12,29,0,1,1,11,22,186.1922554926365
5,25,0,1,0,10,29,221.45811785976625
7,32,0,1,1,11,27,215.5100225096066
9,29,1,0,0,12,28,219.5914684773634
9,26,1,1,1,8,24,194.32581606784
8,29,1,0,1,11,26,208.86387567688172
8,27,1,1,0,11,26,205.4656563307512
7,27,1,0,0,11,26,205.13856742751312
13,28,0,1,0,8,22,186.25503269698405
7,29,0,0,0,7,23,190.74890433686696
8,30,1,0,0,9,24,195.0241073438949
6,30,1,0,1,11,27,210.75590901143337
15,30,1,0,1,11,22,187.6330761323034
8,26,1,1,1,10,26,203.8038367518328
16,34,1,0,0,11,20,178.20029263544924
7,33,1,1,1,11,25,204.1908496579264
8,26,0,0,0,10,28,217.39579312464443
9,30,1,0,1,13,26,209.08823538839857
6,27,0,0,0,10,23,189.3586595752467
10,30,0,1,0,12,28,219.23161657696235
6,31,0,1,1,9,25,201.1874533352556
11,31,1,0,0,10,22,185.34431298977609
9,25,1,1,0,7,22,182.33386401138995
13,30,1,0,1,10,22,185.9477330305271
9,32,0,0,1,8,21,179.69732358897247
12,32,1,1,1,7,18,163.71761330623357
9,28,0,0,1,8,24,199.04661143491344
5,36,1,0,1,8,25,204.84396871033996
10,31,0,1,0,13,23,192.07179087686944
11,29,0,0,1,9,22,186.7205140468777
6,32,1,0,0,10,26,211.0216767538267
9,33,1,1,0,11,24,198.1636603485557
11,30,1,1,1,10,24,198.5047343016196
11,31,0,1,1,12,23,187.42731488201383
8,33,1,0,1,14,28,219.3807662765333
6,29,1,0,1,14,27,211.7645938455487
9,31,0,0,0,10,26,210.6798162292476
9,26,0,1,0,11,29,226.47321392550973
10,28,0,1,0,10,24,193.5929059639052
14,28,0,0,0,11,22,187.8449145221432
6,25,1,0,0,8,27,211.7177245182577
8,28,0,1,0,9,25,201.59418173158468
8,28,0,0,1,7,23,190.20995054194665
15,30,1,0,1,12,23,194.8286492843412
9,32,1,1,0,9,22,184.49921803560812
6,32,1,1,0,11,25,201.8073355750828
7,28,0,1,0,11,25,196.30133559764303
14,29,0,1,1,9,23,194.16754838693123
8,32,1,0,1,10,23,190.8009579082457
7,29,0,0,0,11,27,214.10799766182413
8,32,1,0,0,9,24,198.86886186665816
13,26,0,1,1,11,25,202.61037795231795
11,27,1,1,1,8,24,197.9284048171
11,27,1,1,1,13,25,200.13032914016785
10,31,1,0,1,8,24,196.8288167256109
6,28,1,0,1,13,27,211.93367372722125
9,28,1,0,1,11,25,199.7339007421576
15,31,1,1,0,8,19,174.84876690791197
9,32,0,1,1,8,22,188.89432161920013
8,26,1,0,0,8,25,200.94219123531795
6,26,1,1,0,13,29,220.6142344792814
7,30,0,1,0,12,26,205.20275227462764
10,28,0,1,1,12,25,201.01631026017267
4,32,1,0,0,9,26,206.8884188698687
12,28,0,0,0,12,23,192.414565876922
14,32,0,0,0,9,23,198.1707230841647
10,29,1,1,0,10,25,200.56256832977837
10,32,1,1,1,16,27,213.11910814986967
11,30,1,0,0,7,21,183.2136468240062
6,30,0,1,1,11,23,185.49423969046563
8,31,1,0,0,13,27,214.76330291392247
8,29,1,1,1,10,25,197.9248323912368
12,29,0,0,1,12,22,183.83885608434156
9,28,1,1,0,7,24,193.71522940340253
11,29,1,1,0,11,25,205.4283800313968
4,29,1,1,1,8,26,206.23469314977805
9,34,1,1,1,12,23,192.7021945749056
9,32,0,1,0,10,26,210.19415175494183
9,28,0,1,1,11,25,201.2661539062607
4,29,1,0,1,10,28,216.69605572088076
11,32,0,1,0,11,24,197.771939943773
9,31,1,0,0,10,22,186.47662735846671
9,29,0,0,1,13,25,199.918844353494
10,28,0,1,1,8,22,186.9020218703592
14,27,1,1,1,11,23,192.1606506216539
13,27,1,0,1,9,23,190.49597115141452
12,26,0,0,1,10,23,187.7047623781897
12,29,1,0,0,9,23,191.5646520641596
4,34,1,1,0,12,29,224.0184742729454
4,28,1,0,1,10,27,211.20916980044817
8,33,0,1,0,10,24,197.54015584622516
11,28,0,1,1,12,25,204.5982389235175
11,34,0,1,1,11,23,195.75206750130508
10,30,1,1,0,9,22,185.9153971343096
8,31,1,0,1,10,24,194.32738536877463
11,31,1,1,0,7,22,187.5301508843293
11,30,1,1,1,10,23,190.6667873462363
8,33,1,0,1,8,22,186.67246975726027
4,27,1,0,1,10,27,210.42964534028604
8,28,1,0,1,11,26,207.74640535549744
8,32,0,0,0,11,25,206.35244916021895
16,32,0,0,0,12,21,184.00633478772644
13,27,1,0,0,13,25,203.4169040763578
9,30,1,1,0,13,26,208.6728590227073
12,23,1,0,1,11,25,199.8730465536894
10,32,0,1,1,12,25,203.6692781284604
12,27,1,0,1,8,21,180.11402945059393
10,31,1,0,0,9,24,197.58348042913445
17,29,0,1,0,8,20,176.423012177613
11,28,1,1,0,11,26,204.66135431530404
8,26,1,0,1,9,25,198.568566717088
10,29,1,0,1,12,26,208.2493685940992
9,30,1,1,1,10,24,195.7821630860908
6,27,1,1,1,12,28,216.10879448696517
2,32,0,0,1,13,29,225.45001939766888
10,28,0,0,1,11,25,199.383988524374
12,27,0,0,1,12,24,196.13743698896985
11,25,0,0,1,11,23,186.9907145624457
9,27,0,1,0,9,24,194.48684444570125
7,23,0,1,0,8,27,208.00679697688255
7,34,1,1,1,7,23,191.31762124061095
16,32,0,0,0,12,21,187.0691613856141
9,28,0,1,0,5,23,186.94022066416923
13,29,1,0,1,12,22,183.779126154942
7,30,0,0,0,8,25,205.2634429919824
12,27,1,1,1,4,20,175.10282311134364
6,28,0,1,1,11,27,211.50133213660263
9,29,0,1,0,10,24,197.27297598035747
12,27,1,1,0,12,21,175.75840122243716
8,30,0,1,1,11,23,187.7850738320884
9,27,0,1,0,8,24,197.02051894729496
15,25,1,1,0,10,23,189.9053777505453
11,27,0,0,0,12,28,222.28264558577763
11,31,0,0,1,10,23,195.07924673584392
8,30,0,1,1,12,25,203.19826620935
8,30,0,1,0,13,28,218.856246366744
11,30,0,0,1,10,24,198.77438078048243
12,25,0,0,0,11,22,183.45234310345788
10,32,1,1,0,12,23,187.5034727772755
11,29,0,0,0,11,24,195.5530561500213
12,33,0,0,0,11,26,212.31454592626469
7,32,1,1,0,9,24,194.8555255630464
12,27,0,1,0,10,24,197.11164641567493
7,28,1,0,0,8,24,195.83285616255415
8,30,1,1,1,11,26,206.43761046172423
8,32,0,1,1,13,24,196.63518725587144
10,26,1,1,0,10,24,195.4646309956632
9,31,0,1,0,9,25,205.17214609199925
8,29,1,0,1,7,23,188.31042602084267
9,33,0,1,1,10,26,215.0299971878527
9,26,0,1,1,9,24,194.5032773253841
7,30,1,1,1,9,24,195.78738056428756
12,28,1,0,1,10,23,194.3603260686145
11,29,1,0,0,10,26,208.3180347445331
12,30,0,0,0,9,26,213.83263109374624
10,30,1,1,0,9,24,196.91043128300916
12,33,0,0,0,10,21,182.51149836979255
8,28,1,1,1,9,25,201.6316433644785
17,30,0,1,1,11,21,181.86223528260757
8,28,0,0,0,11,26,208.95385529127248
10,27,0,0,0,10,22,184.13534998171116
7,30,1,1,0,7,26,208.4011979563884
7,30,1,0,1,12,26,205.41117642400943
9,31,1,1,1,11,25,202.40605685411677
4,34,1,1,1,13,29,222.23741240786623
6,30,1,1,1,15,25,197.41154310174863
9,29,0,0,1,10,25,202.41330488428397
7,26,1,1,1,7,25,200.52038485438504
9,28,0,0,1,14,25,200.44085289305875
9,30,0,0,0,11,25,205.69846919995123
12,28,1,1,0,14,25,200.2610675049065
11,30,1,0,0,11,20,175.3889948078938
9,28,1,1,0,10,26,209.5657096178562
9,30,1,0,1,12,28,220.61898981013655
7,27,0,1,0,12,27,213.109421090976
7,30,1,1,1,9,25,202.36020068048708
15,29,0,1,0,8,18,162.98785007474612
11,28,0,1,0,11,25,204.63111207067135
12,31,1,0,1,9,21,182.91749502600948
7,29,0,1,1,13,27,212.6839522002429
12,31,0,1,0,9,21,180.3175862580949
9,30,0,0,1,12,25,203.65090514991
9,34,0,1,1,8,22,187.9801144905927
10,29,1,1,0,13,25,200.92942288322809
7,27,1,1,0,8,25,194.6154079613544
10,31,1,0,1,11,22,183.1892363147066
9,29,1,0,1,8,24,196.75767926546703
11,28,0,1,1,10,22,186.20272370076955
8,35,1,0,0,13,26,208.5248351249089
4,28,0,0,0,10,29,225.23456401590943
13,34,1,0,0,9,21,184.5173494791784
10,29,0,0,1,11,26,209.36476809612927
15,29,0,0,1,9,20,178.48796428150854
10,29,0,0,1,11,23,193.4070568244217
8,30,1,1,0,11,25,200.85528412279515
7,32,1,1,1,11,29,227.95496796408275
5,30,0,1,1,11,25,200.7315330833588
8,33,1,1,0,7,24,196.70637328310903
8,29,0,1,0,11,26,205.34237966560548
11,23,1,1,1,13,26,204.28245487003164
9,30,0,1,0,15,28,220.23358799704064
4,28,0,0,0,11,26,206.04616014026828
4,28,0,1,1,11,28,217.8680688344712
9,29,0,1,1,14,27,214.66875992125844
8,25,1,1,1,10,27,211.7019474384969
15,35,0,1,0,13,21,183.0580558570748
8,30,0,1,0,8,27,215.7189103455996
9,27,1,1,0,9,21,174.70992253515504
8,31,0,0,0,11,27,214.91383452836453
10,26,1,1,1,15,28,216.4655144849608
8,29,0,1,1,10,24,195.81453692291305
10,30,1,1,0,10,23,193.09036353456688
10,27,1,1,1,13,26,204.0862776701988
9,29,1,0,1,8,25,204.2815052809862
10,29,1,0,0,12,24,197.73306905607348
8,28,1,1,1,14,27,213.27242131706103
5,28,0,1,0,14,30,227.91332560285764
8,27,0,1,0,11,25,201.5958718705502
9,32,0,0,0,8,21,181.39978291734565
12,31,0,1,0,10,23,195.2953035675727
11,30,0,1,0,10,25,204.689586529384
9,32,1,1,0,12,26,211.23961606712723
9,26,0,1,1,7,24,193.57105836664172
12,28,0,1,0,6,19,167.77037135550094
12,29,0,1,1,9,22,186.4505161315712
10,31,0,0,0,8,25,208.29199611692496
9,31,0,1,0,10,24,194.6464541721426
11,31,1,1,0,5,19,169.33305094091466
10,32,0,1,1,12,22,183.14349277161244
10,28,1,1,1,11,22,183.46667020722876
9,29,0,0,0,12,24,197.56560190102547
9,29,1,0,1,13,22,183.35619772920387
7,31,0,1,0,10,24,198.1303890388521
6,32,0,0,0,8,25,203.96843005893777
8,27,0,1,1,13,25,199.26556797683529
6,29,1,0,1,12,28,216.50693350214385
12,33,1,1,0,12,23,194.16923158744424
10,31,1,1,1,11,22,185.5480580314648
10,26,0,1,0,8,25,201.4646997911384
12,34,1,0,0,9,23,190.22282609453825
7,29,0,1,0,10,26,207.52878502839292
15,30,0,1,0,11,23,194.75166327260484
11,30,0,1,0,12,25,202.51742334293
5,33,0,0,0,5,22,186.6511807514929
8,26,1,0,0,12,25,198.79680039172695
11,25,1,0,1,12,25,199.0406152751061
15,31,0,0,1,10,20,175.6281628775457
11,27,0,1,0,13,24,195.65239038860105
8,28,0,1,1,11,25,199.22109111694863
10,24,1,0,0,12,26,206.05093265067163
10,29,1,1,0,13,26,205.0964851456738
7,27,0,0,0,10,25,200.84617997557808
9,30,1,0,1,10,23,189.2193092705905
11,27,0,1,0,9,27,216.85865723317949
9,32,1,0,1,12,24,198.39184001707213
6,25,0,1,1,11,26,203.36126671397224
4,29,1,1,1,7,27,210.9950899511327
11,30,1,1,0,13,26,207.2556557793616
9,30,1,1,1,6,23,192.2172441028647
3,31,1,0,1,10,28,217.794219343849
9,25,1,1,1,13,25,194.87466165381565
13,29,0,0,0,10,22,185.9711828063324
15,25,0,0,0,12,24,201.3768444130875
12,29,0,0,0,9,22,187.2945334596437
9,26,0,1,1,10,25,199.7709266606004
7,29,0,1,0,12,29,224.1912756576249
4,30,1,0,0,11,26,203.86785916596136
9,28,0,1,1,13,27,210.2733804206381
10,31,1,0,0,12,27,214.8626752832269
11,28,0,0,0,9,22,185.99814666410967
10,28,0,1,0,10,25,201.67224771682737
13,32,1,0,0,6,20,179.1255129870448
8,27,0,0,1,12,27,213.50607111750244
7,32,1,1,0,10,28,222.15204174758185
10,27,1,0,1,8,25,201.21924268660712
7,28,0,1,0,13,26,206.9863625729569
12,27,1,1,0,10,20,171.93867981756318
6,28,1,0,1,13,27,211.25387346419797
8,28,0,1,1,7,23,191.57257980979443
17,31,0,0,1,9,16,155.93566800764356
10,32,1,0,1,17,28,220.03067853302167
10,31,0,1,1,13,25,203.60303084994004
6,30,1,0,0,13,31,235.51349730897363
11,29,1,0,1,8,22,184.84703198840668
9,27,0,1,0,11,25,201.65801415762465
8,29,0,0,1,10,23,189.7214960213642
12,29,1,0,1,10,22,183.2846591464014
15,33,1,1,1,13,21,181.80218462053045
11,29,1,0,0,11,25,202.8283140128825
12,31,1,0,0,9,22,185.75065958926987
8,30,1,0,1,10,26,205.92586486028077
11,29,1,1,0,11,22,183.80041209334405
10,32,1,1,0,14,26,206.994438756016
6,27,0,1,1,9,26,207.2933614804456
14,31,0,1,0,10,21,185.5853837450596
15,32,0,1,0,12,22,190.2795626980932
3,28,0,1,0,12,27,209.0069185740801
9,32,1,0,0,8,24,196.01544120788589
12,30,0,0,0,9,20,175.7363930712086
11,33,1,1,1,8,20,174.89898239734725
14,30,0,0,1,10,21,184.2154499794124
6,33,0,0,1,10,24,197.56112542025767
14,32,1,0,0,9,23,198.6577783194952
10,29,1,0,0,11,24,194.5364021901976
8,31,0,1,0,11,25,204.44272562447537
6,30,1,0,1,9,27,212.1946224948883
9,29,0,0,0,13,26,207.1923023636846
10,30,1,1,1,9,24,196.9603743028217
9,29,0,0,0,8,25,205.7676868597827
9,29,1,0,0,11,25,200.3677430433965
8,25,0,1,0,12,28,216.59346338885555
17,27,1,0,1,11,23,194.07996607764628
9,33,0,1,1,11,23,194.621003763566
11,30,1,1,0,11,25,204.01910245195072
13,30,1,1,1,10,22,184.92129902815935
13,28,1,1,0,11,24,195.87765503734192
4,30,1,0,0,12,31,236.6824085826273
11,29,1,1,0,8,22,183.02896022325103
14,28,1,1,0,11,24,196.6947713043416
8,30,1,1,1,10,25,202.16019592563117
12,29,0,0,1,12,23,191.84945550963172
5,29,0,1,0,16,31,234.5414588266077
8,31,1,1,0,11,25,202.74900949560347
11,29,0,0,1,10,24,199.8190422127497
11,30,1,0,0,11,23,191.79841800909932
10,27,0,0,0,10,26,208.0818645119198
15,33,1,0,1,10,19,172.5339444878775
10,27,1,0,1,11,25,201.31625677707288
14,31,1,1,1,16,24,199.7237976610159
3,29,0,1,1,12,25,198.57139200905976
9,30,0,1,1,14,26,208.345556032638
14,31,1,1,1,11,19,170.1123536839931
4,31,1,0,1,10,28,220.214464195562
11,30,0,1,1,9,19,166.44547928814185
13,30,0,1,1,11,23,195.93798127919496
9,28,1,0,1,11,25,199.63438587847145
5,31,1,1,1,9,24,194.02345652460053
6,30,0,0,1,13,29,226.4409595000848
14,33,0,1,0,8,19,171.29866495971564
4,30,0,1,0,13,28,216.12582599829105
15,27,0,1,1,12,22,185.14990327469772
9,26,1,0,0,7,23,190.09354007796097
8,32,0,1,0,11,24,196.04320967153396
13,31,1,1,1,12,22,186.7640506276704
10,29,0,1,0,8,23,191.7316721417901
10,30,0,1,0,14,25,202.5666723172237
12,30,1,0,0,9,22,186.41622933296867
8,28,0,1,1,10,24,194.5785641674686
11,27,0,0,0,12,25,203.17624967903072
11,28,1,1,0,11,26,207.51493208483956
7,32,0,1,1,10,26,209.4412688137981
10,30,0,0,0,11,24,197.89435769886185
7,28,1,0,1,8,24,194.694861436486
12,28,0,0,0,11,24,199.4098429803463
5,30,0,0,0,7,26,206.75854551410285
12,29,0,0,1,15,27,214.6148216913601
10,28,1,0,0,16,28,217.25975546117
7,32,1,0,1,12,24,198.73137570995212
7,32,1,0,1,11,26,206.8314930469374
13,29,1,1,0,8,21,181.2525098105353
10,32,0,0,1,8,24,201.09345508535213
6,31,0,1,0,9,29,226.69950175129404
9,30,1,0,0,12,24,196.1730145899108
9,31,1,1,1,13,26,208.29692474513465
8,31,1,1,1,11,26,206.95770995122209
10,26,1,1,1,13,22,181.19225149113728
11,33,0,1,1,11,23,193.108068180714
11,25,1,1,0,9,25,200.02817420742065
11,31,0,0,1,11,26,211.00158517579453
9,28,1,1,1,8,22,182.14622310785623
8,27,0,1,1,14,28,214.07975817076064
9,31,0,1,0,10,24,195.28903950949865
7,31,1,0,1,11,23,189.8117701472972
5,30,0,1,1,12,27,211.5668114597113
8,32,0,0,1,15,29,225.8229511299704
16,30,1,0,1,10,19,171.49065089019118
15,32,0,1,1,12,21,182.49864139249277
9,25,0,0,0,13,27,212.17725886394868
