parent_education_years,student_gpa_prior,free_lunch_eligible,english_language_learner,tutoring_offer,tutoring_attendance,final_exam_score
2,2,0,0,1,1,57.8510726714248
4,3,1,1,0,0,58.04965894727788
4,2,0,1,0,1,56.08506390195786
3,3,0,0,0,1,61.459412646506905
-1,3,1,0,1,1,56.14931561813146
4,2,0,0,1,1,57.973405613190856
0,2,1,0,1,0,55.4083368911313
2,3,0,1,1,1,59.251734396725695
4,1,0,1,1,1,58.32209054339067
2,2,0,0,0,0,56.34308079026856
3,2,0,1,1,0,55.44333854071592
2,2,0,0,0,0,58.06858280374867
5,2,0,1,1,1,58.84611931631554
6,2,0,0,1,1,59.73393842975284
8,3,0,0,0,0,57.73825034246508
4,3,1,1,1,1,58.59802512746779
6,3,0,0,1,1,59.42819873163997
4,3,1,0,1,1,60.49368113277462
8,4,0,1,1,0,57.88658066064727
2,2,1,1,1,0,53.25871912905704
4,3,0,0,1,0,58.80285823428624
4,2,0,1,0,0,56.41849009418785
7,2,0,1,1,0,54.336474994391885
3,4,0,0,1,1,62.3108630515836
2,3,0,0,0,1,60.70720380298596
3,3,0,0,1,1,60.31332743537611
0,2,0,0,1,1,58.91230614997844
4,2,1,0,1,0,55.26061655019734
4,4,0,0,1,1,62.931558973700696
0,2,1,0,1,0,54.86783471427985
3,2,1,0,1,1,59.07338606999612
5,3,1,0,1,1,59.07883703808432
5,3,0,1,0,1,59.907374900681305
4,2,0,0,0,0,55.44260539020509
1,2,0,1,1,0,57.37933247987792
3,2,1,0,1,1,57.41841781264466
1,1,0,1,1,1,57.64832443310556
1,2,0,1,1,1,57.66980708033621
2,2,0,0,1,1,57.89367756322339
5,3,0,0,1,1,60.60630194666566
7,3,0,0,1,1,61.16613108212305
3,2,1,1,1,1,58.73120229726224
2,3,1,0,0,1,59.20993434395656
3,3,1,1,1,1,57.73208618323585
5,2,0,0,1,1,59.56940802308668
4,2,0,0,1,0,57.020624529737525
1,2,0,0,0,1,59.07648233718445
3,3,0,0,1,0,57.17743033128991
9,2,0,0,1,0,56.38754484953556
0,2,1,0,1,0,56.36102618064937
1,3,0,0,0,1,59.0168622575715
1,2,0,1,1,0,56.01503158642676
7,3,1,1,1,0,56.15446405777188
1,3,0,1,0,1,59.49487928872625
5,2,0,0,1,0,57.47938099914034
5,3,0,0,1,1,60.199570638176574
4,2,0,0,1,0,57.40970233773937
1,3,0,1,0,1,60.022754697029534
4,3,0,0,1,0,57.65105369780782
5,3,1,0,1,0,57.73933294292264
4,2,0,1,1,0,55.52054832818299
6,2,0,1,1,0,58.42144117370541
2,2,0,0,0,0,56.14023823375928
0,3,0,0,0,1,59.63573879069371
5,2,0,0,1,1,57.97768520816623
4,2,0,0,1,1,58.13215809259577
2,3,1,1,1,0,54.820045050577306
6,2,0,0,1,0,56.92017653038473
6,2,0,0,1,0,57.34486094186862
4,2,0,1,1,1,57.81308200976066
1,3,0,0,1,0,56.657285112321
3,2,0,1,1,0,53.56691238563528
2,3,0,1,1,0,57.56872003720327
6,3,0,0,1,1,61.28274032453577
5,2,0,0,0,0,56.51915703658575
0,3,0,1,1,1,59.20961105547077
3,2,0,0,0,0,57.088559097345325
1,3,0,1,1,1,59.73468148636526
3,2,1,0,1,1,58.34931499197823
8,3,0,1,1,0,55.52520574777562
2,2,1,0,1,1,59.487247708219606
3,2,1,0,1,0,55.02484810374464
1,3,0,1,0,0,55.75919553634108
0,2,0,1,0,0,56.8707111079947
3,3,1,0,1,1,59.99951695426765
4,3,1,0,1,0,56.97819994540848
5,3,0,0,0,0,57.29974038964739
7,3,1,0,1,1,60.36478816634062
5,3,1,1,1,0,56.0334984735164
1,3,0,1,0,1,59.29456124389321
4,3,1,1,0,1,57.36006829302869
5,3,1,1,0,0,57.0158705913918
