education_years,job_tenure_years,has_professional_certificate,union_member,invited_to_job_training,attended_job_training,annual_wage_thousand_usd
2,2,0,1,0,1,60.55079689901186
2,2,1,1,1,1,59.75200910557448
5,2,0,0,0,0,56.304698597736525
4,3,1,0,1,1,58.53385675770125
0,2,0,0,1,1,59.29655783476412
0,3,0,0,1,0,56.78888610333793
4,2,1,1,1,0,56.22298361168539
3,3,1,0,1,1,58.529018596381455
5,2,1,0,0,0,57.159861723437714
6,3,1,1,1,0,56.55607706899221
1,2,0,0,1,0,56.16605560406643
5,2,0,0,1,1,59.63116484181708
8,3,1,0,1,1,58.01092362102359
6,3,0,0,1,1,59.21806805002413
2,2,0,0,1,0,54.66214887982082
4,2,1,1,1,1,59.02076839525287
4,3,1,0,1,1,58.457718090622
1,3,1,1,1,1,60.66655068260134
3,3,1,0,1,0,55.3211630230883
4,3,1,1,1,1,58.78892411109028
6,3,0,1,1,1,58.17738345424935
4,4,0,1,0,0,56.20033032602494
5,2,0,0,0,1,58.32803851432344
2,2,0,1,1,0,55.60399762380357
10,3,1,0,1,1,57.30352936574619
2,2,0,0,1,0,56.73211346536109
1,1,0,0,0,0,55.74409824040632
7,3,0,0,1,1,55.79642989120022
3,2,0,0,1,0,55.91695235661107
5,3,0,0,0,0,55.46647821776393
4,2,1,1,1,0,58.35558841275606
4,3,1,1,1,0,55.30169999594482
0,2,1,1,0,0,56.02238968552995
6,2,0,0,1,1,58.60980796576783
10,3,0,1,1,1,58.90655374663034
3,3,0,0,1,0,56.74010881750686
5,3,1,1,1,0,55.35552646352099
2,3,0,0,1,0,55.39495754069651
5,1,1,0,1,0,56.46693075140029
2,2,0,0,0,0,56.772949409242464
6,3,1,1,1,0,55.089311053170746
4,2,0,0,1,0,55.7953583610942
1,3,0,0,1,0,55.69021743422135
3,2,1,1,1,1,59.547595213874246
5,3,0,0,0,0,54.48062197380505
5,3,0,0,0,1,56.45919836817495
6,2,1,1,0,0,57.57231282527695
7,1,0,0,1,0,53.99905496145915
5,2,0,0,1,1,58.369743022965146
2,1,1,1,1,0,55.33362796598208
2,1,1,1,1,0,56.63839023328492
3,3,1,0,0,1,58.18687072258561
5,2,1,0,0,1,57.214446166988
6,3,1,1,1,1,60.06426527747804
5,2,0,1,1,1,59.69527011838882
4,3,1,1,0,0,54.94296743035622
1,2,1,0,1,0,55.62468482767313
5,2,0,0,1,1,57.60286323513925
5,3,1,0,1,0,53.92037162788958
6,3,0,1,0,1,58.71535922583337
2,2,0,1,1,0,56.93629021491154
1,3,1,0,1,0,55.86207874873154
5,3,0,0,1,0,55.89812610079531
4,3,0,0,1,1,58.098060602858006
1,3,0,0,1,1,60.02806766336678
8,3,1,1,0,1,58.78070538456405
6,3,0,0,1,0,52.47737822347317
4,4,1,1,1,0,55.81294207851997
3,3,1,0,1,1,58.53858245869395
7,2,0,1,1,1,59.44971811018135
5,3,1,1,1,1,59.1264841474974
6,2,1,0,0,1,57.91582414097756
3,3,0,0,1,1,58.97125975790185
4,1,0,1,1,0,57.05998533774513
7,3,0,1,1,1,55.85887871674697
2,3,1,0,1,1,58.09059483649415
7,4,0,0,1,1,57.08346337179012
4,2,0,0,0,1,57.79926117402506
3,2,0,1,0,0,54.50887463121686
7,3,1,1,1,1,58.32916164714813
1,1,0,1,1,0,57.46157069727369
1,3,0,0,1,0,55.59740959294712
2,2,0,1,1,1,57.683496691901055
4,2,0,0,1,1,58.50246943039353
6,3,1,1,1,1,58.33611453564251
3,2,0,1,1,1,57.54634378285236
2,2,1,1,1,0,56.32721382133125
1,2,0,0,0,0,56.87966534333862
2,3,1,0,0,0,57.417399330694174
3,3,0,1,1,0,57.28200866776472
5,3,0,0,0,1,58.05645481519337
-1,2,0,0,1,0,57.05147725262003
2,3,1,0,0,0,54.30644944348688
6,2,0,0,1,1,57.50513728008338
3,2,1,0,0,0,55.893794049546514
5,2,1,0,1,1,57.40277898582857
2,3,0,0,1,1,58.27470510377988
2,2,1,0,0,0,55.78564275475874
5,3,1,1,1,0,56.51386102023135
3,3,1,1,1,1,60.23956195161976
6,4,1,1,0,0,56.91171155446846
7,3,0,0,1,1,56.12797926903703
3,3,1,0,1,1,59.68387028449688
0,4,0,1,1,0,56.19921007227088
4,2,0,1,1,0,56.62204665451127
4,2,1,1,1,0,56.39886305574145
4,2,0,0,1,0,55.2058670255241
7,1,1,1,0,1,58.39889524663061
4,3,0,1,1,0,52.958635942354086
5,3,0,1,1,1,59.175213991337735
3,3,0,1,0,0,55.03341713699264
4,3,0,1,1,1,58.25882329281555
1,3,0,0,1,1,57.90674524339425
6,2,1,0,1,1,58.07882666157714
4,2,1,1,0,0,57.65476480247512
1,2,1,1,1,0,56.26610121218607
1,2,0,0,1,1,59.530689976573015
6,2,0,0,1,0,55.554088714482056
6,3,0,1,1,0,56.170508217958606
3,2,1,1,1,0,56.12228817801381
3,3,0,1,1,0,57.652893391115946
6,3,0,0,1,1,57.36090141866822
2,3,0,0,1,1,57.24490502982975
2,3,0,0,1,1,58.88050146515663
2,3,1,0,0,0,55.558257399073206
4,3,0,0,1,1,57.83423295101317
0,2,0,0,1,0,56.22632974007041
1,2,1,1,0,0,56.32848372192842
4,3,0,1,1,0,55.22071172374214
4,3,1,1,1,1,58.61191862466357
6,3,0,1,1,1,58.154722813059735
2,3,0,0,1,0,54.373122740231366
5,3,1,1,1,1,58.82272640864809
3,3,0,0,0,0,56.57037778462386
8,1,1,1,1,0,54.48563404232436
3,3,0,0,1,1,57.33228619014765
6,4,1,1,1,0,56.654771239352925
1,2,1,1,1,1,60.2070029224469
4,2,1,0,1,0,56.30988562585381
4,2,1,0,0,0,54.78119561571742
3,2,0,0,1,1,57.955376847605095
4,3,1,1,0,1,59.65193114731005
0,4,1,1,1,0,54.89316121008326
7,1,1,0,1,0,56.86076708103314
3,3,1,0,1,0,52.89766916632682
7,2,1,1,1,1,58.042535079799535
4,3,1,0,1,1,57.89093515864717
4,3,1,0,1,1,59.62144448640312
7,3,1,1,1,1,58.06892833257528
6,3,0,0,0,0,54.920697095422014
5,3,0,0,0,1,58.3297516227105
2,2,1,1,1,0,56.67969267672801
