years_at_current_residence,household_size,previous_eviction_count,has_disability,receives_unemployment_benefits,received_housing_counseling_invite,attended_housing_counseling,housing_stability_score
4,2,1,1,0,1,0,52.90653243588378
4,3,0,0,0,1,0,53.86671580128891
3,3,0,1,0,1,0,53.43630579520497
4,3,0,1,0,1,1,61.95579319430063
-1,2,0,0,1,0,0,53.10911816157815
2,2,0,0,1,1,1,60.73757032946429
3,2,0,0,1,0,0,52.912677687523534
7,3,0,1,0,1,0,51.87290552098845
0,2,0,1,1,1,1,61.938182729735495
0,2,0,1,0,1,0,54.46242997051782
1,2,0,1,0,0,0,52.55269901913554
1,3,0,1,1,1,1,59.21451990489305
-2,2,-1,1,1,0,1,62.81081598551073
0,3,0,0,1,1,0,53.93401006119735
7,3,0,1,0,1,1,61.31198328680652
0,2,0,1,0,1,0,52.23991182983261
2,2,1,0,1,1,1,61.24194376636736
2,2,0,0,0,1,0,53.66096310374347
3,2,0,1,0,1,1,62.005808210779605
4,2,0,0,0,0,0,53.42739642482797
4,2,0,1,0,1,0,52.4020288705828
2,3,0,0,1,0,0,53.21919127642139
3,1,0,1,1,1,1,60.05830617708459
5,2,0,1,1,1,1,60.30329480909771
6,3,0,1,0,1,0,53.06271863039094
6,3,0,1,0,1,1,60.26076724686288
6,4,1,1,1,1,1,61.28780923120125
2,2,0,0,1,1,0,52.85261074228669
7,2,0,1,1,1,1,59.0488147033803
5,2,1,0,1,1,0,51.5145973153919
2,2,0,0,0,0,0,54.77574731476216
2,3,0,0,0,0,0,54.24683629960521
1,2,1,1,0,0,0,53.98951399053969
4,2,0,0,1,0,0,53.61654294136185
0,3,0,1,1,1,1,61.41288654314693
4,3,0,1,0,1,0,54.15480870289152
3,2,-1,1,0,1,1,63.00146442337257
5,2,0,1,1,1,1,61.58267281771071
1,3,0,1,0,1,1,60.47116129738916
5,2,0,1,1,0,1,60.21156772173805
0,3,-1,0,1,1,0,55.610927315941
2,2,0,1,1,1,1,60.57737667389562
2,2,0,0,0,1,0,53.884954273351774
3,2,0,1,0,1,0,51.70803933849631
3,2,1,0,1,0,0,52.92730994366859
0,3,0,0,0,1,1,62.575735436844255
4,2,-1,0,0,1,1,62.64632357382503
6,3,0,0,0,1,0,54.03565748602265
8,2,0,1,0,1,1,61.93162495738717
1,3,0,0,0,0,0,53.51897243844258
7,2,0,0,1,0,0,49.864911053187846
4,3,0,1,1,1,0,52.06819945762291
2,2,0,1,1,1,1,60.65181901613409
1,3,0,1,0,1,0,54.0035373600124
5,2,0,1,0,1,0,51.771866167974224
3,3,0,1,1,1,1,61.71797449654538
3,3,0,1,1,0,1,61.24983610032982
1,3,1,1,1,0,0,53.18973994757717
2,3,0,1,0,0,0,52.397556318832535
9,2,-1,0,1,1,1,58.65411415354034
6,2,0,1,0,1,1,61.30097693411861
2,2,0,1,1,0,1,60.47258780307176
8,2,0,0,1,1,1,60.71488579789808
7,3,1,0,0,1,0,53.027203967406905
5,3,0,1,1,1,1,60.31426336932319
2,2,0,0,1,1,0,53.164203428943246
3,3,0,0,1,0,0,52.06284094513676
4,2,0,1,1,1,1,59.53465428622997
3,3,0,1,1,0,1,60.8655705484738
8,2,0,0,1,1,1,60.67930615382173
5,2,0,0,1,1,1,60.35411119390459
4,2,0,0,0,0,0,53.52552098458869
4,2,0,1,0,1,0,52.44537867247199
2,3,0,1,1,1,1,59.09985905904261
4,3,0,1,0,1,0,53.53084833703696
6,2,0,1,0,1,0,53.22980440389545
6,3,0,1,1,1,1,59.688776827939016
4,2,0,1,1,0,1,59.66780039349015
0,2,0,1,1,1,0,54.143493171530665
4,3,0,1,1,1,1,61.70283107957436
2,2,0,0,0,1,1,61.14081514544385
3,2,0,1,1,0,0,53.32718843700582
1,3,0,0,0,1,0,53.987927004383074
5,3,0,1,1,1,1,61.841666273561735
6,2,0,0,1,1,1,60.89735222020749
2,2,0,1,1,0,1,61.55885198069664
4,2,0,1,0,0,0,54.53790027777441
3,3,1,0,1,1,0,52.78418311730922
6,2,0,1,0,1,0,53.71631631229904
2,3,0,1,1,1,0,54.41802400115021
4,4,0,1,0,1,1,62.50177960904264
3,3,0,1,1,1,1,60.347331990110526
6,2,0,1,1,0,0,51.66650759794906
5,1,0,0,1,0,1,58.77995074071249
1,3,0,1,1,1,1,63.217224770416514
2,2,0,1,0,1,0,53.63553926076578
0,2,0,0,1,1,0,54.12878136230465
1,2,0,1,1,1,1,61.28883073809871
9,3,0,0,1,1,1,59.17241826763993
8,3,0,0,1,0,1,60.72018690149977
1,2,0,0,0,1,0,54.42193558768391
3,2,0,0,1,1,0,53.11934160838796
4,3,0,1,1,1,1,59.3207628678089
8,3,0,0,0,1,1,61.33011751316124
3,2,0,0,0,1,0,52.43959689252004
0,2,0,0,0,1,0,53.94581978635127
2,2,0,0,1,1,0,53.38222314035536
2,3,0,0,0,0,0,53.56884511022136
1,3,0,1,1,0,1,60.85421970742984
5,2,0,1,0,1,1,60.37046633444034
5,3,1,1,0,1,0,54.75753924709596
1,2,0,1,0,0,0,52.8115472303708
5,3,0,0,1,0,1,62.96517290091794
5,2,0,1,1,0,0,53.19271973909929
2,2,0,1,1,0,0,53.59190814460524
3,2,0,0,1,0,1,60.91461100994191
6,3,0,1,1,0,1,60.60905203528588
5,3,0,0,1,1,1,60.681538854597896
4,2,0,0,1,0,0,52.95725628460527
0,2,0,1,0,1,1,61.98894135116426
1,3,1,0,1,0,0,53.587636146124005
2,2,0,0,0,0,0,54.52317321058978
0,2,1,0,1,1,0,53.75330229849358
6,3,0,0,0,0,0,52.544774787924766
6,3,0,1,1,0,0,53.91466005545868
5,2,0,1,0,1,1,63.32377568132205
7,2,0,0,1,1,1,60.43611019767607
4,3,0,0,0,1,0,53.521861102946055
4,2,0,1,0,1,0,52.24908489515097
0,2,0,1,1,1,1,59.59778737749702
1,2,0,0,1,1,0,52.94839298054679
6,3,0,0,1,1,1,63.08702640975568
5,3,0,1,0,1,0,53.27753408367253
4,2,0,1,0,1,0,52.08528070271434
7,4,0,0,0,1,0,53.01922563507643
5,3,0,1,0,1,0,52.31235758456816
6,4,0,0,0,1,1,60.67627217759775
2,2,0,0,1,1,1,61.21791791332783
0,2,0,0,1,1,1,60.68158771321251
1,3,0,1,1,1,1,60.82590804945368
3,2,0,1,0,1,0,53.52477187752577
5,3,0,1,1,0,1,61.18835033396722
4,3,0,1,1,0,0,51.17956359417947
3,1,1,0,0,0,0,51.096670256821525
6,3,0,1,1,1,1,60.23060967429697
5,3,0,1,0,0,0,53.897884587955765
3,2,-1,1,1,1,1,60.01007560075117
2,2,0,0,1,0,0,54.92185327903939
3,2,0,1,0,0,0,52.48809162649512
6,2,-1,1,0,1,1,61.41196968373136
4,2,1,1,1,1,1,59.80542919663056
4,3,1,0,0,1,0,52.04716155947436
1,2,0,1,0,0,0,53.350357738409706
5,2,0,0,1,0,1,60.649600122164486
3,3,0,1,1,1,1,59.61216647065277
2,2,0,1,1,1,1,60.92943481061167
3,3,0,1,0,1,1,61.66730316542614
0,4,0,1,0,1,0,54.6037018896584
5,2,1,0,1,1,0,52.53852324982966
3,3,0,1,1,0,1,59.30441226621727
2,3,0,0,0,1,0,53.272500320803374
0,3,0,1,0,1,0,54.77112707659621
1,2,0,0,0,1,1,60.26940855852903
6,3,0,0,1,1,1,60.62242518209256
0,2,0,0,0,1,0,54.39349177750683
2,3,0,1,0,1,0,52.24024548652677
4,2,0,1,0,0,0,52.85900070228609
5,3,0,0,1,1,1,61.63399679849232
3,3,0,1,0,1,1,61.4730102966779
1,3,0,0,1,0,0,53.08692271680299
1,3,0,1,0,0,0,52.046869316092064
3,2,0,1,1,0,1,61.445407653648864
8,2,0,0,0,0,0,52.17449360321665
4,2,0,0,0,1,1,62.12957426247048
8,3,0,1,0,1,1,59.7245269809235
2,2,0,0,1,1,1,61.08546818668299
0,2,0,1,1,1,1,62.1752897086423
3,3,0,0,0,1,0,53.01030030207561
0,3,0,1,0,1,0,53.24668734966249
9,2,0,1,0,1,1,58.95218121669389
5,3,0,1,0,1,1,63.109088099349606
3,2,0,0,0,0,1,61.339106667371134
2,3,0,1,1,1,1,60.17101662246684
1,2,-1,1,0,1,0,53.11266736438324
5,3,0,1,0,1,1,62.259856245307134
1,2,0,1,1,1,1,61.77882713797735
