prior_offenses,age_at_charge,income_bracket,has_dependents,employed_status,legal_aid_offer,legal_aid_uptake,sentence_length_months
6,3,1,1,1,0,1,53.31904932774409
3,2,0,0,0,1,0,47.29571575111349
4,3,0,1,1,1,0,46.963943186175385
0,1,0,1,1,0,0,45.92886163167742
1,3,0,0,1,1,0,46.95921300096817
1,3,0,0,1,1,1,54.58668337327828
4,2,-1,0,0,1,1,52.70263553885779
4,2,0,1,1,1,0,46.08607097441855
2,2,0,0,0,1,0,47.68733388887404
8,2,0,0,0,1,1,55.856460718044325
2,3,0,0,0,0,0,44.11906638117834
4,2,1,0,1,1,0,45.99781871519549
3,2,0,0,1,1,1,55.82235284160426
2,3,0,1,0,1,1,50.853072829583255
3,3,0,0,1,1,0,46.52791841576306
2,3,0,0,0,0,0,44.58973394692643
6,3,0,0,1,1,1,53.80580744980436
5,4,0,0,0,1,1,53.11573048684533
2,3,0,1,0,1,0,47.12700618882818
3,2,0,0,0,1,1,54.22986245395703
1,2,0,0,0,0,0,47.03285387242322
4,3,0,1,1,1,1,52.75901927593427
6,3,0,1,1,0,0,46.182054574029095
0,3,0,0,1,0,0,46.47924865340416
4,2,0,0,0,1,0,46.069029269880986
2,2,0,0,1,1,0,47.1586872924932
4,4,0,0,1,0,0,47.524807090890775
11,2,0,1,0,1,1,53.94902046591484
4,3,0,1,1,1,0,44.84243382748109
3,2,0,0,1,0,1,53.51600453310532
2,2,0,0,1,1,1,54.2516045275058
5,2,0,1,0,1,1,55.00595120173084
4,3,0,1,0,0,0,46.65587453461143
3,2,0,0,0,1,1,53.764327867117935
5,3,0,0,1,1,1,55.45081764586023
3,3,0,1,0,1,1,53.83780425846111
3,2,-1,0,0,1,0,45.54396057907674
5,3,1,1,1,0,0,46.10624245881185
5,3,0,0,1,0,0,46.35549927370785
6,2,0,1,0,0,1,53.64765244556275
7,3,0,1,0,1,1,54.3778088138111
6,2,0,0,1,1,1,53.42660061327574
4,4,0,1,1,1,0,45.06379022771485
2,2,0,0,1,1,0,46.90714264768558
5,2,0,1,1,1,0,46.32437548279564
4,2,0,1,1,1,1,53.34969631997543
0,2,0,0,0,1,0,47.8446358349627
4,2,1,1,1,1,0,44.5586871350926
3,3,0,1,0,1,0,45.47920587135873
4,3,0,0,0,0,1,55.5694784596755
7,2,1,0,0,1,1,52.8586843145544
5,2,1,1,1,0,1,53.88777022217975
3,2,1,1,0,1,1,54.01928146542439
0,3,0,1,1,1,0,46.630310588565045
1,2,0,1,0,1,0,46.82384844667732
7,2,0,0,1,0,1,55.02836957427808
0,2,0,1,0,0,0,42.19299355697804
7,3,0,0,1,1,1,53.67038701556001
5,3,0,1,1,1,0,46.65153167376124
7,2,0,1,0,1,1,54.21311944752912
3,2,0,1,1,0,0,47.381711973681824
2,2,0,1,1,1,0,47.599528164029095
1,3,1,1,0,1,1,51.684071469572864
4,3,0,1,1,1,1,53.953976554765575
6,2,0,1,0,1,1,52.77489120730857
-1,2,0,0,0,0,0,46.75753813093437
2,2,0,0,0,1,0,45.87721104962433
4,2,0,0,0,1,1,55.18936611607068
3,2,0,1,0,1,0,43.15694453509103
6,3,0,0,0,0,1,52.705220888451166
4,2,0,0,0,1,1,53.25774374948935
2,4,0,0,0,0,1,52.77569904391999
2,2,0,0,1,1,0,46.07384706604877
2,2,0,0,0,1,0,45.48052472889979
3,3,1,0,0,0,0,45.90751085555294
2,1,0,0,0,1,0,45.8083373785068
5,1,0,0,0,1,1,52.416496912753495
5,3,0,1,0,1,1,53.02457694380102
2,3,0,1,0,1,0,43.654573357062176
5,2,0,0,0,0,0,48.1978635239888
1,2,0,1,0,1,1,53.36975069814306
2,3,0,0,1,0,0,47.32029064674646
5,2,0,0,0,1,1,54.64212797033705
1,2,0,0,0,0,0,44.6943525523754
7,3,0,0,1,0,0,47.639939561376025
4,2,0,1,1,1,1,52.04879120384536
8,3,0,0,0,1,1,51.12553107222999
8,3,0,0,1,1,1,54.88543691548824
7,3,0,0,0,1,1,55.890312526219134
6,1,0,0,1,1,1,56.1782812189408
1,3,0,0,0,1,0,45.00281896526507
1,2,0,0,1,1,0,45.5529737519149
1,2,1,1,0,0,0,43.52851581850457
1,2,0,0,1,1,0,44.33448773437266
3,2,0,0,1,1,1,53.78972020306291
3,2,0,0,1,1,0,47.53909180718898
0,3,0,0,1,1,0,46.44018019097243
0,3,0,1,0,1,0,45.09163081837117
5,2,0,0,0,1,0,46.01021073931922
1,2,0,1,1,0,0,45.765584154291616
5,3,0,0,0,1,1,54.0590084618469
5,3,0,1,1,0,1,54.18866557932791
6,3,0,1,0,1,0,46.80835205839303
3,3,0,1,0,1,0,45.33234451801236
4,4,1,0,0,0,1,53.66208567209973
4,3,0,0,0,1,1,55.08306486967731
1,2,0,0,0,1,0,47.08566476487656
6,2,0,1,1,0,0,47.95029564146528
8,2,0,1,1,0,1,55.435842083193215
6,2,0,1,0,0,1,53.46412216794246
4,2,0,1,0,1,1,52.289793640957896
3,3,0,1,1,1,0,46.81341811555323
0,3,0,0,0,1,0,43.509181147870905
1,3,0,0,1,1,0,46.61573323807357
4,3,0,1,0,1,1,51.66021796168305
5,3,0,1,1,1,1,54.13571550782163
1,2,0,0,0,1,0,44.65780349093127
5,2,0,0,1,0,1,53.69756693443096
4,2,0,0,1,0,1,55.35667048113008
0,2,0,1,1,0,0,46.387372867567166
4,2,0,1,0,1,1,54.16019053785244
2,3,0,0,1,0,0,46.105158491734045
4,2,0,0,0,1,0,46.18494676221732
6,2,0,1,0,1,1,52.33116351716289
3,2,1,0,0,1,1,52.04303260013442
7,2,0,1,1,0,1,52.62222271447829
6,3,0,1,0,1,1,50.853913370074686
5,2,0,1,0,1,1,52.23383122917042
6,2,0,0,1,1,0,48.04002138649381
1,2,0,0,1,0,0,45.76258418048687
6,3,0,0,0,1,1,53.07036850814629
5,3,0,0,1,1,0,47.97326012917054
4,2,0,1,1,1,0,47.08900469985333
