education_years,political_interest,civic_participation_score,identifies_with_major_party,previous_voter,voter_mobilization_mailer,attended_town_hall,political_knowledge_score
7,2,0,0,0,0,0,42.50595362731676
1,3,0,0,0,1,1,51.66353436762294
4,3,0,1,1,1,1,51.52921846653479
5,2,2,1,0,1,0,46.16133148563244
4,3,0,0,0,0,0,42.107079329065485
6,3,0,1,0,1,0,40.88855561938489
2,2,0,0,0,1,1,52.228999041658746
8,2,0,0,0,1,0,41.435249885744255
3,3,0,0,1,1,0,44.33281500967614
4,2,0,0,0,1,1,50.58012310385223
5,3,1,0,1,1,0,43.24868659742531
2,2,0,1,0,0,1,53.446109489597525
1,3,1,0,0,1,1,51.31464268817015
3,4,0,1,1,1,1,49.25579265899028
2,3,0,0,0,1,1,50.78125446158879
4,2,0,0,0,0,1,49.14988393264828
7,2,0,1,0,1,0,42.65246225381785
4,2,0,0,0,1,0,45.43304845987944
5,3,0,0,1,0,0,41.585947203475854
5,4,1,1,0,1,0,42.62635186886112
3,3,0,0,0,1,0,44.967260507592826
8,3,0,1,1,1,0,41.055072103992494
1,2,0,1,0,1,1,52.92363064747672
6,3,0,1,1,1,0,44.0801203222709
3,3,0,1,1,0,1,51.48571319977242
1,3,0,0,0,1,1,50.6264953955887
4,3,0,1,0,1,0,43.446424894574825
3,2,0,1,0,1,1,51.31647144926766
1,3,0,0,1,1,1,52.02615259143359
2,3,0,0,0,0,0,45.7911866161986
3,3,0,1,0,1,0,45.28544410967319
4,1,0,0,1,1,1,51.39363812185512
7,2,0,0,0,0,0,41.26204691315812
0,2,0,0,0,1,1,53.75222843281304
5,2,0,0,0,1,1,49.50355365286576
3,2,0,0,0,1,0,45.26888606604027
1,2,0,0,0,1,1,53.738782085420695
2,2,0,0,1,1,1,50.74632456997415
0,3,0,1,0,1,1,53.60674908167134
4,3,0,0,0,0,0,42.68948309812775
4,2,0,0,0,1,0,43.79103834561325
5,2,0,0,0,1,1,50.01004655328019
5,2,0,1,0,1,0,44.73009250486736
2,1,0,1,0,0,1,53.99388264732434
8,2,0,1,0,0,0,41.79249186492057
4,4,0,0,1,0,0,43.91946989787874
5,2,1,0,0,1,0,45.23316873180906
2,2,0,0,0,1,1,51.72290701447197
6,3,0,0,0,0,0,41.49467202624946
5,3,0,0,0,0,1,48.72705022193502
3,2,0,0,1,0,0,46.16035794397939
6,2,1,1,0,1,0,42.57533249439836
5,3,0,0,0,0,0,43.043199542038224
6,3,2,0,0,1,0,42.20776605563242
4,3,0,1,1,1,1,51.18871267906449
2,1,0,0,0,1,1,54.73663151389106
2,3,0,1,0,1,1,53.33831161525112
3,2,0,1,0,0,1,53.16131020103224
5,3,0,0,0,1,0,41.26514317352431
3,2,0,0,1,1,1,49.85956557957141
4,3,0,0,0,1,1,48.26543243807202
4,2,0,0,0,1,1,49.87565733002934
3,3,0,0,0,0,0,45.30154192768997
3,3,0,0,1,1,1,49.77280057029634
1,2,0,1,0,1,1,54.46679338677159
2,2,0,1,1,0,1,52.114243529159126
0,1,0,1,0,1,1,55.28778318409636
3,3,0,1,0,1,1,50.62453031915948
5,2,0,0,0,0,0,42.328798118365256
5,3,0,0,1,1,0,42.755530435514494
2,2,0,1,0,1,1,53.44578233680242
0,3,0,0,0,1,1,53.56511861789664
5,2,0,0,0,1,0,43.81651285418162
2,2,0,0,1,0,1,52.94347896832348
4,3,1,0,0,0,0,44.49830892007818
2,2,0,0,0,0,1,52.664301084699865
3,2,1,0,1,1,0,46.160716477259896
1,3,0,0,0,1,1,52.718101607716406
3,3,0,0,0,1,0,45.47254110118226
1,2,0,0,0,1,1,53.18615157192694
6,4,0,0,1,1,0,43.19876449260597
1,3,0,0,0,0,0,45.20704319211393
0,4,-1,0,1,1,1,51.28265565252541
2,2,0,1,0,0,0,46.30894110934721
3,2,0,0,0,0,1,50.69515758721048
7,3,0,1,0,1,0,42.51099207921197
6,3,0,0,0,1,0,41.50488448899798
4,2,0,0,0,0,0,43.82831382673913
4,3,0,0,0,1,0,42.21334471163798
5,2,0,1,0,1,0,47.28725904969533
4,4,0,1,1,1,0,42.10220901101667
3,3,-1,1,0,0,1,50.785067630554586
6,3,1,0,0,1,0,43.851531306848415
0,2,0,1,1,1,1,54.38210324434738
1,2,0,0,0,1,1,52.55895368234982
3,3,0,1,0,1,1,49.80257365401347
5,2,0,1,0,0,0,42.02175724470583
1,2,0,1,0,0,1,52.9595010281697
5,2,0,0,0,0,1,48.11913097416088
5,2,0,0,0,1,1,49.67424847995744
6,3,0,1,0,1,0,42.882340916497085
2,3,0,0,0,1,1,51.08292493015565
6,2,0,0,0,1,0,42.20909970867536
2,2,1,0,0,1,1,51.74492500844274
2,2,-1,0,1,0,1,53.73537522956366
4,3,0,1,0,0,0,43.99864718116897
1,3,0,0,0,1,1,53.72238901645277
2,3,1,1,0,0,1,51.70760470784464
3,2,1,0,0,0,0,46.9670903321709
