years_of_education,household_size,pre_intervention_income_change,owns_home,has_stable_job,received_financial_literacy_invite,attended_financial_literacy,post_intervention_monthly_income
5,2,0,1,0,0,0,48.87999044095304
2,3,0,1,1,1,1,55.79803699471666
3,2,0,0,1,0,0,49.57665812831906
1,3,0,1,0,1,0,47.476857554750296
5,2,0,1,0,1,0,49.38236717845676
4,3,0,0,1,1,0,50.313439477244486
4,2,1,1,1,1,0,50.10054849423173
1,2,0,1,0,1,1,56.1896798054288
4,3,0,1,0,0,0,47.88844110354989
3,2,0,0,1,1,1,56.483120736901576
5,3,0,1,1,1,0,50.96312856773282
4,1,-1,1,0,1,0,48.612227084682345
2,4,0,1,0,1,0,48.4986845388271
2,3,0,1,1,0,1,59.44715213897414
6,2,-1,0,1,1,0,49.30147008509326
4,3,0,1,0,1,1,55.6174268743759
3,4,0,0,1,0,1,56.496405308378186
6,3,0,0,0,1,0,50.6823792429271
3,3,0,1,0,0,0,49.0750916760954
1,4,0,1,0,1,1,55.36890902228223
3,2,1,1,0,1,1,56.811624048939166
0,2,0,0,0,1,1,55.72653740098588
4,2,0,1,1,1,0,49.26685132660193
3,2,0,0,0,1,1,56.36788887322586
1,3,0,1,1,1,0,48.40625864593666
4,3,0,0,0,1,0,49.17753455735272
3,4,0,1,1,1,0,50.492700268414666
2,3,0,0,1,1,1,57.8072758619807
0,3,0,0,1,1,1,56.59175573190474
2,3,0,0,0,1,1,57.13077285342877
3,3,0,1,0,0,1,55.62574981469712
0,2,0,1,0,1,1,57.42059052327263
3,3,0,0,1,1,0,49.56397132114208
5,3,0,0,0,1,0,49.44053067882921
3,3,0,1,0,1,1,56.35153702750553
4,2,0,0,1,0,0,48.91570577223226
4,2,0,1,1,1,1,56.66824431792711
2,2,1,0,0,1,1,56.9411650446965
4,3,0,0,0,1,1,57.09699066265751
3,2,0,0,0,1,1,57.62754167690069
4,2,0,0,0,1,1,56.8419758414334
3,2,0,0,0,1,1,57.629180345315945
6,3,0,1,0,1,1,56.569853721752246
2,3,0,0,1,1,0,48.52078648347732
3,3,0,0,1,1,1,56.16160237772534
4,2,0,0,0,1,1,55.66679138035103
4,1,0,0,0,1,1,57.353240347760114
6,3,0,1,1,1,0,50.67926678336374
2,3,0,1,1,0,0,49.96436464837301
5,3,0,0,1,1,1,56.17696991395504
4,2,0,1,0,1,0,48.05878249157126
5,3,0,1,0,1,1,57.53954782632333
3,2,0,0,0,1,0,47.21313060802253
5,3,0,1,0,1,1,57.52169432784203
6,2,0,1,1,1,0,49.32381565691914
2,2,0,0,1,1,0,49.955999012691024
6,2,0,0,0,1,1,57.03781931409824
6,2,0,0,0,1,1,57.42717183375243
5,3,0,1,1,1,0,50.45817327790388
2,3,0,1,0,1,1,56.44732399916872
2,2,0,0,0,1,1,56.82718497515219
0,4,0,1,1,1,1,57.35745363911534
3,3,0,0,0,1,1,56.00455483261023
4,3,0,0,1,0,1,57.93228587181258
0,3,0,1,1,1,1,57.71099527513525
7,4,0,0,0,0,0,49.72420322826006
5,3,0,1,0,0,0,49.305211761598
6,3,0,1,0,0,0,47.56494527293678
4,2,0,1,0,1,1,56.86911875866809
3,2,0,0,0,1,0,49.71482587131264
4,2,0,1,1,1,0,49.10255996961743
4,2,0,0,1,1,0,52.00148916016588
3,2,0,0,1,1,0,50.93743934503967
6,2,0,1,0,0,1,55.439141024619
5,2,1,1,1,0,0,49.77207075810035
2,2,0,0,0,0,1,55.89107018139773
6,3,0,1,1,1,0,49.81021857637092
8,3,0,1,1,1,0,50.05568295153533
3,3,-1,0,1,1,1,59.898054199447486
6,3,0,0,1,1,1,57.879857247033975
7,3,0,1,1,1,0,49.7224796831418
5,3,0,0,0,1,1,56.897190879518135
4,3,1,0,1,0,0,51.20100784775102
2,3,0,1,0,1,0,47.43392685444044
4,2,0,1,1,1,1,57.24520221292855
3,3,0,1,0,1,1,57.026647666386935
3,3,0,1,1,1,1,58.04484144915104
4,3,0,1,0,1,1,55.41095801601114
3,3,0,0,0,1,1,55.73706543354338
6,3,0,0,1,0,0,51.38508410352095
2,2,0,1,1,0,0,48.94209925410709
3,2,0,0,1,1,0,50.73203866300552
3,2,0,0,1,1,1,59.02143108382663
4,3,0,0,0,1,1,57.265043071938926
4,3,0,1,1,1,0,48.766324998487406
1,3,0,1,1,1,1,57.402648342199406
3,3,0,1,1,0,1,54.98800836241567
4,3,0,1,1,1,1,57.507093029603325
3,2,0,1,1,1,1,57.33446385797408
0,2,0,1,1,1,0,48.93389112166826
2,3,0,1,0,1,1,57.58611004526796
7,4,0,0,0,1,0,49.80452875776059
6,3,0,0,1,1,0,51.64588560923262
4,4,0,1,0,0,1,57.75012737811901
1,3,0,1,1,0,0,47.83963770805895
3,3,0,1,1,1,1,57.021094616828464
2,4,0,1,1,0,0,49.16939447862988
3,2,1,0,1,1,1,56.38663183711056
4,4,1,0,1,1,0,51.378255256559015
7,3,0,1,1,1,1,58.37173039240412
5,2,0,0,0,1,1,57.16957597113881
3,2,0,1,0,0,0,47.589866293320014
5,3,0,0,0,1,0,48.42680405080449
4,2,0,0,0,1,1,56.9132695269708
2,2,1,0,0,1,1,57.63409059830804
2,3,0,0,0,1,1,55.77392546812201
-1,3,0,1,0,1,1,55.72640502495116
8,2,0,0,1,0,0,50.39412070240114
3,3,0,0,1,0,1,58.85203499539793
2,2,0,0,1,1,1,55.77075902915925
1,2,0,1,0,1,1,55.26867721375773
1,2,0,1,0,0,0,45.804967246921336
4,3,0,1,1,1,1,55.72448199571389
4,3,0,1,1,0,0,48.90756229171822
3,3,0,1,1,0,0,47.969537066097935
2,2,0,1,0,1,1,55.83780836220298
9,2,0,0,0,1,0,49.97833189600006
2,3,0,0,1,0,1,57.62074816040106
0,3,0,0,1,0,1,57.34029371235488
1,2,0,0,1,0,1,57.25053905096482
0,2,0,0,1,1,0,48.80244131251147
5,2,0,0,0,1,1,56.107618856022455
1,3,0,1,1,1,1,58.11436070047034
8,3,1,1,0,0,0,50.97840985425572
6,2,1,1,1,1,0,49.57949504686553
3,2,0,1,0,0,0,47.89375943057122
8,3,0,1,0,1,0,49.32553082839409
2,4,0,0,1,0,1,57.53802019769342
6,3,1,0,0,1,0,50.60285670811212
7,3,0,0,0,0,0,47.92195742660171
7,3,0,1,0,1,0,47.86422177476343
8,2,0,1,0,1,0,50.18795978821302
6,4,0,1,1,1,0,49.28694483501817
5,3,0,0,1,1,0,51.22715202764366
3,2,0,0,0,1,1,56.76208638794239
3,3,0,1,1,1,0,49.538772596483696
5,2,0,1,0,0,1,57.41240345561659
-2,3,0,1,0,1,1,55.71217403492248
6,3,0,0,0,0,1,57.17684110262184
1,2,0,0,1,1,0,47.74033089400344
0,3,0,0,0,1,1,56.12184858796821
3,3,0,0,1,1,0,50.9124544470211
2,3,0,1,0,1,1,54.69391558693054
3,3,0,0,0,1,1,56.97360526479862
6,2,0,0,1,1,0,49.31668336646764
3,3,0,1,0,1,1,57.97541539756398
0,3,0,1,1,1,1,57.56616775049249
7,2,0,1,1,1,0,49.65371773244632
2,5,-1,0,0,0,1,57.25432256302816
3,2,0,0,0,0,1,56.73503206530174
3,2,1,1,1,1,0,48.238228896479335
2,4,1,0,0,1,0,49.296067024072855
3,3,0,0,0,1,0,48.27560835000055
0,1,0,1,0,1,1,54.16074071742205
0,2,0,0,0,1,1,56.28242894520892
2,3,0,0,1,1,1,56.66710836253616
4,3,0,1,0,0,1,57.19046733089678
5,3,0,0,1,0,0,50.65161287964997
0,3,0,0,0,1,1,56.37189149079137
3,2,0,1,0,0,0,48.26722145361388
6,2,1,1,1,1,0,51.15409544819224
8,2,0,0,1,1,1,57.37476915605534
2,2,0,1,1,1,0,51.05867659147714
6,4,0,1,1,1,0,51.040629665560985
0,2,0,0,1,0,0,49.59403158102724
3,2,0,0,1,1,1,58.05894000073973
0,2,0,0,0,1,1,56.41490631898396
2,3,0,0,1,0,0,51.130556341176685
5,3,0,0,0,1,0,49.714442332627
9,2,-1,0,0,1,0,49.116530917042624
2,3,0,0,0,1,1,56.12887757566962
5,2,0,0,0,0,0,48.63173282712092
5,3,-1,0,1,0,1,57.58909740151781
3,3,0,0,1,0,0,49.93473257489766
0,3,0,1,0,1,1,54.67976411911984
2,2,0,1,1,0,0,50.659149442303786
6,2,0,1,0,0,0,48.10506480655989
6,2,0,0,0,1,0,50.03924542804568
1,2,0,1,0,0,1,56.86984046901036
3,1,-1,0,1,1,1,57.52246269482298
5,3,0,0,0,1,0,49.380214806848855
2,3,1,1,1,1,0,51.26337287726036
7,1,-1,1,0,1,1,56.62599002709412
0,3,0,1,0,1,1,57.05969503849952
1,3,0,1,1,0,0,48.32665972260537
8,2,0,0,1,0,0,51.1855094280133
0,2,0,0,0,1,0,48.08127637572255
4,3,0,1,0,1,1,56.92474629545239
4,2,1,0,0,1,0,49.177148107226266
4,3,0,1,0,0,1,57.11899540283199
4,2,0,0,0,0,0,49.173431927223575
6,3,0,0,1,1,1,57.7254621504192
3,3,0,1,1,1,0,49.64812776483089
8,2,0,0,1,1,0,50.9594154558128
5,3,0,0,0,1,1,59.163743824938464
6,3,0,0,0,0,0,48.263999738759566
3,2,0,0,0,1,1,54.77793623037898
4,2,0,0,1,1,0,49.84463083019911
2,3,1,0,1,1,0,49.31661069866874
6,3,0,1,0,0,1,58.10201370773762
3,2,0,1,1,1,1,56.57557783807863
2,2,0,0,0,0,0,48.75600152636051
1,2,0,0,1,1,1,57.91078768021317
9,2,0,1,1,1,0,49.79738333333185
3,3,-1,0,0,1,1,57.19439641977606
3,3,0,0,0,1,0,48.868644133846935
4,2,0,1,0,1,1,57.19271871796786
8,3,0,0,0,1,0,48.969918950687216
6,2,0,1,0,1,1,56.39366036644108
3,3,0,0,1,1,1,58.085945128632254
0,3,0,0,0,0,0,49.68746661402055
1,3,0,0,1,1,0,48.51097433704321
2,2,0,0,1,0,0,48.120007610486695
4,3,1,1,1,1,0,49.42190366631108
7,2,0,0,0,0,1,57.09970280027294
1,2,0,1,0,1,1,57.51317148574951
4,3,0,1,0,1,1,56.9946430427558
1,2,0,1,1,0,1,56.14992895062465
4,3,0,0,0,1,1,55.98596778147819
1,3,0,0,0,0,0,48.80170780989943
4,2,0,1,0,0,0,47.98199191579046
4,3,1,1,1,1,0,48.99394252392948
4,3,2,1,1,1,0,50.64028254849597
4,3,0,1,1,0,0,51.44489672946096
5,1,0,1,0,0,0,48.35601482162078
0,2,0,1,1,1,0,49.78689934981735
7,3,0,1,0,1,0,47.95519338872645
5,2,0,0,1,1,0,50.98318932373218
7,3,0,0,1,1,0,49.32579591625802
0,2,0,0,1,1,0,48.48123012083861
6,2,0,1,0,0,1,55.27852348687223
5,2,0,1,1,1,0,48.86634730312229
0,1,1,0,0,0,0,48.5393611566068
3,2,0,1,0,1,0,50.2596805876307
6,3,0,1,1,1,0,49.37635714914043
7,3,0,1,0,0,0,48.49949932670343
3,3,0,1,0,1,1,56.48727994157032
5,3,0,0,0,0,0,49.03373123146648
2,3,0,0,0,1,1,56.92304087386121
2,3,0,1,1,1,0,49.35147939919631
4,2,0,1,0,1,1,54.555653429937
0,2,0,0,1,0,0,49.43817031044914
8,3,0,1,0,1,1,55.87784911875302
1,3,0,0,1,1,0,49.40983641510146
2,3,0,1,1,1,1,55.75262200910449
2,3,0,0,1,0,1,58.35641034776894
1,3,0,1,1,0,1,56.6331280865048
8,2,0,0,1,1,1,57.61701437278369
1,2,0,0,1,1,1,58.7680196294
0,2,0,0,0,0,1,57.11185767583526
1,2,0,1,0,1,1,55.186813395368766
0,4,0,1,0,0,1,55.81974097161476
5,2,0,1,0,1,0,49.70629603050708
4,2,0,1,0,1,1,54.95607491782526
2,3,0,1,0,1,0,47.10644178813232
3,2,0,0,0,1,1,55.44768422670577
3,2,0,1,0,1,1,54.77882909663292
5,2,0,1,0,0,1,55.9656581403812
5,1,0,1,0,1,1,54.747242039372985
5,2,0,1,0,0,0,49.57197276346311
3,3,1,1,1,1,0,49.86613458547188
4,2,0,1,1,0,0,49.66149452196347
1,1,0,0,1,0,0,50.09847815286832
3,4,1,0,0,1,1,56.205807869535775
2,2,1,0,0,1,0,48.52267935520764
3,3,0,1,0,1,0,48.74613681192581
5,2,0,0,0,1,0,49.50973425988613
4,3,0,1,1,0,0,48.161634015782944
5,2,0,1,1,1,0,50.06615424762733
0,2,0,0,0,0,1,56.02418157304702
6,3,0,0,0,0,1,57.46482076643069
2,3,0,1,1,1,1,55.54867273272619
5,2,0,1,1,1,1,56.85148583273251
4,1,0,1,0,1,1,54.69562956043993
2,3,0,1,1,1,0,50.18796135627436
0,2,0,1,1,1,1,54.658758227393605
6,3,0,0,0,1,1,58.21935039547387
7,2,0,0,0,1,1,55.62792327667498
8,2,0,1,1,1,0,49.597186016134735
4,2,0,1,0,0,1,56.75199642489003
3,2,0,1,0,1,1,55.20754333071322
2,2,0,1,0,1,1,56.90012723991738
4,1,0,0,0,1,1,55.960263559016425
3,3,0,0,1,1,1,57.64013573396551
7,3,0,1,1,0,0,49.94232539090663
3,2,0,1,0,0,1,56.02696071530374
2,3,1,1,0,1,1,56.08329441046693
4,3,0,0,0,1,1,57.30140826921869
0,3,0,0,0,1,0,48.807696365730365
5,1,0,1,0,1,1,54.350981841339376
5,2,0,1,0,1,1,56.46878205389282
6,3,0,0,0,1,1,57.08092728428309
3,3,0,1,0,1,1,56.49588339649353
2,3,0,0,0,0,0,49.75443456688674
5,2,0,0,1,1,0,48.48549640577185
1,3,0,1,1,1,0,49.1506394045913
4,3,0,0,0,0,0,47.95863113847972
4,2,0,0,1,1,0,50.007537980050174
2,2,0,1,1,0,1,54.96691961922436
2,3,-1,0,1,1,1,57.30480560195354
4,2,0,1,0,1,1,55.5244659263394
2,2,0,0,0,1,1,57.527621208334246
4,3,0,0,1,1,0,49.29592323143643
4,2,0,0,0,1,0,49.404882696677504
2,3,0,1,0,1,1,55.60791983088643
5,3,0,1,1,1,1,57.39529541557052
8,3,0,1,1,1,0,50.57018278478632
1,2,0,0,0,1,0,48.73866276964548
2,2,0,1,0,0,0,46.16857966908712
1,3,1,1,1,0,0,48.4704995440911
3,3,-1,1,0,0,1,56.88604655753772
6,2,0,1,0,1,1,57.19297419304846
7,3,0,1,0,1,1,57.79222298603756
4,2,0,0,0,1,1,56.32341940756149
4,2,0,0,1,1,0,50.36606251486481
4,3,0,1,1,1,1,56.97695190355999
0,3,0,0,0,1,1,55.39600174516674
7,3,0,1,0,1,0,49.167062979651774
0,2,0,0,0,1,1,56.61054007778369
6,2,0,1,0,1,0,49.35391489761608
2,3,-1,1,0,1,1,57.62820573588202
3,2,0,1,0,1,1,56.21238212888415
0,3,0,1,0,0,1,56.4959602616308
4,2,0,1,1,1,1,57.650186903055626
5,3,1,0,0,1,1,57.338712962536526
1,2,0,1,1,1,1,56.09726045761409
