years_in_community,household_size,social_network_score,single_parent,unemployed,received_invitation,participated_in_neighborhood_project,community_satisfaction_score
0,3,0,0,0,1,1,49.65093768271064
3,2,0,1,1,1,0,44.48477660402207
4,3,0,1,1,1,1,52.71666165976836
10,1,0,1,1,1,0,44.56372000539415
2,2,1,0,1,1,0,42.90096252499264
5,3,0,1,0,1,1,52.35175143341505
7,3,1,0,0,1,1,53.12507487975271
5,2,0,0,0,0,0,47.8238551798505
2,2,0,1,1,1,1,51.33667913223831
3,4,1,1,0,0,1,52.22359535225323
0,3,0,0,1,1,1,51.96959086889287
3,2,0,1,0,1,0,46.81716986139244
1,4,1,0,1,1,1,50.284769815536045
5,2,0,0,0,1,0,47.52826807337917
5,2,0,0,0,1,0,46.087277905852574
3,2,0,1,1,1,0,47.256642384918514
4,2,0,0,0,1,0,45.464616422486
3,2,0,0,0,1,0,46.20211866828417
7,2,0,0,0,0,0,44.68987959308159
5,3,0,0,1,1,1,49.58351139310913
5,2,0,1,0,1,0,44.45479473493321
5,2,0,0,0,0,0,45.87060582804826
4,1,0,0,0,1,0,45.81565363361079
5,2,0,1,0,1,1,52.54432932331408
4,3,0,1,0,1,1,51.0827484743034
3,2,0,1,0,1,0,46.88748561277359
5,3,0,0,1,1,1,51.38584511689556
2,3,0,1,0,0,1,52.44528537182613
2,2,1,1,0,1,0,45.8314297880986
2,4,0,0,1,1,1,51.38715320518317
3,2,0,1,1,1,0,44.86395513656623
4,3,0,0,0,1,0,45.21307211286065
7,3,1,0,1,1,1,50.82243318035479
2,3,0,0,0,1,1,52.71007694476225
2,3,0,0,0,1,1,52.47175653835314
4,3,0,0,1,1,1,51.19234782201357
4,2,0,0,1,1,0,45.30859445308105
2,3,0,0,1,1,0,46.41613356504397
4,1,1,0,1,0,0,42.87889318873551
6,3,0,0,1,0,1,50.356396204252114
0,3,0,0,1,1,1,51.335125262839775
6,3,0,1,0,1,1,53.25457486162888
4,3,0,1,0,0,1,52.66535706752946
4,2,1,1,1,0,1,52.52202917689432
2,2,0,0,1,0,0,46.77125607879534
5,2,0,0,1,0,0,45.07736526551526
3,3,0,1,0,1,0,45.9462897581106
0,2,0,0,0,1,1,52.94200721675209
0,2,0,0,1,1,1,51.48272360005601
3,1,0,1,1,0,0,45.57117187805108
2,3,0,0,1,0,0,43.84697472884601
4,2,0,0,0,1,1,51.840019406137394
7,2,0,0,1,0,0,45.48727289182599
3,1,0,1,0,0,0,46.51530012350023
3,3,0,0,0,1,0,45.51620037765596
2,2,0,0,1,1,1,50.45736633974315
4,3,0,1,1,1,1,52.40017603741521
4,2,0,0,0,1,1,51.05736578732509
0,2,0,0,0,1,1,53.64817640950576
3,2,0,0,1,1,1,51.83351072308956
6,3,0,1,1,1,0,45.634311565660816
2,2,0,0,1,1,0,47.417208724346175
4,3,0,0,1,1,1,52.35660587723199
4,3,0,0,0,0,0,47.263885387024615
2,3,0,1,0,0,0,45.81801821366448
3,3,0,0,0,0,1,52.59339488386926
5,3,0,0,0,1,1,51.92883579078634
8,2,1,0,1,1,0,45.58134064739401
6,2,0,1,0,1,0,46.5136698152287
4,3,1,0,1,1,1,49.38670235686989
5,2,0,1,0,1,0,46.49440414144798
2,2,0,1,0,1,1,51.30200387958182
4,2,1,0,1,1,1,50.56325818258853
5,2,0,0,0,1,1,53.04398165080179
5,2,1,0,1,1,0,44.8697137048114
2,3,0,0,0,0,0,45.05318814895404
5,2,0,1,0,0,1,54.88143246254552
6,3,0,1,0,1,0,46.7753008043534
6,3,0,1,0,0,1,52.31367628855156
0,2,1,0,1,1,1,50.44610264656603
2,2,0,0,0,1,0,46.33444717501338
6,2,0,0,0,0,0,46.82812985654312
1,2,0,0,1,1,0,46.76850164157763
3,3,0,0,0,1,1,51.93813248246029
4,3,0,1,1,1,0,46.960829202613446
1,3,0,0,0,0,1,53.4046942006398
2,3,0,1,1,1,0,45.765253925388656
8,3,0,1,0,1,1,52.652046093506
4,3,0,0,0,1,1,50.45577613137108
5,2,0,0,1,1,0,45.33553465070612
4,2,0,1,1,1,0,45.11197030265892
1,2,0,0,1,1,0,43.820891069420256
5,3,1,0,0,0,1,50.15966977447386
1,3,0,0,1,1,0,45.80033792501389
5,3,0,0,0,0,1,52.56979710170617
6,2,1,0,0,1,1,50.66686931771468
0,2,0,0,0,1,1,51.61053405471396
4,2,0,1,1,1,0,44.27726503691442
3,3,1,0,0,1,1,50.880205893070965
2,3,0,0,0,1,0,47.71020841165268
2,3,0,0,0,1,0,46.38121363324616
8,3,0,0,1,0,1,52.34545941320668
1,2,1,0,0,1,1,52.65845159345373
4,2,0,0,0,1,0,46.29047000229207
9,2,0,0,0,1,1,53.30698013768411
1,2,0,0,0,0,1,51.7866834807565
3,3,-1,0,0,1,0,48.02706558324849
0,2,1,0,1,1,1,49.98721345986409
0,3,0,0,0,1,1,52.60887341484309
8,2,0,1,1,0,0,44.6528006298003
1,2,0,1,0,1,0,47.78006781119368
0,2,0,1,0,1,0,47.45877284988746
5,3,1,1,0,1,0,44.481300736634914
3,2,0,0,1,1,0,45.00397044060314
3,1,0,1,0,1,0,47.33532481272015
4,2,0,0,0,1,1,50.421330775502845
3,3,0,0,1,0,1,51.5263424958212
3,3,0,1,0,1,0,46.52974056289289
2,3,0,1,0,1,0,45.89506067706315
5,2,0,0,0,1,1,52.18242219288285
6,2,0,1,0,1,1,52.08236521451932
3,2,0,0,0,1,1,53.03354870776519
6,3,0,1,1,1,1,52.4161118816145
0,2,0,0,0,1,1,52.7846221124703
7,1,0,0,0,1,1,50.90934026367968
4,3,0,1,0,1,0,45.20116539068938
2,3,0,1,0,1,1,52.38664118610046
3,3,0,1,1,1,0,44.20259431269054
2,2,1,1,1,0,1,52.12503016876652
2,2,0,0,0,0,0,46.708402248264726
2,3,0,1,1,1,0,46.75155039408923
0,3,0,1,1,0,1,51.97873901827475
4,3,0,1,1,1,1,51.12824477569275
5,3,0,0,0,1,0,45.23450107537473
0,2,0,0,0,1,1,49.90688349534534
4,3,0,1,0,1,1,52.40386183354369
1,3,0,0,0,1,1,51.69355330630148
5,3,1,0,1,1,1,48.3589545133032
5,3,0,1,0,1,0,46.19283751368685
6,3,2,0,1,1,1,49.99307245163465
0,3,1,0,0,0,1,52.95660906636691
5,2,0,0,0,0,0,44.005940075102245
3,2,0,0,0,0,1,51.43357713599234
6,3,2,1,1,1,1,50.21540507095682
5,2,0,0,1,1,0,45.06272171889323
4,4,0,0,0,0,1,53.13736053763555
5,2,0,0,1,0,0,45.21256920495553
4,3,0,0,1,0,0,45.55435695898646
2,2,0,1,0,0,0,44.58099745534729
4,2,0,0,1,1,0,43.828520385840136
3,2,0,1,0,1,0,45.88233625663383
6,3,0,1,1,1,1,51.275149138883286
2,3,0,0,0,0,0,46.074398813657645
4,3,0,0,0,0,1,52.94870587341757
0,3,0,1,1,1,0,44.46132098379535
1,3,0,1,1,1,0,46.01428506351552
8,2,0,0,0,1,0,45.76866479262099
5,3,0,0,0,1,1,52.96631442286072
4,2,0,0,0,1,0,47.11580629688884
-2,2,0,1,0,0,0,46.06925224919087
5,2,0,0,1,1,0,44.53151639690951
5,3,0,0,1,1,0,47.89242433726797
4,3,0,0,1,1,0,44.65851272359546
3,2,0,1,1,1,0,44.71896620781329
3,3,0,1,0,1,0,47.15853948880861
4,2,0,0,0,1,0,44.43901216363787
3,2,0,0,0,1,0,46.59164704065503
6,2,0,0,1,1,0,45.17117711898319
4,3,0,0,1,0,0,43.98475365857526
3,2,0,0,0,1,0,44.46088370059798
7,2,0,0,1,0,1,49.81813380849641
3,3,0,1,0,0,0,46.09584232584198
3,2,-1,0,0,0,0,46.40960411951527
4,2,0,1,0,0,0,44.89369065836428
6,1,0,0,0,0,0,46.699629706662414
6,3,0,1,0,0,0,47.774122888958615
5,2,0,0,0,1,1,53.05024435942504
2,2,0,0,0,0,0,45.98145955008855
4,4,0,0,0,0,1,50.916073850059135
2,2,0,0,0,0,0,48.63975307982682
1,1,0,0,0,0,0,45.09275118643565
2,2,0,0,0,1,0,44.78358641329847
2,3,1,1,0,1,1,51.215238961716864
7,2,1,0,0,1,0,44.93891765634557
3,2,0,0,0,0,1,51.2718100172853
5,3,0,0,0,1,1,52.35593473406773
6,2,1,0,0,1,0,46.37539005885944
0,2,0,1,1,1,0,44.17439994265605
0,3,1,0,1,1,1,50.84050540916527
1,1,1,0,0,1,0,45.02667697597846
3,3,1,0,0,0,1,52.72408913194131
0,3,1,0,1,1,0,44.88377062148625
1,3,0,0,0,1,1,52.58736162651998
4,2,0,0,0,1,0,47.543121323810006
4,2,0,0,1,0,1,50.66960424177707
0,3,0,0,1,1,0,44.97225325515397
8,3,1,0,1,1,1,50.585414589734754
7,2,0,0,0,1,1,54.0010821812296
0,3,0,0,0,1,1,53.35251954891727
5,3,0,0,1,0,0,46.39236751333386
3,3,0,0,0,1,1,54.85955834157718
0,2,0,1,1,1,1,51.68011424140726
2,2,0,0,0,1,1,52.56921280512808
3,3,0,0,0,1,1,51.48510049995328
4,2,0,1,0,1,0,45.24273560006437
1,2,0,0,0,0,0,45.28084343903502
-1,3,0,0,0,1,1,49.91137595390623
3,3,0,1,1,1,1,52.59809837688077
6,3,0,0,0,1,1,53.67624749486872
0,3,0,0,1,1,0,44.244695571311325
2,2,0,0,0,1,0,44.53133141036432
7,1,0,1,1,1,0,45.42502815456568
4,2,1,0,0,0,0,43.33984840144743
6,3,1,1,0,0,1,50.93989360720661
4,2,0,0,1,1,1,50.25530094311206
3,3,0,0,0,1,1,52.6407958347706
7,3,0,1,0,1,1,53.99152646498475
0,3,0,1,1,1,0,45.44824261970853
7,2,0,0,0,1,1,52.20621660128898
6,3,0,0,0,1,1,52.69092795657382
2,2,0,0,0,0,1,51.021683705273375
2,2,-1,0,0,1,0,46.367944917455006
1,2,0,0,0,1,1,52.36681225975879
2,3,0,0,1,0,0,44.03134293678753
4,3,0,0,0,1,0,45.37944412386726
1,3,1,1,0,1,1,52.21872513218942
0,2,0,0,0,1,1,52.44183447193573
8,3,0,1,1,1,0,46.17026034223859
2,3,0,0,0,0,1,51.14114176607087
5,3,0,0,0,0,1,52.57209452223344
0,3,0,0,0,1,1,51.08077834496923
3,3,0,0,0,1,1,51.37918074486304
5,2,0,1,1,1,0,45.87503048045086
0,2,0,0,0,1,0,47.07682131507812
8,2,0,1,1,1,0,43.01183917874503
3,3,0,0,0,1,0,44.88132251491594
1,2,1,1,0,1,1,51.52956458323213
5,2,0,0,0,0,0,46.53414461641691
3,2,1,0,0,1,1,49.29057656788135
7,2,0,0,0,0,0,47.01785708925792
1,3,0,1,0,1,0,47.15180833162061
0,2,0,0,0,1,1,51.71076899828079
3,3,0,1,0,1,0,46.2606386184932
2,3,0,1,0,1,1,53.20342236066045
-2,3,1,0,1,1,0,44.128168587709645
0,2,0,0,0,1,0,45.3688733861791
6,2,0,0,1,1,0,45.471382424762
0,2,0,1,0,1,0,46.361683718552
2,3,1,1,0,1,1,52.339478314130815
2,2,0,0,0,1,0,46.36376408438876
1,2,0,1,1,1,0,45.784655316613225
6,3,0,0,0,1,1,52.525521891380734
1,1,0,0,0,1,0,46.60540261416711
2,3,0,0,1,1,0,44.27774392097575
5,2,0,1,0,1,1,51.975543483052014
3,2,0,0,1,0,0,44.48134961154405
0,2,0,0,0,0,0,47.68598853789416
6,2,0,0,0,1,0,46.18500813597549
