parent_education_years,household_income_bracket,prior_math_score_z,is_english_language_learner,has_internet_access,received_online_course_invitation,enrolled_in_online_course,end_of_term_math_score
4,2,0,1,1,1,1,54.49718866897589
5,2,0,1,1,0,0,50.413227907477456
5,3,0,1,1,0,0,49.66324500466909
3,3,0,1,1,1,1,57.047869850036825
4,2,0,1,1,1,1,54.61974928364604
7,2,0,1,1,1,0,49.31742752630711
3,3,1,0,0,0,1,55.06169651894734
3,2,0,0,1,1,1,55.966530088416434
6,3,0,0,0,1,0,48.51483321922535
3,3,0,1,1,0,0,50.26979584417529
4,2,0,1,0,0,0,49.91732551554099
0,3,0,0,0,1,0,52.09247978284652
4,2,1,0,0,1,1,52.981073335788025
4,3,0,1,0,1,0,49.49961183314301
7,1,0,1,1,0,0,47.69295000474614
5,3,0,0,1,1,1,55.24920001842224
4,2,-1,0,1,1,1,56.66968493662811
5,2,0,1,0,0,0,49.541472341780654
6,3,-2,1,0,1,0,49.07152703513626
5,2,0,0,1,1,1,55.235476556189965
7,2,0,0,0,1,0,47.9683971250922
6,2,0,1,0,0,0,49.7437450849369
1,2,0,0,1,1,1,55.29920825055623
5,2,0,1,1,1,1,56.3740539935465
5,3,0,0,1,1,0,51.51742769820336
2,3,0,1,1,0,0,50.685670222022296
6,3,0,1,0,1,0,47.99265574745635
4,2,0,1,1,0,1,54.34587693005024
6,3,0,1,1,0,0,50.87102021933729
1,3,0,1,0,1,0,49.983403654868624
5,3,1,1,0,0,1,55.34526961111875
0,2,0,1,0,1,1,55.55930898801196
0,3,0,1,1,1,0,50.82403134251453
4,2,0,1,1,0,1,56.10982266266196
6,3,0,0,1,1,0,52.22587344482599
7,3,0,1,1,1,1,53.97759882671888
2,3,0,1,0,0,1,56.154638080088496
6,3,0,1,0,1,0,49.75050755652167
3,2,0,1,0,0,1,54.9848100169685
0,3,0,1,1,1,1,56.808277539778985
5,3,0,1,1,1,0,49.23225722795584
3,3,0,1,0,1,1,57.02094667424403
0,3,0,1,1,0,1,56.44824996969472
0,1,0,0,0,1,1,54.23149544158989
1,2,0,0,0,1,1,53.27637703625469
5,2,0,0,1,1,0,50.88314984417775
10,2,0,1,0,1,0,48.30450711223712
4,2,0,0,0,0,1,55.37151827050382
2,2,0,1,1,1,1,54.94030677942276
3,2,-1,1,1,1,0,51.04907965365865
0,2,0,1,0,1,1,57.328642990761765
1,2,-1,1,1,1,0,50.150439268310194
1,2,0,1,1,0,0,51.07809654724028
0,1,1,1,1,1,1,55.31482223443897
0,2,0,1,1,1,1,55.12524696392656
3,2,1,1,1,1,1,56.455630001963584
3,2,0,0,1,1,1,55.12897063291263
3,2,1,0,1,1,1,56.270278233175134
4,3,0,1,1,1,0,51.83954078357391
4,2,0,1,1,1,1,53.38154929491436
2,3,0,1,1,1,1,56.47856172334185
6,3,0,1,0,1,1,55.938528449273065
3,2,0,1,1,1,1,54.2156134824871
6,2,0,0,1,1,1,53.39661128148195
1,3,0,1,1,1,0,52.30044965579768
2,1,0,0,1,1,1,53.55987119310407
1,3,0,1,1,0,0,49.42819683966856
6,2,1,1,0,1,1,54.81165310326428
3,3,0,0,1,1,1,56.19717953231646
2,3,0,0,0,1,0,49.987193090317554
5,2,0,0,1,1,1,53.5771379185418
3,3,0,0,1,1,1,55.56791078734045
5,3,0,0,0,1,1,55.41584133848008
2,3,0,1,1,0,1,57.64455845452446
0,3,0,1,1,1,0,53.26064612040611
4,2,0,1,0,1,1,53.22815700529054
7,2,0,1,0,1,0,49.73699338755902
5,2,0,0,0,0,1,55.03296563405377
4,3,0,1,0,0,0,51.43237727334131
2,3,0,1,0,1,0,53.3618257811941
4,3,0,0,0,1,0,51.13292815565328
5,4,0,0,1,1,0,51.33755065354937
4,3,0,0,0,1,0,51.10415019560352
2,3,0,1,0,1,0,51.17688758350205
3,3,1,0,1,1,1,55.0470275381086
4,2,0,1,1,1,1,53.942621724843
2,2,0,1,0,1,1,55.43426822639312
7,3,0,1,1,1,0,49.61580864827656
5,3,0,1,0,1,0,49.42602391239798
0,2,0,1,1,1,0,53.29279303865057
7,2,0,1,1,1,0,48.83741794988894
6,3,0,1,0,0,0,52.60839510584276
3,3,0,1,1,1,0,49.618111855760645
-1,2,0,0,0,1,0,51.36466262254387
12,3,0,1,1,0,0,45.88431333465008
7,3,0,0,1,1,1,57.17520415879879
3,3,0,0,1,0,0,52.89904724606506
4,3,0,1,1,1,1,54.500809795984
3,3,0,1,1,1,0,51.59617990549393
2,2,-1,1,1,1,0,50.90779602418754
4,3,0,1,1,1,0,51.002784965137806
5,3,1,0,1,0,0,50.201597619698695
4,3,0,1,0,0,0,49.57432667110608
0,4,0,0,0,0,0,53.70206826590546
4,2,0,1,1,1,1,52.28499622744853
6,1,0,1,1,1,1,53.66560422796955
5,2,0,0,0,1,0,48.76109437591243
8,2,0,1,1,1,1,54.25706510186555
0,4,0,1,1,1,0,52.8257541176361
3,3,0,1,1,1,1,56.99204576577615
9,2,0,0,1,1,1,53.06082109759552
3,3,0,1,0,1,0,51.52884525572998
3,3,0,1,1,1,1,54.34330046707779
7,2,0,1,0,0,0,48.65898828751074
1,3,1,1,0,1,1,55.72428076291435
6,3,0,0,1,0,0,50.67644774738952
1,3,-1,1,1,1,1,56.00390975011221
4,3,2,1,1,1,1,52.46412243194784
0,3,0,1,1,0,1,57.87176584671529
3,2,0,1,0,0,0,51.94155215598084
2,2,1,1,0,1,1,54.41305786224984
3,2,0,1,1,1,1,53.40903778148304
6,3,0,0,1,1,0,50.94905920636545
7,3,0,0,0,0,0,50.71263014260576
1,2,0,1,1,0,1,54.8835277326589
4,3,1,1,1,1,0,49.95704418191918
3,3,0,0,1,1,0,50.61721084607667
5,3,0,1,0,0,1,55.758550700522136
1,2,0,1,1,0,1,55.774472740502176
7,2,0,1,1,1,0,48.004505072436814
4,3,0,1,1,1,1,55.282463551393086
7,2,0,1,1,1,1,52.6223815405793
2,2,0,1,0,1,1,55.40685586871597
0,3,0,0,1,1,1,56.38264217247561
4,3,1,0,0,1,0,52.33509389013234
4,2,0,1,1,1,0,49.76054916951919
6,3,1,0,1,1,0,49.81172437943179
3,3,0,0,0,0,0,51.35996809309926
7,3,0,1,0,1,0,49.655463914976295
4,1,0,0,1,1,1,54.96244802517528
5,3,1,1,1,1,1,55.05147092331242
6,2,0,1,0,0,0,45.84082539953948
3,2,0,1,1,1,1,55.207068590472126
4,2,0,1,0,0,0,50.37245486999238
5,3,0,1,1,1,0,50.97279084637059
4,2,0,1,1,0,0,50.842278406174366
9,2,0,0,1,1,1,52.27105986042445
5,2,0,1,0,1,1,55.24627571629733
2,3,-1,0,1,0,0,52.29694596413236
4,4,0,0,1,1,0,50.52409155996754
6,2,0,1,0,0,0,50.32831272686986
3,2,0,1,1,1,0,50.081147098253616
2,3,1,1,1,1,0,51.34914425542504
3,2,0,1,1,1,1,54.6330725875098
4,3,0,1,1,1,1,55.00629013816685
2,4,0,1,1,1,1,56.360956787389206
0,2,0,1,1,0,1,57.32898079122664
4,3,0,1,1,1,1,55.29163190705509
1,2,0,1,1,0,1,55.50442072861559
3,3,0,0,0,1,1,57.11891235124234
5,3,0,1,1,1,0,50.13698952707836
3,3,0,1,1,1,0,50.59326048654919
6,2,0,0,1,0,0,48.64438717177515
2,3,0,1,0,0,0,52.328361621977145
1,3,0,1,0,1,0,51.11201448426366
0,1,0,1,0,0,1,56.583663317576026
5,3,0,0,0,1,0,51.33413254769133
2,3,0,1,1,0,0,51.471759085963626
0,3,0,1,1,1,1,56.36651185540852
2,3,0,1,0,1,0,51.27288052431218
3,1,0,1,0,1,1,53.58678549814476
4,2,0,1,1,1,0,49.264627454481854
3,2,0,1,1,1,0,49.88519805262649
0,2,0,1,0,1,1,56.31327001570428
8,2,0,0,1,1,1,53.0382510319424
5,2,0,0,1,1,1,54.1150666633916
3,2,0,1,1,1,1,54.74719819379852
1,2,0,1,1,1,1,54.6494888347757
6,2,0,0,1,1,1,52.67867129178545
6,2,0,1,1,1,1,54.822583086672
0,2,0,1,0,0,0,49.53930564571364
4,3,0,0,1,1,1,55.32941578581706
5,2,0,1,0,1,1,55.491434092814096
2,2,1,1,1,1,1,55.131795226776326
2,3,0,0,1,1,1,55.20498235567078
6,1,0,1,1,0,1,53.52463858338019
0,3,0,1,0,1,1,56.54923861783136
7,2,0,0,0,1,0,48.30802389800679
2,3,0,1,1,1,1,55.59428288540933
3,2,0,1,0,1,1,52.745831151573206
4,2,0,1,1,0,1,56.03449561827179
5,4,1,1,0,1,0,51.10005447587618
4,2,1,1,0,1,1,55.56808380816724
5,3,0,1,0,0,1,55.404987319546926
1,2,0,1,0,0,1,55.3207779864348
8,3,0,0,1,1,0,50.03355281627758
6,3,1,1,1,1,0,51.27990061462035
6,4,0,1,1,0,0,52.38130311091687
2,2,0,1,0,1,1,55.13302413350231
2,1,0,1,0,1,1,54.86926834712192
3,3,0,1,1,1,0,52.10397570167733
4,2,0,1,1,0,1,55.617780821547015
7,3,0,1,1,1,0,49.30271434548612
3,2,0,1,1,0,1,56.57158197474798
0,2,0,1,1,1,1,55.36486490675323
5,2,0,0,1,1,0,49.39979061369179
4,3,1,0,1,1,0,51.47149047168469
3,2,0,1,1,1,1,54.7691784657284
2,3,0,1,1,0,0,52.41182127965926
3,2,1,1,1,0,1,53.83892685663072
2,3,-1,1,0,1,0,54.05408694767093
6,3,0,0,0,1,1,54.998643758378265
4,2,0,0,1,1,0,51.31087924124302
1,2,0,1,1,0,1,56.85150655241725
3,1,0,1,1,1,1,53.66980433406506
8,3,1,1,0,0,0,49.8534596622732
1,3,0,1,1,1,0,51.668605691299305
7,3,0,1,0,1,0,49.54638757723757
2,3,0,1,0,1,1,56.57201916964712
4,2,0,0,1,1,1,55.54076473094679
2,2,0,1,1,1,1,55.09763931270853
3,3,0,0,1,0,0,50.70453548442992
8,3,0,0,1,1,0,48.350615235596685
3,2,0,1,1,0,1,54.16749896401613
3,2,0,1,0,1,0,50.41326107183664
4,3,0,1,1,1,0,52.032237110675695
3,3,0,0,1,1,1,57.63934923575184
2,3,0,0,0,1,0,49.986295360274895
2,2,0,0,1,1,0,49.57021291129495
7,4,0,1,1,1,0,51.0123555408591
3,3,0,1,1,1,0,51.2751529712841
1,3,0,1,0,1,0,50.73705772013835
3,4,0,1,1,0,0,52.307487192472
6,3,0,0,1,1,0,49.435619423798094
0,2,0,0,1,0,0,51.31488202075752
3,3,0,0,1,0,0,51.83192308997607
4,3,0,1,1,0,0,49.3245684482751
2,2,0,1,1,0,1,54.56925450776567
4,3,0,1,0,0,0,49.774780668615136
6,4,0,1,1,1,0,50.61641640989812
7,2,0,0,0,1,1,54.21764690459837
4,3,0,1,1,1,0,50.55478022956967
3,3,0,1,1,1,1,54.356917986158265
0,2,0,1,0,1,0,50.29012180797305
3,3,0,0,1,1,0,49.78640100894381
7,3,0,1,0,0,0,47.32510047389274
6,2,0,0,1,1,1,53.4270393217663
1,3,0,0,1,1,0,51.27925154932221
2,3,0,1,1,1,0,52.095355992250376
2,2,0,1,1,1,0,51.37807510249316
5,2,0,0,1,0,0,50.23377672343568
-1,3,0,1,1,1,1,58.02962854832994
5,2,0,1,1,1,1,54.40817842859768
4,4,0,0,1,1,0,51.82948982184462
9,2,0,0,1,1,1,52.91829359016705
4,2,0,1,1,1,0,51.2543927454914
5,3,0,0,1,0,0,50.28284753006069
2,2,0,1,0,1,1,55.147878849343314
3,2,0,1,1,1,1,55.077932748041846
1,2,0,1,1,1,1,56.62795605192992
5,3,0,1,1,1,1,54.43665928728896
2,2,1,1,1,1,1,54.23976031069157
4,2,-1,1,1,1,0,50.59656309751242
4,3,1,1,0,0,0,49.48255560107432
2,3,0,1,0,1,0,51.001494796459056
7,2,0,1,1,1,0,49.6026699191919
7,3,0,1,1,1,0,49.51256820277435
1,2,0,1,1,1,1,56.112860439364
1,2,0,1,1,0,1,56.12526738090773
4,2,1,0,1,0,1,54.898266735624105
4,2,0,1,0,1,1,52.71237940245311
1,2,0,0,1,1,0,50.52333235636554
10,3,0,1,1,1,0,48.66311203623273
3,3,0,1,1,0,0,51.79902529037941
6,3,0,0,1,1,0,50.93683188033844
0,3,0,0,1,1,0,51.85719043845855
4,1,0,0,1,1,1,52.21710379092392
3,3,0,1,0,0,0,52.3411043413072
4,3,0,1,1,0,0,51.430611882162445
3,2,1,1,1,1,1,54.26728167210548
5,2,0,1,1,1,1,53.10106161458194
8,2,0,1,1,1,1,54.50368793453219
2,3,0,1,1,0,0,51.14504434995068
9,3,0,1,1,1,0,50.54768836750583
6,2,0,0,0,0,1,52.90539854028621
7,2,0,1,1,1,0,49.87413212119087
1,3,0,1,1,1,1,55.19912496520112
7,2,0,1,1,0,0,48.73648948628991
3,3,0,1,1,0,0,50.93095879772472
