education_years,job_experience_years,has_college_degree,is_union_member,invited_to_skill_training,attended_skill_training,annual_income
2,3,0,1,1,1,60.47816318505081
2,1,0,0,0,0,54.306028674974975
3,3,0,0,1,1,60.93692845049918
1,3,0,0,1,1,61.84681405551123
5,3,0,0,1,1,60.54898781011895
4,2,1,0,1,1,59.88853916596041
2,3,0,0,0,1,60.262321968545805
3,2,1,1,0,0,52.692389456778486
4,2,1,0,1,0,51.60034666881449
7,2,0,0,1,1,61.21631373416383
8,2,1,0,1,1,58.518860996809046
6,3,0,0,0,0,52.47914794045978
0,1,0,0,0,0,51.78360337803287
0,4,1,0,0,0,54.34827417333032
7,3,0,0,0,0,52.11852795452447
3,2,0,0,1,1,59.025851171322685
1,3,0,0,1,0,51.41345418191895
3,2,0,1,1,0,52.7086205222851
8,2,0,1,1,1,60.668884510012745
5,3,0,0,1,0,52.05719737818541
1,2,0,0,0,0,54.42253098321481
5,3,0,0,1,0,52.12374737073622
6,1,0,0,0,0,52.80892428364912
1,2,0,0,1,0,53.1915913524356
5,3,0,0,1,0,53.67577385038221
7,1,0,1,1,1,59.34487923131691
5,1,0,0,0,0,53.65005200846981
6,2,1,1,1,1,61.61418809385952
5,4,1,0,0,0,52.81784275702702
2,2,0,0,1,0,53.20809188170544
1,3,0,1,1,1,62.59252738959914
8,3,0,0,0,1,62.70408738328766
4,3,0,0,0,0,53.45036207892304
4,2,1,0,1,1,59.95852896900578
3,3,1,0,1,0,52.6353631251817
2,3,0,0,1,0,54.98565370112365
0,2,1,0,0,1,60.559044471478245
5,3,0,1,1,0,54.215493888468046
2,2,0,1,0,0,52.93894290432212
5,2,0,1,1,0,53.23316420655595
4,3,0,0,0,0,53.56424819979395
6,3,1,0,0,0,54.21902814901923
4,3,1,0,0,1,60.21748410830656
3,2,0,1,1,0,53.74981453466865
8,4,0,1,0,0,52.053315175740735
2,2,0,0,1,0,51.02181989933376
3,3,0,1,1,0,52.102646310885255
5,2,0,0,1,1,61.70477179112595
0,2,0,1,1,0,52.25185591161635
6,3,0,0,1,0,53.23285194244166
1,2,0,0,0,0,54.06323869861906
3,2,0,1,1,1,63.20800523858961
2,2,1,0,0,0,54.32459896636359
4,3,1,0,1,0,54.22132907343587
5,2,1,0,1,1,60.44715729822924
8,3,0,1,0,0,53.103414494343305
5,3,1,0,0,1,63.23357212363213
0,3,0,1,1,0,52.949730375950736
6,3,0,0,1,1,61.00093164390462
-1,2,0,0,1,0,53.08585383804856
2,3,1,0,0,0,50.6675987627112
3,2,0,1,0,0,53.92329613706506
5,2,1,0,1,0,52.61440000113943
3,2,1,1,1,0,52.7890771016156
8,2,1,1,0,1,59.18401542526209
2,2,0,1,1,1,59.94797880975764
5,2,1,1,0,1,62.92791822187522
1,3,1,0,0,0,53.23077666690896
1,2,0,0,0,0,52.92109252009515
2,3,0,0,1,0,50.66926638954272
7,3,0,1,0,0,52.69721465561468
3,2,0,0,1,0,52.48011377459744
3,3,0,0,1,0,52.70628429077907
3,3,0,0,0,0,53.67363066770715
5,3,0,0,1,0,54.09806774649977
3,3,1,0,1,1,61.5474865863268
5,3,0,0,0,1,60.074601948358975
3,3,0,0,1,0,53.28884339403403
2,3,0,0,0,1,60.92564835717301
4,2,0,1,1,1,58.83951338829611
7,3,0,1,1,0,54.08965983053484
2,3,0,0,1,1,62.71955182658643
0,3,0,1,0,0,53.17498993919834
3,2,0,1,0,0,52.44823585697594
6,3,0,1,1,0,52.98867696931872
6,3,1,0,0,1,62.90747451285559
9,3,0,0,0,0,52.30611501078925
3,4,1,0,1,1,63.04997707109227
5,4,1,1,1,1,62.56611533899765
1,3,0,0,1,1,61.77819727473033
0,3,0,0,1,0,54.06471643119362
1,2,0,1,1,1,61.07912490345576
0,3,1,0,1,0,53.90761391132697
8,3,0,0,1,1,61.731932468840114
8,2,1,0,1,1,61.0932844279256
4,2,0,1,1,0,53.33349917392398
1,3,1,0,0,0,52.34610904601549
6,3,0,0,1,1,61.42169131717789
-1,3,0,1,0,0,52.80860477139734
3,1,0,0,1,1,61.184410164685424
4,2,0,0,1,0,51.861436929199705
1,2,1,0,1,1,61.18429358926126
2,2,1,0,1,1,62.10647050798484
3,2,0,1,0,0,52.28701408361768
3,3,0,0,1,0,53.462019762747154
1,2,0,0,1,0,53.59002161470875
1,2,1,0,1,0,52.82871975922224
6,3,1,1,0,1,59.818523402067896
4,3,0,0,1,0,53.6032200077682
6,2,1,1,1,1,61.97448176922855
1,2,0,0,1,0,52.11860587037732
4,3,0,0,1,0,53.805405979930114
6,3,0,1,0,0,53.50096788930066
3,2,0,0,1,0,52.00029387845359
4,1,0,0,0,1,61.824044117245066
6,3,1,1,0,0,52.60189857826603
2,3,0,0,1,0,52.459003843789446
2,2,0,1,1,0,53.68319046514316
1,2,0,1,0,0,51.855645377924496
0,3,0,0,1,0,53.88401943910431
2,3,0,0,1,0,54.05363322700197
3,3,0,0,1,0,52.957570905678445
4,3,0,1,1,0,52.26837948891029
5,4,1,0,1,1,59.994935020693006
0,4,1,0,1,0,55.347297328813866
1,3,0,0,1,0,53.83931648983541
1,3,0,0,1,1,62.38501305372806
2,3,1,0,0,1,60.51026443224463
3,3,1,0,1,1,61.48470145527513
3,3,0,1,0,0,54.47438964632641
4,3,0,0,1,1,63.16740082561995
5,2,0,0,0,1,61.186992334951455
4,3,0,0,1,0,52.4219796567448
2,3,1,0,0,0,51.89122483876556
1,3,0,0,1,1,61.66939038719194
5,2,0,0,0,1,61.52891739393425
6,3,0,0,1,1,60.98696840677168
6,2,0,0,0,1,60.88740944626814
5,3,0,0,1,0,54.04037820732418
0,2,0,1,1,1,61.50202767595273
5,2,0,0,1,1,60.11716329187961
2,3,1,0,0,1,62.49809292616028
2,3,0,1,1,0,51.78718607347116
3,2,0,0,1,1,62.64596382016673
1,3,0,1,1,1,62.01847365189247
7,2,0,0,1,1,61.920535390378
2,2,0,1,1,1,62.539039524317786
5,3,0,1,1,1,60.893475946531474
3,3,0,1,1,1,59.04595233190409
5,2,1,1,1,1,60.72991959983892
2,3,0,0,1,1,61.94728271143048
2,3,1,0,0,0,52.87196221969629
2,2,1,1,0,0,50.97512825351987
1,2,0,0,1,0,52.47958296041137
5,3,1,0,0,0,52.655167271408814
4,3,0,1,1,0,52.25902216465537
8,3,1,0,1,1,62.28856524610219
3,3,0,0,0,0,52.078291709153575
3,3,0,0,1,0,53.050145847615525
-1,2,0,0,1,1,61.48172688193994
2,2,1,1,1,1,61.34103337787973
2,3,0,0,0,0,53.99509679503549
2,2,0,0,1,1,61.01486112301728
0,2,1,1,0,0,51.439749961048754
7,2,0,0,1,0,54.0208349975206
0,2,0,1,1,1,59.68272884956234
3,3,0,1,0,1,62.43662669560696
1,2,1,0,0,0,51.953723704254266
3,2,1,0,1,1,62.58409134625181
1,2,0,0,1,0,54.054750358090615
1,3,0,0,1,1,60.57352211060815
2,3,0,0,1,1,62.71208488932502
6,4,0,1,0,0,52.638977491003246
8,1,1,1,1,1,58.02127531525067
4,2,0,1,0,0,53.88783219523269
3,2,1,0,1,1,60.12004589073472
8,2,0,1,1,1,62.054746202891614
5,3,0,0,0,0,52.71410823497638
7,2,0,1,1,1,60.68503955462351
1,2,0,0,0,0,53.961040723845045
4,2,0,0,0,0,52.6358910113909
-2,3,0,0,1,0,54.36159573381252
5,3,0,0,1,0,52.2043946796955
2,2,1,0,0,0,51.33139513485792
1,2,1,0,1,0,49.95232291874086
6,3,0,0,0,1,61.63510677076826
1,3,1,1,1,0,52.03599579883531
3,1,0,0,1,0,52.0949387244768
-1,3,1,0,1,1,61.78361002788868
2,3,1,0,1,1,63.067593136373766
6,3,0,0,1,1,61.852017855573216
3,3,1,0,0,0,51.4077413419457
2,3,1,1,0,0,51.59787123657089
2,2,0,0,0,1,61.02291040854264
4,2,0,0,0,1,61.21756267886704
5,3,1,1,1,1,61.65081364659924
4,2,1,0,1,1,60.45056837979521
1,3,1,0,1,1,61.49356131894398
7,2,0,0,1,0,51.7788310214238
7,2,0,1,1,1,60.94618804037846
2,3,0,0,1,0,53.24163423488796
3,2,0,0,1,0,52.528068440633135
3,3,0,1,1,0,52.5680437243705
4,3,0,0,0,0,53.26938654252304
3,3,0,1,0,0,52.19036429918001
3,3,0,0,0,0,53.04226277653933
2,2,0,1,1,1,61.08521841745496
1,2,1,1,0,0,52.808731163198274
4,2,1,0,1,1,61.239219454340656
1,2,1,1,1,1,61.17533438000208
2,2,0,0,1,0,51.766713109882346
6,3,0,0,0,0,53.83618748497671
1,2,1,0,1,1,60.14512565134565
7,3,0,0,0,0,53.48529770029508
7,2,0,0,0,0,52.964950745607645
5,3,1,0,1,0,53.26939599537209
7,3,1,1,1,1,61.74290916753986
3,2,1,0,1,0,53.31680197050101
4,2,1,1,1,1,59.8947460229361
4,2,0,0,0,1,63.50591428422288
2,4,0,0,0,0,54.36649476885449
7,3,0,1,0,0,53.10966221665909
4,2,0,1,1,1,62.363777787977824
0,3,0,0,1,1,61.16237135913892
4,3,0,0,1,0,54.30707516983059
4,3,0,1,1,1,61.29415029383783
2,2,1,1,1,0,52.22328532163727
3,3,0,0,0,0,52.889752146290334
9,3,1,0,1,1,59.88144582887096
2,3,0,0,1,1,61.742992807758526
1,3,1,1,0,0,52.83015849458753
4,3,0,0,1,1,63.25223418292142
6,3,0,0,1,1,63.62124457961403
1,3,0,0,1,0,52.29110558088655
1,3,1,0,1,0,54.22291694415651
5,3,1,0,1,1,59.47928461920771
6,3,0,1,1,1,62.60774031492002
1,2,1,1,0,1,60.35526102186877
3,2,1,0,0,0,52.2001570215026
6,3,0,1,1,1,60.80335325845185
7,3,1,0,1,1,60.200153844312126
4,2,0,0,0,0,52.82529405368671
6,2,0,0,0,1,62.84455794234854
0,3,0,1,1,0,52.80987964084319
4,2,0,0,0,1,60.61187535901596
8,3,1,0,1,1,62.00991912705653
3,3,1,0,1,0,54.33100720122668
4,2,0,0,1,1,61.06638249018455
4,4,1,0,1,1,61.33871340175575
2,3,0,0,1,1,60.51680316268664
3,2,1,1,0,0,54.036702965634
5,4,0,1,0,1,59.87065735195423
4,1,0,0,1,1,63.022944207220654
4,3,0,0,1,1,62.97391050026319
8,3,0,0,1,0,53.033520478576776
4,3,1,1,1,1,61.23188882712806
5,3,0,0,1,1,62.35771969238447
0,2,1,0,1,0,52.06725286772498
6,2,1,0,0,1,61.59531154012304
5,2,0,0,1,0,52.72068374679746
3,1,1,1,1,1,61.06123032505793
0,3,0,1,1,1,60.17721080035437
2,2,1,0,1,0,53.9892767020698
3,3,0,1,1,0,53.653820847410856
5,2,0,1,0,1,60.97693960031279
4,3,0,0,1,0,51.70607742511152
0,3,0,0,1,1,61.25660869038616
4,3,0,1,1,1,60.90378412488903
5,3,0,0,0,0,53.22134608088695
3,2,0,0,1,1,61.25109441031469
2,2,0,1,1,1,59.84162977305253
1,3,1,1,0,1,60.6919476798117
5,4,1,1,1,1,60.70175166253195
6,2,1,1,1,0,52.917013108778114
3,3,0,1,1,0,52.43905376962446
3,3,0,1,1,1,61.279741747015365
0,2,1,0,1,0,52.09585089281427
1,2,1,1,1,0,52.58817143928649
3,3,1,0,1,1,60.974740915086855
-1,2,1,1,1,1,61.09065443255224
0,3,1,0,1,1,61.262115234101366
0,2,0,0,1,0,52.55773330605007
5,3,0,0,0,0,51.67475536827825
2,3,0,1,1,1,60.16574081786478
5,2,0,0,1,1,61.1582322290317
4,3,0,0,0,0,53.58658169992097
4,2,0,0,1,1,63.17383046802983
4,3,0,0,0,0,52.8628857956005
4,2,0,1,1,1,60.83774963300759
5,2,0,0,1,0,52.63256977610039
1,2,0,0,0,0,52.69508408022786
5,2,0,1,1,0,52.08798642612989
5,2,0,1,1,0,53.06599987327311
5,4,0,0,0,0,54.50378430110938
4,2,1,0,1,1,58.92222356917699
5,3,1,1,0,0,52.93106313594959
5,2,0,1,1,0,53.4646147893402
3,2,0,0,0,0,52.622715842902245
2,2,0,0,1,0,53.19591486194718
8,2,0,1,1,0,52.90207839302292
