years_in_residence,household_size,num_recent_moves,has_dependents,public_housing_recipient,received_counseling_invitation,attended_counseling,housing_stability_score
1,3,0,1,1,1,1,53.57229731877466
3,3,1,0,1,1,1,53.30085907412818
6,2,-1,1,0,1,0,47.179823630198285
4,3,1,1,0,1,1,53.25931992574151
6,3,0,1,1,0,1,51.99973503676716
4,2,0,0,0,1,0,46.90790767592152
6,2,0,0,0,0,0,48.5010237488945
5,3,0,1,0,1,0,47.1818946715801
7,2,0,1,0,0,0,47.429930559186666
0,2,0,1,1,1,0,47.60789607998734
1,3,0,1,1,0,0,46.41449093267896
3,3,0,1,0,1,1,53.01441962209927
3,2,0,1,1,0,0,46.84036147918348
3,2,0,1,0,1,0,47.39265882203242
0,2,-1,1,1,1,0,49.03733968486696
4,2,0,1,1,0,0,48.8626593102934
6,3,1,0,1,1,1,53.53255641908246
4,2,0,0,1,0,0,46.02999234329271
9,2,1,0,1,1,1,51.22881072272317
2,3,0,1,0,1,1,51.572218411188175
4,2,0,0,1,0,0,47.5167508422869
3,3,0,1,0,1,1,52.67143791770133
7,2,0,1,0,1,0,47.8629207459388
5,2,1,1,1,1,0,47.82644029183168
11,2,1,1,0,1,1,52.186998563780094
4,4,0,1,1,1,1,52.735853753194704
0,2,0,1,1,1,0,48.10658803966668
2,2,0,1,1,1,0,48.2357439634818
0,3,0,0,1,1,1,54.94187508030001
5,3,0,1,1,1,0,47.85021139668995
6,3,0,1,0,1,0,46.90212040968133
6,2,0,1,1,0,0,50.02452682739159
0,2,0,1,1,1,0,50.27982327042616
4,2,0,1,0,1,0,47.727542266176044
8,2,0,1,1,0,1,53.90204153844938
0,3,0,0,1,1,1,54.9473211368514
4,2,0,1,0,1,0,46.90764035372049
9,2,0,1,1,0,0,48.89239307939922
0,2,0,1,0,0,0,44.860956104897554
7,3,0,1,1,1,1,51.24398268760288
6,3,0,1,1,1,0,47.88420857803708
2,2,0,1,1,1,0,49.06223014973561
5,3,0,1,1,1,1,51.53390219293832
3,3,0,0,1,1,1,52.9738302137937
3,3,0,1,0,1,0,47.45421976232443
5,3,1,0,1,1,1,51.36181929078966
5,3,0,1,1,1,0,49.31015545679514
4,3,0,0,0,0,0,46.76362764046384
3,3,0,1,1,1,1,54.062186277638936
4,2,0,1,0,1,0,47.46114369268026
4,3,-1,1,1,0,0,47.511900889784165
4,4,0,0,1,1,1,52.79458945167979
1,2,0,1,1,1,1,54.13308232116672
8,2,0,0,0,1,1,52.62063618089639
3,4,0,1,1,0,1,53.00708190866839
1,2,0,0,1,0,0,48.34989794376347
-2,3,0,1,0,1,1,52.96250301319614
6,3,0,1,1,1,1,51.13391688149898
3,2,0,1,1,0,0,47.25226543891533
2,3,0,1,1,1,1,53.19167396038118
3,3,0,1,1,0,0,46.798927110021694
1,2,0,1,1,0,0,48.67176691375386
0,4,0,0,1,1,1,53.16250107403928
4,3,0,0,1,0,1,54.01852316038384
3,4,0,0,0,0,0,46.21749520465583
4,2,0,0,1,1,1,53.63836995250483
0,3,0,0,1,0,1,54.03097356679954
6,3,0,1,1,1,1,52.22958591263144
3,3,0,1,1,1,1,51.75661763913542
10,2,0,1,1,1,1,50.837564684625846
2,2,0,0,1,1,1,51.85562793949008
4,4,0,1,0,1,1,54.1000522209404
3,2,0,1,1,0,0,50.076713316136434
4,2,0,1,1,1,0,46.77241724544333
5,2,0,1,1,1,0,47.05550866296413
3,3,-1,1,1,1,1,53.23396954131277
3,3,0,0,0,1,0,46.81623057713939
0,2,0,1,1,1,1,55.28835056317522
5,3,0,1,0,1,1,52.160555541618926
5,3,0,1,1,1,0,48.06832200880557
3,2,0,1,1,0,0,49.045144736342365
5,2,0,0,1,1,1,53.31842590935999
7,3,0,1,0,1,1,52.33841329223615
5,4,0,0,1,1,1,52.806866041394784
4,2,0,1,0,1,1,55.05457147810242
3,2,0,0,0,0,0,47.02646652432407
5,2,0,0,1,1,1,53.62215034364704
3,3,1,0,0,1,1,52.93708031466761
7,2,0,1,1,0,0,48.12985212869211
2,3,1,0,0,1,1,53.39667210362119
5,3,0,1,0,0,0,48.34299811223637
3,2,0,1,1,1,0,48.70151391514821
0,2,0,0,1,1,1,53.12211887154967
3,3,1,1,1,1,0,47.38195434113056
6,1,0,1,1,1,0,48.14580486363373
8,2,0,0,1,0,1,52.946832317790026
3,2,0,1,1,1,0,47.45283556219569
0,1,0,1,0,1,0,46.71594817331816
3,3,0,0,0,1,0,48.27014636574879
2,3,0,1,0,1,0,47.52976334585918
4,3,0,1,1,0,1,53.80446535647232
6,2,0,0,0,1,1,54.11440452410353
4,2,0,1,1,1,0,48.31391089339889
7,3,0,1,0,1,1,51.775311668230586
4,2,0,0,1,1,0,48.270831097913806
6,3,0,1,0,1,1,51.737007984353234
0,3,0,1,0,1,1,53.56727382028629
7,2,0,0,1,1,1,52.23351219263036
2,4,0,0,1,1,1,53.31522076688472
2,2,0,0,0,1,1,52.23803137950448
5,2,0,0,0,1,0,47.506201140242005
4,2,0,0,0,1,0,46.46115829458812
3,2,0,1,1,0,0,47.53798329336435
4,3,0,1,1,0,1,52.03800180534413
7,3,0,0,1,0,1,53.44803821398071
4,3,1,0,1,1,1,52.96837419743829
5,3,1,1,1,1,1,53.27455011388047
7,2,0,1,1,1,1,52.52091265493157
6,4,0,1,1,1,1,52.46199172809244
6,3,0,1,1,1,1,52.912940687170405
7,2,0,0,1,1,0,49.40846027981554
1,3,0,1,0,1,1,53.8241223438629
4,4,1,1,1,1,1,53.7027874927268
5,3,0,1,1,1,1,53.19809578575972
1,2,0,0,1,1,0,48.82019141803679
6,2,-1,0,1,1,1,54.03551936994341
6,2,1,1,1,0,0,46.94921316353337
6,3,0,1,1,1,0,47.280256164093096
4,3,-1,0,1,1,1,53.37617744080285
5,2,0,1,0,1,0,47.566181789553696
5,2,-1,1,0,0,0,45.89087781033051
6,3,0,1,1,0,0,48.682114990003335
2,2,1,1,1,0,0,47.22947685102346
4,2,0,1,1,1,1,53.21368590069398
-1,2,0,1,1,0,0,50.58277969068833
1,2,1,0,0,1,1,53.89036569238535
1,2,0,0,1,1,0,48.55612289318118
5,2,0,1,1,1,0,47.41591291648516
8,1,0,0,1,1,0,48.20048598862431
1,2,0,1,1,0,1,55.31736337929728
6,2,0,1,1,1,0,47.03081777823169
3,2,0,1,0,1,0,47.96042767414988
4,3,0,1,0,1,1,51.91017544470702
3,3,0,1,1,1,0,48.37906078166553
1,2,0,1,1,0,1,54.45616709224414
