education_years,prior_offenses,employment_gap_years,has_dependents,first_time_defendant,offered_legal_counsel,attended_legal_counsel,sentence_length_months
3,2,0,0,0,1,1,58.30785981196303
4,3,0,1,1,1,1,55.782578158038646
4,3,-1,1,1,0,0,45.72239885922381
4,3,1,0,1,0,0,46.88567118456472
4,4,0,1,1,1,0,45.80024106172401
4,4,0,0,1,0,0,46.78642777637893
4,1,0,1,0,0,1,55.03311119938215
6,2,0,0,0,1,0,44.29819367382771
8,3,0,1,1,1,0,42.26227272417083
7,2,0,0,0,0,0,44.849325779752206
2,3,0,0,1,0,0,49.42035540641789
4,4,0,0,0,1,0,46.4788139286568
6,3,0,1,0,0,0,44.783791916693616
9,2,0,1,0,0,0,42.72008734914232
4,2,0,1,0,1,1,56.18337411489769
5,2,1,1,0,1,1,56.91653898992615
5,3,0,0,0,1,0,47.66987451768473
8,3,0,1,1,0,0,42.55207609116733
3,2,1,1,1,1,1,58.51167321135772
3,3,0,0,1,0,1,56.628029092361714
1,2,0,0,0,0,1,59.69576047108468
5,3,0,1,1,0,0,45.24594320095358
4,2,0,0,0,1,1,56.708382948669474
4,3,0,1,0,1,0,47.1293814006446
7,2,1,0,1,0,1,56.01303410859817
0,2,0,1,1,1,1,59.43707189301298
8,2,0,1,1,1,0,43.23275023390757
3,3,-1,0,1,0,0,46.47580235801793
3,3,0,0,1,0,0,47.92149678142435
5,2,0,1,0,1,0,44.560693758355086
4,1,0,0,0,1,1,56.34322261542053
2,3,0,1,0,1,1,56.28454040258895
4,1,0,1,0,1,1,54.96301533245069
8,2,0,1,0,1,0,42.149414072977535
4,3,0,1,0,0,0,46.708709500577775
0,3,-1,1,1,1,1,58.34185963330842
7,2,0,0,1,1,0,44.28000657533856
0,2,1,1,1,1,1,58.88236278607356
2,2,0,1,0,1,0,47.50259441003454
6,2,0,1,1,1,1,51.88806696170362
8,3,0,0,0,1,0,43.96963296400568
4,3,0,0,0,1,0,48.12307608811995
1,3,0,1,0,1,0,49.5116705994698
4,2,0,0,1,1,0,46.81497058212493
6,3,0,0,1,1,0,44.19395670880997
3,3,0,0,1,0,0,46.94428731263616
4,2,0,1,1,1,1,57.74153911033455
7,2,0,1,0,1,1,53.73420631046052
3,2,0,0,1,0,1,55.79614873417987
6,2,1,0,1,1,1,54.99319750709175
4,3,0,0,1,1,0,47.2848052024943
4,2,0,0,0,1,1,56.50532953224404
1,3,0,1,0,1,1,58.631110543340725
1,2,1,1,0,1,1,58.93705322458472
4,2,0,0,0,0,1,57.66241431861436
3,3,0,1,1,1,0,47.63373824692141
5,3,0,0,1,1,0,46.15237723933591
1,3,0,1,1,1,1,59.1430896760797
5,2,0,1,0,0,1,55.0810671231381
3,3,0,1,1,1,0,47.27210325218911
6,2,-1,0,0,1,1,53.97434064652845
4,3,0,0,0,1,0,48.98486418554626
7,3,0,1,1,0,0,43.53864879013176
6,2,0,0,1,0,0,44.15948672945544
2,3,1,1,1,1,1,60.46548533674836
2,3,0,1,0,1,1,57.54067584986712
4,3,0,0,1,1,0,47.57840636343428
