education_years,political_interest,civic_participation_score,registered_voter,prior_voting_history,campaign_invitation,campaign_participation,political_knowledge_score
6,2,0,1,1,0,1,55.479055095409215
4,3,0,1,0,1,1,56.611061337090646
7,3,0,0,1,1,1,57.73390790182636
3,2,0,0,0,1,1,57.56376438977435
2,3,0,1,1,1,1,57.950957406764346
6,2,0,1,1,1,1,55.24515807751782
6,2,0,0,1,1,1,56.35404473018209
5,3,0,1,1,1,1,56.39811929884529
4,2,0,1,0,0,0,48.63144846811099
0,2,0,0,1,1,1,53.33604887965275
5,2,1,1,1,1,1,55.091537760551255
5,2,0,0,1,1,1,56.9300518239308
4,2,1,0,1,1,1,55.14018412854061
4,2,0,0,0,1,0,49.80960043341484
7,2,0,1,1,0,1,57.67780937171186
7,3,0,1,0,0,1,57.20730166349921
3,2,0,1,0,0,0,48.8694749121198
3,3,0,1,1,0,0,48.973595082698615
6,2,0,1,0,0,0,49.48156320397332
2,2,0,0,0,1,1,57.270731423671016
1,2,0,0,1,0,0,50.56944033429296
6,3,0,1,1,1,1,55.35291106002163
5,2,0,1,0,1,0,50.76835578913443
4,2,0,1,0,0,0,47.60672043186697
7,2,0,1,0,1,1,54.41852252074448
4,3,0,1,1,1,0,48.60678145222943
4,3,0,1,1,1,1,55.01746313225314
2,1,0,0,1,0,0,49.60393292006934
2,3,0,0,0,1,0,50.59457740896373
5,3,1,0,1,0,1,53.98568475993738
2,2,0,0,1,1,0,48.54308354353863
0,2,0,0,1,1,0,50.23296734501466
4,3,1,1,0,0,0,49.8882449531953
4,2,0,1,0,1,0,49.11521518422296
8,3,0,0,1,1,1,55.57004816507428
2,3,1,1,0,1,0,48.50311532694791
0,2,0,0,1,1,0,50.51318568599048
6,2,0,1,1,1,1,57.72809767874143
5,2,0,1,0,1,0,49.297140583040594
2,2,0,1,1,0,1,54.771039978834985
4,2,0,0,0,1,0,49.03341916369992
6,2,0,1,1,0,1,57.57933198029213
3,2,0,1,1,1,1,56.23887923793524
7,4,0,1,1,0,1,55.77241519563739
4,3,0,1,1,1,1,56.54743727032888
6,2,0,1,0,1,1,56.931976823826936
3,3,0,1,1,0,1,53.86913947297685
4,3,1,0,1,1,1,55.25787334153195
3,3,0,0,1,1,0,48.88834440356384
1,3,0,0,1,1,1,56.76396857887918
2,3,0,1,1,1,1,54.72242644476459
4,3,0,1,1,1,0,50.529392164579534
3,2,1,1,0,1,1,56.15521607166944
5,3,0,0,1,1,1,57.36179280856644
4,2,0,0,1,0,1,58.43172803320037
5,3,0,0,1,1,1,56.93673364306808
4,2,-1,1,0,1,1,56.41954232030761
