years_employed,household_size,log_household_income,owns_home,has_college_degree,offered_consumption_subsidy,used_consumption_subsidy,annual_household_consumption
1,2,0,1,1,1,0,45.31381731534562
6,3,0,1,1,0,1,53.219698203961045
5,3,0,0,0,1,1,55.55258050470575
3,2,0,1,0,0,0,45.45896986795191
2,3,0,1,1,1,0,46.305433811738624
3,2,0,1,1,1,0,46.30565637938063
5,3,0,0,1,1,1,54.61180319078543
0,3,0,1,1,1,0,46.4441440848623
4,3,0,0,0,1,0,46.6637128600901
6,2,0,1,0,0,0,45.5374860770627
3,2,0,1,1,1,1,54.48477814088654
2,3,0,1,1,0,0,43.87059995073332
0,2,0,1,1,1,0,45.32605910567127
7,3,0,1,1,1,1,52.85082322879723
1,4,0,0,1,0,1,53.89412891915298
3,2,0,1,1,1,1,53.96201926398614
8,3,1,1,0,1,1,51.56074720803348
4,1,0,0,0,0,0,47.44955042510033
3,3,0,1,0,0,1,53.268426811065325
3,2,0,1,0,0,1,53.4813025467226
6,3,0,1,1,1,1,52.94992820917896
0,2,0,1,1,1,0,47.38220832369504
0,2,0,1,0,0,0,47.32018022930526
3,3,0,1,0,1,0,47.32453868463461
4,2,0,1,1,1,1,54.66313119401354
5,2,0,0,1,0,1,54.28825420228988
0,3,0,1,1,1,0,45.74655468558424
1,3,1,1,1,0,0,46.669079599466784
1,3,0,1,0,0,0,46.58539608621088
1,2,0,1,0,0,0,47.65170598482731
3,2,0,1,1,0,0,45.8704335581727
5,2,0,0,1,1,1,55.92495188209335
5,2,0,1,1,1,1,52.37863547123066
7,3,0,1,1,1,1,52.42965029129524
1,2,0,1,1,0,0,47.62658324504775
4,2,0,1,0,1,0,46.95120157840209
1,3,0,1,0,0,0,46.01622434763699
4,2,0,0,0,0,0,47.27366664728651
3,2,0,1,1,1,1,54.14382457964742
6,2,0,1,1,0,1,53.56032882758015
6,2,0,1,1,0,1,52.802026994847175
-1,4,1,0,1,1,0,47.87844896100962
4,2,-1,1,1,1,1,55.7271678037971
0,3,0,0,0,1,0,47.306535258880736
4,2,0,0,0,1,1,56.2683650717491
3,3,0,1,0,1,0,45.37218665947498
2,2,-1,1,1,1,0,47.15424926755895
0,3,0,1,0,1,0,46.07371533807374
3,3,0,1,1,0,1,52.34999505105364
3,2,0,1,1,0,0,47.36534991013894
3,2,0,0,1,1,1,54.68126678416232
2,3,0,1,1,0,1,52.81043675246464
5,3,0,1,0,0,0,45.15017517794077
3,2,0,1,1,1,1,53.38438425230629
3,2,1,1,1,0,0,47.75632327347635
3,3,-1,0,1,1,1,53.48289103447745
4,2,0,1,1,1,1,54.79844554253794
3,3,0,0,1,0,0,44.90942562083441
2,3,0,1,1,1,0,45.0217796655726
9,2,1,1,0,1,1,52.628723146389525
4,2,0,1,1,1,0,44.554537768942616
0,2,0,1,0,1,0,45.98482183710927
5,2,1,1,1,0,0,42.64621661948058
3,3,0,0,1,1,1,54.74849285432451
4,2,-1,1,1,1,1,54.62953899938598
6,3,1,1,1,1,1,53.15343617622886
0,2,0,1,1,0,0,48.497221223778816
5,3,0,0,1,1,1,53.18932455377638
4,3,0,0,1,0,0,46.72747063695205
4,2,0,0,1,0,0,44.8531988723165
2,3,0,0,0,1,0,46.85783876847706
5,2,0,1,1,1,1,53.813627625236805
0,2,0,1,1,1,0,46.036080145008654
6,2,0,1,1,0,0,44.882625110140005
-1,3,0,0,0,0,0,48.48845682655066
5,2,0,1,1,1,1,54.68542878121814
2,1,0,1,1,1,0,48.003194974395306
3,3,0,1,0,1,1,55.85117909953389
7,3,0,1,1,1,1,52.86836042562639
4,3,0,0,0,1,1,53.37029830020159
2,2,0,0,1,1,1,54.33613556080991
3,2,0,1,0,0,0,48.14371396752571
3,1,1,1,1,1,1,53.88975792042047
6,3,0,0,0,1,1,54.746133445144906
0,2,0,1,1,1,0,45.515559080095294
6,2,0,1,0,0,1,52.98041836322238
5,2,0,1,1,1,0,46.41350220514601
0,2,0,0,1,1,0,47.66761814190975
4,2,0,0,0,1,1,55.387034221858805
5,3,0,1,1,1,1,53.90283468478247
3,3,0,1,1,1,1,52.957506180623234
3,1,0,1,0,1,0,46.71931632727807
6,2,0,0,0,1,1,55.46221477317136
6,3,1,0,1,0,1,53.74759995606651
4,3,0,0,1,1,1,53.86922609454888
3,3,0,0,0,0,0,46.777923247517016
3,2,0,1,1,1,0,47.34341536567239
1,3,0,0,1,1,0,45.95017610908423
4,3,0,0,1,1,1,54.083267011808985
1,4,0,1,0,1,0,46.45297592937811
-1,3,1,1,1,1,0,45.69052656599206
7,4,0,1,1,1,1,50.05464373995056
5,2,0,0,0,1,0,47.6295289213307
2,3,0,0,0,1,0,46.245264306621685
6,2,0,0,0,1,1,54.29270150169285
4,2,0,0,0,0,0,45.55254075692461
5,3,0,1,1,0,1,53.72876727142524
5,3,0,0,1,1,1,54.77855374488411
7,2,0,1,1,1,1,52.09876177099598
3,3,0,1,1,1,0,46.901866872605225
6,2,0,1,1,1,1,52.18567801738944
0,2,0,1,0,0,0,47.22451686620966
2,2,0,1,0,1,0,45.0252275293217
7,2,0,0,0,1,1,53.04902215600596
2,2,0,1,1,1,0,47.158765844527125
4,2,0,1,1,1,1,54.69140308372387
2,2,0,0,1,0,0,46.85776242274405
6,2,0,1,0,1,1,51.54714291827531
1,3,0,1,0,1,1,55.85405072706604
3,3,0,0,1,0,0,45.98214318783317
7,3,0,1,0,0,1,53.1062107009799
2,3,0,1,1,1,1,54.688423320289424
0,2,0,0,1,1,0,48.24037967470253
2,3,0,1,0,1,0,45.60949715565593
5,2,0,1,1,1,1,54.76924458394983
-1,3,0,0,0,1,0,49.360286582378656
2,3,0,1,0,1,0,45.73229961466025
6,3,0,0,0,1,1,55.39893585285524
4,2,1,0,1,1,1,54.46071730845047
4,3,0,1,0,1,0,44.00954056454158
1,1,1,1,0,1,0,46.28881751337181
2,2,1,0,1,1,0,48.27925155561819
2,3,0,0,1,1,0,45.69123751260632
5,3,1,1,0,1,1,53.21964896055235
1,2,0,1,0,1,0,45.59120468240192
6,2,0,0,1,0,1,53.7940482772394
5,2,0,0,1,1,0,47.995909518872026
0,3,0,1,1,1,0,47.39832631232149
1,2,1,1,0,1,1,55.35772987673441
1,2,0,1,1,1,0,44.94417039767654
4,3,0,1,1,0,0,45.32867400781162
6,2,0,1,1,0,1,54.72187144273303
3,3,1,1,1,0,0,44.56171861910949
0,2,0,0,1,0,0,46.88473813441508
4,2,0,1,1,0,0,45.1232816282819
2,3,0,1,1,1,0,43.44892959325583
1,3,0,0,1,0,0,47.647243086512745
0,2,0,0,1,1,0,46.83290553462444
6,2,0,1,0,1,1,53.37755150727027
1,2,1,0,1,1,1,55.5794329775887
6,3,0,1,1,1,1,53.41249292847346
9,2,0,1,0,1,1,52.53326086454887
6,2,1,1,1,0,1,52.354252262602
5,3,0,1,1,0,0,45.61769656614412
6,2,0,1,0,1,1,53.757927217801225
2,3,0,1,0,1,0,47.09661810135027
0,3,0,0,0,1,0,47.48227651162349
7,2,1,1,0,1,1,54.004079818839735
2,2,0,1,1,1,0,44.49621320781951
2,3,0,1,1,0,0,47.37014525634584
5,2,0,1,1,0,0,45.01729581755861
8,2,0,1,0,1,1,52.569708874772914
6,3,0,0,1,1,1,54.50660940208675
2,2,0,0,0,1,0,47.58800767901684
2,3,0,1,1,0,0,47.431243704349264
6,2,0,1,1,0,1,54.304739328264105
1,2,0,1,1,1,0,46.29151486980342
5,2,0,0,0,1,0,46.2321949633133
3,3,0,1,1,1,1,52.63177324588285
5,2,1,1,1,1,1,53.353118183832194
6,3,0,1,1,0,1,52.31039539573077
2,2,0,0,1,1,0,46.55828663948775
4,3,0,1,1,0,0,46.8651657429813
6,2,0,0,0,1,1,52.83012372227203
3,3,0,0,1,1,1,55.14199070324031
0,3,0,1,0,0,0,46.71373668154924
8,3,0,0,0,0,1,53.73975466547453
1,4,-1,0,0,1,0,49.05379744363762
5,1,0,0,1,0,1,55.378566993314905
3,2,0,1,1,1,0,45.58069374690115
1,1,0,0,1,1,1,55.204137386363016
4,3,0,1,1,1,0,44.247627280789736
7,3,0,1,0,1,1,54.77073884030328
6,3,0,1,1,0,1,52.76685101225721
4,3,0,0,1,1,1,55.436204440814855
3,3,0,1,1,1,0,45.81487475722008
7,4,0,0,1,1,1,52.93079619514315
6,2,0,0,1,1,1,53.88734103327772
0,3,0,1,1,1,0,45.72811057694784
2,3,0,1,1,1,0,46.95479526841526
6,2,0,0,0,1,1,52.82543517642449
1,2,0,1,1,1,0,46.40605907301424
5,3,0,0,1,1,1,52.37037112476256
3,3,0,1,1,1,1,55.0761485099054
4,3,0,1,1,1,1,52.75233791395264
7,3,0,0,1,1,1,54.93679738496986
5,2,0,0,1,1,1,54.39355406319241
6,3,0,1,1,1,1,53.697238470697805
1,2,0,1,0,1,0,47.493820695214005
0,4,1,1,1,1,0,45.26826843390969
9,2,0,1,1,0,1,52.56427890929872
1,2,-1,1,0,0,0,47.75341519205893
8,2,0,1,0,0,1,53.52143936214802
1,3,0,0,1,1,0,47.824552162090775
4,3,0,0,0,1,0,47.30297685952719
8,2,0,0,1,1,1,54.53899457341
3,3,0,1,1,1,0,44.37019705597556
11,2,0,1,1,1,1,50.87618154754301
0,3,0,1,1,1,0,45.169943274416624
7,1,0,1,1,1,1,53.17227615129229
4,1,0,0,1,1,1,55.006477916007526
6,3,0,1,1,0,1,53.28184753696403
5,2,0,0,0,0,1,54.48853804049797
1,3,0,1,1,0,0,44.91102856034191
5,2,1,0,1,1,1,54.01076733670647
2,3,0,1,1,1,0,47.00912403247369
5,3,0,1,1,1,1,50.84277613500174
4,2,0,1,1,0,0,47.32149435182849
2,3,0,1,0,0,0,45.89366239195594
5,3,0,1,1,1,1,53.133706576247576
3,3,0,0,1,0,1,53.1832328962127
1,3,0,1,0,1,0,47.22525744218031
1,3,0,1,1,1,0,46.9186059721097
5,2,0,1,1,1,1,53.69817710519466
2,3,0,1,0,1,0,46.35785192809927
2,1,1,1,1,1,0,46.18886819420069
3,3,0,1,1,1,1,53.11759176737303
1,2,0,1,1,1,0,46.502003510003874
4,3,0,0,0,1,1,54.21460271712947
5,2,1,1,1,1,1,53.87621793503274
1,3,0,1,0,1,0,43.398867352272575
2,1,0,1,1,1,1,56.049910745326365
6,3,0,1,1,0,1,53.650969256252736
3,2,0,0,1,1,1,54.64211147445769
4,3,0,1,1,1,1,52.401296233703775
1,3,0,1,1,0,0,43.928978113728064
4,2,0,0,1,0,1,56.11320957329036
1,2,0,1,1,1,0,46.079843487689125
6,2,0,0,1,0,0,46.99837496547085
6,3,-1,1,1,0,1,52.48267292976147
1,3,0,1,1,1,0,46.763186025134296
2,2,0,1,1,1,0,44.95619807588731
2,2,0,0,1,1,0,47.0851607937224
3,3,0,1,0,0,0,47.23060382944967
9,3,1,0,0,0,1,54.73274261088084
4,3,0,1,1,1,1,54.13245681294495
1,3,0,1,1,0,0,47.74201109948212
5,3,0,1,1,1,1,50.96899740296508
0,3,0,1,1,0,0,46.559190063268325
2,2,0,1,1,1,0,45.59569607781578
4,3,0,1,1,1,1,53.92910761891464
0,3,0,1,1,0,0,45.89789516349487
4,3,0,1,0,0,1,53.6966392913373
3,2,1,1,0,1,1,54.452070072097136
6,2,0,1,1,1,1,52.584874764486216
4,3,0,1,0,0,0,46.82117878978973
0,3,1,0,1,1,0,47.14957423153616
6,3,0,0,0,0,1,52.015865842817085
2,4,0,1,1,0,0,43.94226584995197
4,3,0,0,1,0,1,54.49635474546099
4,3,0,1,0,1,0,45.408189776925305
3,3,0,1,0,1,0,44.66720620776992
2,3,1,1,1,1,1,52.46447049702241
