years_in_community,household_size,social_trust_score,owns_home,employed_full_time,invited_to_community_leadership_workshop,attended_workshop,community_engagement_index
3,3,0,0,1,1,0,49.17946855459806
1,3,0,0,1,1,1,51.46767812473136
-1,3,0,0,0,0,0,49.63534798632055
2,4,1,0,0,1,1,51.29578740838507
1,2,0,1,1,1,1,50.01376832076421
0,3,0,1,1,0,0,49.31895702728391
4,3,0,0,0,1,1,50.72717024404268
5,3,0,1,1,1,1,49.24226359569055
0,2,0,1,1,1,0,47.846354397022566
4,3,0,0,0,1,0,48.81993507740384
6,2,0,1,0,0,1,47.332605224276605
6,2,0,1,1,0,1,48.10135200593087
5,3,0,1,1,1,1,49.92101215544281
3,3,0,1,1,0,0,47.703916149552335
9,3,0,1,0,0,1,48.47475681131389
3,3,0,0,0,1,0,49.772753681279205
3,2,0,1,1,1,1,49.43906698493672
1,4,0,1,0,1,0,50.31100120291399
2,3,0,0,1,1,1,50.21831031709594
5,3,0,0,0,0,0,46.97141301489634
4,2,0,0,1,0,1,47.6725976368626
5,2,1,0,0,1,1,47.4586893584043
8,3,0,1,1,1,1,47.95985685729247
2,2,0,0,1,1,1,49.177743622043344
2,2,0,1,0,1,0,47.34184276423983
3,2,0,0,0,1,1,50.5147369395709
1,3,0,1,1,1,1,51.945964074511
3,3,0,1,0,0,1,51.072118978480205
2,2,-1,0,1,1,0,47.177954126644565
0,2,0,1,1,1,1,51.91377003516597
7,3,0,1,0,0,1,49.259084474959685
6,4,0,0,1,1,1,52.46266348253967
2,4,0,0,0,0,0,50.42059622842814
7,2,0,0,1,1,1,47.899762658698
1,3,0,0,1,1,0,48.67259411073552
0,2,0,1,0,1,0,50.16721579596985
5,2,0,1,1,1,1,48.16099535356225
3,1,0,1,1,1,1,47.679449121822486
2,3,0,0,1,1,0,48.05244054382389
8,3,0,1,1,1,1,47.87171386048327
3,3,0,0,0,1,0,49.49600668710536
4,2,0,1,0,1,1,48.37709642199096
4,3,1,1,0,0,1,50.0777404393192
6,2,0,1,1,0,0,45.57055454345151
1,3,0,1,1,0,0,48.26080752680656
3,2,0,1,0,1,0,47.731322298945976
6,1,0,0,0,1,0,43.99872761233767
6,2,0,1,1,1,1,48.1954832517933
4,2,0,1,1,1,1,48.70465244010553
1,2,0,1,1,0,0,48.97496321426813
5,3,1,1,0,0,0,47.409028022281255
4,1,0,0,0,1,0,45.812127540427966
2,3,0,0,1,0,0,47.13618279678225
3,3,1,1,1,0,0,49.4566582998908
3,3,0,1,1,1,1,50.31780214435033
3,3,0,1,0,1,1,49.33566965392062
3,3,0,0,0,1,1,51.817142806201694
3,3,0,1,0,1,0,48.2648613504124
2,3,0,1,1,0,0,49.15253478797893
5,2,0,1,1,0,1,47.13947318794997
1,2,0,0,1,0,0,49.09882951842997
2,2,1,1,1,0,0,46.4031566320921
3,2,0,0,1,0,0,48.22982267847336
6,3,0,0,1,1,0,47.70941751998679
3,3,0,1,1,1,1,50.75136660192685
7,3,0,0,1,0,1,48.97099812656995
4,3,0,1,0,1,0,48.7770869979684
0,2,0,0,0,1,1,52.18245316602508
1,2,0,0,1,0,0,48.268730358237136
5,3,0,0,0,1,0,46.83839391000168
4,2,0,0,0,1,0,45.65920486911052
4,2,0,1,0,1,0,47.24723113624511
5,2,0,1,0,1,1,48.43257026300297
2,2,0,0,1,1,0,47.39878148691847
7,2,0,1,1,0,1,46.542692956461615
4,2,0,1,0,1,1,49.19192544907824
2,2,0,0,0,1,0,47.52305433687744
6,2,1,0,0,1,1,49.506274107310965
3,3,0,1,0,1,1,49.9966263367138
0,3,0,0,0,1,0,49.36689889907218
1,3,0,1,1,1,0,49.108891366026974
6,2,0,1,0,0,1,47.1570872085934
2,2,0,1,1,1,0,47.859754332037305
4,2,0,1,0,0,1,49.255019356790974
1,3,0,0,1,1,1,50.60542943072176
5,3,0,0,1,1,0,48.06220407991264
