parent_education_years,baseline_gpa,low_income_status,english_language_learner,invited_to_college_readiness_program,participated_in_college_readiness_program,final_exam_score
3,3,1,0,1,0,45.82063946532836
1,2,0,1,0,1,55.944397798118175
7,2,0,0,0,0,44.31266895182687
7,2,1,0,0,0,44.251271226958615
3,3,0,0,1,1,56.29672494518786
4,2,1,1,1,0,45.52914934915162
6,3,0,0,0,1,53.471665673703214
5,1,0,0,0,0,45.94513163024671
4,3,0,0,1,0,45.97994597105287
6,3,0,0,1,1,55.18962609533711
5,2,0,0,0,0,44.01000727150799
1,3,0,0,0,0,46.61365389107996
3,3,0,0,1,1,56.08375659176839
9,3,1,1,1,0,40.35028203287893
1,2,1,1,1,0,46.02955992472614
4,4,1,0,1,0,46.62171228667132
6,2,0,0,0,0,44.52523340158034
8,1,1,0,1,0,44.55916274273474
3,2,0,0,1,0,46.21957067805317
4,3,0,1,1,0,44.96804673313973
5,3,0,1,1,0,42.93056794397301
3,2,0,0,1,1,55.52501320330481
2,2,0,0,0,0,46.3053283726063
3,2,1,0,1,1,54.331542058214
4,3,1,0,1,0,46.339094922140845
4,2,0,0,1,0,45.026591401718576
4,2,1,1,1,0,43.85765120376533
1,2,0,0,1,1,55.74919263114767
4,3,0,0,1,0,44.00060561312334
5,3,0,0,1,0,45.07442268485317
6,3,0,0,0,1,53.30691222362281
1,3,1,1,1,1,56.10890903746122
5,2,0,1,1,0,43.86974680818632
5,2,1,0,1,1,55.90657559606267
1,1,0,0,0,0,46.60300218742322
2,2,0,0,1,1,55.154950682260754
6,4,1,1,0,0,43.58909485415419
2,3,1,0,1,1,55.24670808319762
1,3,1,1,0,1,53.8521664114857
6,3,0,0,1,0,44.62473903646057
5,2,1,1,1,0,45.35884875689382
0,2,0,0,1,1,56.30009387268794
1,2,1,1,0,1,54.58586994772926
2,3,0,1,1,0,44.58947067012357
8,3,0,0,0,0,46.66105472476298
6,2,0,0,1,1,52.195274009202905
3,2,1,0,1,1,53.6274593844775
0,3,0,0,0,0,47.87789308064674
0,3,0,0,1,1,57.16318836997982
4,3,0,0,1,1,54.36641158455353
2,3,0,0,1,1,55.09019080706401
6,3,0,1,0,0,44.51954616359159
1,4,1,0,1,1,56.563059982624814
6,2,1,0,1,0,44.102930659774266
5,2,0,0,0,0,45.78918204815688
5,2,1,0,1,1,54.46111373238195
2,3,0,1,1,1,55.05234319431018
5,3,0,0,1,1,54.44002790551212
5,2,1,1,1,1,53.47200277033741
6,2,0,0,0,0,45.20110451589129
6,2,0,0,0,0,45.14065560253735
5,2,1,0,1,0,46.33826683183282
1,2,1,1,1,1,53.36425562811176
3,2,1,0,0,0,47.87786175247029
2,2,1,1,0,0,45.85001978636864
2,3,1,0,1,1,53.62445608320979
6,3,0,0,1,0,44.78854707601763
3,3,1,0,1,1,53.85523555321903
3,2,1,0,1,1,55.30619668760889
4,3,0,0,1,1,53.62210693128972
3,3,1,0,1,1,53.965325045823946
6,2,1,0,1,1,53.17867644968396
0,3,0,0,1,1,54.0794475108756
2,3,0,0,1,1,54.19100404807848
5,2,0,0,1,1,53.80162465036543
2,2,0,0,0,0,45.36210953084471
5,2,1,0,1,1,52.44747696514106
6,3,0,0,1,0,46.94394316618638
3,2,1,1,1,0,44.15668054700649
1,3,0,0,0,1,57.141736121300056
3,3,1,0,1,0,46.98675827894871
4,2,1,0,1,1,54.18172261798595
2,3,1,1,1,1,55.40036502989544
2,2,0,1,1,1,52.40975666859235
2,2,0,0,0,1,55.45478857153402
5,2,1,1,1,0,43.653112451907205
7,2,0,1,1,0,45.11324790918277
2,3,0,0,1,1,56.48875589269304
5,2,0,0,1,0,45.69158628212098
3,3,0,0,1,1,54.07382853173084
3,3,0,1,1,1,53.77960936031346
0,3,0,0,1,1,57.20842740997408
3,2,0,1,1,0,45.842644064791706
5,2,0,0,1,1,51.64769272814236
2,3,0,1,0,0,45.952393805474735
5,3,1,0,1,1,52.77957244146192
6,2,0,0,1,0,44.86759202468655
0,4,1,0,1,1,55.31733333748917
1,2,1,0,1,1,55.57240519444426
5,2,0,0,0,0,45.08284499150352
4,3,0,0,0,0,44.26483255325488
4,3,0,0,0,1,54.81518557564742
3,2,1,0,1,0,45.082335931576914
5,2,0,1,1,0,44.154290295871
2,2,1,1,1,0,47.69929576187304
2,3,0,0,1,1,54.66706086458122
0,3,0,0,1,1,55.07262384471249
6,1,1,1,0,0,44.733160129572525
6,3,0,1,1,0,45.81506894415785
3,3,0,1,1,0,44.80137688157895
5,3,0,0,1,0,46.40938880943899
4,2,1,0,1,0,43.64525459191186
7,2,0,0,1,0,42.93591086973881
2,3,1,0,0,1,54.741855252006815
4,3,0,0,0,0,46.16844768537072
2,2,1,0,0,1,53.62908705550774
1,2,0,0,1,1,55.16231692021852
5,4,0,0,0,1,54.01752778007743
4,3,0,1,1,0,44.39521361370316
6,2,0,0,1,0,43.6835116190818
3,2,0,0,1,1,54.74106751267102
5,2,1,0,1,0,45.15166458304537
2,3,0,0,1,1,56.31129006523784
7,3,1,1,0,0,41.36806411974086
4,2,0,0,1,1,54.42579596179164
3,3,0,1,1,1,54.112060594090565
6,3,0,1,0,0,44.11028877691574
3,3,0,1,1,1,53.97841991074704
0,4,0,1,1,1,55.66174844678363
0,2,1,1,1,0,45.77944572020018
4,3,0,0,1,1,53.23583651313764
1,3,0,0,0,1,56.56166196039421
3,2,0,0,1,1,54.619388231430094
6,2,0,0,1,0,46.11215613317482
5,3,1,0,1,1,54.53510680949675
4,2,0,1,0,0,43.66348061266685
3,3,1,1,1,0,45.17777560556308
3,3,0,0,0,1,54.82487061714078
6,2,0,0,0,0,45.17282027275181
3,3,0,0,1,0,45.34714301967084
5,2,1,0,0,0,45.413475759669005
1,2,0,1,0,1,55.5233640674082
2,3,0,0,1,1,56.0637396029427
0,2,0,1,0,1,55.65665841508797
3,2,0,0,1,1,54.145878375671295
3,2,0,0,1,0,46.59735042572756
2,3,0,0,1,1,55.50451090500312
5,3,0,0,0,1,53.50145368912102
3,2,1,1,1,1,54.54468389787228
1,3,0,1,1,1,56.09667555852306
4,3,1,1,1,0,44.88026967238645
3,2,0,1,1,0,46.31938683634015
5,3,1,0,1,1,52.98757431620975
6,3,1,0,1,0,43.80780892023635
7,2,0,0,0,1,52.30570108012251
1,3,1,0,1,1,53.27214118912004
5,3,1,0,1,1,53.32996022141994
6,3,1,0,1,0,44.12695373218109
4,2,0,1,0,0,45.31352552685618
4,2,1,0,1,1,54.05425381860161
6,2,1,0,1,0,43.77065862260566
2,3,0,0,0,1,55.69306154135546
3,2,0,1,1,0,45.86634505593683
3,3,1,0,1,1,54.326321859654925
3,2,0,0,1,0,45.71524531692386
2,4,0,1,0,1,54.63156750849813
0,2,1,0,0,1,55.08248594095662
2,2,0,1,0,0,46.25098290578762
3,3,0,0,0,1,54.01895133857161
-1,3,1,0,1,1,56.83389660213278
4,3,0,0,1,0,44.5861770395476
3,3,0,0,1,1,54.61035298828344
1,2,1,1,1,1,53.30012010666604
1,3,0,0,1,1,55.85657522565391
2,3,0,0,1,1,54.20399336111065
