education_years,job_tenure_years,is_union_member,has_dependents,received_training_invite,attended_training,annual_income
2,2,1,1,1,1,47.23884191906695
7,3,0,0,1,1,44.04573311766572
1,3,1,0,0,0,43.64173898306019
6,2,1,0,1,0,41.01404866536164
6,3,1,1,1,1,42.60998414662396
2,3,1,0,1,1,46.68531999353104
3,3,1,1,0,0,43.21632912963112
1,2,1,0,1,0,44.57161015224968
0,3,1,1,1,0,44.8332262880642
6,2,1,0,1,0,42.19278929400888
5,2,0,0,1,1,43.90697900167004
6,3,1,1,1,0,41.44697238308637
5,3,0,1,1,0,41.23663064387759
5,2,1,1,1,1,44.51545678536144
3,2,1,1,1,0,42.92420163295244
6,3,1,1,1,1,44.38424483353237
3,3,1,1,0,0,41.77102516792032
6,4,0,1,0,0,38.98345013453696
5,2,0,1,1,0,41.12159947180659
0,3,1,1,1,1,48.87690320670558
3,2,1,0,1,0,45.44845545770496
3,2,0,1,1,0,43.13793172627621
3,3,1,1,1,0,42.40231835236818
4,3,1,0,1,0,41.62826171607743
1,2,1,0,1,0,44.31995492175338
2,2,0,1,1,0,44.869405020240976
4,3,0,1,0,0,42.23482437443269
6,2,0,0,1,0,41.39806054208968
3,2,0,0,1,1,45.9243331308486
5,3,0,0,1,0,41.45482353047833
1,3,1,0,1,1,44.693157013829904
5,2,0,1,0,1,42.85253897900699
3,2,0,0,1,1,45.8801301050123
3,2,1,1,1,0,43.822684483983416
4,2,0,1,0,0,45.19395249898455
1,3,0,0,1,1,46.05677063215906
6,3,1,0,1,0,38.4187311659791
4,2,1,0,1,1,44.92300183113118
1,3,0,1,1,1,48.6961403680655
1,2,0,1,1,1,47.50042808326171
3,3,0,1,1,1,46.73709627007187
4,4,1,0,1,1,42.08746804498591
1,2,0,1,1,1,48.85223755217825
1,2,1,1,0,0,43.84653299986741
1,2,1,1,1,0,42.96881697677016
2,2,1,1,1,1,47.79313741494715
6,2,0,1,1,0,41.143636448918734
2,2,1,0,1,1,47.1603335064725
4,3,1,1,1,0,40.791079540305
3,3,0,1,0,0,41.84506541693009
-1,2,0,0,0,0,45.753962830688536
4,3,0,1,1,1,44.92634862828396
2,3,1,0,0,0,42.62065676281172
5,2,0,0,0,1,45.10406554005832
3,2,1,0,1,1,45.49549777725725
1,3,0,0,1,0,44.77100152321206
4,2,1,1,1,0,42.1315379428773
4,2,1,1,0,0,42.500530816216745
1,2,0,0,0,1,47.85727162438926
2,3,1,1,1,0,43.73807536327103
2,2,0,1,0,1,46.65063448065165
8,3,1,1,0,0,38.72148282114157
1,3,0,0,1,1,46.28796183409763
3,3,0,1,0,1,48.362559265023215
1,2,1,1,1,1,46.63924295534216
0,3,1,1,1,0,41.7674849511594
1,3,0,0,1,1,45.390557528946765
1,2,1,0,1,1,48.54945405852518
5,2,1,0,1,1,44.91439188124569
3,2,1,0,0,1,47.16740581844165
5,3,1,0,0,0,39.87001658987582
3,2,0,1,1,1,48.517911146796486
2,1,1,0,1,1,48.49308687960944
6,2,1,0,1,0,41.13736729887671
5,1,0,1,1,1,47.25936021437412
