years_in_public_housing,household_size,prior_eviction,single_parent,recent_job_loss,counseling_offer,attended_counseling,housing_stability_score
0,2,0,1,0,1,0,50.876202499728
1,3,0,0,1,1,1,56.7835099589705
2,3,0,1,1,0,1,57.78207145395649
4,3,-1,1,0,0,1,57.21518393110278
5,3,0,1,1,1,0,49.92346463258367
5,3,1,1,0,1,0,50.33157228938031
5,2,0,0,1,1,0,52.3569755507621
2,2,0,0,1,0,0,50.01761858029922
8,2,0,1,1,0,0,50.940368316438565
6,2,1,0,1,1,0,50.26376935327213
0,2,0,0,0,0,1,55.89296074877832
1,2,0,1,1,1,1,56.66304004263684
1,3,0,1,1,0,0,52.26366747548819
-1,3,1,1,1,0,1,55.4193919371228
9,3,0,1,1,1,1,54.35011873695695
7,2,0,1,1,1,1,56.0655964664784
1,2,0,1,1,1,1,55.74459031747148
5,3,0,1,1,1,1,56.98648084994022
0,3,0,1,1,1,1,56.61022797459648
7,3,0,1,1,1,1,58.29853758694419
0,2,0,1,1,1,1,55.85740393884517
5,1,0,1,1,1,1,56.85245417624375
6,2,0,1,1,1,0,50.03041568588359
3,4,0,1,0,0,0,51.63111359416543
1,2,0,1,0,1,0,50.92075287388701
3,2,0,1,1,1,0,50.807598065820784
5,3,1,1,1,1,1,54.89107608137219
5,2,1,1,0,1,0,50.5072477227694
3,2,0,1,0,1,1,57.71260122257252
2,3,0,1,0,0,0,52.1093641564124
4,2,0,0,0,1,0,50.19641024552482
0,2,0,0,1,1,1,56.695216669126935
4,3,0,1,0,1,0,49.80186792326516
4,2,0,1,1,0,0,51.92024913967121
7,2,0,1,0,1,0,51.50763724431907
4,2,0,0,0,1,0,49.22745090237085
6,2,0,1,1,1,1,56.35659588662518
7,3,-1,1,1,1,0,50.61947537093224
2,2,0,0,0,0,0,49.201997447665285
7,2,-1,0,1,1,1,55.924711579820354
0,3,0,1,1,1,1,56.05651358417701
2,2,0,1,1,1,1,56.14297450915251
4,2,0,1,1,1,0,48.902481512901005
3,3,0,1,1,0,0,52.37754545063828
5,2,0,1,0,1,1,58.35819234584092
7,2,0,1,0,1,0,50.22402505114236
4,3,0,1,0,1,1,56.502365568368006
6,2,0,1,1,0,0,51.88600145124413
3,3,1,1,1,1,1,56.56210790857183
7,2,0,0,1,1,0,50.65297761665816
2,2,0,1,1,1,1,54.78977563405887
4,1,0,1,1,1,1,56.18437451922811
3,2,0,1,1,0,0,50.75915709266472
1,2,0,0,0,0,0,52.00563549451597
5,2,1,0,0,1,0,49.50657880516556
2,3,0,1,1,0,0,49.94027892617384
2,3,1,1,0,0,0,51.029363369164166
5,3,0,1,0,0,0,50.98571519183342
8,2,0,0,0,0,0,52.23317997661845
0,3,0,0,0,1,0,50.70991155701749
1,3,0,0,1,1,1,56.279148049427626
0,2,0,1,1,0,1,56.28705077983234
1,3,1,1,0,1,0,50.50341870721
3,3,0,0,1,1,1,56.57389836263953
6,3,0,1,1,1,0,52.20143320477079
2,2,0,1,1,1,1,56.25316641617253
3,2,0,0,1,1,1,55.97425045208762
2,2,0,1,1,1,0,49.71176473177918
0,2,0,1,1,1,1,56.41711451714703
4,3,1,0,0,1,0,50.16335749090041
0,2,0,1,1,1,1,55.2723672024559
3,3,1,0,1,1,1,56.34595222672127
1,2,0,0,1,1,1,58.48337188160467
7,3,0,0,0,1,0,50.966271259373386
2,3,0,0,1,1,1,58.148579684533246
7,2,0,1,1,0,1,55.784129576712026
4,2,0,0,0,0,0,49.27524442066896
-2,3,0,1,1,1,1,55.806681560714175
2,3,0,1,0,0,1,56.44586127032251
2,2,0,1,0,0,1,56.68996644214735
1,2,0,1,0,1,1,56.844954930057895
6,3,0,1,1,1,1,54.973149959219306
0,2,0,1,1,1,0,50.76318284628164
5,2,0,1,1,0,0,50.72773563258384
2,2,0,1,1,0,0,49.58673563346182
0,3,0,1,0,1,0,51.05682715815419
1,3,1,1,0,1,1,56.07605475647857
2,3,0,0,0,1,0,51.65394437290244
2,3,0,0,0,1,1,56.141780411313256
3,4,0,1,1,0,0,51.51104954695992
4,2,0,0,1,0,0,52.45258795287816
4,3,1,1,1,1,0,49.54070541483985
5,1,0,1,1,1,0,52.16899027983425
3,3,0,0,0,1,0,51.44886057643819
3,3,0,0,0,1,0,50.55538810652514
2,3,0,1,1,1,1,57.51891741440433
5,3,0,1,1,1,1,55.71443625642735
3,3,0,0,0,0,0,49.73701918221414
5,2,0,0,1,1,0,51.83123739860922
5,2,1,1,1,0,0,50.839163134513306
4,2,0,0,0,0,0,50.87144900531199
4,2,0,1,0,1,0,49.915618640650536
4,2,1,1,1,1,0,52.50365675294852
0,3,1,1,1,1,0,51.444127095303216
3,2,0,0,1,1,1,56.784277019756
5,3,-1,1,1,1,1,54.901155254954936
5,3,0,1,0,1,0,50.47695993044434
4,3,1,1,1,0,0,51.82735167562893
3,3,0,1,1,1,0,52.28737064218984
2,3,0,0,0,0,0,52.24367169007361
5,2,1,1,1,1,1,54.97070515992052
2,2,0,1,1,1,1,56.29155976683046
3,3,0,1,0,0,1,54.57926640648489
2,4,0,1,0,1,1,57.85365534555309
2,3,0,0,0,0,1,55.76978083201898
8,3,0,0,0,1,1,57.44540311790456
2,3,0,1,1,1,1,55.50894786701254
1,2,0,1,1,0,0,50.2190014050944
4,3,0,1,1,1,0,50.45244376392787
1,3,0,1,0,1,1,56.48316850657104
2,2,0,1,1,1,0,50.592582139328975
6,3,-1,1,0,1,0,50.457347206762336
3,3,0,1,1,1,1,57.60931973884284
2,3,0,0,1,0,0,51.08062029329331
6,3,0,0,1,0,1,57.36402767662205
0,3,0,1,0,1,1,56.50276902373474
3,3,0,1,0,0,0,50.73012480800613
3,3,0,1,1,0,0,50.720636236238136
5,3,0,0,1,1,1,57.41435062947161
0,2,0,1,1,1,1,56.98285861849735
4,3,0,0,1,0,0,53.107903588330885
1,2,0,0,1,1,0,52.28814113477321
3,3,0,1,0,1,0,49.00538358557229
1,2,0,0,1,1,1,55.89710251661153
3,3,0,1,1,1,1,55.33756842496064
0,2,0,0,1,0,0,51.160055684501295
3,3,0,1,1,1,1,56.673570128494106
2,2,0,1,0,1,0,51.82553113721888
4,3,0,1,1,1,1,56.67555241134704
4,2,0,1,1,0,0,49.84449807196474
4,3,0,1,0,1,1,58.44791201251066
-1,4,1,0,1,1,0,50.614245851686654
6,2,1,1,0,1,0,50.51475012587062
3,3,0,1,1,0,1,55.90187666495001
3,2,0,0,1,1,1,55.375550795174384
1,2,0,1,1,1,1,56.85503977385176
0,4,0,1,1,1,0,52.50830527430646
3,2,0,0,0,0,0,51.87677143733707
4,3,0,1,1,1,1,56.86997936385747
4,2,0,1,0,1,1,55.92755572806472
4,2,0,0,1,0,0,49.60138395130752
3,3,0,0,1,0,0,51.90146332557661
9,3,0,0,0,1,0,51.37426843201135
1,2,0,0,0,0,0,50.67948815189325
4,1,0,1,0,1,0,50.42352090111678
4,3,0,1,1,1,0,51.44844629321311
5,2,0,1,0,1,0,51.829487227538685
0,2,1,1,0,1,1,53.82324932308924
4,2,1,1,1,1,1,56.10073268560252
5,2,0,0,0,0,0,50.72546091931512
4,3,0,1,1,1,0,52.54102373045728
2,3,0,1,1,0,1,57.65093631456436
0,3,0,1,0,1,0,50.84355720001712
2,3,0,1,0,1,0,52.09416464001379
5,3,0,1,1,1,0,50.66728949016021
4,3,0,0,0,1,0,51.46936713882111
3,3,-1,1,1,1,1,56.99106297365312
3,3,0,1,0,0,0,49.21497863100407
1,3,0,0,1,0,1,57.72463348976768
3,3,0,1,1,1,0,51.908330830366026
3,3,0,1,1,0,1,56.47950757330332
4,3,0,1,1,1,0,52.043031671170645
1,3,0,0,0,1,0,51.54764134729593
3,3,1,1,1,1,1,58.12578456080245
3,2,0,1,1,0,1,55.17625004941493
1,2,0,1,1,1,0,49.14366180411515
1,1,0,0,0,1,0,49.63067964296212
4,2,0,1,1,0,0,50.65863801350255
4,3,0,1,1,1,1,56.41167076282932
5,2,0,1,1,1,0,49.78872720093696
4,3,0,0,0,1,0,51.80982859426757
