cognitive_test_score,sessions_attended_last_year,recent_life_event_score,has_history_of_anxiety,is_employed_full_time,invited_to_support_group,attended_support_group,psychological_wellbeing_score
2,2,-1,0,0,1,1,59.61101709984933
7,3,0,1,1,1,0,55.60007206776724
6,3,0,1,0,1,1,59.14231765281142
3,2,0,1,0,1,1,58.07744218973287
6,2,0,0,1,0,0,56.27290576582787
3,2,0,0,0,0,1,59.00847963982065
5,2,1,0,1,1,0,55.35726897307958
5,2,0,1,0,1,0,55.46961017938652
9,2,0,0,0,1,0,58.57338216107089
2,2,0,1,1,1,1,55.80959672048939
-1,2,0,1,0,1,1,54.993654099851774
6,3,0,0,0,1,0,55.83401690181793
4,2,0,1,1,1,0,53.8810430051296
4,2,0,1,0,1,1,57.12648592121751
-2,3,1,1,0,1,1,54.41224153579234
5,2,0,0,1,0,0,55.91360671292169
7,2,1,0,1,1,0,55.27516706104226
2,3,0,0,0,1,0,52.581392236273565
7,3,1,0,0,1,0,55.03063196064948
1,3,0,1,1,0,0,52.15819565127911
6,2,0,0,1,0,0,55.43913978789544
3,2,0,0,1,1,1,58.51603483486284
2,3,0,1,0,1,1,56.95898910368568
0,4,0,0,1,1,0,51.574260548870285
4,1,0,1,0,1,0,55.83306228088489
2,3,1,1,0,1,1,56.92373879068737
4,3,0,1,0,1,1,58.24382165718427
1,3,1,0,1,0,0,52.73959634114623
-1,3,0,0,0,1,1,53.98229001601475
1,2,0,0,1,1,1,56.46284813033083
6,2,0,0,1,1,1,60.29846321747165
3,3,0,0,1,0,1,57.74933145379429
4,2,0,0,0,1,1,59.962855409717776
1,3,0,1,0,1,0,53.37663073428261
3,2,0,1,1,1,0,53.50138174616953
4,3,0,0,0,1,1,59.72601908802616
2,3,0,0,0,1,0,53.67689173950273
0,2,1,0,0,1,1,55.59342837776538
6,2,0,1,1,1,1,62.55461171917827
2,2,0,0,0,1,1,58.3045888008205
3,3,0,0,1,0,0,54.58534768974471
1,4,0,0,1,0,1,55.72379370382749
7,2,0,0,0,1,0,56.0441039044444
7,2,0,0,0,1,0,56.92793994109024
0,1,0,0,1,1,1,55.83708387538188
10,2,1,1,0,0,1,63.58255029511149
6,2,0,1,0,1,1,59.823233415717525
7,1,0,0,1,1,1,61.45629965438621
5,1,0,0,0,0,1,59.13007470211794
1,2,1,0,1,1,1,57.56817042040809
2,2,0,0,1,0,0,53.42341370553182
1,3,0,1,0,1,1,55.29625400011474
2,2,0,0,1,0,0,52.58934403177908
0,4,0,1,0,1,0,49.84947366084248
4,2,0,0,0,1,1,60.35505404605917
2,2,0,1,1,1,1,57.136227770583474
2,3,0,1,0,0,1,56.44404798454495
0,3,1,1,0,1,0,52.53399683754701
2,2,0,1,0,1,1,57.34231066082016
4,2,0,0,0,1,1,59.25447471745321
2,4,0,0,1,0,0,52.46900286290485
3,3,0,0,1,1,0,53.46832667279551
6,2,0,1,0,1,1,60.690385458097744
5,2,0,0,1,1,1,58.62071626309791
1,2,0,0,0,1,1,57.35032820801702
6,2,-1,0,0,1,1,60.74510597512761
1,3,1,1,1,1,1,56.00439242677757
6,3,0,0,0,0,1,59.80046062558908
2,2,0,0,0,1,1,59.24047799595214
3,3,0,0,0,1,0,54.91817700484069
5,2,0,1,0,1,1,59.96636258711833
5,2,0,0,0,1,1,60.03316093754875
4,2,1,1,1,1,1,59.05078365176573
-1,3,0,0,0,1,1,54.529658978390295
5,1,0,0,0,1,0,55.16368695713554
4,2,0,0,0,1,0,54.746369268910655
5,3,-1,1,1,1,1,57.56997993014921
0,2,0,0,0,0,0,50.48650599447948
3,2,0,0,1,1,1,58.149310226721816
5,2,0,0,0,1,1,61.208941496326645
0,2,0,0,1,1,0,52.62512081850382
0,3,0,1,0,1,0,52.31183759367263
1,1,0,0,1,1,0,54.23458176189807
5,2,0,0,0,1,0,55.11571350912857
2,2,0,0,0,1,1,57.883219915686674
3,3,0,1,1,1,0,53.74427325839675
1,3,0,1,1,1,1,56.5189181997975
9,3,0,1,1,1,0,56.50257362352186
3,3,0,1,0,0,1,57.06423416870816
5,3,0,1,1,1,1,59.032151292362585
1,2,0,0,0,1,1,56.28015418849048
1,3,0,0,0,1,1,58.37436826777057
6,3,0,1,0,1,1,60.07812034892916
3,2,0,1,0,1,0,51.83353892316728
5,3,0,0,0,1,1,59.71298533636265
5,2,0,1,0,1,1,58.35865976485093
1,3,0,1,1,0,1,55.80960599718968
6,2,0,0,1,1,0,56.39632027582395
1,2,0,1,0,1,0,52.85206097751655
5,3,0,0,1,1,0,53.48812499779003
5,3,0,1,0,1,0,55.22611671321847
6,3,0,1,1,1,0,56.29271328434352
3,3,0,0,1,1,1,59.88262753827697
9,2,0,0,0,1,1,65.16005580507235
7,2,0,0,0,1,1,62.50777011318952
2,2,0,1,1,1,1,57.15060713433304
3,2,-1,1,0,1,0,53.52445787171702
1,2,0,0,0,0,1,57.34276504236813
1,2,0,0,0,0,0,53.83564150432564
2,3,0,0,0,1,1,56.08350337247279
0,2,0,0,1,0,0,51.91883118061988
2,2,0,0,0,0,0,55.78156964036903
3,3,0,1,0,0,0,52.21466901199919
4,3,0,1,0,0,0,53.29533172103414
3,3,0,0,0,0,0,53.40009164273217
-1,3,0,0,1,0,0,50.16844481986367
4,3,0,0,0,0,0,55.89191168263708
5,3,0,1,0,0,1,58.71567545849515
3,3,0,0,0,1,0,55.23682958540874
5,2,0,0,0,1,0,56.86327032508191
5,3,0,0,1,1,0,55.1111906359486
1,3,0,0,0,1,1,55.60811286700054
6,2,0,1,0,1,0,55.90750263561355
3,2,0,0,1,0,0,53.81978691394831
