education_years,prior_convictions,public_defender,employed_at_arrest,legal_aid_offer,legal_aid_received,sentence_length_months
1,3,0,0,1,0,46.60049490540298
0,2,0,0,0,1,53.86159381809948
2,2,0,0,1,1,51.28637368999234
2,3,0,0,1,1,55.005823326341456
3,2,1,0,1,1,50.75000162753308
6,2,1,0,0,1,53.6719528824697
4,2,0,1,1,0,48.17058555026606
3,3,1,1,1,0,46.60976675752517
4,3,0,0,0,0,46.818938685572505
6,2,1,0,0,0,45.65337804007665
5,3,0,0,1,0,46.439405843658605
6,3,0,0,0,0,48.27189441228299
4,3,0,1,0,0,46.99255943217814
2,3,0,0,0,1,53.945262522501686
8,2,0,1,1,0,44.40807276872808
5,2,1,1,1,0,46.09431374562702
0,3,1,0,0,0,47.17840097126458
5,3,1,0,1,0,46.19712936648837
5,4,1,0,1,1,49.95602013848626
4,2,1,0,0,0,46.75578619782513
1,3,0,0,0,1,53.47706206370165
2,3,1,0,1,1,54.02117392645398
2,2,0,0,1,0,47.75855721320399
5,2,1,0,0,1,51.24619203452896
2,1,0,1,0,0,48.44727817817441
3,3,0,0,0,1,54.20826186593992
3,3,0,1,0,0,46.3013825789806
0,3,0,0,1,1,54.43966075760274
1,3,0,0,0,0,47.71359876878532
2,2,0,1,0,0,47.7526349316697
7,3,0,0,1,1,52.4705002376713
5,3,0,0,1,1,53.39305288013836
2,3,1,1,0,1,52.23723110997497
0,3,0,0,0,1,53.197787631678814
4,3,0,1,1,0,47.680039838253
10,3,1,0,1,0,43.69276415392044
3,4,0,1,0,1,55.95540352075637
2,2,1,1,1,1,53.18128231840987
6,3,1,0,1,1,52.00927643626786
1,3,0,1,1,0,46.998765390577454
3,3,0,0,1,1,52.82678396802717
3,3,1,0,0,1,52.63279381184225
5,3,0,1,1,1,51.50269082253172
4,3,0,0,1,1,53.98653953353916
3,2,0,1,0,0,46.904141579032384
0,3,0,0,1,0,48.06656070769642
3,1,0,0,1,0,46.63154756422911
2,3,1,0,1,0,46.306399513219006
4,3,1,0,1,1,51.10446914225481
6,2,0,0,1,0,46.77033923364853
6,3,1,0,1,1,51.91103465691565
4,4,0,1,1,1,52.31392778658575
4,2,0,0,1,0,48.42963957269262
3,2,0,1,1,0,47.00362998110887
4,3,1,0,1,1,54.59854442119274
5,2,0,1,0,0,47.04056354083091
0,2,0,0,1,0,49.44420285769154
4,3,0,0,1,1,54.39677886529674
1,2,0,0,1,0,48.55661298425559
1,2,0,0,1,1,53.66131954870712
5,3,0,0,1,1,51.89062178147132
4,2,0,1,1,0,47.20306224264986
3,3,1,1,0,0,47.022739009254096
3,2,0,0,0,0,45.44170346842978
0,2,0,1,0,1,54.68520879928426
6,2,0,1,1,1,51.82583812857745
1,2,1,1,1,0,45.38257105748134
4,3,0,0,1,1,54.04259020267046
3,2,1,0,1,1,53.26891309943796
2,2,0,0,1,1,53.242429135609314
8,2,0,0,1,1,53.26681482890375
7,3,0,0,1,1,53.08934595664201
0,4,0,1,0,0,46.62563068098176
2,2,0,1,1,1,54.17350511556856
6,3,1,1,0,1,52.658586764851705
5,3,0,0,1,1,52.7136367621083
1,4,1,0,1,1,53.335631214730896
5,2,0,1,1,0,47.72989336039921
1,2,1,1,1,0,48.32446504462857
-3,2,0,0,1,0,48.45125645716069
6,3,1,0,1,0,46.90455583534323
7,3,0,0,0,0,45.59128625070024
2,3,1,0,0,0,46.76032848917856
6,3,1,0,0,1,51.6758501285504
0,3,1,0,1,1,51.26478737890092
0,3,0,1,1,0,47.1161133570934
3,3,0,1,1,1,53.84770740099847
0,4,0,0,0,0,47.41504088249864
5,3,0,0,1,0,47.51797892057565
2,2,0,0,1,0,47.001659584460754
1,3,0,0,0,0,47.03621046289011
2,2,0,0,1,0,48.461924723399314
5,1,0,0,1,1,52.47839309791033
4,2,1,1,1,1,51.83116649488954
0,2,0,0,1,1,53.46578875454296
1,2,0,1,1,0,46.95440915030738
7,3,0,1,1,0,47.17339945645827
3,3,1,1,1,0,46.41333180676428
0,2,0,0,1,1,53.83496249932094
0,4,0,1,0,0,47.4010531490902
3,1,1,1,1,0,47.046100985901184
3,3,1,0,1,1,53.95426479765677
3,3,1,0,1,0,47.12720350236757
0,4,0,1,1,0,46.859981018674176
2,2,1,0,1,1,52.43226255110903
4,2,0,0,1,1,52.73959097447886
7,3,0,1,1,0,45.60932862164741
4,3,1,0,1,1,52.65391515174639
6,4,0,1,0,0,47.441443780199165
5,2,0,0,1,0,46.31720462017154
2,3,1,0,1,1,54.15053662231824
2,3,0,0,0,1,53.9970508906966
3,2,0,0,1,0,46.21896879338398
7,2,0,0,0,0,46.6400603285691
4,3,1,0,0,1,51.35876969097451
1,2,1,0,1,1,53.93812308609709
8,2,1,1,1,1,51.52211812623076
4,4,1,0,1,1,50.30804641015281
2,1,0,0,0,0,48.05396543100042
0,3,0,1,1,1,54.8995738459027
5,3,1,0,1,0,46.32983361290895
3,2,0,0,1,1,54.384909616645615
3,4,0,1,1,1,54.40892912065158
2,3,0,0,0,1,51.57996669845989
5,3,0,0,1,0,46.99744599510972
1,2,1,1,0,1,54.68289668636014
1,2,0,0,1,1,53.1225906579692
7,3,0,0,1,1,51.761408367639135
0,3,0,0,1,1,54.30798633128674
4,3,1,0,1,1,51.41742262465636
5,3,1,0,1,0,47.55895869898373
4,3,1,0,1,1,51.55255756891856
2,2,1,1,1,1,54.42130336638242
3,2,0,1,1,1,54.15515580694508
8,2,1,0,1,1,51.649761543836085
2,3,0,1,1,0,48.74015217484812
3,3,0,1,1,0,47.5586018676949
4,3,0,0,0,1,53.47483054720051
1,3,1,0,0,0,45.80568505787986
2,3,0,1,0,0,46.75406925829668
6,3,0,0,1,1,52.918951244386754
5,3,1,0,1,1,50.98205246426731
5,3,1,0,1,1,50.71727982079421
3,3,0,0,1,0,46.75406570667361
6,2,0,1,1,1,52.56841455840561
3,3,0,0,0,1,54.6216600159961
4,2,0,1,1,0,45.99493843504716
3,2,0,0,1,0,46.518185343918674
6,3,0,1,1,0,46.36509744929104
7,3,1,0,1,1,51.961542781006536
3,2,0,0,1,0,46.831071338214166
3,3,0,0,0,0,46.02920207955112
2,3,1,0,1,1,53.06320937718097
3,3,1,1,1,0,44.993888468741055
3,2,0,0,1,0,45.45382847126268
1,3,1,1,1,1,54.249478052272266
2,4,1,0,1,0,46.81810990500991
5,3,0,0,1,1,53.54603013148446
4,2,1,0,1,1,51.625307510016064
5,3,1,1,1,1,52.41790629511885
9,3,0,1,1,0,44.89210928447714
4,3,0,0,1,1,52.407448106937856
3,2,0,0,1,1,54.376338438405256
3,2,1,0,0,1,54.60524931233085
5,3,0,1,1,0,45.69808955512046
2,3,0,0,1,1,54.64492632102209
5,2,0,0,1,0,47.65185950407243
2,3,0,0,1,0,48.906549660763
5,2,0,1,1,1,51.67933935353497
3,1,1,0,1,1,53.005805384048855
0,3,0,1,1,1,55.34842053968151
1,3,0,0,1,1,53.269547005351214
3,2,1,1,0,0,45.810064783350754
7,3,0,0,1,1,53.48912894235228
5,3,0,0,1,0,47.05675299902906
0,3,0,0,0,0,49.12772278002366
6,2,1,1,1,1,51.75816375607132
8,2,0,1,1,1,53.85634356049756
4,2,1,1,0,0,46.4608583323984
1,2,1,0,1,1,54.316958828181946
4,2,0,1,1,1,52.835320798243394
1,3,0,1,1,0,48.62014652175292
8,3,1,0,1,0,45.4793065093976
4,2,0,1,1,0,45.91382372638463
4,2,0,0,1,0,48.04244466758914
3,2,0,1,1,0,46.62432283582721
8,3,1,0,0,0,43.38634063723292
1,4,0,0,0,0,48.214929551266245
5,3,1,1,1,0,47.62849392379478
7,2,1,0,1,1,50.92253112100095
3,3,0,1,0,0,46.17936184258931
1,2,1,0,0,1,51.96472024386847
3,3,0,1,1,0,47.01277134907712
2,3,0,0,1,1,52.33147162933712
2,2,0,1,1,1,54.62089788329014
7,2,0,0,1,0,44.14424854841495
5,3,0,1,1,1,52.32459149572927
1,2,1,1,1,0,46.29043081085246
2,3,0,0,1,1,53.220944774056186
