years_of_schooling,household_size,distance_to_bank_km,owns_smartphone,is_self_employed,bank_account_offer,opened_bank_account,annual_household_savings
4,3,0,0,0,1,1,50.44387854910156
4,3,0,0,0,0,1,51.65894303682503
3,3,0,1,0,1,1,52.228630444924725
4,2,1,1,1,0,0,49.49590024905755
3,4,0,1,0,1,1,51.46402579891264
5,3,0,0,1,0,1,50.24627668500866
5,2,0,0,0,1,1,50.918584507205765
2,2,0,1,0,1,1,52.92990048830252
7,3,0,1,1,0,1,49.89474280283535
3,4,0,0,0,1,1,52.34106509583677
1,3,0,0,0,1,1,52.42156126042998
5,2,0,1,0,1,1,50.86961072074064
7,3,0,0,0,1,1,49.65820539815575
3,2,0,1,0,1,0,51.2850492400918
5,2,0,0,0,1,0,49.97676242140379
5,4,1,0,0,1,1,50.56104262820935
8,2,0,0,0,0,1,51.02714034293229
2,3,0,0,1,1,1,50.54942109020201
3,3,0,0,0,0,1,51.79688593435028
5,2,0,0,0,1,1,50.87648636303241
2,2,-1,0,1,1,0,48.610510741861376
6,3,0,0,0,0,1,50.11186594113476
6,2,0,0,1,1,1,50.10654252686171
4,3,1,0,0,0,0,49.69919369588721
4,2,0,0,0,1,1,50.34966849923632
-1,3,0,0,0,1,0,50.29027736443124
3,3,0,1,1,1,0,50.00260980357858
5,3,0,0,1,1,1,50.066623442969
3,3,0,0,1,0,1,49.544427100630365
3,3,0,0,0,0,1,51.22477319637392
7,3,0,1,0,1,1,49.73907399702933
5,3,0,0,0,0,1,52.68849279889897
3,2,1,0,1,0,0,48.722356827051705
6,3,0,0,1,1,1,50.12517008394451
3,2,0,0,0,0,0,49.73882705467705
2,3,0,1,0,1,1,53.2904160429597
5,2,0,1,1,1,1,50.93542959385975
4,2,0,1,0,1,0,47.312855429832
1,3,0,1,0,0,1,51.48914768879036
6,2,0,0,0,0,1,50.19611946078376
5,4,0,0,0,0,1,50.365047515691415
6,4,0,0,0,1,1,49.45795594061848
4,2,0,0,0,0,0,48.17100782253864
5,3,0,0,0,0,1,50.000560264686726
4,3,0,0,0,0,1,52.29721512545209
5,2,1,1,0,1,1,49.15307563026885
3,2,0,0,0,0,1,52.7286005209938
3,3,0,1,0,0,0,49.40507409308435
1,2,0,1,0,1,0,51.06054232730847
5,2,0,0,1,1,1,50.44751248026908
0,3,0,1,0,1,0,51.248721131219135
4,2,0,0,0,1,1,49.75131939863615
4,3,0,0,0,0,1,51.06817544328051
2,2,0,0,0,1,0,50.40668458778711
3,3,0,1,1,1,1,52.2296166318376
5,2,-1,1,1,1,1,51.1249180197236
1,3,0,1,0,1,0,49.881891023773846
2,3,0,0,0,1,0,50.060798883524505
4,3,0,1,1,0,1,49.40536718611489
4,2,0,0,0,1,0,49.389352365984365
4,2,0,0,1,1,1,51.76330782308564
1,3,0,0,0,1,0,50.32011127967176
5,3,0,0,1,1,1,51.24199018238613
4,2,0,1,0,0,0,50.29975240431928
3,2,1,1,1,1,0,51.056850546835285
1,4,0,0,0,1,1,53.11555520623817
5,2,0,1,1,1,1,50.823949562621294
1,3,0,1,0,1,1,52.11620032050252
3,2,0,0,0,1,1,52.92143228745558
7,3,1,0,1,0,1,48.12389706968532
1,2,1,1,1,1,0,48.68180034125916
1,2,0,0,0,1,0,51.49021257188801
0,2,0,1,1,0,0,50.60931143163975
3,2,0,0,1,0,0,48.88301286203133
5,2,0,0,1,0,0,47.22543722468616
4,2,-1,0,0,0,0,51.780657693086766
9,3,0,0,0,0,1,49.107826756160925
4,2,0,0,1,1,1,50.81893477965915
5,2,0,0,1,1,1,49.53030953049375
3,3,-1,0,0,1,1,51.363709422478905
1,3,-1,0,1,0,0,49.70006495069733
0,2,0,1,1,1,0,50.91551531937809
3,2,0,0,0,1,1,51.90866903691678
4,3,0,0,1,1,0,46.92266448598703
8,2,0,0,0,1,1,49.38503626165149
4,3,0,1,0,0,1,50.493115483324495
2,3,0,0,1,1,0,50.562494771289856
5,2,0,0,0,1,1,52.24656158611335
3,2,0,1,1,0,0,48.98999266275765
4,3,0,0,0,0,1,51.58277196388202
3,3,0,0,1,0,1,51.80250926895633
4,2,1,0,1,0,1,51.35615920855663
5,3,0,0,0,1,1,49.771376026331005
1,3,0,0,0,1,1,53.09693824163268
7,3,1,0,0,1,1,50.49451879322983
5,3,0,0,1,1,0,48.54351459027264
0,3,0,0,1,0,0,51.24561347985576
7,3,0,1,1,0,0,48.3788555625053
5,3,0,1,0,0,1,50.7603710118886
6,2,0,1,0,0,0,48.567433382489256
5,2,0,1,0,1,1,52.769587995212575
2,3,0,0,1,1,0,48.03882355885917
0,2,0,0,1,1,0,50.15078366872312
0,2,0,0,0,0,0,51.101777676925934
1,3,1,1,1,1,0,50.586107645235
1,2,0,0,1,0,0,49.84633012356153
1,3,0,0,1,1,1,50.14541469587823
4,3,0,1,0,1,0,48.93556127111039
3,4,0,0,0,1,1,50.4637366477393
5,3,1,0,1,0,0,48.09021037559158
5,1,0,1,0,1,1,49.79368084925032
6,2,0,0,1,0,0,47.1514339845896
4,3,0,0,0,1,1,51.52611147464423
3,4,0,1,1,0,1,52.14713010349334
7,2,0,0,1,0,0,48.10403141274545
0,3,1,0,0,1,0,52.52093869920647
2,3,0,0,1,0,1,51.30943653318936
1,3,0,0,0,0,0,50.81139953739221
3,2,0,0,0,1,1,50.52992091789553
2,2,1,0,0,1,0,50.98428629962896
5,3,0,0,1,0,0,47.97648991433106
6,3,0,0,0,1,1,51.11162360925823
1,4,0,1,0,1,1,53.91457485260043
5,3,0,0,0,0,1,50.92321416670943
3,3,0,0,0,1,1,52.31172429015931
4,2,0,0,1,0,0,49.8442836234411
8,2,0,1,1,1,1,48.836536978033386
9,2,0,1,0,0,1,48.58892003731271
2,2,1,0,0,0,0,51.5308532839373
3,4,0,0,1,0,1,52.5326794919187
0,3,0,0,0,1,1,53.82768363520685
1,4,0,1,0,0,1,51.99369405779196
1,2,0,1,0,0,0,49.7435068486302
2,3,0,0,0,0,1,54.39706051169315
2,1,0,0,1,1,0,50.69345378347033
4,2,0,1,1,0,0,50.03991949285522
2,3,0,0,0,0,1,51.95519500420019
1,3,0,1,0,1,0,50.41002153430986
3,3,0,0,0,0,0,48.09590945318839
4,2,0,0,1,0,1,50.84167332019442
6,2,0,0,0,1,1,51.65386148552899
3,4,0,0,1,0,1,51.51226185591457
3,2,0,0,0,1,1,53.8086635183078
4,2,-1,1,1,1,0,48.427537514888726
4,3,0,1,0,0,1,52.32735391274792
5,2,0,0,0,0,1,51.60736779559559
2,3,0,0,0,1,1,52.17301780000946
2,3,0,0,0,1,1,52.07618419109762
9,2,0,0,0,1,1,48.675539506591605
