education_years,household_size,single_parent_household,public_assistance_recipient,invited_to_parenting_workshop,attended_parenting_workshop,child_wellbeing_score
3,3,0,0,1,1,56.67020870503379
1,2,1,0,0,0,47.49760072714332
4,3,1,0,0,1,58.207478227246895
0,2,1,0,1,0,49.96608045735251
8,3,0,1,0,1,57.03327193789468
4,2,0,1,1,0,51.40396302076957
4,3,0,1,1,1,58.172612552714725
5,3,0,0,0,1,56.988237163817054
6,2,0,1,1,1,57.393903712542624
3,3,1,1,1,1,57.38374661970697
0,3,0,0,1,1,58.64618239993297
4,3,1,1,1,1,59.10580105442604
3,3,1,1,0,1,58.32233188577191
8,3,0,0,0,1,57.74661001172751
3,3,0,1,1,1,57.45166675612296
4,3,0,0,1,1,58.49169161578884
0,1,1,1,1,0,47.40890397480547
2,3,1,1,1,0,48.8396348584176
2,3,1,0,1,0,48.4395092580377
4,3,1,0,1,1,57.86843973460865
4,2,1,1,1,0,48.66703080635586
3,2,0,1,1,0,48.47967565512738
3,3,1,0,1,1,58.22524125431579
1,3,1,1,1,0,50.86696143149782
4,2,1,0,1,0,48.543176920442974
2,2,0,0,1,0,50.42484783100654
4,2,0,0,0,1,58.53635465292695
0,2,1,0,1,0,47.66955666525884
5,3,1,0,0,1,58.15016627855027
2,3,1,1,1,0,48.776682100365846
5,2,1,0,0,0,50.04777127558693
6,2,1,1,1,1,56.23698119160935
4,2,0,1,0,0,48.5533911674831
5,2,1,0,1,0,46.779282759627
2,2,0,0,0,0,49.49163727561299
4,3,0,0,1,1,57.35916397602755
4,2,1,0,1,1,57.755353060659225
0,3,1,0,1,0,50.41028762292988
7,1,0,1,0,0,46.96775972256577
2,3,1,0,1,0,49.37639554182442
4,3,1,0,1,1,60.037237122826006
5,2,0,0,1,1,56.86116371426322
5,3,0,0,1,1,58.22079292697192
2,3,1,0,0,0,49.848798967216986
6,3,0,0,1,1,59.654294990435474
3,2,1,1,1,0,49.18742234353831
-2,3,0,0,1,0,48.066909445409046
3,2,1,0,1,0,46.59657110443253
4,2,1,1,1,1,56.11253885743549
0,3,0,0,0,0,49.30741043875048
1,3,0,1,1,0,48.8859694278249
7,3,0,1,1,1,55.69707323612175
5,3,1,0,0,1,57.15391878133072
3,2,1,1,1,0,51.19902310952195
4,3,0,0,1,0,48.23499952615634
7,3,1,0,0,1,57.6779356458461
4,3,1,1,1,1,58.58638117365748
4,3,1,0,1,1,58.525185922783166
3,2,1,0,1,0,46.7449610704706
7,2,0,1,0,1,56.130744814906265
4,3,1,0,0,0,49.69556244642784
2,3,1,0,1,0,49.34796461676848
4,2,1,1,0,0,50.04386904741354
1,2,1,1,1,0,48.08723585277471
3,3,1,1,1,0,49.25048662083194
1,2,1,1,1,1,57.7416441013921
3,2,1,1,1,1,58.96036779782593
8,3,0,1,1,1,57.63822844951269
6,2,0,1,0,1,57.1205211941754
6,3,1,1,1,1,57.38791866591412
4,3,0,1,1,1,57.94480722593992
4,2,1,0,0,1,59.61291759718303
4,3,1,1,1,1,57.43301299166852
3,2,0,1,1,0,48.98277277256011
4,2,0,0,0,0,49.01707704489248
2,2,0,1,1,0,48.65210673424822
3,2,0,0,0,0,47.56123825972837
1,3,1,0,1,0,51.26787955481372
