parent_education_years,baseline_math_gpa,absences_last_term,free_lunch_eligible,english_language_learner,summer_program_invited,summer_program_attended,end_of_year_math_score
4,3,0,0,1,1,1,51.70945985543372
3,2,0,0,1,0,0,50.385146950640085
4,2,0,1,1,0,1,52.2702206271062
0,3,0,0,0,1,0,50.39243990584093
6,3,0,0,0,1,1,50.64052988408452
3,1,1,0,1,1,0,47.70139197105374
1,2,0,0,1,1,1,52.35122404010231
4,2,0,1,1,1,1,52.332904056834735
3,3,0,1,0,0,1,53.025956000802445
3,2,0,0,0,0,1,51.204186421028375
3,2,0,0,0,1,1,52.13633193877393
0,2,0,1,1,1,0,50.25260470486869
3,3,0,0,1,0,1,52.39860185680689
4,3,0,0,1,0,1,53.09151539521322
8,3,0,0,0,0,1,53.37211555208732
4,2,0,0,1,1,1,51.42347003259247
5,2,0,1,0,1,0,49.301353709840384
2,2,0,0,1,1,1,50.88616716731038
5,2,0,0,1,0,1,51.021333346934505
0,3,0,0,0,0,0,49.13336843420925
2,2,0,0,1,1,1,52.14869612191427
6,3,0,1,1,1,1,54.24116327836696
3,2,0,1,1,0,1,52.65094252855236
3,3,0,1,0,1,0,51.7183674166033
5,2,0,0,0,1,1,50.88092916468999
4,2,0,0,1,1,1,51.5329332217369
9,3,-1,0,1,1,1,52.86762869757328
5,2,0,0,0,1,1,52.65268675166621
2,2,0,0,0,0,0,49.85294086809478
5,2,0,1,1,0,1,52.079251288057065
3,3,0,1,0,1,0,49.54718060634904
5,3,0,0,1,0,1,51.92450632549012
3,3,0,1,0,1,0,50.6734139526549
8,3,0,1,1,1,1,53.70393316119845
7,2,0,0,0,1,1,50.39195125186235
7,2,1,1,0,0,1,51.05729753747067
2,3,0,1,1,1,0,49.776306088419766
5,2,0,0,1,0,1,51.60023951004451
5,3,0,1,0,0,0,51.33727576833599
2,3,0,1,0,1,0,49.99074842520932
4,3,0,0,0,1,1,52.8636389341007
1,2,0,1,1,1,0,49.45695872297208
4,2,0,1,1,1,1,51.681198876287766
4,4,0,1,0,1,0,49.19828693917261
5,3,0,1,1,1,1,53.51382754728743
2,2,0,0,1,1,1,51.847195848131726
2,2,-1,0,1,1,1,52.36072986074144
4,2,0,0,0,1,1,50.26881859101136
3,3,0,0,1,0,0,49.88685725321342
2,4,0,1,1,1,0,50.42893970534918
3,4,0,0,0,1,1,52.7169180549796
7,2,0,1,0,1,0,51.81410060903288
9,2,-1,1,1,0,1,52.67148944587529
-1,2,0,0,1,1,1,50.91516799477671
3,2,0,0,0,1,1,50.96547117582482
4,2,0,1,0,1,0,48.06588034503963
6,3,0,1,0,1,0,50.51112601817781
1,2,0,0,0,0,1,50.98829850799899
5,3,0,1,0,1,1,52.03570929696949
4,2,0,0,1,1,1,51.82906170271023
4,3,0,0,1,1,0,52.47869215040927
2,3,0,0,0,1,0,51.13414063176934
1,3,1,0,0,0,0,51.51379639715495
1,2,0,1,0,1,0,49.84068757692298
6,2,0,0,0,1,0,51.20740853477248
5,1,0,0,1,1,1,50.10040157443375
3,2,0,0,1,1,1,52.295576793666726
4,2,0,1,1,0,1,51.24908517463339
0,3,0,0,0,1,0,50.34784976115232
2,3,0,0,0,1,0,49.58943074691039
2,2,0,0,1,1,0,49.18319829189036
3,3,0,1,0,1,0,50.76040304877123
1,2,0,1,1,0,1,53.10624776269504
3,2,0,0,0,1,0,50.71273636043812
6,3,0,0,1,1,1,50.96121572343173
0,3,0,0,0,1,1,50.42366621077785
0,3,0,1,0,1,0,49.56123640515951
3,3,0,1,1,1,1,52.00587138184208
7,2,0,0,1,1,1,52.802357266028906
5,3,0,0,0,0,0,49.90559241537349
2,2,0,0,1,1,0,49.60228434190955
6,2,0,0,0,0,0,50.02049198548903
3,3,0,0,0,0,0,50.75631614429818
6,3,0,1,0,1,0,50.20385545295434
2,3,0,1,0,1,0,50.61454211807371
2,2,0,1,1,1,0,51.25935851947301
4,2,0,0,0,0,1,52.74296380159975
6,2,0,0,0,0,1,52.50404674699731
6,2,0,1,1,1,0,50.28185049465029
6,2,0,0,1,1,1,50.67237797905539
3,3,0,0,1,1,1,51.220692542714
5,3,0,1,1,1,1,52.96347679515826
1,2,0,1,0,1,0,49.62795513021916
4,3,0,1,0,1,0,50.7252970038352
3,3,1,1,0,1,0,50.27775927817711
4,3,0,0,0,1,1,51.126259600320765
3,2,0,1,0,0,0,51.46447855833237
4,3,0,0,0,1,0,50.20750678784252
4,3,1,1,1,1,1,53.677446840393166
8,3,0,0,0,1,1,51.14799009657921
5,3,0,1,1,1,1,52.56239590244935
4,2,0,1,0,0,0,50.7350093948706
3,2,0,1,0,1,0,49.24231323198333
3,1,0,0,0,1,1,51.52813362866026
6,2,0,1,0,1,1,50.91916350236698
5,4,0,0,1,1,0,49.72353625821253
3,3,0,1,0,1,0,51.12070851747727
4,2,0,0,0,1,1,51.48633638678055
0,2,0,1,1,1,0,50.12563935822653
4,3,0,0,0,1,0,49.542266830752645
4,3,1,0,0,1,0,49.99317235407363
2,2,0,1,1,0,0,49.98890839984124
3,3,0,1,1,1,0,50.081566370974194
5,3,0,1,0,1,1,53.96302207608564
4,3,0,0,0,1,0,50.056778219970944
3,4,0,0,0,0,0,49.91981983285589
3,2,0,0,0,1,1,52.57772071289567
1,3,0,1,1,1,0,50.70672471974709
3,4,0,0,0,1,1,50.8134422469474
3,2,0,0,1,1,0,51.31642733945081
2,2,0,1,1,1,0,48.39291705974944
3,1,0,0,0,1,1,51.90797823744511
1,3,0,0,1,1,1,51.13992028316147
3,3,0,1,1,1,0,51.81600742599339
1,3,0,0,1,1,0,50.29782889068914
6,2,0,1,1,1,1,52.35284995495255
1,3,0,0,0,1,1,51.36945900122237
3,2,0,0,0,1,0,48.693556669249176
1,2,0,1,0,1,0,50.88867801307458
5,3,0,1,1,1,0,50.7101110825824
0,3,0,1,1,1,0,49.550279655502216
5,2,0,0,0,1,1,53.373012840740586
4,2,0,0,0,1,0,49.66759454858735
5,2,0,1,1,1,1,52.53874625654635
4,3,0,1,0,1,1,51.32003746623055
5,2,0,1,1,1,0,51.732976307772
3,2,0,0,1,1,1,52.78841404443404
2,3,0,1,1,1,0,50.81252131943571
3,2,0,0,1,1,1,52.78737052190364
8,3,0,0,1,0,1,53.15363603851471
8,3,1,0,1,1,1,50.88047249715423
6,2,1,0,0,1,1,53.8347969854287
4,3,0,1,0,1,0,50.9046293131298
3,3,0,1,1,0,0,53.30787947798299
4,2,0,0,0,1,1,52.55063165516785
6,2,0,0,1,1,1,52.988598647158
4,2,0,0,1,0,0,49.87590677201919
5,3,0,1,0,1,1,53.87529783328084
5,2,0,1,0,1,0,50.30491186197826
1,3,0,0,0,0,0,50.191950812317
6,2,0,0,1,1,1,51.3690145169648
3,2,0,1,1,1,1,52.31620992870704
0,2,0,0,1,1,1,51.28415795657147
4,3,0,0,1,1,1,52.42163576356959
6,3,0,0,0,1,1,51.588649127873055
5,2,0,0,1,0,1,52.69206653580255
0,1,0,0,1,1,1,50.48402391069031
2,3,0,1,0,0,0,49.82547619644807
3,1,0,0,1,0,1,49.5702551515507
5,3,-1,1,1,1,1,53.61547072239982
6,2,0,1,0,1,1,51.90318333124299
4,3,0,1,1,0,0,51.125945839570086
2,2,0,1,0,1,0,49.80299954807071
5,2,0,1,0,0,1,53.01859900575001
6,3,0,0,0,0,1,51.88607395146588
2,1,0,0,1,1,0,48.88410113465423
2,3,0,0,1,0,0,48.57292119310291
6,3,0,0,0,1,0,51.07300579136691
3,3,0,0,0,0,0,50.26020761657515
4,3,0,1,1,1,1,52.604338770869056
