education_years,job_tenure_years,union_member,female,training_invited,training_attended,annual_income
3,3,1,0,1,1,62.58328231553576
4,2,0,1,0,0,52.04621571233078
1,3,0,1,0,1,61.88498465431746
0,3,0,1,0,1,61.355025739367925
3,2,0,1,1,1,62.690234953513205
2,2,0,0,1,1,60.62946960491374
6,2,1,0,1,0,49.74778685707893
4,2,0,0,1,1,62.33280959103827
3,3,1,0,1,1,60.15945486027333
3,2,1,0,0,0,53.39445083342173
-1,3,0,0,1,1,61.682101335324056
4,3,0,1,1,0,51.85880982400824
2,2,1,0,1,1,59.67906229385245
2,2,0,0,0,0,53.150318850722726
3,3,0,0,0,1,61.23589780896731
6,3,0,1,0,0,51.995659186196576
4,3,0,0,0,0,50.54686456087013
3,2,1,0,0,1,61.070053007009086
1,3,0,1,1,1,61.732695577385606
6,2,1,0,0,1,60.52437362640898
3,3,0,1,1,1,61.35459740216965
2,1,1,0,1,0,52.61947037753018
3,2,0,1,1,0,53.006313437028176
6,1,0,1,1,1,63.10598016485015
6,3,0,0,1,1,61.984325818132994
5,3,0,0,1,1,62.36160445243318
6,2,0,1,1,1,62.409628949420046
7,2,0,0,0,1,61.556498039340056
4,2,1,1,1,1,60.3234703865846
2,4,1,0,1,1,61.69318549986235
4,3,1,1,0,1,60.64585784082699
5,2,0,1,1,1,60.38770423523892
1,2,0,0,1,0,51.2423484336929
8,3,0,1,0,0,54.19482476415084
4,2,0,1,0,0,53.86331016533688
5,3,0,0,1,1,61.49456256138839
7,3,0,0,1,0,52.205719423735125
3,3,0,0,0,1,61.24835174199656
3,3,0,0,1,0,51.02832555467648
1,3,0,1,1,1,61.29370902322022
9,3,0,0,1,0,52.74584014010529
3,4,1,1,1,0,52.17325673506387
0,2,0,0,0,1,60.18302500126329
2,2,1,1,1,1,63.60486756572475
2,2,0,1,1,1,63.03553271875638
5,3,0,0,1,1,61.795513108820025
8,3,1,0,1,1,61.57300359108825
2,3,1,0,0,1,61.758567505790126
5,2,0,0,1,0,52.13636561515707
-3,3,1,1,0,1,61.70572223414504
