student_age,parent_education_years,hours_studied_per_week,avg_class_size,rural_school,free_lunch_eligibility,online_tutoring,final_exam_score
29,16,13,12,0,1,1,50.96701773412758
18,25,10,6,0,0,1,69.96776316545946
24,29,11,14,1,1,1,68.9632557069181
29,21,6,15,1,0,0,56.89740086558334
17,14,8,13,0,0,1,58.49277637898264
21,18,12,6,1,0,1,58.02704590119886
23,23,6,9,1,0,1,66.36497161849502
10,22,8,17,1,0,1,69.63799442047673
36,22,6,6,0,1,0,57.414592956384304
37,21,13,16,0,0,1,51.71440991515058
32,8,8,11,1,1,0,39.94499002152181
32,29,10,13,1,1,0,62.07869462084116
30,9,10,11,0,1,1,46.356915874632506
22,25,6,7,0,1,0,67.33764159632554
39,23,9,15,0,0,0,52.89270730438115
36,22,12,14,1,0,0,51.93502399100454
25,22,9,16,0,1,0,57.38524818700815
29,27,6,16,0,1,0,61.84926497597788
37,27,7,15,0,1,0,60.86620600360904
29,21,8,26,1,1,0,55.79483715683303
33,18,5,16,1,1,0,52.51829028709136
28,18,7,23,1,1,1,55.498876859413485
15,15,12,6,0,1,1,58.77310280804651
35,16,10,12,1,1,1,51.06052850667561
31,29,8,9,1,1,0,66.56907464176629
33,18,11,22,0,0,1,51.7783513464852
19,20,11,8,0,0,1,61.143076453103525
42,21,8,7,1,1,0,52.16294499730302
21,19,10,18,1,1,1,58.92197075039935
37,7,8,18,0,0,0,34.26853432550561
33,13,6,17,0,1,0,46.78379815216466
30,21,10,12,1,0,0,52.29222423805128
20,28,7,21,1,1,0,65.79225120417804
26,24,7,8,1,1,1,66.09388109233012
24,19,12,13,0,0,1,56.28562603067205
30,20,7,17,1,0,1,58.9535658118847
30,9,5,19,1,0,1,43.68990200875675
26,15,10,23,0,0,1,51.5416379319831
36,11,11,19,1,0,1,43.45942809137551
20,19,6,22,0,1,0,56.80980565943759
30,31,12,17,0,0,1,66.08255585703235
48,16,10,16,0,1,0,40.31137868385425
23,9,10,16,0,1,1,45.94925765874358
39,29,10,23,1,0,0,57.31401540159813
43,28,10,4,1,0,0,56.724424591826136
30,35,8,14,0,0,0,70.72666481998348
39,21,10,5,1,1,0,51.97375342233202
43,18,7,9,0,1,0,49.59408594519928
25,25,10,18,1,1,1,63.2228772368894
35,25,5,15,0,1,0,60.43177783827035
20,23,16,13,0,1,1,60.37535265661312
24,17,10,21,1,1,1,53.250614460452425
24,25,9,16,0,1,0,62.79950226455638
16,14,8,21,1,1,0,52.77712597977182
28,18,13,14,0,0,1,53.58255664128426
27,29,7,21,1,1,0,65.48006420154593
24,10,12,16,1,1,1,46.9017628818282
36,18,9,15,0,1,0,47.86117346473962
31,14,8,17,0,1,0,46.361374378550046
35,21,13,9,1,1,0,51.10931950292802
32,12,9,16,0,1,1,47.31841764541528
31,15,5,18,1,0,0,51.84195740191336
30,10,12,15,0,0,0,40.10308913697724
30,8,6,18,0,1,0,41.48763074932681
17,17,6,14,1,0,1,61.48053353495498
29,25,9,15,0,0,1,62.88427931214374
25,17,5,15,1,1,0,54.88449332650752
29,26,3,21,0,0,0,62.99940192612875
21,12,8,28,1,1,1,51.04149686776242
10,24,13,18,0,0,1,66.50626549795314
25,22,9,14,1,1,0,58.867561230822766
30,15,8,19,1,1,1,52.52689713198041
29,20,9,11,1,0,0,54.10937914562368
30,18,6,15,0,1,0,54.63422794155955
37,18,10,18,0,1,1,49.54395654797503
22,18,7,15,0,0,0,55.10404143655634
19,17,13,17,0,1,1,54.35334561776897
42,27,9,13,0,0,0,58.07009254664153
30,26,13,7,0,1,1,62.99751746722613
30,14,6,8,1,0,0,49.20930793453349
29,30,7,22,1,0,1,69.19693271234675
17,23,10,13,0,0,0,61.12200702870042
39,14,7,15,0,1,0,43.5712980041797
24,21,15,23,0,1,1,52.76326883686588
30,21,13,19,0,1,1,55.85941054383972
24,17,9,14,0,0,1,56.136723327258224
24,23,7,11,0,0,1,65.14109067394529
32,22,13,21,1,1,1,54.69791613682969
34,18,11,15,1,0,1,51.43492126612298
23,23,3,17,1,0,0,65.71432894099102
20,18,13,12,1,0,1,58.1858647651848
37,19,8,15,1,0,0,49.61514147283357
31,28,8,13,1,0,0,63.76052038753173
28,21,7,6,1,1,1,62.42247173068951
25,20,11,12,0,1,1,57.85338931189925
34,14,12,11,1,0,1,47.665121510369005
44,23,7,11,0,0,0,53.2929459773324
40,16,13,13,0,0,1,44.18945158704267
22,13,9,11,1,0,1,55.64794911402476
42,24,11,8,0,0,0,50.835777682706414
20,29,14,13,1,1,1,67.87398199467376
23,19,5,17,0,0,1,61.77011459850237
24,22,9,19,0,1,0,58.512138558525706
37,26,14,16,1,0,1,56.33044971259117
20,17,8,15,0,0,0,54.57800241753391
