years_of_experience,hours_per_week,part_time,job_training,minimum_wage_increase,monthly_income
15,12,1,1,1,59.2645650329527
23,17,0,1,1,59.3189708191908
17,26,0,1,1,54.16055669494204
29,18,0,0,0,54.91351056156622
14,27,0,1,1,54.73319453933738
35,26,0,0,0,58.30234483532049
26,22,1,1,1,58.476248591674505
21,14,1,1,1,58.81648582579661
39,15,0,1,0,63.235025113913
29,23,0,1,0,55.59407327020917
32,18,0,1,0,59.14435447099202
33,13,0,0,0,60.14138666975426
30,22,0,1,1,59.12796213229756
49,29,0,0,0,60.67182733901768
36,20,0,0,1,62.07317588112953
33,8,0,1,0,62.88534022381861
37,22,0,1,0,58.981931081672776
13,21,0,1,1,53.922504371229664
33,18,0,0,0,57.48258854819813
14,19,0,0,1,55.04977094606155
24,25,0,1,0,53.34602133288804
41,9,1,0,0,63.4432579066348
26,18,0,0,0,54.1847620165585
19,17,1,1,1,58.2800329143718
26,23,1,0,1,59.80954592612949
28,19,0,0,0,56.04623974043802
23,23,0,0,1,58.24994923637497
20,24,1,0,1,55.592259603055055
35,16,0,0,0,58.06110105819285
34,20,0,1,1,62.895663128553295
31,26,0,0,0,55.82140836725682
27,25,0,1,1,59.87789659265106
13,27,1,0,1,52.2777387732073
24,17,0,0,0,54.1018558934584
34,15,0,0,0,58.84498429619067
12,16,1,1,0,53.63187099697248
28,15,1,0,1,60.261651222993216
16,16,0,1,0,53.92643352181257
26,19,1,0,1,60.01138120934082
26,28,0,0,0,53.9363938833628
43,18,0,1,0,62.940565758113486
31,16,1,0,0,56.55571576973146
32,15,0,0,0,58.41861149564905
24,20,0,1,1,58.9376353607273
42,12,0,1,0,62.66496433162191
35,20,0,0,0,58.48996851098274
41,26,1,1,1,62.99340124501517
15,14,0,1,0,53.06067067078732
36,12,0,1,0,61.729724521794616
26,23,0,0,1,57.74865156684925
24,17,1,0,0,54.52403563559743
23,21,1,0,1,56.29967920650372
31,12,0,0,0,60.0777355781714
33,28,0,1,1,61.526812273848215
29,10,0,0,0,60.553331961236125
23,28,0,1,1,57.11951167094489
18,23,0,0,1,54.37525861962481
34,28,0,0,0,56.77879797312896
30,16,1,0,1,60.304029084479474
42,23,1,0,1,63.9301421473947
23,26,0,0,1,56.81222181702588
32,13,0,0,1,61.5562136856289
25,19,1,1,1,59.08376268389042
46,22,1,0,0,63.58351946522604
27,16,0,1,0,58.026552742021146
22,23,1,1,1,56.71138292218785
32,10,0,0,0,60.3675300252293
46,18,0,0,0,63.31311550794639
13,21,0,0,1,53.96562146700168
30,21,1,0,1,56.88384956021944
33,24,0,0,1,61.247605631427405
15,24,0,0,0,50.97043547572416
31,19,0,0,1,60.87310613807623
42,9,1,1,0,66.22009440587868
36,25,1,0,0,58.16354174464576
29,13,0,1,0,56.95949857486129
32,15,0,0,0,57.88323035934989
24,18,0,1,1,61.77028871735
26,22,1,0,1,58.44325990048632
12,22,0,1,1,53.234157136958274
35,19,0,0,0,58.95574140565393
23,23,0,1,1,57.09642689329867
47,25,0,0,1,64.32040239165008
23,19,0,1,0,56.00334310490325
17,14,0,0,0,53.34983889243216
32,23,1,0,0,56.5559983929065
30,16,1,0,1,61.1656104065371
25,16,0,0,1,56.97257783602876
34,23,1,0,1,59.36843568975991
42,31,0,0,0,60.79258296744062
38,10,0,0,0,62.820564166831225
32,10,0,1,0,61.19115334638302
19,13,1,1,1,58.497015151222485
17,21,0,1,1,57.02590790083168
33,21,1,0,1,59.922763027199856
30,25,1,1,0,56.05524417524266
25,23,1,0,1,60.11453415841349
27,14,0,1,1,59.333530730827945
37,17,0,1,0,60.61574550528034
19,17,0,0,1,56.97457714006551
25,25,0,0,0,55.188858735437584
25,14,0,1,1,58.59724303190267
32,15,0,0,1,62.74439321037946
36,12,0,0,0,61.0649312607883
24,20,0,0,1,57.52301692052917
22,29,0,0,1,55.41276163668957
41,23,0,0,1,62.04505024057256
45,33,1,0,1,60.86052225649756
26,23,0,1,1,60.64266404287201
32,16,0,0,1,61.91810007481845
35,27,1,1,1,60.9811695040876
33,24,0,0,0,57.84004357482274
38,11,0,0,0,62.75391658129819
35,23,0,0,0,59.03190775631396
29,21,1,0,1,59.5645930094453
39,15,1,1,1,65.17837843770438
32,21,0,0,0,57.84029553074674
34,25,1,1,1,62.27528797628642
40,11,1,0,1,65.71106794104047
23,14,0,1,1,59.71910782524451
37,22,1,1,1,63.43528727391019
20,24,0,0,1,55.66500897392159
32,22,0,0,1,60.38696834590648
26,29,0,0,0,53.04395626632671
49,33,1,1,1,64.57164943956974
25,22,0,0,1,57.95089618494059
31,14,1,0,0,58.37462281445655
20,16,0,0,1,55.58028750504736
32,20,0,0,0,58.46397275405438
40,12,0,0,0,58.25493786668036
30,17,1,1,1,60.95762467619837
23,15,0,0,0,54.6389569266066
25,12,1,0,1,61.17594377193874
36,23,0,1,1,64.54377900563998
35,11,1,1,1,64.90927844370228
32,10,0,1,0,60.9825099388896
29,14,0,1,1,61.68370269808937
18,20,0,1,0,53.79283876842456
33,14,1,0,0,59.56479919979389
30,25,1,0,1,57.13742594935688
28,19,1,1,1,60.54855923066601
31,15,0,1,0,59.24980134699296
27,23,0,0,0,54.65021374722927
36,27,1,0,1,60.35648873831734
21,20,1,0,0,53.06038465716348
40,17,0,0,1,65.34973128909719
46,15,0,1,1,69.98288183109804
37,16,0,0,0,59.76517083169127
24,18,0,1,1,60.26075394681612
30,23,1,1,1,61.44291326964748
37,16,0,0,0,61.01473330166896
19,13,0,0,0,53.344772953301
31,23,1,0,1,58.46355412705663
22,6,0,0,0,55.5889557788989
22,17,0,0,0,54.78627475901254
31,24,0,0,1,58.53657891611564
27,17,0,0,1,59.94616241993101
28,21,1,0,0,56.332205783894295
40,14,1,0,0,60.71386278388168
27,17,0,1,0,57.62491650225342
32,25,0,0,1,58.9479996864802
19,14,0,0,1,56.40901477756324
28,12,0,0,1,61.26836238366289
26,25,1,0,1,56.32818330379696
39,17,0,0,1,63.21211553520335
6,18,0,1,1,52.9322890161767
31,20,1,0,1,59.57401238641636
40,10,0,1,0,63.692979935312216
19,20,0,1,1,56.57460514031828
43,9,0,0,0,64.54582844510355
26,17,1,0,1,58.56594762284556
21,22,1,0,1,56.344826571100505
22,17,1,0,1,58.247761448086415
37,10,0,1,0,63.12377463037847
30,17,0,0,0,58.297151264064354
35,15,1,0,0,61.020762704087645
41,5,0,0,0,62.594144014433766
