age_at_application,prior_experience_years,previous_month_income,dependents_count,unemployed_status,prior_beneficiary_status,policy_enrollment_status,post_policy_monthly_income
26,18,9,17,1,1,0,102.20357348748963
36,19,7,7,1,1,0,108.83091822175436
41,17,7,21,1,1,1,121.87963764750351
24,22,12,17,1,1,1,105.35268224835558
28,23,10,15,0,1,0,108.01767084384748
21,20,9,7,0,0,1,96.58012853338968
19,18,14,12,1,1,0,91.00144578356309
33,9,9,11,0,1,0,99.21072500403255
24,21,12,9,0,0,1,98.0178145762945
26,21,7,20,1,1,1,109.1270558922719
31,15,11,12,1,1,0,100.60349088743286
26,25,14,10,1,1,0,102.51446703825106
27,15,8,14,1,0,1,100.26291428106006
33,17,8,6,1,1,1,105.3833905552567
38,19,11,4,0,1,1,112.0985037126728
31,23,8,14,1,0,1,111.3175665508122
12,16,6,16,1,1,0,85.30420182719384
28,32,10,20,0,1,0,116.39714430339713
37,18,9,10,1,0,1,112.42585963532274
30,18,10,19,1,1,0,106.17413967157836
26,19,15,22,0,1,0,104.18762243961648
36,23,13,8,0,1,1,114.47966407346875
41,25,6,10,1,1,1,122.23470760778888
41,8,10,13,0,1,1,110.42176712460152
38,17,13,14,0,1,1,112.68156978885992
25,23,8,8,0,1,0,100.26393398299804
20,27,11,1,1,0,0,94.40693712056058
33,24,10,17,1,0,1,116.05709963104007
39,17,13,10,0,0,1,111.6116446551163
37,17,11,14,1,1,1,113.37267000243226
25,15,7,8,1,1,1,95.96919710546253
37,24,9,10,0,0,1,115.67311461821647
25,13,16,20,1,0,1,98.61409787768667
41,21,13,4,0,1,0,111.35266848262502
16,31,7,20,0,1,0,103.05990130691018
34,20,13,14,1,1,1,111.7596063458404
45,29,18,10,1,1,1,128.63661858524335
32,22,10,5,1,0,0,104.3380794454244
32,25,9,12,0,1,0,109.84755816522323
37,13,14,11,1,1,0,104.843200661502
17,27,7,7,0,1,1,98.744811260408
34,19,9,20,1,0,1,113.07824712304094
31,26,11,21,1,0,0,114.27080538386372
5,28,9,3,1,1,0,81.78295449503271
41,18,9,8,0,1,0,112.8727962009537
37,15,14,0,1,1,1,105.16912046310875
24,8,2,7,1,1,1,89.81777955350007
23,25,10,15,1,0,1,106.12693515491613
26,17,9,10,1,1,1,100.96645089465784
23,14,15,12,1,1,0,93.88270461491896
26,12,6,8,0,1,0,91.48257228537793
34,10,10,8,0,0,1,101.52553150217884
33,23,14,13,1,0,1,112.55512220972798
42,14,8,12,1,0,1,113.44540486728356
42,21,17,17,1,1,1,123.52609295136736
33,17,11,10,0,1,0,103.67628252555888
26,26,11,4,0,1,1,102.8260071707192
26,14,8,20,1,1,0,98.37118241970884
29,20,2,18,1,1,0,104.18417876884938
17,21,10,7,1,1,0,88.82821908311965
37,24,12,11,1,1,1,117.8288059549262
37,21,8,27,1,1,0,118.2293521467354
24,19,12,11,1,0,1,99.20583696116528
35,14,7,11,1,1,0,104.10462288280748
53,17,9,10,1,0,1,126.81908141104677
23,15,8,15,1,1,0,95.44996426160571
30,17,9,5,1,1,0,99.9276253197606
36,21,11,10,1,1,0,109.17973561658444
12,17,11,23,1,1,0,88.51757162162632
24,18,10,4,1,1,1,96.2334933936859
36,16,12,21,1,1,1,114.57643465080102
26,16,9,11,0,1,0,96.84755238839934
20,11,11,13,0,1,1,90.44067870486109
42,20,10,6,1,0,1,115.47193286762774
13,16,6,20,0,0,0,86.42892556008651
33,23,10,10,1,1,1,111.89869831710143
24,28,10,19,1,1,1,112.75486287914566
28,23,7,7,1,1,1,105.89679960246
17,27,7,13,1,0,1,100.80669942566222
36,17,15,16,0,0,1,112.44078475396498
25,22,9,17,0,0,0,101.64508272273844
30,16,5,4,1,1,1,100.41282476856506
21,17,8,11,1,1,0,92.21024519529144
31,21,11,6,1,1,1,108.08949236432142
39,28,14,17,1,0,1,124.44848225206027
19,17,7,18,1,1,1,96.79651450148462
30,28,7,14,1,0,1,113.427853089746
27,8,8,11,0,0,0,92.25788234645184
28,23,6,7,0,1,1,104.49002880642172
31,6,12,12,1,0,0,95.25418778144872
37,23,2,18,1,1,1,119.15073018243164
43,19,10,17,1,1,1,121.13037695691372
31,27,11,11,1,0,1,111.91668193392148
29,23,15,12,1,0,1,107.24693349579292
31,22,5,17,1,1,1,112.11829942174074
26,19,7,8,1,1,0,98.39865444742551
28,17,9,11,1,1,0,98.7655116587846
20,20,10,11,1,0,0,93.38519241835904
32,13,9,15,1,0,1,104.24571681261726
28,27,13,17,1,1,0,110.04235109263256
28,24,9,12,1,1,0,106.809700907298
20,17,5,15,1,1,0,95.34556446497224
34,9,9,9,1,1,1,99.10814366869138
22,22,8,15,0,1,0,100.03556178042136
18,21,9,13,1,1,0,92.38839177888212
29,19,10,14,1,0,1,105.91498990101036
36,21,11,18,0,1,1,115.09283445632406
13,20,13,18,1,1,0,88.87732850173772
26,19,15,12,0,0,1,101.6264414020219
35,12,7,3,1,1,1,101.29222977961297
30,17,13,9,0,1,0,100.9968339729588
30,21,7,18,1,0,1,110.18813666579922
13,19,9,19,1,0,0,88.76129102907615
22,18,10,11,0,1,0,95.67751928676944
34,23,3,16,0,0,1,114.51974890404853
22,19,10,11,0,1,0,95.80423269140648
35,20,6,18,1,1,1,116.83931146191564
26,15,7,6,1,1,0,95.0851790426042
29,25,8,9,0,1,1,107.88930930746666
17,19,13,19,1,1,0,95.67435024900983
40,23,8,15,0,1,1,121.19132820282084
25,16,14,20,1,1,1,104.4924026062316
27,14,11,11,1,1,0,96.26840112442858
36,22,9,14,1,0,1,114.50785814942078
40,17,14,27,1,1,0,117.92864464312814
34,21,8,10,1,0,0,107.81395269496878
32,27,9,13,1,1,1,114.61786876477083
31,14,5,8,1,1,0,98.0714915858768
19,21,10,14,1,0,1,98.30062979204172
28,19,7,21,0,1,0,107.14545255228906
21,10,11,16,1,1,0,88.58300611667438
29,24,12,12,0,1,0,107.53577440738144
29,13,8,7,0,1,1,99.50949241692622
31,19,5,24,0,1,0,111.23351130203775
45,14,12,15,1,1,1,120.68538815246664
45,18,6,13,1,1,0,119.08517106090495
30,11,11,7,1,0,0,95.498885701875
23,16,10,23,1,1,0,98.8651072253373
34,15,10,15,1,1,0,104.80710894569044
45,27,10,19,1,1,0,126.73478126648922
40,31,17,14,1,1,0,122.35655219449774
43,12,8,10,0,1,0,110.98774873519284
23,19,14,5,0,0,1,95.422324313271
49,17,13,6,1,1,1,120.80652933541506
33,8,12,14,1,1,0,97.08227873256004
23,16,6,10,1,1,0,94.25169596159522
30,15,13,16,1,1,0,102.88640044619912
13,10,9,14,0,0,0,79.44664370238718
30,27,7,8,1,0,1,111.65802356503636
23,14,7,14,0,1,0,92.53071839479058
27,4,13,20,1,1,1,95.94084475664222
28,26,15,8,1,1,1,107.61484758133388
37,28,9,22,1,1,1,124.59116121922796
15,23,8,16,1,1,0,92.96476133553104
43,10,11,13,0,1,0,110.17970843935927
18,26,14,5,1,0,1,95.35535630883297
20,16,11,14,1,1,0,92.126676947653
30,22,8,16,1,1,1,110.68175017718902
13,15,11,15,0,0,0,84.40927158731304
24,29,9,16,0,1,1,109.85272378245608
46,21,11,12,1,0,1,123.7908814966748
8,22,7,13,0,1,0,86.3065736855409
34,22,9,17,0,0,1,114.17833790166632
34,19,11,18,0,1,0,109.4364452279032
22,24,9,21,1,0,1,106.43383948654808
38,24,11,13,0,1,1,116.58193951648232
21,13,9,24,0,0,0,93.07906992346324
26,20,13,5,1,0,1,98.76737211608008
29,10,9,17,1,1,0,97.31635679115033
28,22,4,5,1,1,0,101.80953982821306
11,23,-1,24,1,0,0,92.99341888258432
29,17,10,9,1,0,1,100.91573940796974
45,13,6,18,1,0,1,119.12704357697486
26,27,8,14,1,0,1,111.13601589084544
22,24,1,12,1,0,1,102.21017501362232
32,23,11,12,0,1,1,112.06074742891104
19,25,12,9,1,1,0,96.07254094093192
46,24,10,8,0,1,0,122.89348631870382
24,9,9,5,1,1,1,89.61488537490847
37,22,10,17,1,1,0,116.81822370522096
38,16,11,20,0,1,0,112.97044869970355
40,12,10,12,1,0,1,110.16367948681336
32,19,14,6,1,1,0,103.68065304358278
27,33,8,11,0,1,0,111.29027766742848
16,25,11,3,0,0,0,88.74155675090879
28,16,11,15,1,0,1,101.92313122571616
31,20,13,15,1,1,0,106.29315044952357
38,14,12,2,1,0,1,104.53537037175788
25,23,13,6,1,0,1,100.46834679385
23,29,7,14,1,1,0,105.52574344956273
35,9,11,6,1,0,0,96.4687983824969
41,23,8,13,1,0,1,120.35454964396904
27,18,9,14,0,0,1,100.97209551400178
33,11,12,2,0,0,0,93.6867067565041
47,21,10,3,1,1,0,117.7018595653263
32,21,12,18,1,1,0,109.50704653604136
23,21,11,7,1,1,1,99.16015985022293
19,21,13,9,1,1,0,94.5146441198874
29,21,12,13,1,1,1,109.35117576768047
33,14,7,5,1,0,1,101.84619986291028
36,18,7,2,1,1,1,106.64802186685672
19,14,12,1,1,1,0,83.66670556840415
25,23,10,11,1,1,0,101.20509821474197
28,31,7,20,1,1,0,116.0926753017772
39,16,12,12,0,1,1,113.027439115269
20,26,8,16,1,1,0,100.24392089954073
29,22,6,8,1,0,0,103.0505558305845
