age,political_knowledge,income,gender,education_level,ethnic_minority,campaign_exposure,voting_behavior
30,20,5,0,0,0,0,50.628751714520575
19,21,11,0,1,1,1,60.11865727427923
28,18,8,0,0,0,0,45.93137906744367
26,25,11,0,0,1,1,56.78260668379798
21,31,13,0,0,1,1,62.13533781926096
41,16,13,0,0,1,1,50.75999000240304
37,15,7,1,1,1,1,52.46629985869352
40,19,4,1,0,0,0,45.24935671522999
34,18,10,0,0,0,0,44.54302147079084
29,21,10,0,0,0,0,47.21321320428182
30,22,6,1,1,0,1,57.41257872811839
35,26,9,1,0,0,1,58.06537350579236
52,33,3,0,0,0,1,56.14054981296994
39,6,7,0,1,1,0,37.74007541248295
27,28,11,1,1,1,1,59.63478054931164
27,15,7,0,1,1,0,45.36072435156573
34,21,14,0,0,0,0,47.77691480189467
43,15,7,0,1,1,1,49.77486501949668
27,16,12,1,0,0,0,48.18305616010911
26,25,10,0,0,1,1,58.67841598752678
39,35,13,1,0,0,1,60.4457083812538
32,22,11,0,0,0,0,46.30336778862743
23,18,10,0,0,0,0,48.96403305039434
36,16,10,0,0,0,1,52.84487223613656
19,21,10,0,0,0,1,59.55759976982544
20,21,8,1,1,0,1,59.22907204597164
28,27,3,1,0,0,1,58.85346933538316
35,11,11,1,0,0,1,50.16543420838835
16,27,16,1,1,0,1,62.839129260684295
39,30,6,0,1,1,1,58.225118250067226
22,14,11,0,0,0,1,57.33695016228995
39,19,9,0,0,1,0,42.88220312075323
40,25,14,1,0,0,1,57.28619383376277
24,23,7,0,0,1,0,50.44359391894312
36,23,9,0,0,1,1,54.35289572170632
19,21,14,1,0,0,1,60.44305398592763
35,27,9,1,1,0,1,57.68749615882585
46,20,12,1,0,0,1,52.99313761130325
27,23,15,1,0,0,1,56.766559895765965
39,16,9,1,0,0,1,52.01922473842582
27,26,14,0,0,0,0,51.60693797979235
24,27,12,1,0,1,1,60.28899833603985
24,17,10,0,1,0,1,57.27587604581546
24,7,12,0,0,0,0,44.5081955834947
31,20,4,1,0,0,1,57.44766085534422
17,15,8,1,0,1,1,57.94988120497247
