age,years_of_experience,previous_month_income,education_years,gender,rural_residence,job_retraining_program,current_month_income
31,16,9,7,1,1,1,36.90502156464103
34,24,2,10,1,1,0,34.86917088736031
29,22,9,19,0,1,1,39.9736397629374
44,26,14,12,1,0,1,34.43672673044362
15,18,7,4,1,0,1,50.190309064312565
36,28,8,8,0,1,0,36.72515627492372
25,10,10,12,1,1,1,38.8102597433019
25,14,11,14,1,1,1,43.7247069751852
26,15,7,0,1,1,1,40.01873591828242
19,23,8,18,1,0,0,48.239948139835846
36,19,14,19,1,0,1,31.954309791896467
27,18,11,18,1,0,1,40.24973673680093
24,21,10,15,1,1,1,44.36658391368653
30,20,10,9,0,0,0,39.35026816508243
26,16,10,17,1,1,1,40.76345604757728
29,17,7,15,1,0,1,35.81478630260051
35,23,10,8,0,1,0,35.82340211434513
28,24,15,19,1,1,1,43.668027116262735
36,13,9,13,0,0,1,30.927914683987638
35,11,8,15,0,0,0,27.599214231767373
14,15,10,13,1,0,1,49.47519686390108
30,23,11,23,1,1,1,40.84372012052535
36,15,10,6,1,1,1,32.18882950171184
38,17,15,20,1,1,0,30.2587359541421
39,31,9,8,1,1,1,36.64061414043197
38,21,6,8,1,1,0,29.964720510970395
35,9,14,17,1,1,1,29.111733428952046
16,11,4,19,1,1,0,41.55645703811925
24,21,10,12,0,1,0,43.69245521773845
34,30,7,10,1,1,0,38.31318452274004
31,21,15,9,0,0,0,38.134488822950594
26,11,12,7,0,1,0,39.42444763044929
18,30,6,21,1,1,0,51.87611875329818
26,18,15,19,0,0,1,42.12819760906704
27,22,13,16,0,1,0,41.39456522966303
25,14,8,8,1,1,0,38.81887327082863
35,28,13,10,1,1,1,42.12675362844944
19,12,10,16,1,1,1,44.3550930498104
29,14,8,4,0,1,1,37.445150335648016
33,23,12,10,1,1,0,36.7529482319689
25,23,4,13,1,1,1,44.2481789619323
15,17,7,20,0,1,0,47.43553334740124
39,17,15,14,1,1,1,31.684934062977447
35,19,8,16,1,1,0,32.06263995982234
42,20,10,21,1,1,1,29.092327814933174
21,22,9,11,0,0,0,47.420405557166646
30,18,7,22,0,1,0,34.496785546810784
50,24,6,26,0,0,0,19.118413512656
39,19,11,10,1,1,1,34.0668296277395
27,20,7,13,1,0,0,39.71647585415746
33,9,7,7,0,0,0,29.633631559595333
32,17,10,9,1,1,1,36.62767186819333
31,29,9,13,1,1,1,44.81438014764702
21,31,10,13,1,1,1,52.99280185669294
13,19,8,16,1,1,1,51.3472668336116
