age_of_student,average_study_hours,parental_involvement,school_urbanicity,after_school_program,digital_classroom,final_grade
26,21,0,1,0,1,37.829330935878886
30,36,1,1,0,0,28.356866605273837
29,14,1,0,0,0,36.06005140833189
32,16,0,0,0,1,37.81550336916868
11,9,0,1,1,1,48.27136634442319
28,19,1,0,0,1,37.10154679890024
28,17,0,1,0,0,36.11966875748356
23,21,1,1,1,1,40.21790712254722
31,18,1,1,1,0,33.60923436779667
38,17,0,1,0,1,35.62898859819495
37,30,1,1,1,0,28.33449330191283
15,23,0,1,1,1,39.70037977015189
38,28,0,0,1,1,33.06390309035622
42,22,0,1,0,0,29.11066664213821
22,18,1,1,1,1,40.14960471596224
41,18,0,1,0,1,33.459202245283414
26,29,1,0,1,1,36.13357434463501
32,16,0,0,1,1,39.49761693743987
12,16,1,0,1,1,44.40295042674348
23,25,0,1,0,0,35.05877890719827
24,16,0,1,1,1,39.81735488406074
25,18,0,0,0,1,39.167882407785456
34,22,1,1,1,0,30.93426818281101
26,19,0,1,1,0,36.86388182519585
39,13,1,0,1,0,34.56483297133058
35,18,1,0,0,0,33.11571561181678
27,26,0,0,0,0,33.30169579854525
27,18,0,0,1,1,40.27688555862864
29,27,1,1,1,0,32.311186320071734
14,12,1,0,0,1,46.096489683735584
39,27,0,0,1,1,32.322047531419074
33,21,0,0,0,0,34.27457384728381
31,25,1,1,1,1,35.71153788766147
27,15,0,0,0,0,37.44329694323677
25,12,1,0,1,0,39.45804802397323
19,24,1,0,0,1,39.87204515405514
32,19,1,1,0,0,33.628854608046915
20,25,1,0,1,1,38.14989975127966
35,14,1,0,1,1,36.87280078383355
37,15,1,0,0,0,33.44680531255792
32,28,1,1,1,0,30.041078655164632
28,23,0,0,1,1,36.52670055877061
31,13,0,1,0,1,38.00221083250224
22,22,1,1,1,1,39.71635771684703
32,28,1,0,1,1,32.71283704323616
18,21,0,1,0,1,39.622226291212925
25,16,0,1,1,0,37.07719982614864
35,14,1,1,1,0,34.354911314994624
25,22,1,0,0,0,35.87833146357823
19,21,0,0,1,1,39.1163418549598
34,18,0,1,1,1,38.98676098981125
17,29,0,1,1,1,37.42992295981021
21,20,1,0,0,0,36.414053055616
30,20,1,1,1,0,36.77918097564906
30,19,1,1,1,1,37.58247515226778
26,21,1,0,1,1,37.32071304133663
29,22,0,0,1,0,32.14480042406792
30,5,1,1,1,1,41.9420217930017
39,11,1,0,1,0,36.625623667087694
34,13,0,0,0,1,36.51444434062499
27,15,1,0,0,1,39.28595609423375
29,23,1,1,0,0,34.10518017605201
28,11,0,0,1,1,40.6708092374186
20,21,1,0,0,1,40.997966429697584
32,16,0,1,1,1,38.167337403782376
29,25,0,1,1,0,33.58878604908669
18,7,1,1,1,0,42.77445179654892
20,19,0,1,1,1,41.1179256980432
32,22,1,0,1,0,34.48172728645732
34,28,0,0,1,1,32.89507357401355
28,22,1,1,0,1,35.05553183906313
28,14,0,0,0,0,37.70003606527521
19,11,1,1,1,0,40.63155711089642
29,12,1,1,0,1,39.01424284935737
34,18,1,1,0,0,34.06041095534218
35,23,1,0,1,1,36.12904459800359
31,17,1,0,0,0,35.22408552458762
35,4,0,1,0,0,38.04819053438733
36,31,0,1,0,0,30.79542539961964
24,14,1,1,0,0,37.65542369292604
32,26,1,1,0,0,31.27565829426738
28,27,1,0,0,1,35.410193945907515
38,13,0,0,1,1,35.517738010611005
26,19,0,1,0,1,36.79445808836624
30,28,0,1,1,0,31.680778847786858
38,25,1,1,0,1,32.403234689987755
38,31,1,0,1,1,30.913379038132813
2,22,0,0,0,0,44.4334438794526
29,10,0,1,1,0,38.31804910568224
36,19,1,1,1,0,31.325161669323187
35,14,1,1,0,0,35.521292348235534
44,31,1,1,1,1,28.254125486261472
27,25,1,1,0,0,34.05962230060268
22,11,1,1,0,0,39.79504007421109
33,8,0,0,1,0,36.62343661963696
28,23,1,0,1,1,37.28546114435498
44,28,1,1,1,1,27.650200501106905
31,16,1,1,1,0,34.63256273647148
16,6,0,1,0,0,44.223589035511445
32,14,0,1,1,1,37.93444737197154
26,12,0,0,1,1,39.67550143619305
20,23,0,1,1,1,38.8381630684956
41,26,1,0,1,1,31.47652696872955
19,15,1,0,0,1,42.74783524672652
33,20,0,0,0,0,33.12649570276457
31,15,1,1,0,0,35.39315395008035
28,18,1,1,1,1,37.712225211109455
30,24,0,0,1,1,35.40874438113795
32,26,0,1,0,1,32.39967211562192
16,20,1,1,1,1,40.30367729192645
23,19,1,0,1,0,37.3893907276336
36,17,0,1,0,0,33.04054978355938
41,29,0,1,1,1,28.61833094798913
49,20,1,1,0,0,28.169850749248194
30,9,0,0,0,0,40.03111065677391
18,19,1,1,0,0,38.41448441876882
27,13,0,0,0,0,39.18699002387246
45,16,1,1,1,0,30.80339500429175
30,25,0,0,1,1,34.7887242347929
54,28,0,0,1,1,25.69259963723685
39,15,1,0,1,1,37.78773671730036
42,10,1,1,1,0,32.5972375058158
21,20,1,0,1,1,40.60454234460035
36,18,1,1,1,0,32.217371462608355
40,18,1,1,0,0,31.281072322556472
30,19,1,0,1,1,37.51749821276133
19,19,1,1,0,0,39.13170519195249
31,17,1,0,0,0,36.346362525633765
50,14,0,1,1,1,31.23853273964202
42,24,1,0,0,0,29.112036941448466
39,13,0,0,1,1,35.6384540304468
17,19,1,1,1,0,40.480698276536216
20,21,1,0,0,0,36.67818922802325
28,10,0,0,1,1,39.75411422189873
42,23,1,1,0,0,28.34302061988554
31,20,0,1,1,1,37.80038283064399
20,23,1,1,1,0,36.71762004148476
21,17,1,0,0,0,38.28497736846876
46,22,0,0,0,0,29.06064130430031
30,15,0,0,1,1,37.64562201435057
40,6,1,0,1,1,38.18772313279762
21,20,1,1,0,0,38.80766172948015
34,19,1,1,0,0,35.96856574960196
21,23,0,1,1,0,36.16424900671769
31,18,0,1,0,1,35.0858043867608
22,3,1,0,1,1,45.95507213794531
24,9,1,1,1,1,41.77563084157833
36,26,1,0,1,1,32.41839111210673
36,9,1,1,0,0,35.0685426504253
37,13,1,1,1,0,36.23871482239195
21,16,1,0,1,0,40.07037185737051
39,30,1,1,0,1,29.82958876368158
27,17,1,0,0,0,36.5694913054101
29,17,1,0,0,0,36.11918999822363
11,15,0,1,1,1,45.16957056640403
25,25,0,0,1,1,38.68973698731491
30,8,1,0,1,1,41.108209801813615
25,15,1,0,0,0,37.51261478447336
43,24,1,0,0,0,28.537929890293707
34,17,0,0,1,0,34.98767235486509
33,19,0,0,1,1,35.38202757546634
34,18,0,1,1,1,36.40027934807132
25,17,0,0,0,1,41.17831573146663
25,24,1,0,0,0,37.69588007611301
27,26,0,1,1,1,37.60450325266611
22,19,0,0,0,1,39.16289432850496
33,18,1,1,1,1,35.83469733984344
43,25,1,1,1,1,30.15118489086445
23,28,1,0,0,0,35.61930638868212
36,16,0,0,0,0,36.15167181572327
24,11,0,1,1,1,43.10912879077446
33,15,1,1,0,0,34.57838117506639
35,17,1,0,1,0,34.803532722194134
52,21,1,1,1,0,26.34787344758079
20,32,0,0,0,0,37.20164227639616
26,12,0,0,1,1,40.75523462704222
30,18,1,1,0,0,33.642366631737644
25,21,0,1,1,1,38.27920899600226
26,22,0,1,0,0,35.5579686229614
29,35,0,1,0,0,30.075012128848048
30,21,0,1,1,0,34.390367317076766
19,11,0,0,1,1,44.43551329259477
19,9,0,0,1,1,45.32513778048557
40,24,1,0,1,0,29.44441057024824
32,21,0,0,1,1,35.581715565171365
27,23,0,0,1,0,35.13403633934398
28,27,0,0,1,1,37.62132334918695
27,21,0,0,1,0,37.27443455974713
21,20,1,1,0,0,35.97205330522167
37,20,0,1,1,0,34.100272842617485
27,22,0,1,1,1,36.8688504783175
31,21,1,1,1,1,34.70134703090756
41,17,0,1,0,0,32.56696851915966
28,15,1,1,1,1,38.479428728995686
23,15,0,0,1,1,42.40950547584861
22,26,1,1,1,1,37.192267171156736
25,8,1,0,1,1,43.32059308943085
20,12,1,0,1,0,41.382791482587145
25,18,0,0,0,0,37.33968702926061
23,23,0,1,0,0,34.61363854988927
23,19,1,1,0,0,37.66557182027366
16,15,1,1,1,1,42.58382748359521
32,15,0,1,0,0,36.264757442769714
37,11,0,1,1,0,35.79651963952328
29,12,0,1,1,1,39.72211845305588
21,31,1,1,0,0,32.40195117193252
49,15,0,1,1,0,28.877164394011555
20,19,0,1,1,1,40.53442883699908
42,18,1,1,0,1,33.376904795433674
26,25,1,0,1,1,35.01669809331128
36,19,0,1,1,0,30.971532741526605
34,25,0,0,1,1,32.68418920778059
36,19,0,1,1,0,33.60849967290914
33,21,1,0,1,1,34.469024675216794
26,17,0,0,1,1,39.69890117466832
26,10,0,0,1,1,41.6516230498458
28,20,1,1,0,0,36.72521778114249
18,31,0,1,0,0,34.64568286198591
21,22,0,1,0,0,37.74426105861551
42,16,0,0,0,1,32.95814792853061
29,15,1,0,0,1,40.30854984919981
40,24,1,1,1,0,30.16187789089095
32,15,0,0,1,0,36.34981409219515
28,13,1,0,1,1,38.87261212511115
17,23,1,0,0,0,40.195447791636326
22,25,1,0,0,1,37.97865491424611
30,27,0,0,0,0,31.98084548787031
44,22,1,0,1,1,32.25977726668794
