age,education_years,previous_month_income,gender,previous_unemployment_status,job_retraining_program,current_month_income
26,22,10,0,0,0,23.01689243561705
28,14,12,1,0,0,28.72743972528053
43,25,15,1,1,1,23.08901030826752
37,24,9,1,1,1,29.844466921392687
34,20,14,1,1,1,28.83136092626068
37,27,12,1,1,1,24.45074351283136
25,15,12,0,0,1,36.070524454840935
21,23,9,1,0,0,20.34659880794937
30,13,12,1,1,1,38.845317493888224
27,29,13,1,1,1,23.20427167508164
25,8,12,1,0,1,43.35672679083487
48,18,12,1,1,1,33.29851681697987
14,22,14,1,1,1,28.79584504034836
33,10,8,1,0,0,35.45613723112053
28,26,10,0,1,1,26.65416744832992
27,20,5,1,0,0,25.607817944869808
36,18,5,0,0,0,28.480912708704874
32,17,14,1,0,0,23.62329488116942
27,9,9,1,0,0,34.621450258611695
33,12,7,1,1,1,42.94886832409182
23,22,7,1,1,0,25.11162897424084
35,17,12,1,1,1,34.4704493772408
33,26,7,0,1,1,29.49956782740381
24,15,12,1,0,1,34.8502204153822
26,22,11,1,1,0,21.462241219440063
39,19,6,0,1,0,26.288030115647334
31,23,6,1,1,0,24.320809690832267
36,12,10,1,1,1,39.2687800576898
32,23,6,1,1,0,22.34203302180301
32,15,5,1,0,0,32.133566465645416
11,13,11,1,1,1,38.17838717331807
38,24,10,1,1,0,20.12729355296796
46,25,8,0,1,0,20.205392629919448
19,12,9,1,0,1,39.7592095371888
28,18,7,1,1,1,35.12203251019208
41,28,4,1,0,0,20.1601321326252
33,8,6,1,0,0,38.15666947296421
38,10,8,0,1,1,43.05693508713112
29,23,12,0,1,1,29.439695052170013
37,28,12,0,1,0,16.404947834299527
15,17,7,1,1,1,37.790304029977726
28,23,10,1,1,0,20.577133427027864
33,18,6,1,0,0,26.882511925645154
26,24,13,1,0,0,19.093294223336265
15,2,13,0,1,1,49.90264104509817
30,25,10,1,1,1,29.52445624549773
28,26,10,1,1,1,28.11352329635902
38,21,5,1,1,0,24.58150875790178
36,22,8,1,1,1,30.850307456615315
24,14,9,1,1,1,38.71483172133703
26,23,11,1,1,1,30.05645788287633
19,23,10,1,1,1,30.09553942403046
45,28,9,1,1,0,15.403544582098936
36,31,8,0,0,0,15.109966631955803
47,17,10,1,1,1,34.57893834893413
32,24,7,0,1,1,31.22871395309404
23,11,12,1,1,1,39.77409958999078
29,18,3,1,0,0,31.14217188664517
31,21,10,0,1,0,24.061494245755934
18,15,5,0,1,0,31.41951497476653
14,18,7,1,0,1,36.904276665761216
34,27,11,0,1,1,24.875122335659466
25,18,13,0,0,0,24.416472129019237
28,15,15,1,1,1,36.102730219081145
32,16,11,1,1,1,36.92192623646728
21,14,5,1,1,1,44.16407979775124
29,19,14,1,1,1,30.73777261264435
32,24,7,1,1,0,20.980360070821884
31,26,13,1,1,1,25.506732487803934
20,12,6,1,0,1,42.50898294813361
33,17,6,1,0,0,29.005294256433032
41,25,7,1,1,1,28.57855927913477
56,12,10,0,0,0,30.374683866363725
26,15,5,1,0,0,32.60781684154147
42,18,9,1,1,1,33.74453475104481
22,27,10,1,1,0,16.81814976563343
30,21,10,0,1,0,23.654727267548186
30,19,0,1,1,0,30.642164926446124
15,31,8,1,0,0,15.12760346899772
21,19,6,0,1,0,29.038370954698436
46,20,10,1,0,0,23.701221208731965
15,23,9,0,1,1,31.74840046405773
20,22,5,1,1,0,25.192073993106447
27,17,7,1,0,0,28.470117251558957
30,21,6,1,1,0,25.545343502566848
29,31,9,1,1,0,14.618511097511846
16,21,11,1,1,1,32.07935645105981
27,19,9,0,1,1,35.9762854519239
33,25,8,0,1,0,20.08429268310232
15,19,14,1,1,1,33.99323608604946
43,20,4,0,1,0,27.989242392268476
20,22,9,0,0,1,29.376259044764545
38,14,11,1,0,1,36.85670754659155
27,22,9,0,1,1,30.59551435006047
34,18,16,1,0,0,23.25368764090305
41,22,15,1,1,1,26.74659667987181
14,13,9,1,0,0,33.26069956584965
8,20,6,1,1,1,33.45288207375951
32,28,13,1,1,1,25.630068712599467
28,20,12,1,1,1,30.441313064436613
48,17,9,0,0,0,26.75089161317003
36,28,6,0,1,0,19.1808395908183
15,23,13,0,1,1,31.09316934056746
26,22,10,0,0,0,24.24903821629815
29,22,7,1,1,1,31.827568564682693
29,19,17,0,0,1,32.67086768684675
27,17,7,1,1,0,28.83053642346065
23,24,7,0,1,0,23.22439296469652
23,18,16,1,1,1,33.682863287761506
33,22,9,1,1,0,23.56755333782119
