age_years,monthly_income_dollars,cost_of_living_index,home_ownership,policy_beneficiary,housing_policy,quality_of_life_index
45,22,13,1,0,0,19.806314139138703
30,26,14,1,1,0,21.36306910658612
25,15,10,1,1,0,31.315604837020075
30,20,11,0,0,1,32.750109383317536
31,17,6,1,1,1,32.76933493209356
38,14,5,1,1,0,27.082044651115908
36,16,10,0,0,0,27.41296488264235
44,20,15,0,1,1,26.14558711990956
31,19,10,1,1,0,24.33997618506487
22,20,11,1,1,1,35.185941973018366
31,13,4,0,0,0,29.223055785972445
35,22,14,1,0,0,23.693235412460183
28,14,5,1,0,0,30.176306463158895
43,21,10,1,0,0,19.056395743004146
52,14,7,1,1,1,28.6852585524002
43,18,10,1,0,1,28.410444818835856
26,29,10,1,0,0,19.97713005799404
33,18,10,1,1,0,25.556928053088328
31,20,10,1,0,1,32.303414713313515
24,16,11,1,1,1,37.11953404529328
34,28,13,1,1,0,19.17539710109317
40,15,6,0,0,1,31.152165366926425
37,7,8,1,0,1,39.35707776394175
28,8,11,1,0,0,35.097991746438375
31,16,10,0,0,1,34.67821851290447
18,25,12,1,1,1,32.130649984791376
21,8,9,0,1,0,37.02693168037797
25,18,7,0,1,1,34.706196831930285
16,22,15,1,1,1,36.02742240537179
16,22,12,1,1,1,36.29152921720381
35,36,8,0,1,0,11.969559664249456
34,27,7,1,1,1,25.317280857196707
32,23,10,0,1,1,27.963729971634827
34,24,9,1,0,0,21.15670873534924
24,18,8,1,1,1,35.80844031307052
18,0,9,1,1,1,51.495098737785256
12,22,11,0,0,0,30.71802757075232
22,21,8,1,1,0,27.663970456363547
37,25,7,0,0,0,18.23216286007805
20,13,16,1,0,1,40.53374722549531
49,22,10,1,1,0,19.71846088872798
14,10,9,1,1,1,45.566550914178286
34,17,10,1,0,0,26.05657412092456
20,9,10,1,1,1,45.06927213290325
21,20,8,1,1,1,35.43998964428017
18,10,11,1,1,1,43.81460157764716
36,20,12,0,1,0,23.579561717160672
32,18,6,1,0,1,31.667052903887654
12,24,14,1,1,1,35.29276977673142
26,21,15,1,0,0,27.410325893013308
27,14,7,0,0,1,36.91745132500041
28,27,12,1,1,1,27.147348189883807
42,8,9,1,1,0,29.955556326349225
24,23,7,1,0,1,32.432831335838
35,21,9,0,0,1,29.246437828289743
34,26,15,0,0,0,20.610618297208624
33,16,7,0,0,0,28.98909322917402
33,21,12,0,0,1,31.96858368380204
34,14,11,1,1,1,35.2530918577066
31,14,8,1,1,1,34.29100189211632
39,11,12,0,1,1,38.19248628214421
20,16,13,1,1,1,38.323875546794646
45,20,13,1,1,1,28.95285648989432
21,16,10,0,1,1,38.51974473285449
33,12,5,1,0,0,30.131387302586976
45,20,9,1,1,0,22.32055295699352
32,17,6,1,0,1,32.36087559413703
39,17,10,1,1,1,31.831386911452903
21,26,8,0,0,0,21.55022898266128
24,24,2,0,1,1,29.295726435131836
23,21,9,1,0,0,26.63670814353169
24,25,11,1,1,0,24.70624283521472
39,25,5,0,1,1,25.531697557308217
38,23,12,1,1,1,28.00057587013761
14,27,10,1,0,1,33.43349520666839
25,28,11,1,0,0,20.96812248382297
16,25,13,0,0,1,31.171905616259384
35,18,6,1,0,0,26.7219527598651
19,12,10,1,1,0,34.87475998643319
26,19,15,1,1,0,28.75625443312
28,24,12,0,1,0,22.09890672977656
32,17,5,0,1,1,32.83473360211388
27,20,8,0,1,1,30.35584091651953
31,12,7,1,1,0,31.417379978818342
30,26,11,1,1,1,26.51755265226887
26,27,8,1,1,0,21.25394177417506
37,16,13,0,0,0,25.815475701573625
21,17,8,1,1,0,29.167092204056768
38,23,6,1,1,1,26.176439694589728
35,26,6,1,1,1,27.210011160147285
17,27,9,0,0,0,25.465582594167305
21,24,16,1,1,1,32.90433022048723
34,25,9,1,1,1,27.17611804887827
29,14,15,0,1,1,39.127468110774345
30,21,12,1,0,0,25.19366543557761
25,18,13,1,0,0,26.75605632113276
29,11,6,1,0,1,38.67934485880326
20,14,11,1,0,0,33.1850951460035
43,14,8,0,0,0,25.312881346295345
29,14,5,0,0,0,30.83672056827987
43,10,6,0,1,1,34.746163677761125
44,24,5,1,1,0,17.489093756706563
32,20,7,1,1,0,23.34149511538944
25,17,8,1,1,1,35.501616025773465
38,18,2,0,0,1,30.258107239103158
22,17,6,1,0,0,29.19801612379141
31,16,10,1,1,1,35.90427368140402
20,21,9,0,1,1,33.28706282419547
39,24,14,1,0,0,21.053278207125125
26,22,10,0,1,1,29.53698164204752
18,28,17,0,1,1,31.359880390564985
37,19,2,0,1,1,29.937554814906868
27,18,6,1,1,1,33.58956043090818
26,18,10,1,0,0,27.313595159847385
23,12,8,0,1,0,33.538660397144255
12,20,10,0,1,1,37.66162761197704
33,19,5,1,1,0,24.851539414846407
22,25,10,0,1,1,30.48949425663988
30,11,12,0,1,1,38.84798044656071
25,16,11,1,1,1,37.08129169302469
23,17,10,1,1,1,37.18964419159046
27,18,11,0,1,0,27.796300961871925
31,23,12,0,1,1,30.44858353529904
31,15,8,1,0,0,28.11260104469115
23,17,13,0,1,1,37.764218578804936
23,13,12,1,1,0,32.72472486137427
33,22,8,0,1,1,29.22661431176326
25,21,7,1,1,1,31.9325383304556
28,15,11,1,0,0,27.6066731874984
31,25,13,1,1,0,21.822564145294763
25,16,9,0,1,0,28.784353495904245
38,16,9,1,1,1,33.02603757513893
42,14,11,0,1,0,25.872189833925297
31,22,6,1,0,0,23.832744209863748
31,21,6,0,0,1,29.70515342549686
30,13,7,0,1,1,36.69731130376108
24,16,11,0,1,1,36.71674423295838
20,17,11,1,1,1,37.15216564520845
28,24,7,1,0,0,21.22882804425548
23,30,11,1,1,1,26.870954906128404
9,19,14,1,0,1,39.56553440178865
22,10,9,1,1,1,41.20331977091424
30,27,9,1,1,1,25.970426262318394
21,20,11,1,0,0,27.758980125183143
20,15,9,0,1,1,38.46059132576068
18,19,5,1,0,0,28.31655725927015
16,26,7,0,1,1,30.742871760574243
32,23,8,0,0,0,21.99203764490988
37,18,13,1,1,0,25.931420226094765
45,25,10,1,1,0,18.026075421625784
18,17,8,1,0,0,32.16005949885307
27,14,12,1,0,0,31.36332180425654
27,14,7,1,1,0,30.725143427559843
23,13,12,1,1,1,37.33823318138696
25,30,11,0,0,1,27.189332601457338
17,12,13,1,0,0,35.885218212889775
28,20,8,0,1,0,25.562441686437342
16,22,12,0,1,1,35.30752104670051
22,4,8,0,1,0,38.66669427226999
24,23,8,1,1,0,25.490846424476132
21,22,10,1,1,1,33.92181011277604
19,9,11,0,0,0,38.244460685110525
17,19,11,1,1,1,37.53204194948433
27,25,9,0,1,0,20.89066295029108
27,25,11,1,0,0,21.07186998447715
39,28,11,0,0,1,23.61053431690425
21,21,8,0,1,1,34.0587357545427
31,25,9,0,1,1,27.371038133590588
28,16,8,1,1,1,35.37123059640256
32,26,10,1,1,1,26.4126810183962
28,17,10,1,1,1,34.098366111201635
32,23,12,0,1,0,22.27658641299358
27,17,13,0,0,0,28.06418699075327
32,16,8,1,1,0,25.21967631685305
26,11,17,1,1,0,35.73385324322244
35,25,7,0,0,0,18.5547004954727
36,17,7,1,0,0,24.351563625650996
31,24,8,1,1,0,23.361699028824454
24,23,8,1,1,1,31.59349070066049
28,16,12,1,1,1,36.88680207025252
42,22,10,1,1,1,27.151624053368792
33,21,13,1,0,0,25.132967922471057
40,15,14,0,1,0,27.35594936022203
23,19,8,1,1,0,29.606195641640085
12,20,7,1,0,0,30.08018840017664
29,13,7,1,1,0,31.40090280275409
40,16,11,1,0,0,26.914725822892297
33,28,14,0,1,0,18.005922949619485
28,14,12,1,1,0,30.326650242175536
32,22,11,1,0,1,29.86409204431852
31,23,9,0,0,1,27.75513665118744
23,21,7,1,1,0,27.26482277373061
23,15,5,1,0,1,37.34460053607292
29,23,13,1,1,0,25.34871677028346
30,13,13,1,1,0,30.07869233724881
40,25,10,0,1,0,17.705639084249064
28,21,12,0,1,1,31.120909640754537
15,21,13,1,1,0,29.721916652196825
24,25,5,1,0,0,23.09994292053395
31,17,10,1,1,1,34.21454537859414
32,6,16,1,1,0,34.866269807942665
17,30,18,1,0,0,21.55655544499828
15,23,11,1,1,0,29.04070082906204
28,15,9,0,0,0,30.60760961554212
36,10,12,1,1,0,30.97954523667309
32,20,8,1,0,0,25.003514043630712
25,34,10,1,0,1,22.954756411409445
37,18,10,1,0,0,24.66026514362987
36,14,14,1,1,1,36.000599085988625
20,21,9,0,1,1,34.86467075365353
32,23,9,1,1,0,21.80027042161292
25,34,9,1,1,0,14.887077471008164
31,15,4,1,1,0,28.67918119489419
34,15,10,1,1,0,27.429186389552225
14,31,8,1,1,1,28.608891974034066
34,14,4,1,1,1,35.39622557565952
24,31,8,1,1,0,18.236490087608317
35,11,7,1,1,1,38.337573677047416
43,17,13,1,1,0,24.234373358944715
34,22,13,1,0,0,22.61088113373992
32,12,6,0,0,1,38.13746059611344
32,28,9,0,1,1,25.5795682175002
22,12,10,1,1,0,32.71839726415333
24,16,11,1,1,0,30.303428319755884
27,23,4,1,1,1,29.616029404011627
38,12,6,0,1,0,30.53258758636212
40,19,6,0,1,1,28.641419408468597
23,23,4,1,1,0,24.76286118529571
29,18,11,1,0,1,33.80353715007511
20,20,13,1,1,1,35.81695192405338
34,24,7,0,1,1,26.213511003055192
32,20,5,0,1,1,29.5446518375726
32,18,11,1,0,0,25.45849784469376
42,24,8,1,1,1,25.83228136848517
24,18,10,1,1,1,35.018200544185056
32,25,11,1,0,1,27.8105450243494
17,20,9,0,1,1,36.99197324074255
32,22,9,1,0,0,21.92319696356964
38,21,12,0,0,1,28.33655497339573
28,31,14,0,1,1,25.771108812030235
30,31,8,1,1,1,22.59210377249398
34,23,9,1,1,1,27.09790778393788
36,18,6,1,1,1,33.197462125268096
29,13,11,0,1,1,37.618281670472136
30,17,7,1,0,1,34.9519635629788
28,23,5,0,1,1,30.85915185383189
55,18,9,1,0,1,27.018374130972127
28,29,6,0,1,1,27.144750781634603
25,12,11,1,0,0,34.48965122382539
41,9,11,1,1,1,38.030117335901295
25,5,6,0,1,1,45.25260882848638
21,22,11,1,0,0,25.256931806590284
48,18,5,1,1,0,20.645169131701724
37,9,8,0,1,1,38.294062526839205
31,31,9,0,1,1,22.611615269618376
40,9,11,1,0,0,29.45162813931404
29,14,12,1,1,1,35.69085050885096
