defendant_age,trial_length_days,pretrial_detention_days,prior_convictions,legal_representation,violent_crime,alternative_sentencing,recidivism
20,19,11,1,1,0,0,68.07580554915137
20,22,7,0,1,0,0,66.24170007207498
41,16,4,0,0,0,1,75.45349075798886
29,14,12,0,1,0,0,71.20115367284544
23,20,15,0,1,0,0,70.52481494448625
19,22,10,1,0,0,1,72.06987078216164
23,22,12,0,1,0,0,70.09809352422825
41,17,6,0,1,0,0,73.78595810816294
22,15,9,1,0,0,1,68.71495716417037
44,19,8,1,0,1,1,80.09118253475853
40,34,10,0,1,1,1,87.5550174726479
34,18,10,0,0,0,1,75.51487724123855
24,24,14,0,1,0,0,70.79081814908848
25,22,7,1,0,0,1,73.75539715838046
29,24,7,1,0,1,1,75.5381290087318
32,28,10,0,1,0,1,80.01136933964082
31,21,9,0,0,1,1,75.52016865530778
35,23,8,0,0,0,1,78.6660443487039
25,22,11,0,0,0,0,68.62635501150821
29,15,11,0,0,1,1,75.19729373791453
27,15,12,1,0,1,0,67.4700104921851
33,15,10,1,1,1,0,70.15127861146796
39,18,7,0,0,0,1,78.26365873022519
31,22,8,1,0,1,0,71.21119795834396
32,7,17,0,0,0,0,71.36435646356013
23,24,13,0,0,0,0,70.85998672409396
36,22,10,0,1,0,1,79.80118610397383
32,19,14,0,0,0,0,73.05244006236668
27,13,8,0,0,0,0,67.72568856393293
33,14,11,0,0,0,0,70.16076134356831
24,12,10,0,0,0,0,63.60158500488579
22,10,7,1,0,1,1,67.34361064465593
23,19,5,0,0,0,1,69.95073879553507
24,15,14,0,0,1,1,72.07327754095498
21,26,3,0,1,0,1,72.20635580475813
42,28,2,0,0,0,1,81.11313521665093
32,23,9,0,0,0,1,78.14227565371051
26,24,9,0,1,0,0,70.71412994575238
54,12,13,1,0,1,1,85.01620447256629
27,15,4,0,0,1,1,70.51178075632595
20,27,2,1,1,1,1,71.45096725656394
22,21,8,0,0,0,1,71.74529321978407
46,22,7,0,0,0,0,79.10242307260197
20,17,14,0,0,0,0,67.41034287428103
16,6,3,0,1,0,1,64.26619641577092
26,25,8,0,0,0,0,69.55821840252776
35,30,14,0,1,1,0,78.86379978435748
30,14,8,1,1,1,0,70.02156557018037
31,24,6,0,1,1,1,77.6343298630302
34,18,9,1,1,0,0,71.36775949910614
40,19,12,0,0,0,0,75.59802193099786
29,5,11,0,1,1,0,65.61792803537642
27,14,6,0,0,0,1,70.98787231579314
28,25,13,0,0,0,1,78.54756206864359
33,26,10,0,0,0,1,81.06854360786059
