age_of_participant,years_of_experience,gender,rural_residence,previous_beneficiary,microcredit_participation,monthly_income
23,23,0,0,0,1,35.07828395792009
29,26,1,1,0,0,25.59390473744017
31,21,0,1,0,1,28.418336898849827
35,21,0,0,0,0,23.42119832021028
29,7,0,0,0,1,32.568385874463644
28,25,1,1,1,0,26.286387756227963
41,19,0,0,1,1,22.129292123211503
20,17,0,0,0,0,31.88158560928213
26,17,1,0,0,0,31.684101346653545
41,18,0,1,1,1,22.017348954597843
25,20,0,1,0,0,31.27214084933576
26,23,0,0,0,0,27.42446536828855
39,19,0,0,0,0,20.93323461698409
32,12,1,1,0,1,28.81688267827378
33,34,0,1,0,0,19.996929613830325
36,19,0,0,0,1,24.639052588315398
35,15,1,0,0,1,26.14745561090889
31,15,0,0,0,1,31.213672338202063
24,17,0,1,0,1,32.88949606042478
25,16,0,0,0,1,33.01293041740934
39,27,0,0,0,1,19.34007011901588
21,18,1,1,0,0,32.31644831616729
31,17,0,0,0,1,28.99190632597845
30,15,1,0,1,0,25.18647138502307
31,12,1,0,0,0,27.001535029241342
20,21,0,0,1,0,34.414501759118274
45,11,0,1,1,1,19.838968794048974
33,18,0,1,1,0,24.063193135459425
38,29,0,0,0,1,19.526290845214405
34,21,0,1,0,0,23.470999849047764
31,18,0,1,0,0,26.761300145260364
35,26,1,1,0,0,21.91759810646521
19,12,0,0,1,1,37.64649005385687
23,21,0,0,0,1,33.720716875523124
28,22,0,0,1,0,26.094594889082888
30,26,0,0,0,0,27.128464308115102
19,17,0,0,0,1,37.51180711572079
23,16,1,0,1,0,31.003297591206188
29,21,0,0,1,0,25.707416463017697
35,22,0,1,0,1,25.091558879648847
41,20,1,1,0,0,18.67121046650108
31,18,1,0,1,0,25.64111265005433
36,21,0,1,0,0,23.264652487182023
24,27,0,0,0,1,32.677311438589456
34,24,1,0,1,0,22.269715383176216
20,22,1,0,0,0,35.30972573456117
33,9,0,0,0,1,28.299097119838454
19,25,0,0,0,0,32.18573640475953
32,18,0,0,0,1,28.566855988314423
26,23,1,1,1,1,35.57564889149639
17,17,0,0,0,1,39.02911377021197
42,20,0,0,0,1,20.79178685195447
26,17,1,0,1,0,30.29673102427322
19,9,1,0,0,1,40.714798582356046
30,28,0,0,1,0,24.58125439969508
15,15,0,0,0,1,41.12689162330281
22,24,0,0,0,1,35.18874060356178
38,14,0,1,0,0,20.54278798135966
31,22,0,0,1,0,24.63960428177378
18,20,1,0,0,1,38.79818040862845
30,20,0,1,1,0,26.100951546241955
39,25,0,1,1,1,22.917099599643088
17,18,0,0,0,1,39.42372677397802
25,16,0,1,0,1,34.73334523078469
27,15,0,0,1,0,30.073428477836668
22,26,0,0,0,1,36.76673702820696
23,18,1,0,0,0,31.449228773812383
19,24,1,0,1,0,32.02235561782247
26,17,0,1,0,0,29.340058369171736
14,15,0,0,0,0,39.90211979035834
22,20,0,0,1,1,35.6208918339787
18,20,0,0,0,1,36.24051298015512
27,20,0,0,0,0,28.4585109103203
24,19,0,0,0,1,33.978567747125375
33,20,1,1,0,0,24.277761798205848
36,16,0,1,0,1,26.083283336161983
7,21,1,0,0,1,48.367782733056366
33,19,0,1,0,0,24.386632378436023
19,17,0,1,0,1,37.11897758934121
28,15,0,1,0,0,29.55888329710355
16,26,0,0,1,1,38.54005827624623
29,16,0,1,1,0,29.142711179642745
33,22,0,0,1,1,27.11479052200843
19,16,1,0,0,1,38.08377233718285
37,19,1,0,0,1,25.935194698487923
24,13,1,0,0,0,31.72150850775953
27,16,0,0,1,1,33.59544618120131
37,7,0,1,1,0,24.02057423473365
42,27,0,1,1,1,18.41683485720459
28,26,0,1,0,0,25.078781795161188
20,16,1,1,1,0,34.620498026176335
33,25,0,1,0,1,27.230803058698903
30,25,1,0,0,0,25.667263093025685
22,22,0,0,0,1,34.876870154412195
38,19,1,1,0,1,24.783052154692463
24,17,0,0,0,1,35.029328500977414
28,14,0,1,0,1,33.54718384475262
24,11,0,0,1,1,36.74941837859575
23,18,1,0,0,1,36.3955373525914
25,31,1,1,0,0,30.34510054721548
48,19,0,1,1,0,12.855452688778923
39,14,1,0,0,1,24.26884388039291
26,24,0,0,0,1,32.91354973770069
35,19,0,0,0,1,24.16111617567478
21,10,1,0,1,0,34.02676596981542
13,27,1,0,1,0,36.70187657629391
20,24,0,1,1,0,30.675561998263145
26,24,1,1,1,0,27.9919415004438
16,25,1,0,0,1,37.660246859836846
27,13,1,0,0,0,30.381419722948
32,28,1,0,0,0,24.59137646736053
27,30,0,0,0,1,30.619434245261264
39,23,0,0,0,0,18.521195795676697
21,26,1,0,0,1,35.32870283696759
34,7,0,0,1,1,28.3064331132983
36,17,0,0,0,0,20.37714006783672
39,19,0,1,0,0,19.057516473947476
28,22,0,1,0,0,28.886045502496955
35,18,0,0,0,1,26.555228646204736
36,28,0,0,0,0,20.23661258024786
40,23,1,0,0,0,19.275194394895383
29,19,1,1,0,1,32.40108518746224
40,21,0,0,0,1,20.79189329408417
37,25,0,1,0,1,26.771435344305186
38,13,1,0,1,0,22.23721878605676
36,22,1,0,1,0,20.12236817504929
36,21,1,1,0,0,22.3268875339988
30,23,1,0,0,0,23.85489212868045
35,19,0,0,0,1,26.38104770049598
30,15,0,1,0,0,27.083401173621965
