age,education_years,income,socioeconomic_index,number_of_dependents,gender,minority_status,unemployed,participation_in_job_training,employment_status_after_year
37,26,8,7,2,1,0,1,1,68.20197397578693
40,24,7,9,1,1,0,0,1,69.22364664905386
27,17,11,7,5,0,0,1,0,64.6400121400518
43,31,12,11,4,1,0,0,0,70.93941735570549
26,14,11,2,2,1,0,1,1,64.7429835832729
26,19,12,20,5,1,0,0,0,73.97982390773211
31,24,6,8,6,1,0,1,0,63.80810300237616
23,18,16,20,4,1,0,1,0,76.11187807568912
45,21,11,18,5,0,1,1,1,76.87105653292166
21,37,12,15,3,0,1,0,1,74.60881970190064
27,22,7,16,3,1,1,1,1,70.07384429659204
33,4,2,21,2,1,0,1,0,63.02454660652039
28,22,9,8,6,0,1,0,1,67.8819343862802
26,15,12,11,3,0,0,0,0,65.53437174598096
27,20,4,12,4,1,1,0,1,66.61881364417914
13,19,9,15,3,1,1,1,0,64.47408180200384
31,28,4,16,4,1,0,0,0,65.94893443189495
22,21,12,7,2,0,1,1,1,69.71856631337852
38,35,1,18,2,0,0,1,0,65.42301934499288
24,14,10,2,4,0,1,1,1,63.33530975065937
28,19,12,11,1,0,1,0,0,66.2913608787011
28,16,8,13,4,0,0,0,0,64.69383384731121
31,15,11,9,4,0,0,0,0,66.76723180643208
24,21,9,16,0,0,0,0,0,67.49500859143005
33,15,13,13,3,1,0,1,1,74.06575415327848
26,16,10,14,2,1,1,0,1,71.11698325468869
24,10,12,17,2,1,1,1,1,73.3487718141548
29,11,17,12,4,0,0,0,1,76.89459487910457
23,17,6,8,4,1,1,1,1,64.78617154977339
36,26,13,5,4,1,1,0,1,71.21479635653628
24,26,10,8,5,0,0,0,0,64.93935730959609
20,29,11,12,4,1,0,0,0,69.04123101396982
32,21,8,11,4,1,1,0,1,69.93861492835696
38,12,10,10,6,0,1,1,0,65.1333993130582
37,23,13,10,2,0,1,0,1,73.93969097904797
38,23,6,15,2,1,0,1,0,65.53799959361682
36,12,7,14,3,1,1,1,1,70.10095275422044
35,36,10,17,5,1,1,0,0,73.59185239145488
32,10,15,19,3,0,0,0,1,78.18494546943815
26,19,14,21,1,1,0,0,1,79.31283817497697
29,31,8,7,3,0,0,1,1,66.70389408939234
28,21,11,16,4,0,1,1,1,73.36268446046601
30,23,10,3,2,0,1,0,0,62.53817684346116
17,7,11,5,2,0,1,1,1,62.21839027680576
21,16,10,16,1,0,0,1,1,71.47948935413245
28,18,6,15,6,0,1,0,0,64.55087167099241
26,15,8,21,4,1,0,0,1,75.01793014485553
43,12,9,6,3,0,1,0,0,62.08777931695142
42,21,5,18,5,0,0,0,0,67.62177182635268
36,11,10,17,3,0,0,1,1,74.1342195331078
23,24,8,14,4,1,0,0,0,67.66868246644461
36,19,7,14,5,0,1,0,0,66.31912065273187
21,21,12,15,2,0,0,0,0,69.4669103591013
29,33,11,17,4,1,1,0,0,73.38454989990704
23,19,9,23,4,0,1,0,0,71.07276476762918
38,24,13,12,3,0,1,0,1,75.28378188219517
21,24,5,15,5,1,0,1,0,62.96597830028596
15,17,12,10,3,0,1,1,1,69.17457177557887
35,11,7,11,4,0,0,0,0,64.95811355716664
27,14,12,12,2,0,1,1,1,70.9337939493714
31,22,12,14,3,1,0,0,0,70.40606950685824
39,28,11,17,3,0,0,0,1,77.08154264301572
22,22,16,17,5,0,0,0,0,75.33926389951183
17,16,8,12,3,0,1,0,0,63.85480226340194
38,20,10,12,4,0,1,1,1,72.26926323877726
29,10,11,6,5,0,1,1,1,67.70007524508236
26,20,12,15,4,0,0,0,0,70.21873111251669
18,16,12,11,4,1,1,1,1,70.24061879896293
27,12,10,12,3,0,0,0,0,64.71474617322326
36,15,4,8,0,0,1,0,1,63.10955788004054
39,23,4,16,6,1,0,1,0,67.03233558978962
37,27,10,11,4,1,1,0,1,72.96934036763626
28,16,11,16,3,0,1,0,0,68.74695679734776
24,18,8,24,5,1,1,0,1,75.8123864795024
18,28,11,6,5,0,0,0,0,65.54440418496088
27,21,13,17,6,1,0,1,0,73.3427264252996
25,16,2,15,6,1,1,1,0,61.91730168344168
29,24,9,-2,3,1,0,1,1,64.61529665446746
31,10,9,14,5,1,0,0,0,65.2960852455328
28,28,13,19,4,0,1,0,0,74.29731327872533
35,18,10,11,3,0,0,1,0,66.04621434123221
26,17,6,10,3,0,1,0,1,64.02493464586928
22,21,8,19,3,1,0,0,0,68.63152899183542
38,8,16,15,1,1,0,1,1,75.58253570596449
13,21,10,8,6,1,1,0,0,61.637071756687135
32,13,9,17,5,0,1,0,0,67.89406997501715
35,28,15,19,2,1,0,0,1,82.14920539295342
30,20,10,13,2,0,1,0,0,66.21936344380848
34,9,14,11,5,0,0,0,1,76.08761321975506
